accession,pubmed_id,pmc_id,raw_file_count,organism,taxids,experiment_types,pub_license,spectral_file_types,existing_PRIDE_SDRF,HAMLETstore,HAMLETmeti,HAMLETmeta,HAMLETjudge
PXD007236,28928222.0,PMC5724017,1,Trypanosoma brucei,5691,Shotgun proteomics,CC BY,RAW,False,False,True,True,False
PXD007266,29109709.0,PMC5660099,1,Taiwanofungus camphoratus,196114,Shotgun proteomics,CC BY,RAW,False,False,True,True,False
PXD007932,29167427.0,PMC5700196,1,Azumapecten farreri,106299,Shotgun proteomics,CC BY,RAW,False,False,True,True,False
PXD000377,23870090.0,PMC3729367,1,Mycobacterium tuberculosis h37rv,83332,Bottom-up proteomics,CC BY,RAW,False,False,True,True,False
PXD000440,24298013.0,PMC3950894,1,Homo sapiens (human),9606,Bottom-up proteomics,author_manuscript,GZ;RAW,False,False,True,True,False
PXD000509,24312330.0,PMC3842259,1,Escherichia coli,562,Bottom-up proteomics,CC BY,GZ;RAW,False,False,True,True,False
PXD001680,25699542.0,PMC4358660,1,Homo sapiens (human),9606,Shotgun proteomics,CC BY,MGF;RAW;ZIP,False,False,True,True,False
PXD002278,25551446.0,PMC4281155,1,Phage vb_ecop_su10,1519788,Shotgun proteomics,CC BY,RAW,False,False,True,True,False
PXD002840,26635820.0,PMC4645717,1,Gibberella zeae (strain ph-1 / atcc mya-4620 / fgsc 9075 / nrrl 31084) (wheat head blight fungus) (fusarium graminearum),229533,Shotgun proteomics,CC BY,GZ;MGF;RAW,False,False,True,True,False
PXD005473,28380054.0,PMC5397071,1,Mus musculus (mouse),10090,Shotgun proteomics,CC BY,GZ;MGF;RAW,False,False,True,True,False
PXD006705,29556515.0,PMC5854290,1,Homo sapiens (human),9606,Shotgun proteomics,CC BY,RAW,False,False,True,True,False
PXD006884,30013126.0,PMC6048020,1,Escherichia coli,562,Shotgun proteomics,CC BY,MZXML;RAW,False,False,True,True,False
PXD007753,30082797.0,PMC6078960,1,Arabidopsis thaliana (mouse-ear cress),3702,Shotgun proteomics,CC BY,MGF;RAW;WIFF,False,False,True,True,False
PXD010548,30158631.0,PMC6115407,1,Drosophila melanogaster (fruit fly),7227,Shotgun proteomics,CC BY,GZ;MGF;RAW,False,False,True,True,False
PXD008981,29915597.0,PMC5994560,1,Protopterus dolloi,27779,Shotgun proteomics,CC BY,RAW,False,False,True,True,False
PXD009143,30018401.0,PMC6050252,1,Mus musculus (mouse),10090,Shotgun proteomics,CC BY,RAW;ZIP,False,False,True,True,False
PXD010549,30158631.0,PMC6115407,1,Drosophila melanogaster (fruit fly),7227,Shotgun proteomics,CC BY,GZ;MGF;RAW,False,False,True,True,False
PXD011743,31036632.0,PMC6535003,1,Homo sapiens (human),9606,Shotgun proteomics,CC BY,GZ;MGF;RAW,False,False,True,True,False
PXD012335,31113901.0,PMC6529638,1,Escherichia coli,562,Shotgun proteomics,CC BY,RAW,False,False,True,True,False
PXD006688,27824341.0,PMC5270573,1,Marine metagenome,408172,Shotgun proteomics,CC BY-NC-SA,RAW,False,False,True,True,False
PXD012733,32152317.0,PMC7063047,1,Homo sapiens (human),9606,Shotgun proteomics,CC BY,RAW,False,False,True,True,False
PXD013744,31395095.0,PMC6686468,1,Homo sapiens (human),9606,Shotgun proteomics,CC BY,RAW,False,False,True,True,False
PXD014105,31324785.0,PMC6642173,1,Homo sapiens (human),9606,Shotgun proteomics,CC BY,RAW,False,False,True,True,False
PXD011935,28270554.0,PMC6049618,1,Saccharomyces cerevisiae (baker's yeast),4932,Shotgun proteomics,author_manuscript,7Z;RAW;ZIP,False,False,True,True,False
PXD016337,31847368.0,PMC6950161,1,Tetraponera aethiops,219813,Shotgun proteomics,CC BY,RAW,False,False,True,True,False
PXD000520,24300896.0,PMC4108444,1,Homo sapiens (human); Mus musculus (mouse),9606; 10090,Bottom-up proteomics,author_manuscript,RAW,False,False,True,True,False
PXD012422,32265614.0,PMC7110646,1,Homo sapiens (human),9606,Shotgun proteomics,CC BY,GZ;MZML;RAW,False,False,True,True,False
PXD017818,32210242.0,PMC7093394,1,Staphylococcus sp. kdm4,1246663,Shotgun proteomics,CC BY,MGF;RAW,False,False,True,True,False
PXD006504,31038352.0,PMC6918859,1,Sulfurihydrogenibium,212790,Shotgun proteomics,CC BY-NC,GZ;MGF;RAW,False,False,True,True,False
PXD006506,31038352.0,PMC6918859,1,Sulfurihydrogenibium,212790,Shotgun proteomics,CC BY-NC,GZ;MGF;RAW,False,False,True,True,False
PXD016197,32058951.0,PMC6997871,1,Mus musculus (mouse),10090,Shotgun proteomics,CC BY,MZDATA;RAW,False,False,True,True,False
PXD015672,32042044.0,PMC7010817,1,Mus musculus (mouse),10090,Shotgun proteomics,CC BY,MGF;RAW,False,False,True,True,False
PXD012231,32469046.0,PMC7298129,1,Bos taurus (bovine),9913,Shotgun proteomics,CC BY,RAW,False,False,True,True,False
PXD015854,32555370.0,PMC7685984,1,Mus musculus (mouse),10090,Shotgun proteomics,CC BY,MZML;RAW,False,False,True,True,False
PXD008246,32859889.0,PMC7455732,1,Homo sapiens (human),9606,Shotgun proteomics,CC BY,RAW,False,False,True,True,False
PXD017432,32826880.0,PMC7442833,1,Homo sapiens (human),9606,Shotgun proteomics,CC BY,RAW,False,False,True,True,False
PXD017847,33060577.0,PMC7567890,1,Brassica oleracea var. botrytis (cauliflower),3715,Shotgun proteomics,CC BY,GZ;MGF;RAW,False,False,True,True,False
PXD019950,33143316.0,PMC7692688,1,Homo sapiens (human),9606,Shotgun proteomics,CC BY,RAW,False,False,True,True,False
PXD017610,32181701.0,PMC7185313,1,Homo sapiens (human),9606,Shotgun proteomics,CC BY-NC,RAW,False,False,True,True,False
PXD006143,29209593.0,PMC5702332,1,Amblyomma sculptum,1581419,Shotgun proteomics,CC BY,RAW,False,False,True,True,False
PXD019861,33803797.0,PMC8003167,1,Ustilaginoidea virens,1159556,Shotgun proteomics,CC BY,RAW,False,False,True,True,False
PXD024401,33888855.0,PMC8062583,1,Bombyx mori (silk moth),7091,Shotgun proteomics,CC BY,RAW,False,False,True,True,False
PXD024365,33888855.0,PMC8062583,1,Bombyx mori (silk moth),7091,Shotgun proteomics,CC BY,RAW,False,False,True,True,False
PXD024362,33888855.0,PMC8062583,1,Bombyx mori (silk moth),7091,Shotgun proteomics,CC BY,RAW,False,False,True,True,False
PXD024341,33888855.0,PMC8062583,1,Bombyx mori (silk moth),7091,Shotgun proteomics,CC BY,RAW,False,False,True,True,False
PXD014915,33093847.0,PMC7527632,1,Homo sapiens (human),9606,Shotgun proteomics,CC BY,RAW,False,False,True,True,False
PXD021643,33214631.0,PMC7678824,1,Streptococcus pneumoniae serotype 2 (strain d39 / nctc 7466),373153,Shotgun proteomics,CC BY,MGF;RAW,False,False,True,True,False
PXD011452,31015322.0,PMC6478998,1,Campylobacter jejuni subsp. jejuni nctc 11168 = atcc 700819,192222,Shotgun proteomics,CC BY,RAW,False,False,True,True,False
PXD012779,32244485.0,PMC7230167,1,Megabalanus volcano,266495,Shotgun proteomics,CC BY,MGF;RAW,False,False,True,True,False
PXD013875,34068436.0,PMC8153575,1,Trypanosoma cruzi strain cl brener,353153,Shotgun proteomics,CC BY,GZ;MGF;RAW,False,False,True,True,False
PXD013882,34068436.0,PMC8153575,1,Trypanosoma cruzi strain cl brener,353153,Shotgun proteomics,CC BY,GZ;MGF;RAW,False,False,True,True,False
PXD013878,34068436.0,PMC8153575,1,Trypanosoma cruzi strain cl brener,353153,Shotgun proteomics,CC BY,GZ;MGF;RAW,False,False,True,True,False
PXD013880,34068436.0,PMC8153575,1,Trypanosoma cruzi strain cl brener,353153,Shotgun proteomics,CC BY,GZ;MGF;RAW,False,False,True,True,False
PXD013876,34068436.0,PMC8153575,1,Trypanosoma cruzi strain cl brener,353153,Shotgun proteomics,CC BY,GZ;MGF;RAW,False,False,True,True,False
PXD013901,34068436.0,PMC8153575,1,Trypanosoma cruzi strain cl brener,353153,Shotgun proteomics,CC BY,MGF;RAW,False,False,True,True,False
PXD017716,33024055.0,PMC7732273,1,'phaseolus vulgaris' phytoplasma,188912,Shotgun proteomics,CC BY,RAW,False,False,True,True,False
PXD018778,32572646.0,PMC7310055,1,Oryza sativa (rice),4530,Shotgun proteomics,CC BY,RAW,False,False,True,True,False
PXD018693,32630016.0,PMC7407881,1,Bos taurus (bovine),9913,Shotgun proteomics,CC BY,RAW;ZIP,False,False,True,True,False
PXD019867,32752210.0,PMC7460313,1,Amphiporus lactifloreus,187594,Shotgun proteomics,CC BY,MZML;RAW,False,False,True,True,False
PXD020479,33013791.0,PMC7506082,1,Trypanosoma brucei,5691,Shotgun proteomics,CC BY,RAW,False,False,True,True,False
PXD019872,32752210.0,PMC7460313,1,Amphiporus lactifloreus,187594,Shotgun proteomics,CC BY,MZML;RAW,False,False,True,True,False
PXD022558,33498747.0,PMC7911100,1,Mus musculus (mouse),10090,Shotgun proteomics,CC BY,RAW,False,False,True,True,False
PXD026445,34758830.0,PMC8580364,1,Enterococcus faecalis (streptococcus faecalis),1351,Shotgun proteomics,CC BY,RAW,False,False,True,True,False
PXD029425,35048979.0,PMC8887472,1,Homo sapiens (human),9606,Shotgun proteomics,CC BY,RAW,False,False,True,True,False
PXD021928,34763597.0,PMC8726736,1,Mouse gut metagenome; Homo sapiens (human),410661; 9606,Shotgun proteomics,CC BY-NC,RAW,False,False,True,True,False
PXD023147,34272863.0,PMC8557429,1,Lineus longissimus,88925,Shotgun proteomics,CC BY,RAW,False,False,True,True,False
PXD028851,34688666.0,PMC8573170,1,Xenopsylla cheopis,163159,Shotgun proteomics,CC BY,RAW,False,False,True,True,False
PXD024501,34562309.0,PMC8505828,1,Mus musculus (mouse),10090,Shotgun proteomics,CC BY,MZML;RAW,False,False,True,True,False
PXD025505,34453168.0,PMC8575027,1,Human gut metagenome,408170,Shotgun proteomics,CC BY,MGF;RAW,False,False,True,True,False
PXD025617,34107032.0,PMC8216281,1,Homo sapiens (human),9606,Shotgun proteomics,CC BY,RAW,False,False,True,True,False
PXD027232,34604215.0,PMC8484718,1,Homo sapiens (human),9606,Shotgun proteomics,CC BY,RAW,False,False,True,True,False
PXD026897,34781893.0,PMC8594166,1,Oncorhynchus mykiss (rainbow trout) (salmo gairdneri),8022,Shotgun proteomics,CC BY,RAW,False,False,True,True,False
PXD027773,34679670.0,PMC8533122,1,Rattus norvegicus (rat),10116,Shotgun proteomics,CC BY,RAW,False,False,True,True,False
PXD030322,34975849.0,PMC8718676,1,Escherichia coli,562,Shotgun proteomics,CC BY,RAW,False,False,True,True,False
PXD031330,35277487.0,PMC8917219,1,Saccharomyces cerevisiae (baker's yeast),4932,Shotgun proteomics,CC BY,RAW,False,False,True,True,False
PXD022499,35180840.0,PMC8855566,1,Gibberella zeae (strain ph-1 / atcc mya-4620 / fgsc 9075 / nrrl 31084) (wheat head blight fungus) (fusarium graminearum),229533,Shotgun proteomics,CC BY,RAW,False,False,True,True,False
PXD029823,35309263.0,PMC8927852,1,Xylocopa violacea,135666,Shotgun proteomics,CC BY,MGF;RAW,False,False,True,True,False
PXD030600,35323464.0,PMC8950537,1,Pseudoalteromonas flavipulchra ncimb 2033 = atcc baa-314,1315273,Shotgun proteomics,CC BY,RAW,False,False,True,True,False
PXD030098,35592564.0,PMC9111532,1,Arabidopsis thaliana (mouse-ear cress),3702,Shotgun proteomics,CC BY,RAW,False,False,True,True,False
PXD032821,35613060.0,PMC9178559,1,Drosophila melanogaster (fruit fly); Escherichia coli; Mus musculus (mouse),7227; 562; 10090,Shotgun proteomics,CC BY,RAW,False,False,True,True,False
PXD014057,35807503.0,PMC9268043,1,Bacillus amyloliquefaciens,1390,Shotgun proteomics,CC BY,MGF;RAW,False,False,True,True,False
PXD028479,35921411.0,PMC9348797,1,Homo sapiens (human),9606,Shotgun proteomics,CC BY,RAW,False,False,True,True,False
PXD034871,36402845.0,PMC9675754,1,Homo sapiens (human),9606,Shotgun proteomics,CC BY,MGF;RAW,False,False,True,True,False
PXD012666,33581340.0,PMC9880814,1,Triticum aestivum (wheat),4565,Shotgun proteomics,CC BY,RAW,False,False,True,True,False
PXD039007,36769339.0,PMC9917977,1,Homo sapiens (human),9606,Shotgun proteomics,CC BY,MGF;RAW,False,False,True,True,False
PXD037898,36498688.0,PMC9737388,1,Homo sapiens (human),9606,Shotgun proteomics,CC BY,RAW,False,False,True,True,False
PXD012966,35941338.0,PMC9652266,1,Homo sapiens (human),9606,Shotgun proteomics,CC BY,RAW,False,False,True,True,False
PXD015351,35941338.0,PMC9652266,1,Homo sapiens (human),9606,Shotgun proteomics,CC BY,RAW,False,False,True,True,False
PXD014678,36269050.0,PMC9671498,1,Homo sapiens (human),9606,Shotgun proteomics,CC BY,RAW,False,False,True,True,False
PXD016283,35697730.0,PMC9663168,1,Arabidopsis thaliana (mouse-ear cress),3702,Shotgun proteomics,author_manuscript,RAW,False,False,True,True,False
PXD034526,36335129.0,PMC9637198,1,Homo sapiens (human),9606,Shotgun proteomics,CC BY,RAW,False,False,True,True,False
PXD035126,36031042.0,PMC9538898,1,Homo sapiens (human),9606,Shotgun proteomics,CC BY,RAW,False,False,True,True,False
PXD029704,35077711.0,PMC8881488,1,Homo sapiens (human),9606,Shotgun proteomics,CC BY,RAW,False,False,True,True,False
PXD031565,35333152.0,PMC9558348,1,Pseudomonas aeruginosa group,136841,Shotgun proteomics,CC BY-NC,RAW,False,False,True,True,False
PXD037920,36547361.0,PMC9777629,1,Homo sapiens (human),9606,Shotgun proteomics,CC BY,MGF;RAW,False,False,True,True,False
PXD007036,37072500.0,PMC10113393,1,Homo sapiens (human),9606,Shotgun proteomics,CC BY,RAW,False,False,True,True,False
PXD035585,36899022.0,PMC10006232,1,Homo sapiens (human),9606,Shotgun proteomics,CC BY,RAW,False,False,True,True,False
PXD035586,36899022.0,PMC10006232,1,Homo sapiens (human),9606,Shotgun proteomics,CC BY,RAW,False,False,True,True,False
PXD038932,36890204.0,PMC9995342,1,Homo sapiens (human),9606,Shotgun proteomics,CC BY,RAW,False,False,True,True,False
PXD039464,36979766.0,PMC10045871,1,Homo sapiens (human),9606,Shotgun proteomics,CC BY,RAW,False,False,True,True,False
PXD031525,36951107.0,PMC10164566,1,Homo sapiens (human),9606,Shotgun proteomics,CC BY,RAW,False,False,True,True,False
PXD038767,37149634.0,PMC10164148,1,Drosophila melanogaster (fruit fly),7227,Shotgun proteomics,CC BY,RAW,False,False,True,True,False
PXD041996,37253723.0,PMC10229537,1,Arabidopsis thaliana (mouse-ear cress),3702,Shotgun proteomics,CC BY,RAW,False,False,True,True,False
PXD043233,37777570.0,PMC10542812,1,Homo sapiens (human),9606,Shotgun proteomics,CC BY,RAW,False,False,True,True,False
PXD036201,37707322.0,PMC10501187,1,Homo sapiens (human),9606,Shotgun proteomics,CC BY,RAW,False,False,True,True,False
PXD037093,37841933.0,PMC10570812,1,Deinagkistrodon acutus,36307,Shotgun proteomics,CC BY,MGF;RAW,False,False,True,True,False
PXD040218,37845672.0,PMC10577913,1,Homo sapiens (human),9606,Shotgun proteomics,CC BY,RAW,False,False,True,True,False
PXD042438,37605006.0,PMC10482945,1,Homo sapiens (human),9606,Shotgun proteomics,CC BY,RAW,False,False,True,True,False
PXD043615,37719269.0,PMC10500195,1,Macrovipera schweizeri,110205,Shotgun proteomics,CC BY,MZML;RAW,False,False,True,True,False
PXD024978,37770719.0,PMC10643145,1,Homo sapiens (human),9606,Shotgun proteomics,CC BY,RAW,False,False,True,True,False
PXD044740,37669107.0,PMC10619440,1,Mus musculus (mouse),10090,Shotgun proteomics,CC BY,MZML;RAW,False,False,True,True,False
PXD044759,38377575.0,PMC10913102,1,Unclassified chromatiaceae,82569,Shotgun proteomics,CC BY,MGF;RAW,False,False,True,True,False
PXD039834,38109791.0,PMC10987295,1,Homo sapiens (human),9606,Shotgun proteomics,CC BY-NC,APL;RAW,False,False,True,True,False
PXD048335,38517968.0,PMC11093074,1,Homo sapiens (human),9606,Bottom-up proteomics,CC BY,RAW,False,False,True,True,False
PXD039835,38109791.0,PMC10987295,1,Homo sapiens (human),9606,Shotgun proteomics,CC BY-NC,APL;RAW,False,False,True,True,False
PXD038154,38295005.0,PMC10830048,1,Homo sapiens (human),9606,Shotgun proteomics,CC BY,RAW,False,False,True,True,False
PXD046592,38407600.0,PMC10896778,1,Pasteurella multocida subsp. multocida,44283,Shotgun proteomics,CC BY,RAW,False,False,True,True,False
PXD039836,38109791.0,PMC10987295,1,Homo sapiens (human),9606,Shotgun proteomics,CC BY-NC,APL;RAW,False,False,True,True,False
PXD039837,38109791.0,PMC10987295,1,Homo sapiens (human),9606,Shotgun proteomics,CC BY-NC,APL;RAW,False,False,True,True,False
PXD039838,38109791.0,PMC10987295,1,Homo sapiens (human),9606,Shotgun proteomics,CC BY-NC,APL;RAW,False,False,True,True,False
PXD040361,36872252.0,PMC9986085,1,Homo sapiens (human),9606,Shotgun proteomics,CC BY,RAW,False,False,True,True,False
PXD050812,38956386.0,PMC11219742,1,Lepeophtheirus salmonis salmonis,1504303,Bottom-up proteomics,CC BY,MZML;RAW,False,False,True,True,False
