source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[ms2 mass analyzer]	comment[ms1 scan range]	comment[collision energy]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD018357-Sample-11	Homo sapiens	colon	sars-cov-2 infection	epithelial cell	Caco-2, UKF-RC-2	not available	10	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT126	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Lys-C;AC=MS:1001309	1	1	NT=collision-induced dissociation;AC=MS:1000133	infection status (mock-infected, infected with SARS-CoV-2)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	6 ppm	orbitrap	350m/z-1400m/z	35 NCE	20200317_KKL_CoV2_24h_5v5_F11.raw	v1.1.0	HAMLET-agentic v0.1.0	sars-cov-2 infection
PXD018357-Sample-12	Homo sapiens	colon	sars-cov-2 infection	epithelial cell	Caco-2, UKF-RC-2	not available	10	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT127N	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Lys-C;AC=MS:1001309	1	1	NT=collision-induced dissociation;AC=MS:1000133	infection status (mock-infected, infected with SARS-CoV-2)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	6 ppm	orbitrap	350m/z-1400m/z	35 NCE	20200317_KKL_CoV2_24h_5v5_F11.raw	v1.1.0	HAMLET-agentic v0.1.0	sars-cov-2 infection
PXD018357-Sample-13	Homo sapiens	colon	sars-cov-2 infection	epithelial cell	Caco-2, UKF-RC-2	not available	10	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT127C	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Lys-C;AC=MS:1001309	1	1	NT=collision-induced dissociation;AC=MS:1000133	infection status (mock-infected, infected with SARS-CoV-2)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	6 ppm	orbitrap	350m/z-1400m/z	35 NCE	20200317_KKL_CoV2_24h_5v5_F11.raw	v1.1.0	HAMLET-agentic v0.1.0	sars-cov-2 infection
PXD018357-Sample-14	Homo sapiens	colon	sars-cov-2 infection	epithelial cell	Caco-2, UKF-RC-2	not available	10	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT128N	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Lys-C;AC=MS:1001309	1	1	NT=collision-induced dissociation;AC=MS:1000133	infection status (mock-infected, infected with SARS-CoV-2)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	6 ppm	orbitrap	350m/z-1400m/z	35 NCE	20200317_KKL_CoV2_24h_5v5_F11.raw	v1.1.0	HAMLET-agentic v0.1.0	sars-cov-2 infection
PXD018357-Sample-15	Homo sapiens	colon	sars-cov-2 infection	epithelial cell	Caco-2, UKF-RC-2	not available	10	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT128C	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Lys-C;AC=MS:1001309	1	1	NT=collision-induced dissociation;AC=MS:1000133	infection status (mock-infected, infected with SARS-CoV-2)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	6 ppm	orbitrap	350m/z-1400m/z	35 NCE	20200317_KKL_CoV2_24h_5v5_F11.raw	v1.1.0	HAMLET-agentic v0.1.0	sars-cov-2 infection
PXD018357-Sample-16	Homo sapiens	colon	sars-cov-2 infection	epithelial cell	Caco-2, UKF-RC-2	not available	10	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT129N	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Lys-C;AC=MS:1001309	1	1	NT=collision-induced dissociation;AC=MS:1000133	infection status (mock-infected, infected with SARS-CoV-2)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	6 ppm	orbitrap	350m/z-1400m/z	35 NCE	20200317_KKL_CoV2_24h_5v5_F11.raw	v1.1.0	HAMLET-agentic v0.1.0	sars-cov-2 infection
PXD018357-Sample-17	Homo sapiens	colon	sars-cov-2 infection	epithelial cell	Caco-2, UKF-RC-2	not available	10	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT129C	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Lys-C;AC=MS:1001309	1	1	NT=collision-induced dissociation;AC=MS:1000133	infection status (mock-infected, infected with SARS-CoV-2)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	6 ppm	orbitrap	350m/z-1400m/z	35 NCE	20200317_KKL_CoV2_24h_5v5_F11.raw	v1.1.0	HAMLET-agentic v0.1.0	sars-cov-2 infection
PXD018357-Sample-18	Homo sapiens	colon	sars-cov-2 infection	epithelial cell	Caco-2, UKF-RC-2	not available	10	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT130N	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Lys-C;AC=MS:1001309	1	1	NT=collision-induced dissociation;AC=MS:1000133	infection status (mock-infected, infected with SARS-CoV-2)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	6 ppm	orbitrap	350m/z-1400m/z	35 NCE	20200317_KKL_CoV2_24h_5v5_F11.raw	v1.1.0	HAMLET-agentic v0.1.0	sars-cov-2 infection
PXD018357-Sample-19	Homo sapiens	colon	sars-cov-2 infection	epithelial cell	Caco-2, UKF-RC-2	not available	10	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT130C	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Lys-C;AC=MS:1001309	1	1	NT=collision-induced dissociation;AC=MS:1000133	infection status (mock-infected, infected with SARS-CoV-2)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	6 ppm	orbitrap	350m/z-1400m/z	35 NCE	20200317_KKL_CoV2_24h_5v5_F11.raw	v1.1.0	HAMLET-agentic v0.1.0	sars-cov-2 infection
PXD018357-Sample-20	Homo sapiens	colon	sars-cov-2 infection	epithelial cell	Caco-2, UKF-RC-2	not available	10	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT131	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Lys-C;AC=MS:1001309	1	1	NT=collision-induced dissociation;AC=MS:1000133	infection status (mock-infected, infected with SARS-CoV-2)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	6 ppm	orbitrap	350m/z-1400m/z	35 NCE	20200317_KKL_CoV2_24h_5v5_F11.raw	v1.1.0	HAMLET-agentic v0.1.0	sars-cov-2 infection
PXD018357-Sample-21	Homo sapiens	colon	sars-cov-2 infection	epithelial cell	Caco-2, UKF-RC-2	not available	10	not available	not available	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT126	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Lys-C;AC=MS:1001309	1	1	NT=collision-induced dissociation;AC=MS:1000133	infection status (mock-infected, infected with SARS-CoV-2)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	6 ppm	orbitrap	350m/z-1400m/z	35 NCE	20200317_KKL_CoV2_24h_5v5_F12.raw	v1.1.0	HAMLET-agentic v0.1.0	sars-cov-2 infection
PXD018357-Sample-22	Homo sapiens	colon	sars-cov-2 infection	epithelial cell	Caco-2, UKF-RC-2	not available	10	not available	not available	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT127N	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Lys-C;AC=MS:1001309	1	1	NT=collision-induced dissociation;AC=MS:1000133	infection status (mock-infected, infected with SARS-CoV-2)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	6 ppm	orbitrap	350m/z-1400m/z	35 NCE	20200317_KKL_CoV2_24h_5v5_F12.raw	v1.1.0	HAMLET-agentic v0.1.0	sars-cov-2 infection
PXD018357-Sample-23	Homo sapiens	colon	sars-cov-2 infection	epithelial cell	Caco-2, UKF-RC-2	not available	10	not available	not available	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT127C	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Lys-C;AC=MS:1001309	1	1	NT=collision-induced dissociation;AC=MS:1000133	infection status (mock-infected, infected with SARS-CoV-2)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	6 ppm	orbitrap	350m/z-1400m/z	35 NCE	20200317_KKL_CoV2_24h_5v5_F12.raw	v1.1.0	HAMLET-agentic v0.1.0	sars-cov-2 infection
PXD018357-Sample-24	Homo sapiens	colon	sars-cov-2 infection	epithelial cell	Caco-2, UKF-RC-2	not available	10	not available	not available	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT128N	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Lys-C;AC=MS:1001309	1	1	NT=collision-induced dissociation;AC=MS:1000133	infection status (mock-infected, infected with SARS-CoV-2)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	6 ppm	orbitrap	350m/z-1400m/z	35 NCE	20200317_KKL_CoV2_24h_5v5_F12.raw	v1.1.0	HAMLET-agentic v0.1.0	sars-cov-2 infection
PXD018357-Sample-25	Homo sapiens	colon	sars-cov-2 infection	epithelial cell	Caco-2, UKF-RC-2	not available	10	not available	not available	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT128C	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Lys-C;AC=MS:1001309	1	1	NT=collision-induced dissociation;AC=MS:1000133	infection status (mock-infected, infected with SARS-CoV-2)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	6 ppm	orbitrap	350m/z-1400m/z	35 NCE	20200317_KKL_CoV2_24h_5v5_F12.raw	v1.1.0	HAMLET-agentic v0.1.0	sars-cov-2 infection
PXD018357-Sample-26	Homo sapiens	colon	sars-cov-2 infection	epithelial cell	Caco-2, UKF-RC-2	not available	10	not available	not available	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT129N	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Lys-C;AC=MS:1001309	1	1	NT=collision-induced dissociation;AC=MS:1000133	infection status (mock-infected, infected with SARS-CoV-2)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	6 ppm	orbitrap	350m/z-1400m/z	35 NCE	20200317_KKL_CoV2_24h_5v5_F12.raw	v1.1.0	HAMLET-agentic v0.1.0	sars-cov-2 infection
PXD018357-Sample-27	Homo sapiens	colon	sars-cov-2 infection	epithelial cell	Caco-2, UKF-RC-2	not available	10	not available	not available	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT129C	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Lys-C;AC=MS:1001309	1	1	NT=collision-induced dissociation;AC=MS:1000133	infection status (mock-infected, infected with SARS-CoV-2)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	6 ppm	orbitrap	350m/z-1400m/z	35 NCE	20200317_KKL_CoV2_24h_5v5_F12.raw	v1.1.0	HAMLET-agentic v0.1.0	sars-cov-2 infection
