source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	Characteristics[age]	assay name	characteristics[ancestry category]	Characteristics[sex]	characteristics[disease]	characteristics[biological replicate]	characteristics[technical replicate]	Characteristics[individual]	comment[fraction identifier]	comment[proteomexchange accession number]	comment[data file]	comment[file url]	comment[PTM]	comment[Donor]	comment[label]	comment[instrument]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	Factor Value[individual]	sampleChecksum	sampleAccession
PXD002029-Sample 2	homo sapiens	Human colon mucosa	not available	not available	run 11	not available	not available	Normal healthy	1	4	1	4	PXD002029	Colon_ParticipantA_sFFPE_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD002029/Colon_ParticipantA_sFFPE_2.raw	1	A	NT=label free sample	AC=MS:1001911;NT=Q Exactive	not available	not available	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-Term;MT=Variable	NT=deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=formylated residue;AC=PSI-MOD:00493;TA=N;MT=Variable	1	14f42ddccfaa47182a7d5d955c65684d92e6e9563e56701ea63b974dbbcd80b7	SAMEA7716049
PXD002029-Sample 3	homo sapiens	Human colon mucosa	not available	not available	run 12	not available	not available	Normal healthy	1	4	1	4	PXD002029	Colon_ParticipantA_sFFPE_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD002029/Colon_ParticipantA_sFFPE_3.raw	1	A	NT=label free sample	AC=MS:1001911;NT=Q Exactive	not available	not available	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-Term;MT=Variable	NT=deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=formylated residue;AC=PSI-MOD:00493;TA=N;MT=Variable	1	4adedebf0a9435c7767d4febdaffc48d72c65578ecb8a487d3a805030317aadc	SAMEA7716050
PXD002029-Sample 1	homo sapiens	Human colon mucosa	not available	not available	run 13	not available	not available	Normal healthy	1	5	2	1	PXD002029	Colon_ParticipantB_DF_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD002029/Colon_ParticipantB_DF_1.raw	1	B	NT=label free sample	AC=MS:1001911;NT=Q Exactive	not available	not available	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-Term;MT=Variable	NT=deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=formylated residue;AC=PSI-MOD:00493;TA=N;MT=Variable	2	8a87688a14f07f858b7bc41015bafb7362728489cf5da746d5360bac0c96b5df	SAMEA7716051
PXD002029-Sample 2	homo sapiens	Human colon mucosa	not available	not available	run 14	not available	not available	Normal healthy	1	5	2	1	PXD002029	Colon_ParticipantB_DF_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD002029/Colon_ParticipantB_DF_2.raw	1	B	NT=label free sample	AC=MS:1001911;NT=Q Exactive	not available	not available	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-Term;MT=Variable	NT=deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=formylated residue;AC=PSI-MOD:00493;TA=N;MT=Variable	2	1b911b3f888cef62392a48214c5ea0eeba1520da818a355720ef6d7aa4ec4815	SAMEA7716052
PXD002029-Sample 3	homo sapiens	Human colon mucosa	not available	not available	run 15	not available	not available	Normal healthy	1	5	2	1	PXD002029	Colon_ParticipantB_DF_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD002029/Colon_ParticipantB_DF_3.raw	1	B	NT=label free sample	AC=MS:1001911;NT=Q Exactive	not available	not available	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-Term;MT=Variable	NT=deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=formylated residue;AC=PSI-MOD:00493;TA=N;MT=Variable	2	b4a5a1a8171480b27c1e69cd423b2cec7c17e9cde39e313bb5fb17240d09eeaa	SAMEA7716053
PXD002029-Sample 1	homo sapiens	Human colon mucosa	not available	not available	run 16	not available	not available	Normal healthy	1	6	2	2	PXD002029	Colon_ParticipantB_RNAlater_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD002029/Colon_ParticipantB_RNAlater_1.raw	1	B	NT=label free sample	AC=MS:1001911;NT=Q Exactive	not available	not available	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-Term;MT=Variable	NT=deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=formylated residue;AC=PSI-MOD:00493;TA=N;MT=Variable	2	0fa2309c9bb3faea611220d6aa5ed244612b1acb1edf7bc3d42c3cbcfdc421fc	SAMEA7716054
PXD002029-Sample 2	homo sapiens	Human colon mucosa	not available	not available	run 17	not available	not available	Normal healthy	1	6	2	2	PXD002029	Colon_ParticipantB_RNAlater_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD002029/Colon_ParticipantB_RNAlater_2.raw	1	B	NT=label free sample	AC=MS:1001911;NT=Q Exactive	not available	not available	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-Term;MT=Variable	NT=deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=formylated residue;AC=PSI-MOD:00493;TA=N;MT=Variable	2	c95c3d57db817ce7f28d68376792cda3f1799a283d8a052a4aa0d94bf52ade56	SAMEA7716055
PXD002029-Sample 3	homo sapiens	Human colon mucosa	not available	not available	run 18	not available	not available	Normal healthy	1	6	2	2	PXD002029	Colon_ParticipantB_RNAlater_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD002029/Colon_ParticipantB_RNAlater_3.raw	1	B	NT=label free sample	AC=MS:1001911;NT=Q Exactive	not available	not available	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-Term;MT=Variable	NT=deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=formylated residue;AC=PSI-MOD:00493;TA=N;MT=Variable	2	e17a9b1efd36b421cdaf36645ddcee97cd931872817625014bccd97de21ced12	SAMEA7716056
PXD002029-Sample 1	homo sapiens	Human colon mucosa	not available	not available	run 19	not available	not available	Normal healthy	1	7	2	3	PXD002029	Colon_ParticipantB_iFFPE_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD002029/Colon_ParticipantB_iFFPE_1.raw	1	B	NT=label free sample	AC=MS:1001911;NT=Q Exactive	not available	not available	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-Term;MT=Variable	NT=deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=formylated residue;AC=PSI-MOD:00493;TA=N;MT=Variable	2	cee380958dadb89e8dade3400db32468d429a984898e32f0629e2abde4758874	SAMEA7716057
PXD002029-Sample 2	homo sapiens	Human colon mucosa	not available	not available	run 20	not available	not available	Normal healthy	1	7	2	3	PXD002029	Colon_ParticipantB_iFFPE_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD002029/Colon_ParticipantB_iFFPE_2.raw	1	B	NT=label free sample	AC=MS:1001911;NT=Q Exactive	not available	not available	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-Term;MT=Variable	NT=deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=formylated residue;AC=PSI-MOD:00493;TA=N;MT=Variable	2	a9601b39aee23a7b996e6559e931caa92a59ef22da6a52daac7b548523bad109	SAMEA7716058
PXD002029-Sample 3	homo sapiens	Human colon mucosa	not available	not available	run 21	not available	not available	Normal healthy	1	7	2	3	PXD002029	Colon_ParticipantB_iFFPE_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD002029/Colon_ParticipantB_iFFPE_3.raw	1	B	NT=label free sample	AC=MS:1001911;NT=Q Exactive	not available	not available	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-Term;MT=Variable	NT=deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=formylated residue;AC=PSI-MOD:00493;TA=N;MT=Variable	2	92133376c603b8aba4aa76ec9e241924b697b165cd6cc2d0c905dd367881525c	SAMEA7716059
PXD002029-Sample 1	homo sapiens	Human colon mucosa	not available	not available	run 22	not available	not available	Normal healthy	1	8	2	4	PXD002029	Colon_ParticipantB_sFFPE_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD002029/Colon_ParticipantB_sFFPE_1.raw	1	B	NT=label free sample	AC=MS:1001911;NT=Q Exactive	not available	not available	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-Term;MT=Variable	NT=deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=formylated residue;AC=PSI-MOD:00493;TA=N;MT=Variable	2	228ed8c21e4f81ae49417689896dcc58c3e3ebab0a76f72cdb4f3eb1cba0656d	SAMEA7716060
PXD002029-Sample 2	homo sapiens	Human colon mucosa	not available	not available	run 23	not available	not available	Normal healthy	1	8	2	4	PXD002029	Colon_ParticipantB_sFFPE_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD002029/Colon_ParticipantB_sFFPE_2.raw	1	B	NT=label free sample	AC=MS:1001911;NT=Q Exactive	not available	not available	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-Term;MT=Variable	NT=deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=formylated residue;AC=PSI-MOD:00493;TA=N;MT=Variable	2	10f48832b261141f272148770ab8f5fae24283d0df74c1af02f21607a893b8ce	SAMEA7716061
PXD002029-Sample 3	homo sapiens	Human colon mucosa	not available	not available	run 24	not available	not available	Normal healthy	1	8	2	4	PXD002029	Colon_ParticipantB_sFFPE_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD002029/Colon_ParticipantB_sFFPE_3.raw	1	B	NT=label free sample	AC=MS:1001911;NT=Q Exactive	not available	not available	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-Term;MT=Variable	NT=deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=formylated residue;AC=PSI-MOD:00493;TA=N;MT=Variable	2	71c43f4100209ab73bc339c604a4c23b76b232f56c604f5d5c3535044608feef	SAMEA7716062
