source name	characteristics[organism]	characteristics[organism part]	characteristics[anatomycal cluster]	characteristics[individual]	characteristics[cell type]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[disease]	characteristics[developmental stage]	characteristics[depletion]	assay name	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[fractionation method]	comment[label]	comment[technical replicate]	comment[cleavage agent details]	comment[MS2 mass analyzer]	comment[instrument]	comment[separation]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	sampleChecksum	sampleAccession
PXD005445-mixed_0 brain	Homo sapiens	brain	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	uninfected	not available	no depletion	qep15-3146	QEp15-3146.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/01/PXD005445/QEp15-3146.raw	11	AC=PRIDE:0000564; NT=High-pH reversed-phase chromatography	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1000484; NT=Orbitrap	AC=MS:1002634; NT=Q Exactive Plus	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	28 NCE	not available	not available	a3e0d16d9f2d8c677f6034f36a71f595cd7fb18e3bee82c8b2fd93357dd9afe5	SAMEA7710320
PXD005445-mixed_0 brain	Homo sapiens	brain	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	uninfected	not available	no depletion	qep15-3147	QEp15-3147.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/01/PXD005445/QEp15-3147.raw	12	AC=PRIDE:0000564; NT=High-pH reversed-phase chromatography	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1000484; NT=Orbitrap	AC=MS:1002634; NT=Q Exactive Plus	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	28 NCE	not available	not available	a3e0d16d9f2d8c677f6034f36a71f595cd7fb18e3bee82c8b2fd93357dd9afe5	SAMEA7710320
PXD005445-mixed_0 brain	Homo sapiens	brain	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	uninfected	not available	no depletion	qep15-3148	QEp15-3148.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/01/PXD005445/QEp15-3148.raw	13	AC=PRIDE:0000564; NT=High-pH reversed-phase chromatography	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1000484; NT=Orbitrap	AC=MS:1002634; NT=Q Exactive Plus	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	28 NCE	not available	not available	a3e0d16d9f2d8c677f6034f36a71f595cd7fb18e3bee82c8b2fd93357dd9afe5	SAMEA7710320
PXD005445-mixed_0 brain	Homo sapiens	brain	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	uninfected	not available	no depletion	qep15-3149	QEp15-3149.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/01/PXD005445/QEp15-3149.raw	14	AC=PRIDE:0000564; NT=High-pH reversed-phase chromatography	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1000484; NT=Orbitrap	AC=MS:1002634; NT=Q Exactive Plus	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	28 NCE	not available	not available	a3e0d16d9f2d8c677f6034f36a71f595cd7fb18e3bee82c8b2fd93357dd9afe5	SAMEA7710320
PXD005445-mixed_0 brain	Homo sapiens	brain	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	uninfected	not available	no depletion	qep15-3150	QEp15-3150.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/01/PXD005445/QEp15-3150.raw	15	AC=PRIDE:0000564; NT=High-pH reversed-phase chromatography	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1000484; NT=Orbitrap	AC=MS:1002634; NT=Q Exactive Plus	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	28 NCE	not available	not available	a3e0d16d9f2d8c677f6034f36a71f595cd7fb18e3bee82c8b2fd93357dd9afe5	SAMEA7710320
PXD005445-mixed_1 brain	Homo sapiens	brain	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	uninfected	not available	no depletion	qep15-3538	QEp15-3538.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/01/PXD005445/QEp15-3538.raw	1	AC=PRIDE:0000564; NT=High-pH reversed-phase chromatography	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1000484; NT=Orbitrap	AC=MS:1002634; NT=Q Exactive Plus	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	28 NCE	not available	not available	95a38ee2340abb1372e3f9443662ba24f42e6371f751448b6e76dd356a7f32a9	SAMEA7710321
PXD005445-mixed_1 brain	Homo sapiens	brain	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	uninfected	not available	no depletion	qep15-3539	QEp15-3539.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/01/PXD005445/QEp15-3539.raw	2	AC=PRIDE:0000564; NT=High-pH reversed-phase chromatography	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1000484; NT=Orbitrap	AC=MS:1002634; NT=Q Exactive Plus	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	28 NCE	not available	not available	95a38ee2340abb1372e3f9443662ba24f42e6371f751448b6e76dd356a7f32a9	SAMEA7710321
PXD005445-mixed_1 brain	Homo sapiens	brain	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	uninfected	not available	no depletion	qep15-3540	QEp15-3540.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/01/PXD005445/QEp15-3540.raw	3	AC=PRIDE:0000564; NT=High-pH reversed-phase chromatography	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1000484; NT=Orbitrap	AC=MS:1002634; NT=Q Exactive Plus	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	28 NCE	not available	not available	95a38ee2340abb1372e3f9443662ba24f42e6371f751448b6e76dd356a7f32a9	SAMEA7710321
PXD005445-mixed_1 brain	Homo sapiens	brain	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	uninfected	not available	no depletion	qep15-3541	QEp15-3541.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/01/PXD005445/QEp15-3541.raw	4	AC=PRIDE:0000564; NT=High-pH reversed-phase chromatography	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1000484; NT=Orbitrap	AC=MS:1002634; NT=Q Exactive Plus	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	28 NCE	not available	not available	95a38ee2340abb1372e3f9443662ba24f42e6371f751448b6e76dd356a7f32a9	SAMEA7710321
PXD005445-mixed_1 brain	Homo sapiens	brain	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	uninfected	not available	no depletion	qep15-3542	QEp15-3542.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/01/PXD005445/QEp15-3542.raw	5	AC=PRIDE:0000564; NT=High-pH reversed-phase chromatography	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1000484; NT=Orbitrap	AC=MS:1002634; NT=Q Exactive Plus	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	28 NCE	not available	not available	95a38ee2340abb1372e3f9443662ba24f42e6371f751448b6e76dd356a7f32a9	SAMEA7710321
PXD005445-mixed_1 brain	Homo sapiens	brain	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	uninfected	not available	no depletion	qep15-3543	QEp15-3543.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/01/PXD005445/QEp15-3543.raw	6	AC=PRIDE:0000564; NT=High-pH reversed-phase chromatography	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1000484; NT=Orbitrap	AC=MS:1002634; NT=Q Exactive Plus	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	28 NCE	not available	not available	95a38ee2340abb1372e3f9443662ba24f42e6371f751448b6e76dd356a7f32a9	SAMEA7710321
PXD005445-mixed_1 brain	Homo sapiens	brain	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	uninfected	not available	no depletion	qep15-3544	QEp15-3544.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/01/PXD005445/QEp15-3544.raw	7	AC=PRIDE:0000564; NT=High-pH reversed-phase chromatography	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1000484; NT=Orbitrap	AC=MS:1002634; NT=Q Exactive Plus	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	28 NCE	not available	not available	95a38ee2340abb1372e3f9443662ba24f42e6371f751448b6e76dd356a7f32a9	SAMEA7710321
PXD005445-mixed_1 brain	Homo sapiens	brain	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	uninfected	not available	no depletion	qep15-3545	QEp15-3545.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/01/PXD005445/QEp15-3545.raw	8	AC=PRIDE:0000564; NT=High-pH reversed-phase chromatography	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1000484; NT=Orbitrap	AC=MS:1002634; NT=Q Exactive Plus	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	28 NCE	not available	not available	95a38ee2340abb1372e3f9443662ba24f42e6371f751448b6e76dd356a7f32a9	SAMEA7710321
PXD005445-mixed_1 brain	Homo sapiens	brain	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	uninfected	not available	no depletion	qep15-3546	QEp15-3546.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/01/PXD005445/QEp15-3546.raw	9	AC=PRIDE:0000564; NT=High-pH reversed-phase chromatography	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1000484; NT=Orbitrap	AC=MS:1002634; NT=Q Exactive Plus	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	28 NCE	not available	not available	95a38ee2340abb1372e3f9443662ba24f42e6371f751448b6e76dd356a7f32a9	SAMEA7710321
PXD005445-mixed_1 brain	Homo sapiens	brain	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	uninfected	not available	no depletion	qep15-3547	QEp15-3547.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/01/PXD005445/QEp15-3547.raw	10	AC=PRIDE:0000564; NT=High-pH reversed-phase chromatography	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1000484; NT=Orbitrap	AC=MS:1002634; NT=Q Exactive Plus	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	28 NCE	not available	not available	95a38ee2340abb1372e3f9443662ba24f42e6371f751448b6e76dd356a7f32a9	SAMEA7710321
PXD005445-mixed_1 brain	Homo sapiens	brain	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	uninfected	not available	no depletion	qep15-3548	QEp15-3548.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/01/PXD005445/QEp15-3548.raw	11	AC=PRIDE:0000564; NT=High-pH reversed-phase chromatography	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1000484; NT=Orbitrap	AC=MS:1002634; NT=Q Exactive Plus	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	28 NCE	not available	not available	95a38ee2340abb1372e3f9443662ba24f42e6371f751448b6e76dd356a7f32a9	SAMEA7710321
PXD005445-mixed_1 brain	Homo sapiens	brain	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	uninfected	not available	no depletion	qep15-3549	QEp15-3549.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/01/PXD005445/QEp15-3549.raw	12	AC=PRIDE:0000564; NT=High-pH reversed-phase chromatography	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1000484; NT=Orbitrap	AC=MS:1002634; NT=Q Exactive Plus	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	28 NCE	not available	not available	95a38ee2340abb1372e3f9443662ba24f42e6371f751448b6e76dd356a7f32a9	SAMEA7710321
