domain,category,value,fraction
isolation_window_full_width,55,2134.0,8.39221253014747e-05
isolation_window_full_width,78,2132.0,8.384347288788382e-05
isolation_window_full_width,311,2132.0,8.384347288788382e-05
fragmentation_channel_spectra,cid,1360215.0,0.053490783736338414
fragmentation_channel_spectra,hcd,24068745.0,0.9465092162636616
fragmentation_channel_spectra,etd,0.0,0.0
fragmentation_channel_spectra,qtof,0.0,0.0
roi_quant_signature_pxds,itraq8,8.0,0.026755852842809364
roi_quant_signature_pxds,itraq4,5.0,0.016722408026755852
roi_quant_signature_pxds,tmt,9.0,0.030100334448160536
roi_quant_signature_pxds,tmtpro,3.0,0.010033444816053512
roi_quant_signature_pxds,itraq,3.0,0.010033444816053512
recommended_precursor_tolerance_ppm,count,604.0,
recommended_precursor_tolerance_ppm,mean,12.066225165562914,
recommended_precursor_tolerance_ppm,median,6.0,
recommended_precursor_tolerance_ppm,p95,8.0,
recommended_fragment_tolerance_ppm,count,609.0,
recommended_fragment_tolerance_ppm,mean,9.336812807881772,
recommended_fragment_tolerance_ppm,median,9.0,
recommended_fragment_tolerance_ppm,p95,15.0,
phosphoric_to_water_intensity_ratio,count,612.0,
phosphoric_to_water_intensity_ratio,mean,2638180644180.637,
phosphoric_to_water_intensity_ratio,median,0.01720500604571323,
phosphoric_to_water_intensity_ratio,p95,2.5446161153741307,
dynamic_exclusion_decay_constant,count,607.0,
dynamic_exclusion_decay_constant,mean,1.486387717220785,
dynamic_exclusion_decay_constant,median,1.0,
dynamic_exclusion_decay_constant,p95,3.9239395876634924,
dynamic_exclusion_pulse_start,count,607.0,
dynamic_exclusion_pulse_start,mean,29.052965411404116,
dynamic_exclusion_pulse_start,median,30.524112702738083,
dynamic_exclusion_pulse_start,p95,61.051716198182234,
