source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD013753-Sample-11	Homo sapiens	superior temporal gyrus, primary visual cortex	alzheimer’s disease, control	synaptoneurosome	not available	not available	not available	run 11	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	disease status, APOE genotype (3/3 or 3/4) and brain region (BA41/42 or BA17)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	6 ppm	10 ppm	dithiothreitol	orbitrap	TW-19.raw	v1.1.0	HAMLET-agentic v2.1.0	alzheimer’s disease, control
PXD013753-Sample-12	Homo sapiens	superior temporal gyrus, primary visual cortex	alzheimer’s disease, control	synaptoneurosome	not available	not available	not available	run 12	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	disease status, APOE genotype (3/3 or 3/4) and brain region (BA41/42 or BA17)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	6 ppm	10 ppm	dithiothreitol	orbitrap	TW-2.raw	v1.1.0	HAMLET-agentic v2.1.0	alzheimer’s disease, control
PXD013753-Sample-13	Homo sapiens	superior temporal gyrus, primary visual cortex	alzheimer’s disease, control	synaptoneurosome	not available	not available	not available	run 13	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	disease status, APOE genotype (3/3 or 3/4) and brain region (BA41/42 or BA17)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	6 ppm	10 ppm	dithiothreitol	orbitrap	TW-20.raw	v1.1.0	HAMLET-agentic v2.1.0	alzheimer’s disease, control
PXD013753-Sample-14	Homo sapiens	superior temporal gyrus, primary visual cortex	alzheimer’s disease, control	synaptoneurosome	not available	not available	not available	run 14	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	disease status, APOE genotype (3/3 or 3/4) and brain region (BA41/42 or BA17)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	6 ppm	10 ppm	dithiothreitol	orbitrap	TW-3.raw	v1.1.0	HAMLET-agentic v2.1.0	alzheimer’s disease, control
PXD013753-Sample-15	Homo sapiens	superior temporal gyrus, primary visual cortex	alzheimer’s disease, control	synaptoneurosome	not available	not available	not available	run 15	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	disease status, APOE genotype (3/3 or 3/4) and brain region (BA41/42 or BA17)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	6 ppm	10 ppm	dithiothreitol	orbitrap	TW-4.raw	v1.1.0	HAMLET-agentic v2.1.0	alzheimer’s disease, control
PXD013753-Sample-16	Homo sapiens	superior temporal gyrus, primary visual cortex	alzheimer’s disease, control	synaptoneurosome	not available	not available	not available	run 16	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	disease status, APOE genotype (3/3 or 3/4) and brain region (BA41/42 or BA17)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	6 ppm	10 ppm	dithiothreitol	orbitrap	TW-5.raw	v1.1.0	HAMLET-agentic v2.1.0	alzheimer’s disease, control
PXD013753-Sample-17	Homo sapiens	superior temporal gyrus, primary visual cortex	alzheimer’s disease, control	synaptoneurosome	not available	not available	not available	run 17	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	disease status, APOE genotype (3/3 or 3/4) and brain region (BA41/42 or BA17)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	6 ppm	10 ppm	dithiothreitol	orbitrap	TW-6.raw	v1.1.0	HAMLET-agentic v2.1.0	alzheimer’s disease, control
PXD013753-Sample-18	Homo sapiens	superior temporal gyrus, primary visual cortex	alzheimer’s disease, control	synaptoneurosome	not available	not available	not available	run 18	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	disease status, APOE genotype (3/3 or 3/4) and brain region (BA41/42 or BA17)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	6 ppm	10 ppm	dithiothreitol	orbitrap	TW-7.raw	v1.1.0	HAMLET-agentic v2.1.0	alzheimer’s disease, control
PXD013753-Sample-19	Homo sapiens	superior temporal gyrus, primary visual cortex	alzheimer’s disease, control	synaptoneurosome	not available	not available	not available	run 19	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	disease status, APOE genotype (3/3 or 3/4) and brain region (BA41/42 or BA17)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	6 ppm	10 ppm	dithiothreitol	orbitrap	TW-8.raw	v1.1.0	HAMLET-agentic v2.1.0	alzheimer’s disease, control
PXD013753-Sample-20	Homo sapiens	superior temporal gyrus, primary visual cortex	alzheimer’s disease, control	synaptoneurosome	not available	not available	not available	run 20	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	disease status, APOE genotype (3/3 or 3/4) and brain region (BA41/42 or BA17)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	6 ppm	10 ppm	dithiothreitol	orbitrap	TW-9.raw	v1.1.0	HAMLET-agentic v2.1.0	alzheimer’s disease, control
