species	search	file																					
Corallochytrium limacisporum	Corallo_all.pdResult	C:\cchiva\ASIR\data\150527_S_ASIR_31_01_Corallo2_CID.raw																					
Corallochytrium limacisporum	Corallo_all.pdResult	C:\cchiva\ASIR\data\150527_S_ASIR_31_01_Corallo2_HCD.raw																					
Creolimax fragantissima	Creo_all.pdResult	B:\data\orbitrap_fusion\Raw\1601\ASIR\150527_S_ASIR_09_03_Creolimax.raw																					
Creolimax fragantissima	Creo_all.pdResult	B:\data\orbitrap_fusion\Raw\1601\ASIR\150527_S_ASIR_09_04_Creolimax.raw																					
Creolimax fragantissima	Creo_all.pdResult	C:\cchiva\ASIR\data\150527_S_ASIR_09_01_Creo1_CID.raw																					
Creolimax fragantissima	Creo_all.pdResult	C:\cchiva\ASIR\data\150527_S_ASIR_09_01_Creo1_HCD.raw																					
Creolimax fragantissima	Creo_all.pdResult	C:\cchiva\ASIR\data\150527_S_ASIR_28_01_Creo1_CID.raw																					
Creolimax fragantissima	Creo_all.pdResult	C:\cchiva\ASIR\data\150527_S_ASIR_28_01_Creo1_HCD.raw																					
Creolimax fragantissima	Creo_all.pdResult	C:\cchiva\ASIR\data\150527_S_ASIR_29_01_Creo2_CID.raw																					
Creolimax fragantissima	Creo_all.pdResult	C:\cchiva\ASIR\data\150527_S_ASIR_29_01_Creo2_HCD.raw																					
Dictyostelium discoideum	Dicty_all.pdResult	A:\cchiva\Projects\Histones_Arnau\All_results\raw files\Lumos\150527_S_ASIR_03_01_Dicty1_CID.raw																					
Dictyostelium discoideum	Dicty_all.pdResult	A:\cchiva\Projects\Histones_Arnau\All_results\raw files\Lumos\150527_S_ASIR_03_01_Dicty1_HCD.raw																					
Dictyostelium discoideum	Dicty_all.pdResult	C:\cchiva\ASIR\data\150527_S_ASIR_03_01_Dicty1_CID.raw																					
Dictyostelium discoideum	Dicty_all.pdResult	C:\cchiva\ASIR\data\150527_S_ASIR_03_01_Dicty1_HCD.raw																					
Emiliania huxleyi	161220_ASIR_01_Emiliana_SECOND.pdResult	A:\data\orbitrap_fusion\Raw\1703\ASIR\161220_S_ASIR_01_01_2ug_CID_IT.raw																					
Emiliania huxleyi	161220_ASIR_01_Emiliana_SECOND.pdResult	A:\data\orbitrap_fusion\Raw\1703\ASIR\161220_S_ASIR_01_01_2ug_HCD_IT.raw																					
Fabomonas tropica	Fabomonas-me2-ac.pdResult	A:\users\Arnau Sebe\Cristina Navarrete\2021MH000\raw\2021MH000_CRNA_002_01.raw																					
Fabomonas tropica	Fabomonas-me2-ac.pdResult	A:\users\Arnau Sebe\Cristina Navarrete\2021MH000\raw\2021MH000_CRNA_002_02.raw																					
Fabomonas tropica	Fabomonas-me2-ac.pdResult	A:\users\Arnau Sebe\Cristina Navarrete\2021MH000\raw\2021MH000_CRNA_003_01.raw																					
Fabomonas tropica	Fabomonas-me2-ac.pdResult	A:\users\Arnau Sebe\Cristina Navarrete\2021MH000\raw\2021MH000_CRNA_003_02.raw																					
Fabomonas tropica	Fabomonas-me2-ac.pdResult	A:\users\Arnau Sebe\Cristina Navarrete\2021MH000\raw\2021MH000_CRNA_004_01.raw																					
Fabomonas tropica	Fabomonas-me2-ac.pdResult	A:\users\Arnau Sebe\Cristina Navarrete\2021MH000\raw\2021MH000_CRNA_004_02.raw																					
Gefionella okellyi	Gefoke-allfiles-allmod.pdResult	Z:\data\orbitrap_eclipse1\Raw\2103\CRNA\2021MZ001_CRNA_001_01_45pto.raw																					
Gefionella okellyi	Gefoke-allfiles-allmod.pdResult	Z:\data\orbitrap_eclipse1\Raw\2103\CRNA\2021MZ001_CRNA_002_01_45pto.raw																					
Gefionella okellyi	Gefoke-allfiles-allmod.pdResult	Z:\data\orbitrap_eclipse1\Raw\2102\CRNA\2021MH000_CRNA_008_01.raw																					
Guillardia Theta	161220_ASIR_03_Guillardia_SECOND.pdResult	A:\data\orbitrap_fusion\Raw\1703\ASIR\161220_S_ASIR_03_01_2ug_CID_IT.raw																					
Guillardia Theta	161220_ASIR_03_Guillardia_SECOND.pdResult	A:\data\orbitrap_fusion\Raw\1703\ASIR\161220_S_ASIR_03_01_2ug_HCD_IT.raw																					
Homo sapiens	Homo_all.pdResult	B:\data\orbitrap_fusion\Raw\1601\ASIR\150527_S_ASIR_06_03_HCD_Homo.raw																					
Homo sapiens	Homo_all.pdResult	B:\data\orbitrap_fusion\Raw\1601\ASIR\150527_S_ASIR_06_04_CID_Homo.raw																					
Homo sapiens	Homo_all.pdResult	C:\cchiva\ASIR\data\150527_S_ASIR_06_01_Human_CID.raw																					
Homo sapiens	Homo_all.pdResult	C:\cchiva\ASIR\data\150527_S_ASIR_06_01_Human_HCD.raw																					
Homo sapiens	Homo_all.pdResult	Z:\data\orbitrap_fusion\Raw\1603\Histone\160308_S_Histone_Human_PIC_01_01_2ug_HCD.raw																					
Homo sapiens	Homo_all.pdResult	Z:\data\orbitrap_fusion\Raw\1603\Histone\160308_S_Histone_Human_PIC_01_02_2ug_CID.raw																					
Methanobrevibacter cuticularis	2021MZ002_CRNA_Methanobrevibacter-me-ac.pdResult	Z:\data\orbitrap_eclipse1\Raw\2109\CRNA\2021MZ002_CRNA_003_01_45pto.raw																					
Methanobrevibacter cuticularis	2021MZ002_CRNA_Methanobrevibacter-me-ac.pdResult	Z:\data\orbitrap_eclipse1\Raw\2109\CRNA\2021MZ002_CRNA_004_01_45pto.raw																					
Methanosarcina spelaei	2020MH001_CRNA_Methanosarcina-me-ac.pdResult	Z:\data\orbitrap_lumos1\Raw\2010\CRNA\2020MH001_CRNA_003_02_20pto.raw																					
Methanosarcina spelaei	2020MH001_CRNA_Methanosarcina-me-ac.pdResult	Z:\data\orbitrap_lumos1\Raw\2010\CRNA\2020MH001_CRNA_004_02_20pto.raw																					
Methanospirillum stamsii	2020MH001-CRNA-Methanospirillum-me-ac.pdResult	Z:\data\orbitrap_lumos1\Raw\2010\CRNA\2020MH001_CRNA_001_02_20pto.raw																					
Methanospirillum stamsii	2020MH001-CRNA-Methanospirillum-me-ac.pdResult	Z:\data\orbitrap_lumos1\Raw\2010\CRNA\2020MH001_CRNA_002_02_20pto.raw																					
Naegleria gruberi	Naegleria_all.pdResult	B:\data\orbitrap_fusion\Raw\1509\ASIR\150527_S_ASIR_25_01_Naegleria_CID.raw																					
Naegleria gruberi	Naegleria_all.pdResult	B:\data\orbitrap_fusion\Raw\1509\ASIR\150527_S_ASIR_25_01_Naegleria_HCD.raw																					
Naegleria gruberi	Naegleria_all.pdResult	Z:\data\orbitrap_fusion\Raw\1507\ASIR\150625_S_ASIR_02_02_Naeg2_CID_Fusion.raw																					
Naegleria gruberi	Naegleria_all.pdResult	Z:\data\orbitrap_fusion\Raw\1507\ASIR\150625_S_ASIR_02_03_Naeg2_HCD_Fusion.raw																					
Naegleria gruberi	Naegleria_all.pdResult	Z:\data\orbitrap_velos\Raw\1506\ASIR\150625_S_ASIR_02_01_Naeg_2_PIC_CID.raw																					
Naegleria gruberi	Naegleria_all.pdResult	Z:\data\orbitrap_velos\Raw\1506\ASIR\150625_S_ASIR_02_02_Naeg_2_PIC_HCD.raw																					
Nitrososphaera viennensi	2021MZ002_CRNA_Nitrososphaera-me-ac.pdResult	Z:\data\orbitrap_eclipse1\Raw\2109\CRNA\2021MZ002_CRNA_005_01_45pto.raw																					
Physcomitrella patens	Physco_all.pdResult	B:\data\orbitrap_fusion\Raw\1601\ASIR\150527_S_ASIR_11_03_HCD_Physcomitrella.raw																					
Physcomitrella patens	Physco_all.pdResult	B:\data\orbitrap_fusion\Raw\1601\ASIR\150527_S_ASIR_11_04_CID_Physcomitrella.raw																					
Physcomitrella patens	Physco_all.pdResult	B:\data\orbitrap_fusion\Raw\1601\ASIR\150527_S_ASIR_11_03_HCD_Physcomitrella.raw																					
Physcomitrella patens	Physco_all.pdResult	B:\data\orbitrap_fusion\Raw\1601\ASIR\150527_S_ASIR_11_04_CID_Physcomitrella.raw																					
Physcomitrella patens	Physco_all.pdResult	A:\data\orbitrap_fusion\Raw\1605\Histones\160427_S_Histones_01_01_physco_green_CID.raw																					
Physcomitrella patens	Physco_all.pdResult	A:\data\orbitrap_fusion\Raw\1605\Histones\160427_S_Histones_01_02_physco_green_HCD.raw																					
Physcomitrella patens	Physco_all.pdResult	A:\data\orbitrap_fusion\Raw\1605\Histones\160427_S_Histones_02_01_physco_CID.raw																					
Physcomitrella patens	Physco_all.pdResult	A:\data\orbitrap_fusion\Raw\1605\Histones\160427_S_Histones_02_02_physco_HCD.raw																					
Physcomitrella patens	Physco_all.pdResult	B:\data\orbitrap_fusion\Raw\1509\ASIR\150527_S_ASIR_12_01_PhyscoIV_CID.raw																					
Physcomitrella patens	Physco_all.pdResult	B:\data\orbitrap_fusion\Raw\1509\ASIR\150527_S_ASIR_12_01_PhyscoIV_HCD.raw																					
Physcomitrella patens	Physco_all.pdResult	Z:\data\orbitrap_fusion\Raw\1509\ASIR\150527_S_ASIR_36_01_Physco3_old_CID.raw																					
Physcomitrella patens	Physco_all.pdResult	Z:\data\orbitrap_fusion\Raw\1509\ASIR\150527_S_ASIR_36_01_Physco3_old_HCD.raw																					
Phytophtora infestans	Phyto_all.pdResult	B:\data\orbitrap_fusion\Raw\1601\ASIR\150527_S_ASIR_14_03_HCD_Phytophtora.raw																					
Phytophtora infestans	Phyto_all.pdResult	B:\data\orbitrap_fusion\Raw\1601\ASIR\150527_S_ASIR_14_04_CID_Phytophtora.raw																					
Phytophtora infestans	Phyto_all.pdResult	Z:\data\orbitrap_fusion\Raw\1509\ASIR\150527_S_ASIR_13_01_Phyto1_CID.raw																					
Phytophtora infestans	Phyto_all.pdResult	Z:\data\orbitrap_fusion\Raw\1509\ASIR\150527_S_ASIR_13_01_Phyto1_HCD.raw																					
Phytophtora infestans	Phyto_all.pdResult	Z:\data\orbitrap_fusion\Raw\1509\ASIR\150527_S_ASIR_14_01_Phyto2_CID.raw																					
Phytophtora infestans	Phyto_all.pdResult	Z:\data\orbitrap_fusion\Raw\1509\ASIR\150527_S_ASIR_14_01_Phyto2_HCD.raw																					
Phytophtora infestans	Phyto_all.pdResult	Z:\data\orbitrap_fusion\Raw\1509\ASIR\150527_S_ASIR_15_01_Phyto3_CID.raw																					
Phytophtora infestans	Phyto_all.pdResult	Z:\data\orbitrap_fusion\Raw\1509\ASIR\150527_S_ASIR_15_01_Phyto3_HCD.raw																					
Phytophtora infestans	Phyto_all.pdResult	Z:\data\orbitrap_fusion\Raw\1509\ASIR\150527_S_ASIR_16_01_Phyto4_CID.raw																					
Phytophtora infestans	Phyto_all.pdResult	Z:\data\orbitrap_fusion\Raw\1509\ASIR\150527_S_ASIR_16_01_Phyto4_HCD.raw																					
Spizellomyces punctatus	Spizello_all.pdResult	B:\data\orbitrap_fusion\Raw\1601\ASIR\150527_S_ASIR_26_03_HCD_Spizellomyces.raw																					
Spizellomyces punctatus	Spizello_all.pdResult	B:\data\orbitrap_fusion\Raw\1601\ASIR\150527_S_ASIR_26_04_CID_Spizellomyces.raw																					
Spizellomyces punctatus	Spizello_all.pdResult	C:\cchiva\ASIR\data\150527_S_ASIR_10_01_Spizello1_CID.raw																					
Spizellomyces punctatus	Spizello_all.pdResult	C:\cchiva\ASIR\data\150527_S_ASIR_10_01_Spizello1_HCD.raw																					
Spizellomyces punctatus	Spizello_all.pdResult	Z:\data\orbitrap_fusion\Raw\1509\ASIR\150527_S_ASIR_26_01_Spizello1_CID.raw																					
Spizellomyces punctatus	Spizello_all.pdResult	Z:\data\orbitrap_fusion\Raw\1509\ASIR\150527_S_ASIR_26_01_Spizello1_HCD.raw																					
Spizellomyces punctatus	Spizello_all.pdResult	Z:\data\orbitrap_fusion\Raw\1509\ASIR\150527_S_ASIR_27_01_Spizello2_CID.raw																					
Spizellomyces punctatus	Spizello_all.pdResult	Z:\data\orbitrap_fusion\Raw\1509\ASIR\150527_S_ASIR_27_01_Spizello2_HCD.raw																					
Sycon ciliatum	Sycon_all.pdResult	B:\data\orbitrap_fusion\Raw\1601\ASIR\150527_S_ASIR_32_03_HCD_Sycon.raw																					
Sycon ciliatum	Sycon_all.pdResult	B:\data\orbitrap_fusion\Raw\1601\ASIR\150527_S_ASIR_32_04_CID_Sycon.raw																					
Sycon ciliatum	Sycon_all.pdResult	Z:\data\orbitrap_fusion\Raw\1603\Histone\160308_S_Histone_Sycon1_PIC_01_01_2ug_HCD.raw																					
Sycon ciliatum	Sycon_all.pdResult	Z:\data\orbitrap_fusion\Raw\1603\Histone\160308_S_Histone_Sycon1_PIC_01_02_2ug_CID.raw																					
Sycon ciliatum	Sycon_all.pdResult	C:\cchiva\ASIR\data\150527_S_ASIR_08_01_Sycon2_CID.raw																					
Sycon ciliatum	Sycon_all.pdResult	C:\cchiva\ASIR\data\150527_S_ASIR_08_01_Sycon2_HCD.raw																					
Sycon ciliatum	Sycon_all.pdResult	C:\cchiva\ASIR\data\150527_S_ASIR_32_01_Sycon1_CID.raw																					
Sycon ciliatum	Sycon_all.pdResult	C:\cchiva\ASIR\data\150527_S_ASIR_32_01_Sycon1_HCD.raw																					
Sycon ciliatum	Sycon_all.pdResult	C:\cchiva\ASIR\data\150527_S_ASIR_33_01_Sycon2_CID.raw																					
Sycon ciliatum	Sycon_all.pdResult	C:\cchiva\ASIR\data\150527_S_ASIR_33_01_Sycon2_HCD.raw																					
Sycon ciliatum	Sycon_all.pdResult	Z:\data\orbitrap_fusion\Raw\1509\ASIR\150527_S_ASIR_34_01_Sycon3_CID.raw																					
Sycon ciliatum	Sycon_all.pdResult	Z:\data\orbitrap_fusion\Raw\1509\ASIR\150527_S_ASIR_34_01_Sycon3_HCD.raw																					
Thalassiosira pseudonana	Thalassio_all.pdResult	B:\data\orbitrap_fusion\Raw\1601\ASIR\150527_S_ASIR_18_03_HCD_Thalassiossira.raw																					
Thalassiosira pseudonana	Thalassio_all.pdResult	B:\data\orbitrap_fusion\Raw\1601\ASIR\150527_S_ASIR_18_04_CID_Thalassiossira.raw																					
Thalassiosira pseudonana	Thalassio_all.pdResult	Z:\data\orbitrap_fusion\Raw\1509\ASIR\150527_S_ASIR_17_01_Thalas1_CID.raw																					
Thalassiosira pseudonana	Thalassio_all.pdResult	Z:\data\orbitrap_fusion\Raw\1509\ASIR\150527_S_ASIR_17_01_Thalas1_HCD.raw																					
Thalassiosira pseudonana	Thalassio_all.pdResult	Z:\data\orbitrap_fusion\Raw\1509\ASIR\150527_S_ASIR_18_01_Thalas2_CID.raw																					
Thalassiosira pseudonana	Thalassio_all.pdResult	Z:\data\orbitrap_fusion\Raw\1509\ASIR\150527_S_ASIR_18_01_Thalas2_HCD.raw																					
Thecamonas trahens	Theca_all.pdResult	A:\cchiva\Projects\Histones_Arnau\All_results\raw files\Lumos\150527_S_ASIR_02_01_Theca1_CID.raw																					
Thecamonas trahens	Theca_all.pdResult	A:\cchiva\Projects\Histones_Arnau\All_results\raw files\Lumos\150527_S_ASIR_02_01_Theca1_HCD.raw																					
Thecamonas trahens	Theca_all.pdResult	A:\cchiva\Projects\Histones_Arnau\All_results\raw files\Lumos\150527_S_ASIR_37_01_Theca1_old_CID.raw																					
Thecamonas trahens	Theca_all.pdResult	A:\cchiva\Projects\Histones_Arnau\All_results\raw files\Lumos\150527_S_ASIR_37_01_Theca1_old_HCD.raw																					
Thecamonas trahens	Theca_all.pdResult	A:\cchiva\Projects\Histones_Arnau\All_results\raw files\Lumos\150527_S_ASIR_37_03_HCD_Thecamonas.raw																					
Thecamonas trahens	Theca_all.pdResult	A:\cchiva\Projects\Histones_Arnau\All_results\raw files\Lumos\150527_S_ASIR_37_04_CID_Thecamonas.raw																					
Thecamonas trahens	Theca_all.pdResult	A:\cchiva\Projects\Histones_Arnau\All_results\raw files\Velos\150218_S_ASIR_03_01_Theca1.raw																					
Thecamonas trahens	Theca_all.pdResult	A:\cchiva\Projects\Histones_Arnau\All_results\raw files\Velos\150218_S_ASIR_04_01_Theca2.raw																					
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
