category,agentic_field,canonical_field,safe_override_field,final_sdrf_columns,used_in_current_sdrf_builder,pride_cache_field_path,pride_present_in_sampled_n,sample_size,sample_source,notes,ann_metadata_labels
technical,fractionation_method,fractionation,,(not currently emitted as dedicated SDRF column),no,response[].sampleProcessingProtocol,8,100,HamletPXDs.csv,,FractionationMethod;Separation;Chromatography;FractionationFraction
technical,reduction_reagent,reduction_reagent,,comment[reduction reagent]*,conditional,response[].sampleProcessingProtocol,12,100,HamletPXDs.csv,,ReductionReagent
technical,alkylation_reagent,alkylation_reagent,,comment[alkylation reagent]*,conditional,response[].sampleProcessingProtocol,39,100,HamletPXDs.csv,,AlkylationReagent
technical,collision_energy,collision_energy,,comment[collision energy]*,conditional,response[].sampleProcessingProtocol,0,100,HamletPXDs.csv,,CollisionEnergy
technical,ionization_type,ionization_type,,(not mapped),no,response[].sampleProcessingProtocol (free text),0,100,HamletPXDs.csv,,IonizationType
technical,mass_analyzer,mass_analyzer,,comment[ms2 mass analyzer]*,conditional,response[].instruments (inferred),0,100,HamletPXDs.csv,Builder infers analyzer from instrument model,MS2MassAnalyzer
technical,alkylation_concentration,alkylation_concentration,,(not mapped),no,response[].sampleProcessingProtocol (free text),0,100,HamletPXDs.csv,,ConcentrationOfCompound
technical,reduction_concentration,reduction_concentration,,(not mapped),no,response[].sampleProcessingProtocol (free text),0,100,HamletPXDs.csv,,ConcentrationOfCompound
technical,ptm,ptm,,comment[modification parameters]*,conditional,response[].identifiedPTMStrings / protocols,0,100,HamletPXDs.csv,Builder emits one or more modification parameter columns,Modification
experimental_design,number_of_biological_replicates,replicates,replicates,characteristics[biological replicate],yes,response[].projectDescription / response[].sampleProcessingProtocol,2,100,HamletPXDs.csv,,NumberOfBiologicalReplicates
experimental_design,number_of_technical_replicates,technical_replicates,technical_replicates,comment[technical replicate],yes,response[].projectDescription / response[].sampleProcessingProtocol,3,100,HamletPXDs.csv,,NumberOfTechnicalReplicates
experimental_design,number_of_fractions,fractions,fractions,comment[fraction identifier],yes,response[].projectDescription / response[].sampleProcessingProtocol,6,100,HamletPXDs.csv,,NumberOfFractions
experimental_design,factor_value,factor_value,factor_value,factor value[experimental design]*,conditional,response[].sampleAttributes / response[].projectDescription,23,100,HamletPXDs.csv,,FactorValue
experimental_design,experimental_design,experimental_design,,(not mapped to dedicated SDRF column),no,response[].projectTags / response[].experimentTypes / response[].projectDescription,11,100,HamletPXDs.csv,,Experiment
experimental_design,number_of_samples,number_of_samples,,(not mapped),no,response[].sampleAttributes / response[].projectDescription,0,100,HamletPXDs.csv,,NumberOfSamples
experimental_design,biological_replicate,replicates,replicates,characteristics[biological replicate] (via canonical collapse),yes,response[].projectDescription / response[].sampleProcessingProtocol,2,100,HamletPXDs.csv,Aliases collapse through FIELD_NAME_MAP,BiologicalReplicate
experimental_design,technical_replicate,technical_replicates,technical_replicates,comment[technical replicate] (via canonical collapse),yes,response[].projectDescription / response[].sampleProcessingProtocol,3,100,HamletPXDs.csv,Aliases collapse through FIELD_NAME_MAP,TechnicalReplicate
experimental_design,technology_type,technology_type,,(not mapped),no,response[].experimentTypes,100,100,HamletPXDs.csv,,TechnologyType
