Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[age]	Characteristics[developmental stage]	Characteristics[sex]	characteristics[ancestry category]	characteristics[cell type]	Characteristics[disease]	Characteristics[phenotype]	assay name	comment[label]	comment[fraction identifier]	comment[MS2 mass analyzer]	comment[instrument]	comment[file uri]	comment[dissociation method]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[data file]	Material Type	sampleChecksum	sampleAccession
PXD002619-Sample 2	Homo sapiens	breast cancer cell	not available	not available	not available	not available	not available	breast cancer	not available	run 11	NT=SILAC;AC=MS:1002611	6	AC=MS:1000081;NT=quadrupole	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002619/20110610_Q2_TaGe_SA_SSM2_6.raw	AC=MS:1000422;NT=HCD	NT=Trypsin;AC=MS:1001251	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	6 ppm	20 ppm	20110610_Q2_TaGe_SA_SSM2_6.raw	cell	afe43cb73320dfeb8513f07a8735e43d92f37fcfacc883211e0986a10c810b1d	SAMEA7712046
PXD002619-Sample 3	Homo sapiens	breast cancer cell	not available	not available	not available	not available	not available	breast cancer	ERPR	run 12	NT=SILAC;AC=MS:1002611	1	AC=MS:1000081;NT=quadrupole	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002619/20110612_EXQ1_TaGe_SA_BC5_1.raw	AC=MS:1000422;NT=HCD	NT=Trypsin;AC=MS:1001251	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	6 ppm	20 ppm	20110612_EXQ1_TaGe_SA_BC5_1.raw	cell	43f84b681b9c39e7afe12cf8fef9624c3415201d35c9bfb7bf981957ece656b1	SAMEA7712047
PXD002619-Sample 3	Homo sapiens	breast cancer cell	not available	not available	not available	not available	not available	breast cancer	ERPR	run 13	NT=SILAC;AC=MS:1002611	2	AC=MS:1000081;NT=quadrupole	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002619/20110612_EXQ1_TaGe_SA_BC5_2.raw	AC=MS:1000422;NT=HCD	NT=Trypsin;AC=MS:1001251	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	6 ppm	20 ppm	20110612_EXQ1_TaGe_SA_BC5_2.raw	cell	43f84b681b9c39e7afe12cf8fef9624c3415201d35c9bfb7bf981957ece656b1	SAMEA7712047
PXD002619-Sample 3	Homo sapiens	breast cancer cell	not available	not available	not available	not available	not available	breast cancer	ERPR	run 14	NT=SILAC;AC=MS:1002611	3	AC=MS:1000081;NT=quadrupole	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002619/20110612_EXQ1_TaGe_SA_BC5_3.raw	AC=MS:1000422;NT=HCD	NT=Trypsin;AC=MS:1001251	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	6 ppm	20 ppm	20110612_EXQ1_TaGe_SA_BC5_3.raw	cell	43f84b681b9c39e7afe12cf8fef9624c3415201d35c9bfb7bf981957ece656b1	SAMEA7712047
PXD002619-Sample 3	Homo sapiens	breast cancer cell	not available	not available	not available	not available	not available	breast cancer	ERPR	run 15	NT=SILAC;AC=MS:1002611	4	AC=MS:1000081;NT=quadrupole	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002619/20110612_EXQ1_TaGe_SA_BC5_4.raw	AC=MS:1000422;NT=HCD	NT=Trypsin;AC=MS:1001251	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	6 ppm	20 ppm	20110612_EXQ1_TaGe_SA_BC5_4.raw	cell	43f84b681b9c39e7afe12cf8fef9624c3415201d35c9bfb7bf981957ece656b1	SAMEA7712047
PXD002619-Sample 3	Homo sapiens	breast cancer cell	not available	not available	not available	not available	not available	breast cancer	ERPR	run 16	NT=SILAC;AC=MS:1002611	5	AC=MS:1000081;NT=quadrupole	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002619/20110612_EXQ1_TaGe_SA_BC5_5.raw	AC=MS:1000422;NT=HCD	NT=Trypsin;AC=MS:1001251	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	6 ppm	20 ppm	20110612_EXQ1_TaGe_SA_BC5_5.raw	cell	43f84b681b9c39e7afe12cf8fef9624c3415201d35c9bfb7bf981957ece656b1	SAMEA7712047
PXD002619-Sample 3	Homo sapiens	breast cancer cell	not available	not available	not available	not available	not available	breast cancer	ERPR	run 17	NT=SILAC;AC=MS:1002611	6	AC=MS:1000081;NT=quadrupole	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002619/20110612_EXQ1_TaGe_SA_BC5_6.raw	AC=MS:1000422;NT=HCD	NT=Trypsin;AC=MS:1001251	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	6 ppm	20 ppm	20110612_EXQ1_TaGe_SA_BC5_6.raw	cell	43f84b681b9c39e7afe12cf8fef9624c3415201d35c9bfb7bf981957ece656b1	SAMEA7712047
PXD002619-Sample 4	Homo sapiens	breast cancer cell	not available	not available	not available	not available	not available	breast cancer	Her2	run 18	NT=SILAC;AC=MS:1002611	1	AC=MS:1000081;NT=quadrupole	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002619/20110612_EXQ1_TaGe_SA_BC6_1.raw	AC=MS:1000422;NT=HCD	NT=Trypsin;AC=MS:1001251	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	6 ppm	20 ppm	20110612_EXQ1_TaGe_SA_BC6_1.raw	cell	d8849a577c37cb698dfe248933a13ba569474cf8afbab93436930acc9de528ef	SAMEA7712048
PXD002619-Sample 4	Homo sapiens	breast cancer cell	not available	not available	not available	not available	not available	breast cancer	Her2	run 19	NT=SILAC;AC=MS:1002611	2	AC=MS:1000081;NT=quadrupole	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002619/20110612_EXQ1_TaGe_SA_BC6_2.raw	AC=MS:1000422;NT=HCD	NT=Trypsin;AC=MS:1001251	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	6 ppm	20 ppm	20110612_EXQ1_TaGe_SA_BC6_2.raw	cell	d8849a577c37cb698dfe248933a13ba569474cf8afbab93436930acc9de528ef	SAMEA7712048
PXD002619-Sample 4	Homo sapiens	breast cancer cell	not available	not available	not available	not available	not available	breast cancer	Her2	run 20	NT=SILAC;AC=MS:1002611	3	AC=MS:1000081;NT=quadrupole	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002619/20110612_EXQ1_TaGe_SA_BC6_3.raw	AC=MS:1000422;NT=HCD	NT=Trypsin;AC=MS:1001251	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	6 ppm	20 ppm	20110612_EXQ1_TaGe_SA_BC6_3.raw	cell	d8849a577c37cb698dfe248933a13ba569474cf8afbab93436930acc9de528ef	SAMEA7712048
PXD002619-Sample 4	Homo sapiens	breast cancer cell	not available	not available	not available	not available	not available	breast cancer	Her2	run 21	NT=SILAC;AC=MS:1002611	4	AC=MS:1000081;NT=quadrupole	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002619/20110612_EXQ1_TaGe_SA_BC6_4.raw	AC=MS:1000422;NT=HCD	NT=Trypsin;AC=MS:1001251	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	6 ppm	20 ppm	20110612_EXQ1_TaGe_SA_BC6_4.raw	cell	d8849a577c37cb698dfe248933a13ba569474cf8afbab93436930acc9de528ef	SAMEA7712048
PXD002619-Sample 4	Homo sapiens	breast cancer cell	not available	not available	not available	not available	not available	breast cancer	Her2	run 22	NT=SILAC;AC=MS:1002611	5	AC=MS:1000081;NT=quadrupole	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002619/20110612_EXQ1_TaGe_SA_BC6_5.raw	AC=MS:1000422;NT=HCD	NT=Trypsin;AC=MS:1001251	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	6 ppm	20 ppm	20110612_EXQ1_TaGe_SA_BC6_5.raw	cell	d8849a577c37cb698dfe248933a13ba569474cf8afbab93436930acc9de528ef	SAMEA7712048
PXD002619-Sample 4	Homo sapiens	breast cancer cell	not available	not available	not available	not available	not available	breast cancer	Her2	run 23	NT=SILAC;AC=MS:1002611	6	AC=MS:1000081;NT=quadrupole	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002619/20110612_EXQ1_TaGe_SA_BC6_6.raw	AC=MS:1000422;NT=HCD	NT=Trypsin;AC=MS:1001251	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	6 ppm	20 ppm	20110612_EXQ1_TaGe_SA_BC6_6.raw	cell	d8849a577c37cb698dfe248933a13ba569474cf8afbab93436930acc9de528ef	SAMEA7712048
PXD002619-Sample 5	Homo sapiens	breast cancer cell	not available	not available	not available	not available	not available	breast cancer	Her2	run 24	NT=SILAC;AC=MS:1002611	1	AC=MS:1000081;NT=quadrupole	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002619/20110612_EXQ1_TaGe_SA_BC7_1.raw	AC=MS:1000422;NT=HCD	NT=Trypsin;AC=MS:1001251	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	6 ppm	20 ppm	20110612_EXQ1_TaGe_SA_BC7_1.raw	cell	dc06f807d271ca4920a481ed8faaaed8a4c8c811f48c20996a0cf446d501542b	SAMEA7712049
PXD002619-Sample 5	Homo sapiens	breast cancer cell	not available	not available	not available	not available	not available	breast cancer	Her2	run 25	NT=SILAC;AC=MS:1002611	2	AC=MS:1000081;NT=quadrupole	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002619/20110612_EXQ1_TaGe_SA_BC7_2.raw	AC=MS:1000422;NT=HCD	NT=Trypsin;AC=MS:1001251	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	6 ppm	20 ppm	20110612_EXQ1_TaGe_SA_BC7_2.raw	cell	dc06f807d271ca4920a481ed8faaaed8a4c8c811f48c20996a0cf446d501542b	SAMEA7712049
PXD002619-Sample 5	Homo sapiens	breast cancer cell	not available	not available	not available	not available	not available	breast cancer	Her2	run 26	NT=SILAC;AC=MS:1002611	3	AC=MS:1000081;NT=quadrupole	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002619/20110612_EXQ1_TaGe_SA_BC7_3.raw	AC=MS:1000422;NT=HCD	NT=Trypsin;AC=MS:1001251	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	6 ppm	20 ppm	20110612_EXQ1_TaGe_SA_BC7_3.raw	cell	dc06f807d271ca4920a481ed8faaaed8a4c8c811f48c20996a0cf446d501542b	SAMEA7712049
PXD002619-Sample 5	Homo sapiens	breast cancer cell	not available	not available	not available	not available	not available	breast cancer	Her2	run 27	NT=SILAC;AC=MS:1002611	4	AC=MS:1000081;NT=quadrupole	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002619/20110612_EXQ1_TaGe_SA_BC7_4.raw	AC=MS:1000422;NT=HCD	NT=Trypsin;AC=MS:1001251	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	6 ppm	20 ppm	20110612_EXQ1_TaGe_SA_BC7_4.raw	cell	dc06f807d271ca4920a481ed8faaaed8a4c8c811f48c20996a0cf446d501542b	SAMEA7712049
PXD002619-Sample 5	Homo sapiens	breast cancer cell	not available	not available	not available	not available	not available	breast cancer	Her2	run 28	NT=SILAC;AC=MS:1002611	5	AC=MS:1000081;NT=quadrupole	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002619/20110612_EXQ1_TaGe_SA_BC7_5.raw	AC=MS:1000422;NT=HCD	NT=Trypsin;AC=MS:1001251	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	6 ppm	20 ppm	20110612_EXQ1_TaGe_SA_BC7_5.raw	cell	dc06f807d271ca4920a481ed8faaaed8a4c8c811f48c20996a0cf446d501542b	SAMEA7712049
PXD002619-Sample 5	Homo sapiens	breast cancer cell	not available	not available	not available	not available	not available	breast cancer	Her2	run 29	NT=SILAC;AC=MS:1002611	6	AC=MS:1000081;NT=quadrupole	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002619/20110612_EXQ1_TaGe_SA_BC7_6.raw	AC=MS:1000422;NT=HCD	NT=Trypsin;AC=MS:1001251	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	6 ppm	20 ppm	20110612_EXQ1_TaGe_SA_BC7_6.raw	cell	dc06f807d271ca4920a481ed8faaaed8a4c8c811f48c20996a0cf446d501542b	SAMEA7712049
PXD002619-Sample 30	Homo sapiens	breast cancer cell	not available	not available	not available	not available	not available	breast cancer	Her2	run 30	NT=SILAC;AC=MS:1002611	2	AC=MS:1000081;NT=quadrupole	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002619/20110612_Q2_TaGe_SA_BC13_2.raw	AC=MS:1000422;NT=HCD	NT=Trypsin;AC=MS:1001251	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	6 ppm	20 ppm	20110612_Q2_TaGe_SA_BC13_2.raw	cell	9b79494550ea27390ae6bf7f5c60ee6aaa1340741283f4b7a1a03ff375a0730d	SAMEA7712050
PXD002619-Sample 6	Homo sapiens	breast cancer cell	not available	not available	not available	not available	not available	breast cancer	ERPR	run 31	NT=SILAC;AC=MS:1002611	1	AC=MS:1000081;NT=quadrupole	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002619/20110612_Q2_TaGe_SA_BC1_1.raw	AC=MS:1000422;NT=HCD	NT=Trypsin;AC=MS:1001251	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	6 ppm	20 ppm	20110612_Q2_TaGe_SA_BC1_1.raw	cell	9785fb0e3fe944238f2448bf8f9be34a88a2eecd020fc646cd730dab714b2f97	SAMEA7712051
PXD002619-Sample 6	Homo sapiens	breast cancer cell	not available	not available	not available	not available	not available	breast cancer	ERPR	run 32	NT=SILAC;AC=MS:1002611	2	AC=MS:1000081;NT=quadrupole	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002619/20110612_Q2_TaGe_SA_BC1_2.raw	AC=MS:1000422;NT=HCD	NT=Trypsin;AC=MS:1001251	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	6 ppm	20 ppm	20110612_Q2_TaGe_SA_BC1_2.raw	cell	9785fb0e3fe944238f2448bf8f9be34a88a2eecd020fc646cd730dab714b2f97	SAMEA7712051
