field,category,annotator_a,annotator_b,pair_category,n_shared_docs,kappa
ptm,technical,SingleHuman,GPT,GPT vs. any human annotator,27,0.4
number_of_biological_replicates,experimental_design,SingleHuman,GPT,GPT vs. any human annotator,27,0.36220472440944834
number_of_technical_replicates,experimental_design,SingleHuman,GPT,GPT vs. any human annotator,27,0.12903225806451601
number_of_fractions,experimental_design,SingleHuman,GPT,GPT vs. any human annotator,27,0.7
factor_value,experimental_design,SingleHuman,GPT,GPT vs. any human annotator,27,0.09174311926605488
experimental_design,experimental_design,SingleHuman,GPT,GPT vs. any human annotator,27,0.0
number_of_samples,experimental_design,SingleHuman,GPT,GPT vs. any human annotator,27,-0.13445378151260512
biological_replicate,experimental_design,SingleHuman,GPT,GPT vs. any human annotator,27,
technical_replicate,experimental_design,SingleHuman,GPT,GPT vs. any human annotator,27,-2.3058478203753253e-16
technology_type,experimental_design,SingleHuman,GPT,GPT vs. any human annotator,27,
species,biological,SingleHuman,HarmonizedHuman,HarmonizedHuman vs. Single/MultiHuman annotator,27,0.3720930232558141
tissue,biological,SingleHuman,HarmonizedHuman,HarmonizedHuman vs. Single/MultiHuman annotator,27,0.34782608695652173
disease_state,biological,SingleHuman,HarmonizedHuman,HarmonizedHuman vs. Single/MultiHuman annotator,27,0.8524590163934427
cell_type,biological,SingleHuman,HarmonizedHuman,HarmonizedHuman vs. Single/MultiHuman annotator,27,0.5621621621621622
cell_line,biological,SingleHuman,HarmonizedHuman,HarmonizedHuman vs. Single/MultiHuman annotator,27,0.8235294117647058
sex,biological,SingleHuman,HarmonizedHuman,HarmonizedHuman vs. Single/MultiHuman annotator,27,0.6639004149377592
age,biological,SingleHuman,HarmonizedHuman,HarmonizedHuman vs. Single/MultiHuman annotator,27,0.6301369863013699
sample_source,biological,SingleHuman,HarmonizedHuman,HarmonizedHuman vs. Single/MultiHuman annotator,27,1.0
anatomic_site_tumor,biological,SingleHuman,HarmonizedHuman,HarmonizedHuman vs. Single/MultiHuman annotator,27,0.0
BMI,biological,SingleHuman,HarmonizedHuman,HarmonizedHuman vs. Single/MultiHuman annotator,27,
strain,biological,SingleHuman,HarmonizedHuman,HarmonizedHuman vs. Single/MultiHuman annotator,27,0.8235294117647058
developmental_stage,biological,SingleHuman,HarmonizedHuman,HarmonizedHuman vs. Single/MultiHuman annotator,27,1.0
ethnicity,biological,SingleHuman,HarmonizedHuman,HarmonizedHuman vs. Single/MultiHuman annotator,27,
acquisition_method,technical,SingleHuman,HarmonizedHuman,HarmonizedHuman vs. Single/MultiHuman annotator,27,0.847457627118644
instrument,technical,SingleHuman,HarmonizedHuman,HarmonizedHuman vs. Single/MultiHuman annotator,27,0.0
labeling,technical,SingleHuman,HarmonizedHuman,HarmonizedHuman vs. Single/MultiHuman annotator,27,0.9260273972602738
fragmentation_method,technical,SingleHuman,HarmonizedHuman,HarmonizedHuman vs. Single/MultiHuman annotator,27,0.8085106382978723
cleavage_agent,technical,SingleHuman,HarmonizedHuman,HarmonizedHuman vs. Single/MultiHuman annotator,27,0.6493506493506489
enrichment_method,technical,SingleHuman,HarmonizedHuman,HarmonizedHuman vs. Single/MultiHuman annotator,27,0.689655172413793
fractionation_method,technical,SingleHuman,HarmonizedHuman,HarmonizedHuman vs. Single/MultiHuman annotator,27,0.0
reduction_reagent,technical,SingleHuman,HarmonizedHuman,HarmonizedHuman vs. Single/MultiHuman annotator,27,0.5871559633027522
alkylation_reagent,technical,SingleHuman,HarmonizedHuman,HarmonizedHuman vs. Single/MultiHuman annotator,27,0.6538461538461539
collision_energy,technical,SingleHuman,HarmonizedHuman,HarmonizedHuman vs. Single/MultiHuman annotator,27,0.8421052631578947
ionization_type,technical,SingleHuman,HarmonizedHuman,HarmonizedHuman vs. Single/MultiHuman annotator,27,0.9256198347107437
mass_analyzer,technical,SingleHuman,HarmonizedHuman,HarmonizedHuman vs. Single/MultiHuman annotator,27,0.9221902017291065
alkylation_concentration,technical,SingleHuman,HarmonizedHuman,HarmonizedHuman vs. Single/MultiHuman annotator,27,1.0
reduction_concentration,technical,SingleHuman,HarmonizedHuman,HarmonizedHuman vs. Single/MultiHuman annotator,27,1.0
ptm,technical,SingleHuman,HarmonizedHuman,HarmonizedHuman vs. Single/MultiHuman annotator,27,0.7272727272727272
number_of_biological_replicates,experimental_design,SingleHuman,HarmonizedHuman,HarmonizedHuman vs. Single/MultiHuman annotator,27,0.5846153846153848
number_of_technical_replicates,experimental_design,SingleHuman,HarmonizedHuman,HarmonizedHuman vs. Single/MultiHuman annotator,27,0.625
number_of_fractions,experimental_design,SingleHuman,HarmonizedHuman,HarmonizedHuman vs. Single/MultiHuman annotator,27,0.7792915531335148
factor_value,experimental_design,SingleHuman,HarmonizedHuman,HarmonizedHuman vs. Single/MultiHuman annotator,27,0.3571428571428572
experimental_design,experimental_design,SingleHuman,HarmonizedHuman,HarmonizedHuman vs. Single/MultiHuman annotator,27,1.0
number_of_samples,experimental_design,SingleHuman,HarmonizedHuman,HarmonizedHuman vs. Single/MultiHuman annotator,27,0.5714285714285714
biological_replicate,experimental_design,SingleHuman,HarmonizedHuman,HarmonizedHuman vs. Single/MultiHuman annotator,27,
technical_replicate,experimental_design,SingleHuman,HarmonizedHuman,HarmonizedHuman vs. Single/MultiHuman annotator,27,
technology_type,experimental_design,SingleHuman,HarmonizedHuman,HarmonizedHuman vs. Single/MultiHuman annotator,27,0.0
species,biological,SingleHuman,Annotator1,Single human vs. MultiHuman annotator,9,-0.2162162162162162
tissue,biological,SingleHuman,Annotator1,Single human vs. MultiHuman annotator,9,0.05263157894736842
disease_state,biological,SingleHuman,Annotator1,Single human vs. MultiHuman annotator,9,0.7272727272727271
cell_type,biological,SingleHuman,Annotator1,Single human vs. MultiHuman annotator,9,-3.3306690738754706e-16
cell_line,biological,SingleHuman,Annotator1,Single human vs. MultiHuman annotator,9,0.7272727272727271
sex,biological,SingleHuman,Annotator1,Single human vs. MultiHuman annotator,9,0.608695652173913
age,biological,SingleHuman,Annotator1,Single human vs. MultiHuman annotator,9,1.0
sample_source,biological,SingleHuman,Annotator1,Single human vs. MultiHuman annotator,9,0.0
anatomic_site_tumor,biological,SingleHuman,Annotator1,Single human vs. MultiHuman annotator,9,
BMI,biological,SingleHuman,Annotator1,Single human vs. MultiHuman annotator,9,
strain,biological,SingleHuman,Annotator1,Single human vs. MultiHuman annotator,9,0.0
developmental_stage,biological,SingleHuman,Annotator1,Single human vs. MultiHuman annotator,9,0.0
ethnicity,biological,SingleHuman,Annotator1,Single human vs. MultiHuman annotator,9,
acquisition_method,technical,SingleHuman,Annotator1,Single human vs. MultiHuman annotator,9,1.0
instrument,technical,SingleHuman,Annotator1,Single human vs. MultiHuman annotator,9,
labeling,technical,SingleHuman,Annotator1,Single human vs. MultiHuman annotator,9,1.0
fragmentation_method,technical,SingleHuman,Annotator1,Single human vs. MultiHuman annotator,9,0.7272727272727272
cleavage_agent,technical,SingleHuman,Annotator1,Single human vs. MultiHuman annotator,9,0.608695652173913
enrichment_method,technical,SingleHuman,Annotator1,Single human vs. MultiHuman annotator,9,0.7272727272727271
fractionation_method,technical,SingleHuman,Annotator1,Single human vs. MultiHuman annotator,9,0.0
reduction_reagent,technical,SingleHuman,Annotator1,Single human vs. MultiHuman annotator,9,0.7804878048780487
alkylation_reagent,technical,SingleHuman,Annotator1,Single human vs. MultiHuman annotator,9,0.7692307692307692
collision_energy,technical,SingleHuman,Annotator1,Single human vs. MultiHuman annotator,9,0.0
ionization_type,technical,SingleHuman,Annotator1,Single human vs. MultiHuman annotator,9,0.769230769230769
mass_analyzer,technical,SingleHuman,Annotator1,Single human vs. MultiHuman annotator,9,0.27027027027027023
alkylation_concentration,technical,SingleHuman,Annotator1,Single human vs. MultiHuman annotator,9,-6.245004513516506e-17
reduction_concentration,technical,SingleHuman,Annotator1,Single human vs. MultiHuman annotator,9,-6.245004513516506e-17
ptm,technical,SingleHuman,Annotator1,Single human vs. MultiHuman annotator,9,0.7692307692307692
number_of_biological_replicates,experimental_design,SingleHuman,Annotator1,Single human vs. MultiHuman annotator,9,
number_of_technical_replicates,experimental_design,SingleHuman,Annotator1,Single human vs. MultiHuman annotator,9,-0.125
number_of_fractions,experimental_design,SingleHuman,Annotator1,Single human vs. MultiHuman annotator,9,0.27027027027027023
factor_value,experimental_design,SingleHuman,Annotator1,Single human vs. MultiHuman annotator,9,-0.2857142857142858
experimental_design,experimental_design,SingleHuman,Annotator1,Single human vs. MultiHuman annotator,9,
number_of_samples,experimental_design,SingleHuman,Annotator1,Single human vs. MultiHuman annotator,9,0.3720930232558139
biological_replicate,experimental_design,SingleHuman,Annotator1,Single human vs. MultiHuman annotator,9,0.0
technical_replicate,experimental_design,SingleHuman,Annotator1,Single human vs. MultiHuman annotator,9,0.0
technology_type,experimental_design,SingleHuman,Annotator1,Single human vs. MultiHuman annotator,9,0.0
species,biological,SingleHuman,Annotator2,Single human vs. MultiHuman annotator,11,0.0
tissue,biological,SingleHuman,Annotator2,Single human vs. MultiHuman annotator,11,0.2903225806451612
disease_state,biological,SingleHuman,Annotator2,Single human vs. MultiHuman annotator,11,1.0
cell_type,biological,SingleHuman,Annotator2,Single human vs. MultiHuman annotator,11,0.5416666666666669
cell_line,biological,SingleHuman,Annotator2,Single human vs. MultiHuman annotator,11,0.23255813953488386
sex,biological,SingleHuman,Annotator2,Single human vs. MultiHuman annotator,11,-0.09999999999999892
age,biological,SingleHuman,Annotator2,Single human vs. MultiHuman annotator,11,
sample_source,biological,SingleHuman,Annotator2,Single human vs. MultiHuman annotator,11,
anatomic_site_tumor,biological,SingleHuman,Annotator2,Single human vs. MultiHuman annotator,11,
BMI,biological,SingleHuman,Annotator2,Single human vs. MultiHuman annotator,11,
strain,biological,SingleHuman,Annotator2,Single human vs. MultiHuman annotator,11,0.7441860465116279
developmental_stage,biological,SingleHuman,Annotator2,Single human vs. MultiHuman annotator,11,1.0
ethnicity,biological,SingleHuman,Annotator2,Single human vs. MultiHuman annotator,11,
acquisition_method,technical,SingleHuman,Annotator2,Single human vs. MultiHuman annotator,11,0.7924528301886792
instrument,technical,SingleHuman,Annotator2,Single human vs. MultiHuman annotator,11,
labeling,technical,SingleHuman,Annotator2,Single human vs. MultiHuman annotator,11,0.8196721311475409
fragmentation_method,technical,SingleHuman,Annotator2,Single human vs. MultiHuman annotator,11,0.6206896551724135
cleavage_agent,technical,SingleHuman,Annotator2,Single human vs. MultiHuman annotator,11,
enrichment_method,technical,SingleHuman,Annotator2,Single human vs. MultiHuman annotator,11,0.6451612903225807
fractionation_method,technical,SingleHuman,Annotator2,Single human vs. MultiHuman annotator,11,0.0
reduction_reagent,technical,SingleHuman,Annotator2,Single human vs. MultiHuman annotator,11,0.6333333333333334
alkylation_reagent,technical,SingleHuman,Annotator2,Single human vs. MultiHuman annotator,11,0.4210526315789474
collision_energy,technical,SingleHuman,Annotator2,Single human vs. MultiHuman annotator,11,0.7441860465116279
ionization_type,technical,SingleHuman,Annotator2,Single human vs. MultiHuman annotator,11,1.0
mass_analyzer,technical,SingleHuman,Annotator2,Single human vs. MultiHuman annotator,11,0.49230769230769234
alkylation_concentration,technical,SingleHuman,Annotator2,Single human vs. MultiHuman annotator,11,6.784696261598178e-17
reduction_concentration,technical,SingleHuman,Annotator2,Single human vs. MultiHuman annotator,11,6.784696261598178e-17
ptm,technical,SingleHuman,Annotator2,Single human vs. MultiHuman annotator,11,0.7441860465116279
number_of_biological_replicates,experimental_design,SingleHuman,Annotator2,Single human vs. MultiHuman annotator,11,0.23255813953488386
number_of_technical_replicates,experimental_design,SingleHuman,Annotator2,Single human vs. MultiHuman annotator,11,0.37735849056603776
number_of_fractions,experimental_design,SingleHuman,Annotator2,Single human vs. MultiHuman annotator,11,1.0
factor_value,experimental_design,SingleHuman,Annotator2,Single human vs. MultiHuman annotator,11,0.56
experimental_design,experimental_design,SingleHuman,Annotator2,Single human vs. MultiHuman annotator,11,
number_of_samples,experimental_design,SingleHuman,Annotator2,Single human vs. MultiHuman annotator,11,0.26666666666666683
biological_replicate,experimental_design,SingleHuman,Annotator2,Single human vs. MultiHuman annotator,11,
technical_replicate,experimental_design,SingleHuman,Annotator2,Single human vs. MultiHuman annotator,11,
technology_type,experimental_design,SingleHuman,Annotator2,Single human vs. MultiHuman annotator,11,
species,biological,SingleHuman,Annotator3,Single human vs. MultiHuman annotator,10,0.782608695652174
tissue,biological,SingleHuman,Annotator3,Single human vs. MultiHuman annotator,10,0.5833333333333334
disease_state,biological,SingleHuman,Annotator3,Single human vs. MultiHuman annotator,10,0.2857142857142856
cell_type,biological,SingleHuman,Annotator3,Single human vs. MultiHuman annotator,10,0.09090909090909075
cell_line,biological,SingleHuman,Annotator3,Single human vs. MultiHuman annotator,10,0.0
sex,biological,SingleHuman,Annotator3,Single human vs. MultiHuman annotator,10,0.2105263157894738
age,biological,SingleHuman,Annotator3,Single human vs. MultiHuman annotator,10,1.0
sample_source,biological,SingleHuman,Annotator3,Single human vs. MultiHuman annotator,10,
anatomic_site_tumor,biological,SingleHuman,Annotator3,Single human vs. MultiHuman annotator,10,0.0
BMI,biological,SingleHuman,Annotator3,Single human vs. MultiHuman annotator,10,
strain,biological,SingleHuman,Annotator3,Single human vs. MultiHuman annotator,10,0.6153846153846153
developmental_stage,biological,SingleHuman,Annotator3,Single human vs. MultiHuman annotator,10,0.0
ethnicity,biological,SingleHuman,Annotator3,Single human vs. MultiHuman annotator,10,
acquisition_method,technical,SingleHuman,Annotator3,Single human vs. MultiHuman annotator,10,0.1666666666666666
instrument,technical,SingleHuman,Annotator3,Single human vs. MultiHuman annotator,10,0.0
labeling,technical,SingleHuman,Annotator3,Single human vs. MultiHuman annotator,10,1.0
fragmentation_method,technical,SingleHuman,Annotator3,Single human vs. MultiHuman annotator,10,0.19999999999999996
cleavage_agent,technical,SingleHuman,Annotator3,Single human vs. MultiHuman annotator,10,0.41176470588235303
enrichment_method,technical,SingleHuman,Annotator3,Single human vs. MultiHuman annotator,10,0.7368421052631581
fractionation_method,technical,SingleHuman,Annotator3,Single human vs. MultiHuman annotator,10,
reduction_reagent,technical,SingleHuman,Annotator3,Single human vs. MultiHuman annotator,10,0.782608695652174
alkylation_reagent,technical,SingleHuman,Annotator3,Single human vs. MultiHuman annotator,10,0.3478260869565216
collision_energy,technical,SingleHuman,Annotator3,Single human vs. MultiHuman annotator,10,0.3478260869565216
ionization_type,technical,SingleHuman,Annotator3,Single human vs. MultiHuman annotator,10,0.5833333333333334
mass_analyzer,technical,SingleHuman,Annotator3,Single human vs. MultiHuman annotator,10,0.13793103448275856
alkylation_concentration,technical,SingleHuman,Annotator3,Single human vs. MultiHuman annotator,10,6.938893903907228e-17
reduction_concentration,technical,SingleHuman,Annotator3,Single human vs. MultiHuman annotator,10,6.938893903907228e-17
ptm,technical,SingleHuman,Annotator3,Single human vs. MultiHuman annotator,10,0.5454545454545456
number_of_biological_replicates,experimental_design,SingleHuman,Annotator3,Single human vs. MultiHuman annotator,10,-0.11111111111111124
number_of_technical_replicates,experimental_design,SingleHuman,Annotator3,Single human vs. MultiHuman annotator,10,0.0
number_of_fractions,experimental_design,SingleHuman,Annotator3,Single human vs. MultiHuman annotator,10,0.3478260869565216
factor_value,experimental_design,SingleHuman,Annotator3,Single human vs. MultiHuman annotator,10,0.0
experimental_design,experimental_design,SingleHuman,Annotator3,Single human vs. MultiHuman annotator,10,0.0
number_of_samples,experimental_design,SingleHuman,Annotator3,Single human vs. MultiHuman annotator,10,0.1666666666666666
biological_replicate,experimental_design,SingleHuman,Annotator3,Single human vs. MultiHuman annotator,10,
technical_replicate,experimental_design,SingleHuman,Annotator3,Single human vs. MultiHuman annotator,10,
technology_type,experimental_design,SingleHuman,Annotator3,Single human vs. MultiHuman annotator,10,
species,biological,SingleHuman,Annotator4,Single human vs. MultiHuman annotator,3,
tissue,biological,SingleHuman,Annotator4,Single human vs. MultiHuman annotator,3,0.0
disease_state,biological,SingleHuman,Annotator4,Single human vs. MultiHuman annotator,3,1.0
cell_type,biological,SingleHuman,Annotator4,Single human vs. MultiHuman annotator,3,-3.3306690738754706e-16
cell_line,biological,SingleHuman,Annotator4,Single human vs. MultiHuman annotator,3,1.0
sex,biological,SingleHuman,Annotator4,Single human vs. MultiHuman annotator,3,
age,biological,SingleHuman,Annotator4,Single human vs. MultiHuman annotator,3,
sample_source,biological,SingleHuman,Annotator4,Single human vs. MultiHuman annotator,3,
anatomic_site_tumor,biological,SingleHuman,Annotator4,Single human vs. MultiHuman annotator,3,
BMI,biological,SingleHuman,Annotator4,Single human vs. MultiHuman annotator,3,
strain,biological,SingleHuman,Annotator4,Single human vs. MultiHuman annotator,3,-3.3306690738754706e-16
developmental_stage,biological,SingleHuman,Annotator4,Single human vs. MultiHuman annotator,3,
ethnicity,biological,SingleHuman,Annotator4,Single human vs. MultiHuman annotator,3,
acquisition_method,technical,SingleHuman,Annotator4,Single human vs. MultiHuman annotator,3,0.39999999999999986
instrument,technical,SingleHuman,Annotator4,Single human vs. MultiHuman annotator,3,0.0
labeling,technical,SingleHuman,Annotator4,Single human vs. MultiHuman annotator,3,1.0
fragmentation_method,technical,SingleHuman,Annotator4,Single human vs. MultiHuman annotator,3,0.0
cleavage_agent,technical,SingleHuman,Annotator4,Single human vs. MultiHuman annotator,3,
enrichment_method,technical,SingleHuman,Annotator4,Single human vs. MultiHuman annotator,3,-8.326672684688674e-17
fractionation_method,technical,SingleHuman,Annotator4,Single human vs. MultiHuman annotator,3,0.0
reduction_reagent,technical,SingleHuman,Annotator4,Single human vs. MultiHuman annotator,3,0.0
alkylation_reagent,technical,SingleHuman,Annotator4,Single human vs. MultiHuman annotator,3,0.0
collision_energy,technical,SingleHuman,Annotator4,Single human vs. MultiHuman annotator,3,-0.5000000000000001
ionization_type,technical,SingleHuman,Annotator4,Single human vs. MultiHuman annotator,3,0.39999999999999986
mass_analyzer,technical,SingleHuman,Annotator4,Single human vs. MultiHuman annotator,3,0.0
alkylation_concentration,technical,SingleHuman,Annotator4,Single human vs. MultiHuman annotator,3,0.0
reduction_concentration,technical,SingleHuman,Annotator4,Single human vs. MultiHuman annotator,3,0.0
ptm,technical,SingleHuman,Annotator4,Single human vs. MultiHuman annotator,3,-0.5000000000000001
number_of_biological_replicates,experimental_design,SingleHuman,Annotator4,Single human vs. MultiHuman annotator,3,
number_of_technical_replicates,experimental_design,SingleHuman,Annotator4,Single human vs. MultiHuman annotator,3,
number_of_fractions,experimental_design,SingleHuman,Annotator4,Single human vs. MultiHuman annotator,3,0.0
factor_value,experimental_design,SingleHuman,Annotator4,Single human vs. MultiHuman annotator,3,-3.3306690738754706e-16
experimental_design,experimental_design,SingleHuman,Annotator4,Single human vs. MultiHuman annotator,3,
number_of_samples,experimental_design,SingleHuman,Annotator4,Single human vs. MultiHuman annotator,3,
biological_replicate,experimental_design,SingleHuman,Annotator4,Single human vs. MultiHuman annotator,3,
technical_replicate,experimental_design,SingleHuman,Annotator4,Single human vs. MultiHuman annotator,3,
technology_type,experimental_design,SingleHuman,Annotator4,Single human vs. MultiHuman annotator,3,-3.3306690738754706e-16
species,biological,SingleHuman,Annotator5,Single human vs. MultiHuman annotator,9,0.7272727272727272
tissue,biological,SingleHuman,Annotator5,Single human vs. MultiHuman annotator,9,0.3076923076923075
disease_state,biological,SingleHuman,Annotator5,Single human vs. MultiHuman annotator,9,0.7692307692307692
cell_type,biological,SingleHuman,Annotator5,Single human vs. MultiHuman annotator,9,-3.3306690738754706e-16
cell_line,biological,SingleHuman,Annotator5,Single human vs. MultiHuman annotator,9,
sex,biological,SingleHuman,Annotator5,Single human vs. MultiHuman annotator,9,0.608695652173913
age,biological,SingleHuman,Annotator5,Single human vs. MultiHuman annotator,9,0.608695652173913
sample_source,biological,SingleHuman,Annotator5,Single human vs. MultiHuman annotator,9,0.0
anatomic_site_tumor,biological,SingleHuman,Annotator5,Single human vs. MultiHuman annotator,9,
BMI,biological,SingleHuman,Annotator5,Single human vs. MultiHuman annotator,9,
strain,biological,SingleHuman,Annotator5,Single human vs. MultiHuman annotator,9,0.35714285714285715
developmental_stage,biological,SingleHuman,Annotator5,Single human vs. MultiHuman annotator,9,
ethnicity,biological,SingleHuman,Annotator5,Single human vs. MultiHuman annotator,9,
acquisition_method,technical,SingleHuman,Annotator5,Single human vs. MultiHuman annotator,9,0.7272727272727271
instrument,technical,SingleHuman,Annotator5,Single human vs. MultiHuman annotator,9,0.0
labeling,technical,SingleHuman,Annotator5,Single human vs. MultiHuman annotator,9,0.7804878048780487
fragmentation_method,technical,SingleHuman,Annotator5,Single human vs. MultiHuman annotator,9,-8.326672684688674e-17
cleavage_agent,technical,SingleHuman,Annotator5,Single human vs. MultiHuman annotator,9,0.608695652173913
enrichment_method,technical,SingleHuman,Annotator5,Single human vs. MultiHuman annotator,9,-3.3306690738754706e-16
fractionation_method,technical,SingleHuman,Annotator5,Single human vs. MultiHuman annotator,9,0.608695652173913
reduction_reagent,technical,SingleHuman,Annotator5,Single human vs. MultiHuman annotator,9,0.5
alkylation_reagent,technical,SingleHuman,Annotator5,Single human vs. MultiHuman annotator,9,0.7272727272727272
collision_energy,technical,SingleHuman,Annotator5,Single human vs. MultiHuman annotator,9,0.0
ionization_type,technical,SingleHuman,Annotator5,Single human vs. MultiHuman annotator,9,0.18181818181818157
mass_analyzer,technical,SingleHuman,Annotator5,Single human vs. MultiHuman annotator,9,0.0
alkylation_concentration,technical,SingleHuman,Annotator5,Single human vs. MultiHuman annotator,9,-6.245004513516506e-17
reduction_concentration,technical,SingleHuman,Annotator5,Single human vs. MultiHuman annotator,9,-6.245004513516506e-17
ptm,technical,SingleHuman,Annotator5,Single human vs. MultiHuman annotator,9,1.0
number_of_biological_replicates,experimental_design,SingleHuman,Annotator5,Single human vs. MultiHuman annotator,9,0.3999999999999998
number_of_technical_replicates,experimental_design,SingleHuman,Annotator5,Single human vs. MultiHuman annotator,9,
number_of_fractions,experimental_design,SingleHuman,Annotator5,Single human vs. MultiHuman annotator,9,0.5263157894736842
factor_value,experimental_design,SingleHuman,Annotator5,Single human vs. MultiHuman annotator,9,-0.15384615384615383
experimental_design,experimental_design,SingleHuman,Annotator5,Single human vs. MultiHuman annotator,9,0.0
number_of_samples,experimental_design,SingleHuman,Annotator5,Single human vs. MultiHuman annotator,9,0.5263157894736842
biological_replicate,experimental_design,SingleHuman,Annotator5,Single human vs. MultiHuman annotator,9,
technical_replicate,experimental_design,SingleHuman,Annotator5,Single human vs. MultiHuman annotator,9,
technology_type,experimental_design,SingleHuman,Annotator5,Single human vs. MultiHuman annotator,9,
species,biological,SingleHuman,Annotator6,Single human vs. MultiHuman annotator,10,0.0
tissue,biological,SingleHuman,Annotator6,Single human vs. MultiHuman annotator,10,0.5454545454545455
disease_state,biological,SingleHuman,Annotator6,Single human vs. MultiHuman annotator,10,0.782608695652174
cell_type,biological,SingleHuman,Annotator6,Single human vs. MultiHuman annotator,10,-0.2500000000000007
cell_line,biological,SingleHuman,Annotator6,Single human vs. MultiHuman annotator,10,0.8
sex,biological,SingleHuman,Annotator6,Single human vs. MultiHuman annotator,10,-0.11111111111111124
age,biological,SingleHuman,Annotator6,Single human vs. MultiHuman annotator,10,
sample_source,biological,SingleHuman,Annotator6,Single human vs. MultiHuman annotator,10,
anatomic_site_tumor,biological,SingleHuman,Annotator6,Single human vs. MultiHuman annotator,10,
BMI,biological,SingleHuman,Annotator6,Single human vs. MultiHuman annotator,10,
strain,biological,SingleHuman,Annotator6,Single human vs. MultiHuman annotator,10,-0.11111111111111124
developmental_stage,biological,SingleHuman,Annotator6,Single human vs. MultiHuman annotator,10,0.0
ethnicity,biological,SingleHuman,Annotator6,Single human vs. MultiHuman annotator,10,
acquisition_method,technical,SingleHuman,Annotator6,Single human vs. MultiHuman annotator,10,1.0
instrument,technical,SingleHuman,Annotator6,Single human vs. MultiHuman annotator,10,
labeling,technical,SingleHuman,Annotator6,Single human vs. MultiHuman annotator,10,0.6153846153846155
fragmentation_method,technical,SingleHuman,Annotator6,Single human vs. MultiHuman annotator,10,0.2857142857142856
cleavage_agent,technical,SingleHuman,Annotator6,Single human vs. MultiHuman annotator,10,1.0
enrichment_method,technical,SingleHuman,Annotator6,Single human vs. MultiHuman annotator,10,0.2857142857142855
fractionation_method,technical,SingleHuman,Annotator6,Single human vs. MultiHuman annotator,10,0.7368421052631581
reduction_reagent,technical,SingleHuman,Annotator6,Single human vs. MultiHuman annotator,10,0.5454545454545456
alkylation_reagent,technical,SingleHuman,Annotator6,Single human vs. MultiHuman annotator,10,0.3478260869565216
collision_energy,technical,SingleHuman,Annotator6,Single human vs. MultiHuman annotator,10,0.13793103448275856
ionization_type,technical,SingleHuman,Annotator6,Single human vs. MultiHuman annotator,10,0.41176470588235303
mass_analyzer,technical,SingleHuman,Annotator6,Single human vs. MultiHuman annotator,10,0.6000000000000001
alkylation_concentration,technical,SingleHuman,Annotator6,Single human vs. MultiHuman annotator,10,3.0839528461809905e-17
reduction_concentration,technical,SingleHuman,Annotator6,Single human vs. MultiHuman annotator,10,3.0839528461809905e-17
ptm,technical,SingleHuman,Annotator6,Single human vs. MultiHuman annotator,10,0.6153846153846153
number_of_biological_replicates,experimental_design,SingleHuman,Annotator6,Single human vs. MultiHuman annotator,10,0.0
number_of_technical_replicates,experimental_design,SingleHuman,Annotator6,Single human vs. MultiHuman annotator,10,0.0
