source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD005207-Sample-11	P. falciparum	blood	malaria	schizont	4	not available	not available	run 11	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	LTQ Orbitrap Velos	NT=Trypsin;AC=MS:1001251	12	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	Shld-1 (presence, absence)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=iTRAQ4plex;AC=UNIMOD:214;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	20 ppm	0.1 Da	orbitrap	CDPK1_TP_09_R1.raw	v1.1.0	HAMLET-agentic v0.1.0	malaria
PXD005207-Sample-12	P. falciparum	blood	malaria	schizont	4	not available	not available	run 12	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	12	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	Shld-1 (presence, absence)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=iTRAQ4plex;AC=UNIMOD:214;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	20 ppm	0.1 Da	orbitrap	CDPK1_TP_10_R4.raw	v1.1.0	HAMLET-agentic v0.1.0	malaria
PXD005207-Sample-13	P. falciparum	blood	malaria	schizont	4	not available	not available	run 13	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	12	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	Shld-1 (presence, absence)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=iTRAQ4plex;AC=UNIMOD:214;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	20 ppm	0.1 Da	orbitrap	CDPK1_TP_1_R5.raw	v1.1.0	HAMLET-agentic v0.1.0	malaria
PXD005207-Sample-14	P. falciparum	blood	malaria	schizont	4	not available	not available	run 14	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	12	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	Shld-1 (presence, absence)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=iTRAQ4plex;AC=UNIMOD:214;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	20 ppm	0.1 Da	orbitrap	CDPK1_TP_2_R5.raw	v1.1.0	HAMLET-agentic v0.1.0	malaria
PXD005207-Sample-15	P. falciparum	blood	malaria	schizont	4	not available	not available	run 15	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	12	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	Shld-1 (presence, absence)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=iTRAQ4plex;AC=UNIMOD:214;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	20 ppm	0.1 Da	orbitrap	CDPK1_TP_3_R4.raw	v1.1.0	HAMLET-agentic v0.1.0	malaria
PXD005207-Sample-16	P. falciparum	blood	malaria	schizont	4	not available	not available	run 16	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	12	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	Shld-1 (presence, absence)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=iTRAQ4plex;AC=UNIMOD:214;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	20 ppm	0.1 Da	orbitrap	CDPK1_TP_5_R4.raw	v1.1.0	HAMLET-agentic v0.1.0	malaria
PXD005207-Sample-17	P. falciparum	blood	malaria	schizont	4	not available	not available	run 17	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	12	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	Shld-1 (presence, absence)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=iTRAQ4plex;AC=UNIMOD:214;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	20 ppm	0.1 Da	orbitrap	CDPK1_TP_7_R5.raw	v1.1.0	HAMLET-agentic v0.1.0	malaria
PXD005207-Sample-18	P. falciparum	blood	malaria	schizont	4	not available	not available	run 18	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	12	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	Shld-1 (presence, absence)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=iTRAQ4plex;AC=UNIMOD:214;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	20 ppm	0.1 Da	orbitrap	CDPK1_TP_8_R4.raw	v1.1.0	HAMLET-agentic v0.1.0	malaria
PXD005207-Sample-19	P. falciparum	blood	malaria	schizont	4	not available	not available	run 19	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	12	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	Shld-1 (presence, absence)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=iTRAQ4plex;AC=UNIMOD:214;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	20 ppm	0.1 Da	orbitrap	CDPK1_phospho_12_R5.raw	v1.1.0	HAMLET-agentic v0.1.0	malaria
PXD005207-Sample-20	P. falciparum	blood	malaria	schizont	4	not available	not available	run 20	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	12	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	Shld-1 (presence, absence)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=iTRAQ4plex;AC=UNIMOD:214;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	20 ppm	0.1 Da	orbitrap	CDPK1_phospho_13_R5.raw	v1.1.0	HAMLET-agentic v0.1.0	malaria
PXD005207-Sample-21	P. falciparum	blood	malaria	schizont	4	not available	not available	run 21	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	12	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	Shld-1 (presence, absence)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=iTRAQ4plex;AC=UNIMOD:214;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	20 ppm	0.1 Da	orbitrap	CDPK1_phospho_14_R5.raw	v1.1.0	HAMLET-agentic v0.1.0	malaria
PXD005207-Sample-22	P. falciparum	blood	malaria	schizont	4	not available	not available	run 22	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	12	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	Shld-1 (presence, absence)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=iTRAQ4plex;AC=UNIMOD:214;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	20 ppm	0.1 Da	orbitrap	CDPK1_phospho_2_R5.raw	v1.1.0	HAMLET-agentic v0.1.0	malaria
PXD005207-Sample-23	P. falciparum	blood	malaria	schizont	4	not available	not available	run 23	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	12	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	Shld-1 (presence, absence)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=iTRAQ4plex;AC=UNIMOD:214;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	20 ppm	0.1 Da	orbitrap	CDPK1_phospho_7_R5.raw	v1.1.0	HAMLET-agentic v0.1.0	malaria
PXD005207-Sample-24	P. falciparum	blood	malaria	schizont	4	not available	not available	run 24	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	12	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	Shld-1 (presence, absence)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=iTRAQ4plex;AC=UNIMOD:214;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	20 ppm	0.1 Da	orbitrap	CDPK1_phospho_R4_11.raw	v1.1.0	HAMLET-agentic v0.1.0	malaria
PXD005207-Sample-25	P. falciparum	blood	malaria	schizont	4	not available	not available	run 25	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	12	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	Shld-1 (presence, absence)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=iTRAQ4plex;AC=UNIMOD:214;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	20 ppm	0.1 Da	orbitrap	CDPK1_phospho_R4_7.raw	v1.1.0	HAMLET-agentic v0.1.0	malaria
PXD005207-Sample-26	P. falciparum	blood	malaria	schizont	4	not available	not available	run 26	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	12	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	Shld-1 (presence, absence)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=iTRAQ4plex;AC=UNIMOD:214;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	20 ppm	0.1 Da	orbitrap	CDPK1_phospho_R4_8.raw	v1.1.0	HAMLET-agentic v0.1.0	malaria
PXD005207-Sample-27	P. falciparum	blood	malaria	schizont	4	not available	not available	run 27	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	12	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	Shld-1 (presence, absence)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=iTRAQ4plex;AC=UNIMOD:214;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	20 ppm	0.1 Da	orbitrap	PKARCDPK1_invitrokinase.raw	v1.1.0	HAMLET-agentic v0.1.0	malaria
PXD005207-Sample-28	P. falciparum	blood	malaria	schizont	4	not available	not available	run 28	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	12	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	Shld-1 (presence, absence)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=iTRAQ4plex;AC=UNIMOD:214;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	20 ppm	0.1 Da	orbitrap	Plasmo_TP3_R3.raw	v1.1.0	HAMLET-agentic v0.1.0	malaria
PXD005207-Sample-29	P. falciparum	blood	malaria	schizont	4	not available	not available	run 29	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	12	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	Shld-1 (presence, absence)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=iTRAQ4plex;AC=UNIMOD:214;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	20 ppm	0.1 Da	orbitrap	Plasmo_TP7_R3.raw	v1.1.0	HAMLET-agentic v0.1.0	malaria
PXD005207-Sample-30	P. falciparum	blood	malaria	schizont	4	not available	not available	run 30	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	12	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	Shld-1 (presence, absence)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=iTRAQ4plex;AC=UNIMOD:214;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	20 ppm	0.1 Da	orbitrap	Plfalci_TP_iTRAQ8_R2.raw	v1.1.0	HAMLET-agentic v0.1.0	malaria
PXD005207-Sample-31	P. falciparum	blood	malaria	schizont	4	not available	not available	run 31	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	12	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	Shld-1 (presence, absence)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=iTRAQ4plex;AC=UNIMOD:214;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	20 ppm	0.1 Da	orbitrap	Plfalci_TP_iTRAQ12_R2.raw	v1.1.0	HAMLET-agentic v0.1.0	malaria
PXD005207-Sample-32	P. falciparum	blood	malaria	schizont	4	not available	not available	run 32	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	12	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	Shld-1 (presence, absence)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=iTRAQ4plex;AC=UNIMOD:214;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	20 ppm	0.1 Da	orbitrap	Plasmo_TP4_R3.raw	v1.1.0	HAMLET-agentic v0.1.0	malaria
PXD005207-Sample-33	P. falciparum	blood	malaria	schizont	4	not available	not available	run 33	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	12	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	Shld-1 (presence, absence)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=iTRAQ4plex;AC=UNIMOD:214;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	20 ppm	0.1 Da	orbitrap	CDPK1_TP_8_R5.raw	v1.1.0	HAMLET-agentic v0.1.0	malaria
PXD005207-Sample-34	P. falciparum	blood	malaria	schizont	4	not available	not available	run 34	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	12	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	Shld-1 (presence, absence)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=iTRAQ4plex;AC=UNIMOD:214;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	20 ppm	0.1 Da	orbitrap	Plfalci_TP_iTRAQ10_R2.raw	v1.1.0	HAMLET-agentic v0.1.0	malaria
PXD005207-Sample-35	P. falciparum	blood	malaria	schizont	4	not available	not available	run 35	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	12	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	Shld-1 (presence, absence)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=iTRAQ4plex;AC=UNIMOD:214;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	20 ppm	0.1 Da	orbitrap	Plasmo_TP1_R3.raw	v1.1.0	HAMLET-agentic v0.1.0	malaria
