source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[reduction reagent]	comment[alkylation reagent]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD012143-Sample-11	P. falciparum	blood	malaria	schizonts and merozoites	12	not available	not available	run 11	proteomic profiling by mass spectrometry	not available	not available	Orbitrap Fusion Lumos	NT=Lys-C;AC=MS:1001309	1	2	not available	line (ACβ-HA:loxP, PKAc-HA:loxP), treatment (DMSO, RAP)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	dithiothreitol	iodoacetamide	orbitrap	PAB9129A25RW21_A1.raw	v1.1.0	HAMLET-agentic v0.1.0	malaria
PXD012143-Sample-12	P. falciparum	blood	malaria	schizonts and merozoites	12	not available	not available	run 12	proteomic profiling by mass spectrometry	not available	not available	Orbitrap Fusion Lumos	NT=Lys-C;AC=MS:1001309	1	2	not available	line (ACβ-HA:loxP, PKAc-HA:loxP), treatment (DMSO, RAP)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	dithiothreitol	iodoacetamide	orbitrap	PAB9129A25RW23_A2.raw	v1.1.0	HAMLET-agentic v0.1.0	malaria
PXD012143-Sample-13	P. falciparum	blood	malaria	schizonts and merozoites	12	not available	not available	run 13	proteomic profiling by mass spectrometry	not available	not available	Orbitrap Fusion Lumos	NT=Lys-C;AC=MS:1001309	1	2	not available	line (ACβ-HA:loxP, PKAc-HA:loxP), treatment (DMSO, RAP)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	dithiothreitol	iodoacetamide	orbitrap	PAB9129A26RW30_B6.raw	v1.1.0	HAMLET-agentic v0.1.0	malaria
PXD012143-Sample-14	P. falciparum	blood	malaria	schizonts and merozoites	12	not available	not available	run 14	proteomic profiling by mass spectrometry	not available	not available	Orbitrap Fusion Lumos	NT=Lys-C;AC=MS:1001309	1	2	not available	line (ACβ-HA:loxP, PKAc-HA:loxP), treatment (DMSO, RAP)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	dithiothreitol	iodoacetamide	orbitrap	PAB9129A26RW35_B8.raw	v1.1.0	HAMLET-agentic v0.1.0	malaria
PXD012143-Sample-15	P. falciparum	blood	malaria	schizonts and merozoites	12	not available	not available	run 15	proteomic profiling by mass spectrometry	not available	not available	Orbitrap Fusion Lumos	NT=Lys-C;AC=MS:1001309	1	2	not available	line (ACβ-HA:loxP, PKAc-HA:loxP), treatment (DMSO, RAP)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	dithiothreitol	iodoacetamide	orbitrap	PAB9129A26RW25_B3.raw	v1.1.0	HAMLET-agentic v0.1.0	malaria
PXD012143-Sample-16	P. falciparum	blood	malaria	schizonts and merozoites	12	not available	not available	run 16	proteomic profiling by mass spectrometry	not available	not available	Orbitrap Fusion Lumos	NT=Lys-C;AC=MS:1001309	1	2	not available	line (ACβ-HA:loxP, PKAc-HA:loxP), treatment (DMSO, RAP)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	dithiothreitol	iodoacetamide	orbitrap	PAB9129A25RW35_A8.raw	v1.1.0	HAMLET-agentic v0.1.0	malaria
PXD012143-Sample-17	P. falciparum	blood	malaria	schizonts and merozoites	12	not available	not available	run 17	proteomic profiling by mass spectrometry	not available	not available	Orbitrap Fusion Lumos	NT=Lys-C;AC=MS:1001309	1	2	not available	line (ACβ-HA:loxP, PKAc-HA:loxP), treatment (DMSO, RAP)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	dithiothreitol	iodoacetamide	orbitrap	PAB9129A26RW31_B6.raw	v1.1.0	HAMLET-agentic v0.1.0	malaria
PXD012143-Sample-18	P. falciparum	blood	malaria	schizonts and merozoites	12	not available	not available	run 18	proteomic profiling by mass spectrometry	not available	not available	Orbitrap Fusion Lumos	NT=Lys-C;AC=MS:1001309	1	2	not available	line (ACβ-HA:loxP, PKAc-HA:loxP), treatment (DMSO, RAP)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	dithiothreitol	iodoacetamide	orbitrap	PAB9129A26RW32_B7.raw	v1.1.0	HAMLET-agentic v0.1.0	malaria
PXD012143-Sample-19	P. falciparum	blood	malaria	schizonts and merozoites	12	not available	not available	run 19	proteomic profiling by mass spectrometry	not available	not available	Orbitrap Fusion Lumos	NT=Lys-C;AC=MS:1001309	1	2	not available	line (ACβ-HA:loxP, PKAc-HA:loxP), treatment (DMSO, RAP)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	dithiothreitol	iodoacetamide	orbitrap	PAB9129A25RW25_A3.raw	v1.1.0	HAMLET-agentic v0.1.0	malaria
PXD012143-Sample-20	P. falciparum	blood	malaria	schizonts and merozoites	12	not available	not available	run 20	proteomic profiling by mass spectrometry	not available	not available	Orbitrap Fusion Lumos	NT=Lys-C;AC=MS:1001309	1	2	not available	line (ACβ-HA:loxP, PKAc-HA:loxP), treatment (DMSO, RAP)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	dithiothreitol	iodoacetamide	orbitrap	PAB9129A25RW33_A7.raw	v1.1.0	HAMLET-agentic v0.1.0	malaria
PXD012143-Sample-21	P. falciparum	blood	malaria	schizonts and merozoites	12	not available	not available	run 21	proteomic profiling by mass spectrometry	not available	not available	Orbitrap Fusion Lumos	NT=Lys-C;AC=MS:1001309	1	2	not available	line (ACβ-HA:loxP, PKAc-HA:loxP), treatment (DMSO, RAP)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	dithiothreitol	iodoacetamide	orbitrap	PAB9129A26RW24_B3.raw	v1.1.0	HAMLET-agentic v0.1.0	malaria
PXD012143-Sample-22	P. falciparum	blood	malaria	schizonts and merozoites	12	not available	not available	run 22	proteomic profiling by mass spectrometry	not available	not available	Orbitrap Fusion Lumos	NT=Lys-C;AC=MS:1001309	1	2	not available	line (ACβ-HA:loxP, PKAc-HA:loxP), treatment (DMSO, RAP)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	dithiothreitol	iodoacetamide	orbitrap	PAB9129A26RW21_B1.raw	v1.1.0	HAMLET-agentic v0.1.0	malaria
PXD012143-Sample-23	P. falciparum	blood	malaria	schizonts and merozoites	12	not available	not available	run 23	proteomic profiling by mass spectrometry	not available	not available	Orbitrap Fusion Lumos	NT=Lys-C;AC=MS:1001309	1	2	not available	line (ACβ-HA:loxP, PKAc-HA:loxP), treatment (DMSO, RAP)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	dithiothreitol	iodoacetamide	orbitrap	PAB9129A25RW30_A6.raw	v1.1.0	HAMLET-agentic v0.1.0	malaria
PXD012143-Sample-24	P. falciparum	blood	malaria	schizonts and merozoites	12	not available	not available	run 24	proteomic profiling by mass spectrometry	not available	not available	Orbitrap Fusion Lumos	NT=Lys-C;AC=MS:1001309	1	2	not available	line (ACβ-HA:loxP, PKAc-HA:loxP), treatment (DMSO, RAP)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	dithiothreitol	iodoacetamide	orbitrap	PAB9129A25RW34_A8.raw	v1.1.0	HAMLET-agentic v0.1.0	malaria
PXD012143-Sample-25	P. falciparum	blood	malaria	schizonts and merozoites	12	not available	not available	run 25	proteomic profiling by mass spectrometry	not available	not available	Orbitrap Fusion Lumos	NT=Lys-C;AC=MS:1001309	1	2	not available	line (ACβ-HA:loxP, PKAc-HA:loxP), treatment (DMSO, RAP)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	dithiothreitol	iodoacetamide	orbitrap	PAB9129A26RW22_B2.raw	v1.1.0	HAMLET-agentic v0.1.0	malaria
PXD012143-Sample-26	P. falciparum	blood	malaria	schizonts and merozoites	12	not available	not available	run 26	proteomic profiling by mass spectrometry	not available	not available	Orbitrap Fusion Lumos	NT=Lys-C;AC=MS:1001309	1	2	not available	line (ACβ-HA:loxP, PKAc-HA:loxP), treatment (DMSO, RAP)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	dithiothreitol	iodoacetamide	orbitrap	PAB9129A26RW27_B4.raw	v1.1.0	HAMLET-agentic v0.1.0	malaria
PXD012143-Sample-27	P. falciparum	blood	malaria	schizonts and merozoites	12	not available	not available	run 27	proteomic profiling by mass spectrometry	not available	not available	Orbitrap Fusion Lumos	NT=Lys-C;AC=MS:1001309	1	2	not available	line (ACβ-HA:loxP, PKAc-HA:loxP), treatment (DMSO, RAP)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	dithiothreitol	iodoacetamide	orbitrap	PAB9129A26RW33_B7.raw	v1.1.0	HAMLET-agentic v0.1.0	malaria
PXD012143-Sample-28	P. falciparum	blood	malaria	schizonts and merozoites	12	not available	not available	run 28	proteomic profiling by mass spectrometry	not available	not available	Orbitrap Fusion Lumos	NT=Lys-C;AC=MS:1001309	1	2	not available	line (ACβ-HA:loxP, PKAc-HA:loxP), treatment (DMSO, RAP)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	dithiothreitol	iodoacetamide	orbitrap	PAB9129A25RW32_A7.raw	v1.1.0	HAMLET-agentic v0.1.0	malaria
PXD012143-Sample-29	P. falciparum	blood	malaria	schizonts and merozoites	12	not available	not available	run 29	proteomic profiling by mass spectrometry	not available	not available	Orbitrap Fusion Lumos	NT=Lys-C;AC=MS:1001309	1	2	not available	line (ACβ-HA:loxP, PKAc-HA:loxP), treatment (DMSO, RAP)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	dithiothreitol	iodoacetamide	orbitrap	PAB9129A25RW29_A5.raw	v1.1.0	HAMLET-agentic v0.1.0	malaria
PXD012143-Sample-30	P. falciparum	blood	malaria	schizonts and merozoites	12	not available	not available	run 30	proteomic profiling by mass spectrometry	not available	not available	Orbitrap Fusion Lumos	NT=Lys-C;AC=MS:1001309	1	2	not available	line (ACβ-HA:loxP, PKAc-HA:loxP), treatment (DMSO, RAP)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	dithiothreitol	iodoacetamide	orbitrap	PAB9129A26RW28_B5.raw	v1.1.0	HAMLET-agentic v0.1.0	malaria
PXD012143-Sample-31	P. falciparum	blood	malaria	schizonts and merozoites	12	not available	not available	run 31	proteomic profiling by mass spectrometry	not available	not available	Orbitrap Fusion Lumos	NT=Lys-C;AC=MS:1001309	1	2	not available	line (ACβ-HA:loxP, PKAc-HA:loxP), treatment (DMSO, RAP)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	dithiothreitol	iodoacetamide	orbitrap	PAB9129A25RW27_A4.raw	v1.1.0	HAMLET-agentic v0.1.0	malaria
PXD012143-Sample-32	P. falciparum	blood	malaria	schizonts and merozoites	12	not available	not available	run 32	proteomic profiling by mass spectrometry	not available	not available	Orbitrap Fusion Lumos	NT=Lys-C;AC=MS:1001309	1	2	not available	line (ACβ-HA:loxP, PKAc-HA:loxP), treatment (DMSO, RAP)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	dithiothreitol	iodoacetamide	orbitrap	PAB9129A26RW20_B1.raw	v1.1.0	HAMLET-agentic v0.1.0	malaria
