source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD015833-Sample-11	P. falciparum, P. knowlesi, Homo sapiens	rbcs	human malaria	erythrocytes	4	not available	not available	run 11	proteomic profiling by mass spectrometry	not available	not available	Orbitrap Lumos, Q-Exactive	NT=Lys-C;AC=MS:1001309	12	3	not available	species (P. falciparum, P. knowlesi), infection status (iRBC, uRBC), treatment (DMSO, RAP)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	20 ppm, 4.5 ppm	dithiothreitol	iodoacetamide	orbitrap	PAT8141A20RW2_A2.raw	v1.1.0	HAMLET-agentic v0.1.0	human malaria
PXD015833-Sample-12	P. falciparum, P. knowlesi, Homo sapiens	rbcs	human malaria	erythrocytes	4	not available	not available	run 12	proteomic profiling by mass spectrometry	not available	not available	Orbitrap Lumos, Q-Exactive	NT=Lys-C;AC=MS:1001309	12	3	not available	species (P. falciparum, P. knowlesi), infection status (iRBC, uRBC), treatment (DMSO, RAP)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	20 ppm, 4.5 ppm	dithiothreitol	iodoacetamide	orbitrap	PAT8778A44RW2_F1.raw	v1.1.0	HAMLET-agentic v0.1.0	human malaria
PXD015833-Sample-13	P. falciparum, P. knowlesi, Homo sapiens	rbcs	human malaria	erythrocytes	4	not available	not available	run 13	proteomic profiling by mass spectrometry	not available	not available	Orbitrap Lumos, Q-Exactive	NT=Lys-C;AC=MS:1001309	12	3	not available	species (P. falciparum, P. knowlesi), infection status (iRBC, uRBC), treatment (DMSO, RAP)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	20 ppm, 4.5 ppm	dithiothreitol	iodoacetamide	orbitrap	SCX_fr12.raw	v1.1.0	HAMLET-agentic v0.1.0	human malaria
PXD015833-Sample-14	P. falciparum, P. knowlesi, Homo sapiens	rbcs	human malaria	erythrocytes	4	not available	not available	run 14	proteomic profiling by mass spectrometry	not available	not available	Orbitrap Lumos, Q-Exactive	NT=Lys-C;AC=MS:1001309	12	3	not available	species (P. falciparum, P. knowlesi), infection status (iRBC, uRBC), treatment (DMSO, RAP)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	20 ppm, 4.5 ppm	dithiothreitol	iodoacetamide	orbitrap	PAT8778A35RW2_E1.raw	v1.1.0	HAMLET-agentic v0.1.0	human malaria
PXD015833-Sample-15	P. falciparum, P. knowlesi, Homo sapiens	rbcs	human malaria	erythrocytes	4	not available	not available	run 15	proteomic profiling by mass spectrometry	not available	not available	Orbitrap Lumos, Q-Exactive	NT=Lys-C;AC=MS:1001309	12	3	not available	species (P. falciparum, P. knowlesi), infection status (iRBC, uRBC), treatment (DMSO, RAP)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	20 ppm, 4.5 ppm	dithiothreitol	iodoacetamide	orbitrap	PAT8141A16RW2_E1.raw	v1.1.0	HAMLET-agentic v0.1.0	human malaria
PXD015833-Sample-16	P. falciparum, P. knowlesi, Homo sapiens	rbcs	human malaria	erythrocytes	4	not available	not available	run 16	proteomic profiling by mass spectrometry	not available	not available	Orbitrap Lumos, Q-Exactive	NT=Lys-C;AC=MS:1001309	12	3	not available	species (P. falciparum, P. knowlesi), infection status (iRBC, uRBC), treatment (DMSO, RAP)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	20 ppm, 4.5 ppm	dithiothreitol	iodoacetamide	orbitrap	PAT9290A16RW2_E1.raw	v1.1.0	HAMLET-agentic v0.1.0	human malaria
PXD015833-Sample-17	P. falciparum, P. knowlesi, Homo sapiens	rbcs	human malaria	erythrocytes	4	not available	not available	run 17	proteomic profiling by mass spectrometry	not available	not available	Orbitrap Lumos, Q-Exactive	NT=Lys-C;AC=MS:1001309	12	3	not available	species (P. falciparum, P. knowlesi), infection status (iRBC, uRBC), treatment (DMSO, RAP)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	20 ppm, 4.5 ppm	dithiothreitol	iodoacetamide	orbitrap	PAT8141A18RW2_G1.raw	v1.1.0	HAMLET-agentic v0.1.0	human malaria
PXD015833-Sample-18	P. falciparum, P. knowlesi, Homo sapiens	rbcs	human malaria	erythrocytes	4	not available	not available	run 18	proteomic profiling by mass spectrometry	not available	not available	Orbitrap Lumos, Q-Exactive	NT=Lys-C;AC=MS:1001309	12	3	not available	species (P. falciparum, P. knowlesi), infection status (iRBC, uRBC), treatment (DMSO, RAP)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	20 ppm, 4.5 ppm	dithiothreitol	iodoacetamide	orbitrap	phospho_ms2_QEx_fr1.raw	v1.1.0	HAMLET-agentic v0.1.0	human malaria
PXD015833-Sample-19	P. falciparum, P. knowlesi, Homo sapiens	rbcs	human malaria	erythrocytes	4	not available	not available	run 19	proteomic profiling by mass spectrometry	not available	not available	Orbitrap Lumos, Q-Exactive	NT=Lys-C;AC=MS:1001309	12	3	not available	species (P. falciparum, P. knowlesi), infection status (iRBC, uRBC), treatment (DMSO, RAP)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	20 ppm, 4.5 ppm	dithiothreitol	iodoacetamide	orbitrap	phospho_ms3_Lum_fr6.raw	v1.1.0	HAMLET-agentic v0.1.0	human malaria
PXD015833-Sample-20	P. falciparum, P. knowlesi, Homo sapiens	rbcs	human malaria	erythrocytes	4	not available	not available	run 20	proteomic profiling by mass spectrometry	not available	not available	Orbitrap Lumos, Q-Exactive	NT=Lys-C;AC=MS:1001309	12	3	not available	species (P. falciparum, P. knowlesi), infection status (iRBC, uRBC), treatment (DMSO, RAP)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	20 ppm, 4.5 ppm	dithiothreitol	iodoacetamide	orbitrap	phospho_ms2_Lum_fr11.raw	v1.1.0	HAMLET-agentic v0.1.0	human malaria
PXD015833-Sample-21	P. falciparum, P. knowlesi, Homo sapiens	rbcs	human malaria	erythrocytes	4	not available	not available	run 21	proteomic profiling by mass spectrometry	not available	not available	Orbitrap Lumos, Q-Exactive	NT=Lys-C;AC=MS:1001309	12	3	not available	species (P. falciparum, P. knowlesi), infection status (iRBC, uRBC), treatment (DMSO, RAP)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	20 ppm, 4.5 ppm	dithiothreitol	iodoacetamide	orbitrap	PAT8778A50RW2_D1.raw	v1.1.0	HAMLET-agentic v0.1.0	human malaria
PXD015833-Sample-22	P. falciparum, P. knowlesi, Homo sapiens	rbcs	human malaria	erythrocytes	4	not available	not available	run 22	proteomic profiling by mass spectrometry	not available	not available	Orbitrap Lumos, Q-Exactive	NT=Lys-C;AC=MS:1001309	12	3	not available	species (P. falciparum, P. knowlesi), infection status (iRBC, uRBC), treatment (DMSO, RAP)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	20 ppm, 4.5 ppm	dithiothreitol	iodoacetamide	orbitrap	PAT8778A54RW2_H1.raw	v1.1.0	HAMLET-agentic v0.1.0	human malaria
PXD015833-Sample-23	P. falciparum, P. knowlesi, Homo sapiens	rbcs	human malaria	erythrocytes	4	not available	not available	run 23	proteomic profiling by mass spectrometry	not available	not available	Orbitrap Lumos, Q-Exactive	NT=Lys-C;AC=MS:1001309	12	3	not available	species (P. falciparum, P. knowlesi), infection status (iRBC, uRBC), treatment (DMSO, RAP)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	20 ppm, 4.5 ppm	dithiothreitol	iodoacetamide	orbitrap	PAT8141A14RW2_C1.raw	v1.1.0	HAMLET-agentic v0.1.0	human malaria
PXD015833-Sample-24	P. falciparum, P. knowlesi, Homo sapiens	rbcs	human malaria	erythrocytes	4	not available	not available	run 24	proteomic profiling by mass spectrometry	not available	not available	Orbitrap Lumos, Q-Exactive	NT=Lys-C;AC=MS:1001309	12	3	not available	species (P. falciparum, P. knowlesi), infection status (iRBC, uRBC), treatment (DMSO, RAP)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	20 ppm, 4.5 ppm	dithiothreitol	iodoacetamide	orbitrap	PAT9290A20RW2_A1.raw	v1.1.0	HAMLET-agentic v0.1.0	human malaria
PXD015833-Sample-25	P. falciparum, P. knowlesi, Homo sapiens	rbcs	human malaria	erythrocytes	4	not available	not available	run 25	proteomic profiling by mass spectrometry	not available	not available	Orbitrap Lumos, Q-Exactive	NT=Lys-C;AC=MS:1001309	12	3	not available	species (P. falciparum, P. knowlesi), infection status (iRBC, uRBC), treatment (DMSO, RAP)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	20 ppm, 4.5 ppm	dithiothreitol	iodoacetamide	orbitrap	PAT8141A23RW2_D2.raw	v1.1.0	HAMLET-agentic v0.1.0	human malaria
PXD015833-Sample-26	P. falciparum, P. knowlesi, Homo sapiens	rbcs	human malaria	erythrocytes	4	not available	not available	run 26	proteomic profiling by mass spectrometry	not available	not available	Orbitrap Lumos, Q-Exactive	NT=Lys-C;AC=MS:1001309	12	3	not available	species (P. falciparum, P. knowlesi), infection status (iRBC, uRBC), treatment (DMSO, RAP)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	20 ppm, 4.5 ppm	dithiothreitol	iodoacetamide	orbitrap	phospho_ms2_QEx_fr10.raw	v1.1.0	HAMLET-agentic v0.1.0	human malaria
PXD015833-Sample-27	P. falciparum, P. knowlesi, Homo sapiens	rbcs	human malaria	erythrocytes	4	not available	not available	run 27	proteomic profiling by mass spectrometry	not available	not available	Orbitrap Lumos, Q-Exactive	NT=Lys-C;AC=MS:1001309	12	3	not available	species (P. falciparum, P. knowlesi), infection status (iRBC, uRBC), treatment (DMSO, RAP)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	20 ppm, 4.5 ppm	dithiothreitol	iodoacetamide	orbitrap	SCX_fr8.raw	v1.1.0	HAMLET-agentic v0.1.0	human malaria
PXD015833-Sample-28	P. falciparum, P. knowlesi, Homo sapiens	rbcs	human malaria	erythrocytes	4	not available	not available	run 28	proteomic profiling by mass spectrometry	not available	not available	Orbitrap Lumos, Q-Exactive	NT=Lys-C;AC=MS:1001309	12	3	not available	species (P. falciparum, P. knowlesi), infection status (iRBC, uRBC), treatment (DMSO, RAP)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	20 ppm, 4.5 ppm	dithiothreitol	iodoacetamide	orbitrap	PAT9290A19RW2_H1.raw	v1.1.0	HAMLET-agentic v0.1.0	human malaria
PXD015833-Sample-29	P. falciparum, P. knowlesi, Homo sapiens	rbcs	human malaria	erythrocytes	4	not available	not available	run 29	proteomic profiling by mass spectrometry	not available	not available	Orbitrap Lumos, Q-Exactive	NT=Lys-C;AC=MS:1001309	12	3	not available	species (P. falciparum, P. knowlesi), infection status (iRBC, uRBC), treatment (DMSO, RAP)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	20 ppm, 4.5 ppm	dithiothreitol	iodoacetamide	orbitrap	phospho_ms2_QEx_fr9.raw	v1.1.0	HAMLET-agentic v0.1.0	human malaria
PXD015833-Sample-30	P. falciparum, P. knowlesi, Homo sapiens	rbcs	human malaria	erythrocytes	4	not available	not available	run 30	proteomic profiling by mass spectrometry	not available	not available	Orbitrap Lumos, Q-Exactive	NT=Lys-C;AC=MS:1001309	12	3	not available	species (P. falciparum, P. knowlesi), infection status (iRBC, uRBC), treatment (DMSO, RAP)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	20 ppm, 4.5 ppm	dithiothreitol	iodoacetamide	orbitrap	phospho_ms3_Lum_fr1.raw	v1.1.0	HAMLET-agentic v0.1.0	human malaria
PXD015833-Sample-31	P. falciparum, P. knowlesi, Homo sapiens	rbcs	human malaria	erythrocytes	4	not available	not available	run 31	proteomic profiling by mass spectrometry	not available	not available	Orbitrap Lumos, Q-Exactive	NT=Lys-C;AC=MS:1001309	12	3	not available	species (P. falciparum, P. knowlesi), infection status (iRBC, uRBC), treatment (DMSO, RAP)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	20 ppm, 4.5 ppm	dithiothreitol	iodoacetamide	orbitrap	PAT8142A29RW2_B1.raw	v1.1.0	HAMLET-agentic v0.1.0	human malaria
