source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD015744-Sample-11	Homo sapiens	pancreas	pancreatic ductal adenocarcinoma (pdac)	PDAC cells	20	not available	not available	run 11	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	5	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (PDAC)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	4.5 ppm	20 ppm	dithiothreitol	iodoacetamide	orbitrap	QE1_180417_OPL1022_TLL_PDAC_tumor_H4.raw	v1.1.0	HAMLET-agentic v0.1.0	pancreatic ductal adenocarcinoma (pdac)
PXD015744-Sample-12	Homo sapiens	pancreas	pancreatic ductal adenocarcinoma (pdac)	PDAC cells	20	not available	not available	run 12	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	5	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (PDAC)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	4.5 ppm	20 ppm	dithiothreitol	iodoacetamide	orbitrap	QE1_180417_OPL1022_TLL_PDAC_tumor_H5.raw	v1.1.0	HAMLET-agentic v0.1.0	pancreatic ductal adenocarcinoma (pdac)
PXD015744-Sample-13	Homo sapiens	pancreas	pancreatic ductal adenocarcinoma (pdac)	PDAC cells	20	not available	not available	run 13	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	5	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (PDAC)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	4.5 ppm	20 ppm	dithiothreitol	iodoacetamide	orbitrap	QE1_180417_OPL1022_TLL_PDAC_tumor_I1.raw	v1.1.0	HAMLET-agentic v0.1.0	pancreatic ductal adenocarcinoma (pdac)
PXD015744-Sample-14	Homo sapiens	pancreas	pancreatic ductal adenocarcinoma (pdac)	PDAC cells	20	not available	not available	run 14	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	5	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (PDAC)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	4.5 ppm	20 ppm	dithiothreitol	iodoacetamide	orbitrap	QE1_180417_OPL1022_TLL_PDAC_tumor_J3.raw	v1.1.0	HAMLET-agentic v0.1.0	pancreatic ductal adenocarcinoma (pdac)
PXD015744-Sample-15	Homo sapiens	pancreas	pancreatic ductal adenocarcinoma (pdac)	PDAC cells	20	not available	not available	run 15	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	5	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (PDAC)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	4.5 ppm	20 ppm	dithiothreitol	iodoacetamide	orbitrap	QE1_180417_OPL1022_TLL_PDAC_tumor_J5.raw	v1.1.0	HAMLET-agentic v0.1.0	pancreatic ductal adenocarcinoma (pdac)
PXD015744-Sample-16	Homo sapiens	pancreas	pancreatic ductal adenocarcinoma (pdac)	PDAC cells	20	not available	not available	run 16	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	5	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (PDAC)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	4.5 ppm	20 ppm	dithiothreitol	iodoacetamide	orbitrap	QE1_180417_OPL1022_TLL_PDAC_tumor_K2.raw	v1.1.0	HAMLET-agentic v0.1.0	pancreatic ductal adenocarcinoma (pdac)
PXD015744-Sample-17	Homo sapiens	pancreas	pancreatic ductal adenocarcinoma (pdac)	PDAC cells	20	not available	not available	run 17	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	5	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (PDAC)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	4.5 ppm	20 ppm	dithiothreitol	iodoacetamide	orbitrap	QE1_180417_OPL1022_TLL_PDAC_tumor_K4.raw	v1.1.0	HAMLET-agentic v0.1.0	pancreatic ductal adenocarcinoma (pdac)
PXD015744-Sample-18	Homo sapiens	pancreas	pancreatic ductal adenocarcinoma (pdac)	PDAC cells	20	not available	not available	run 18	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	5	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (PDAC)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	4.5 ppm	20 ppm	dithiothreitol	iodoacetamide	orbitrap	QE1_180417_OPL1022_TLL_PDAC_tumor_L1.raw	v1.1.0	HAMLET-agentic v0.1.0	pancreatic ductal adenocarcinoma (pdac)
PXD015744-Sample-19	Homo sapiens	pancreas	pancreatic ductal adenocarcinoma (pdac)	PDAC cells	20	not available	not available	run 19	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	5	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (PDAC)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	4.5 ppm	20 ppm	dithiothreitol	iodoacetamide	orbitrap	QE1_180417_OPL1022_TLL_PDAC_tumor_M3.raw	v1.1.0	HAMLET-agentic v0.1.0	pancreatic ductal adenocarcinoma (pdac)
PXD015744-Sample-20	Homo sapiens	pancreas	pancreatic ductal adenocarcinoma (pdac)	PDAC cells	20	not available	not available	run 20	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	5	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (PDAC)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	4.5 ppm	20 ppm	dithiothreitol	iodoacetamide	orbitrap	QE1_180417_OPL1022_TLL_PDAC_tumor_M4.raw	v1.1.0	HAMLET-agentic v0.1.0	pancreatic ductal adenocarcinoma (pdac)
PXD015744-Sample-21	Homo sapiens	pancreas	pancreatic ductal adenocarcinoma (pdac)	PDAC cells	20	not available	not available	run 21	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	5	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (PDAC)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	4.5 ppm	20 ppm	dithiothreitol	iodoacetamide	orbitrap	QE1_180417_OPL1022_TLL_PDAC_tumor_N1.raw	v1.1.0	HAMLET-agentic v0.1.0	pancreatic ductal adenocarcinoma (pdac)
PXD015744-Sample-22	Homo sapiens	pancreas	pancreatic ductal adenocarcinoma (pdac)	PDAC cells	20	not available	not available	run 22	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	5	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (PDAC)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	4.5 ppm	20 ppm	dithiothreitol	iodoacetamide	orbitrap	QE1_180417_OPL1022_TLL_PDAC_tumor_N4.raw	v1.1.0	HAMLET-agentic v0.1.0	pancreatic ductal adenocarcinoma (pdac)
PXD015744-Sample-23	Homo sapiens	pancreas	pancreatic ductal adenocarcinoma (pdac)	PDAC cells	20	not available	not available	run 23	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	5	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (PDAC)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	4.5 ppm	20 ppm	dithiothreitol	iodoacetamide	orbitrap	QE1_180417_OPL1022_TLL_PDAC_tumor_N5.raw	v1.1.0	HAMLET-agentic v0.1.0	pancreatic ductal adenocarcinoma (pdac)
PXD015744-Sample-24	Homo sapiens	pancreas	pancreatic ductal adenocarcinoma (pdac)	PDAC cells	20	not available	not available	run 24	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	5	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (PDAC)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	4.5 ppm	20 ppm	dithiothreitol	iodoacetamide	orbitrap	QE1_180417_OPL1022_TLL_PDAC_tumor_P3.raw	v1.1.0	HAMLET-agentic v0.1.0	pancreatic ductal adenocarcinoma (pdac)
PXD015744-Sample-25	Homo sapiens	pancreas	pancreatic ductal adenocarcinoma (pdac)	PDAC cells	20	not available	not available	run 25	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	5	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (PDAC)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	4.5 ppm	20 ppm	dithiothreitol	iodoacetamide	orbitrap	QE1_180417_OPL1022_TLL_PDAC_tumor_Q1.raw	v1.1.0	HAMLET-agentic v0.1.0	pancreatic ductal adenocarcinoma (pdac)
PXD015744-Sample-26	Homo sapiens	pancreas	pancreatic ductal adenocarcinoma (pdac)	PDAC cells	20	not available	not available	run 26	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	5	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (PDAC)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	4.5 ppm	20 ppm	dithiothreitol	iodoacetamide	orbitrap	QE1_180417_OPL1022_TLL_PDAC_tumor_Q4.raw	v1.1.0	HAMLET-agentic v0.1.0	pancreatic ductal adenocarcinoma (pdac)
PXD015744-Sample-27	Homo sapiens	pancreas	pancreatic ductal adenocarcinoma (pdac)	PDAC cells	20	not available	not available	run 27	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	5	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (PDAC)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	4.5 ppm	20 ppm	dithiothreitol	iodoacetamide	orbitrap	QE1_180417_OPL1022_TLL_PDAC_tumor_R1.raw	v1.1.0	HAMLET-agentic v0.1.0	pancreatic ductal adenocarcinoma (pdac)
PXD015744-Sample-28	Homo sapiens	pancreas	pancreatic ductal adenocarcinoma (pdac)	PDAC cells	20	not available	not available	run 28	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	5	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (PDAC)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	4.5 ppm	20 ppm	dithiothreitol	iodoacetamide	orbitrap	QE1_180417_OPL1022_TLL_PDAC_tumor_R3.raw	v1.1.0	HAMLET-agentic v0.1.0	pancreatic ductal adenocarcinoma (pdac)
PXD015744-Sample-29	Homo sapiens	pancreas	pancreatic ductal adenocarcinoma (pdac)	PDAC cells	20	not available	not available	run 29	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	5	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (PDAC)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	4.5 ppm	20 ppm	dithiothreitol	iodoacetamide	orbitrap	QE1_180417_OPL1022_TLL_PDAC_tumor_R4.raw	v1.1.0	HAMLET-agentic v0.1.0	pancreatic ductal adenocarcinoma (pdac)
PXD015744-Sample-30	Homo sapiens	pancreas	pancreatic ductal adenocarcinoma (pdac)	PDAC cells	20	not available	not available	run 30	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	5	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (PDAC)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	4.5 ppm	20 ppm	dithiothreitol	iodoacetamide	orbitrap	QE1_180417_OPL1022_TLL_PDAC_tumor_S2.raw	v1.1.0	HAMLET-agentic v0.1.0	pancreatic ductal adenocarcinoma (pdac)
PXD015744-Sample-31	Homo sapiens	pancreas	pancreatic ductal adenocarcinoma (pdac)	PDAC cells	20	not available	not available	run 31	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	5	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (PDAC)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	4.5 ppm	20 ppm	dithiothreitol	iodoacetamide	orbitrap	QE1_180417_OPL1022_TLL_PDAC_tumor_H3.raw	v1.1.0	HAMLET-agentic v0.1.0	pancreatic ductal adenocarcinoma (pdac)
PXD015744-Sample-32	Homo sapiens	pancreas	pancreatic ductal adenocarcinoma (pdac)	PDAC cells	20	not available	not available	run 32	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	5	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (PDAC)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	4.5 ppm	20 ppm	dithiothreitol	iodoacetamide	orbitrap	QE1_180417_OPL1022_TLL_PDAC_tumor_C2.raw	v1.1.0	HAMLET-agentic v0.1.0	pancreatic ductal adenocarcinoma (pdac)
