source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[reduction reagent]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD026287-Sample-12	Arabidopsis	root	wt, mutant	12	not available	2-week-old	run 12	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap Velos Pro	NT=Trypsin;AC=MS:1001251	1	5	not available	Genotype/Protein Tag (WT, HAKAI-GFP, MTA-GFP, hakai-2 MTA-GFP)	not available	dithiothreitol	orbitrap	HAKAI_2_2.raw	v1.1.0	HAMLET-agentic v0.1.0	wt, mutant
PXD026287-Sample-13	Arabidopsis	root	wt, mutant	12	not available	2-week-old	run 13	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap Velos Pro	NT=Trypsin;AC=MS:1001251	1	5	not available	Genotype/Protein Tag (WT, HAKAI-GFP, MTA-GFP, hakai-2 MTA-GFP)	not available	dithiothreitol	orbitrap	HAKAI_1_5.raw	v1.1.0	HAMLET-agentic v0.1.0	wt, mutant
PXD026287-Sample-14	Arabidopsis	root	wt, mutant	12	not available	2-week-old	run 14	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap Velos Pro	NT=Trypsin;AC=MS:1001251	1	5	not available	Genotype/Protein Tag (WT, HAKAI-GFP, MTA-GFP, hakai-2 MTA-GFP)	not available	dithiothreitol	orbitrap	HAKAI_1_2.raw	v1.1.0	HAMLET-agentic v0.1.0	wt, mutant
PXD026287-Sample-15	Arabidopsis	root	wt, mutant	12	not available	2-week-old	run 15	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap Velos Pro	NT=Trypsin;AC=MS:1001251	1	5	not available	Genotype/Protein Tag (WT, HAKAI-GFP, MTA-GFP, hakai-2 MTA-GFP)	not available	dithiothreitol	orbitrap	HAKAI_3_4.raw	v1.1.0	HAMLET-agentic v0.1.0	wt, mutant
PXD026287-Sample-16	Arabidopsis	root	wt, mutant	12	not available	2-week-old	run 16	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap Velos Pro	NT=Trypsin;AC=MS:1001251	1	5	not available	Genotype/Protein Tag (WT, HAKAI-GFP, MTA-GFP, hakai-2 MTA-GFP)	not available	dithiothreitol	orbitrap	MTA_3_2.raw	v1.1.0	HAMLET-agentic v0.1.0	wt, mutant
PXD026287-Sample-17	Arabidopsis	root	wt, mutant	12	not available	2-week-old	run 17	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap Velos Pro	NT=Trypsin;AC=MS:1001251	1	5	not available	Genotype/Protein Tag (WT, HAKAI-GFP, MTA-GFP, hakai-2 MTA-GFP)	not available	dithiothreitol	orbitrap	HAKAI_1_1.raw	v1.1.0	HAMLET-agentic v0.1.0	wt, mutant
PXD026287-Sample-18	Arabidopsis	root	wt, mutant	12	not available	2-week-old	run 18	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap Velos Pro	NT=Trypsin;AC=MS:1001251	1	5	not available	Genotype/Protein Tag (WT, HAKAI-GFP, MTA-GFP, hakai-2 MTA-GFP)	not available	dithiothreitol	orbitrap	hakai_MTA_3_3.raw	v1.1.0	HAMLET-agentic v0.1.0	wt, mutant
PXD026287-Sample-19	Arabidopsis	root	wt, mutant	12	not available	2-week-old	run 19	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap Velos Pro	NT=Trypsin;AC=MS:1001251	1	5	not available	Genotype/Protein Tag (WT, HAKAI-GFP, MTA-GFP, hakai-2 MTA-GFP)	not available	dithiothreitol	orbitrap	hakai_MTA_1_4.raw	v1.1.0	HAMLET-agentic v0.1.0	wt, mutant
PXD026287-Sample-20	Arabidopsis	root	wt, mutant	12	not available	2-week-old	run 20	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap Velos Pro	NT=Trypsin;AC=MS:1001251	1	5	not available	Genotype/Protein Tag (WT, HAKAI-GFP, MTA-GFP, hakai-2 MTA-GFP)	not available	dithiothreitol	orbitrap	WT_3_5.raw	v1.1.0	HAMLET-agentic v0.1.0	wt, mutant
PXD026287-Sample-21	Arabidopsis	root	wt, mutant	12	not available	2-week-old	run 21	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap Velos Pro	NT=Trypsin;AC=MS:1001251	1	5	not available	Genotype/Protein Tag (WT, HAKAI-GFP, MTA-GFP, hakai-2 MTA-GFP)	not available	dithiothreitol	orbitrap	MTA_2_3.raw	v1.1.0	HAMLET-agentic v0.1.0	wt, mutant
PXD026287-Sample-22	Arabidopsis	root	wt, mutant	12	not available	2-week-old	run 22	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap Velos Pro	NT=Trypsin;AC=MS:1001251	1	5	not available	Genotype/Protein Tag (WT, HAKAI-GFP, MTA-GFP, hakai-2 MTA-GFP)	not available	dithiothreitol	orbitrap	MTA_3_1.raw	v1.1.0	HAMLET-agentic v0.1.0	wt, mutant
PXD026287-Sample-23	Arabidopsis	root	wt, mutant	12	not available	2-week-old	run 23	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap Velos Pro	NT=Trypsin;AC=MS:1001251	1	5	not available	Genotype/Protein Tag (WT, HAKAI-GFP, MTA-GFP, hakai-2 MTA-GFP)	not available	dithiothreitol	orbitrap	MTA_2_1.raw	v1.1.0	HAMLET-agentic v0.1.0	wt, mutant
PXD026287-Sample-24	Arabidopsis	root	wt, mutant	12	not available	2-week-old	run 24	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap Velos Pro	NT=Trypsin;AC=MS:1001251	1	5	not available	Genotype/Protein Tag (WT, HAKAI-GFP, MTA-GFP, hakai-2 MTA-GFP)	not available	dithiothreitol	orbitrap	WT_2_2.raw	v1.1.0	HAMLET-agentic v0.1.0	wt, mutant
PXD026287-Sample-25	Arabidopsis	root	wt, mutant	12	not available	2-week-old	run 25	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap Velos Pro	NT=Trypsin;AC=MS:1001251	1	5	not available	Genotype/Protein Tag (WT, HAKAI-GFP, MTA-GFP, hakai-2 MTA-GFP)	not available	dithiothreitol	orbitrap	hakai_MTA_1_5.raw	v1.1.0	HAMLET-agentic v0.1.0	wt, mutant
PXD026287-Sample-26	Arabidopsis	root	wt, mutant	12	not available	2-week-old	run 26	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap Velos Pro	NT=Trypsin;AC=MS:1001251	1	5	not available	Genotype/Protein Tag (WT, HAKAI-GFP, MTA-GFP, hakai-2 MTA-GFP)	not available	dithiothreitol	orbitrap	WT_1_1.raw	v1.1.0	HAMLET-agentic v0.1.0	wt, mutant
PXD026287-Sample-27	Arabidopsis	root	wt, mutant	12	not available	2-week-old	run 27	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap Velos Pro	NT=Trypsin;AC=MS:1001251	1	5	not available	Genotype/Protein Tag (WT, HAKAI-GFP, MTA-GFP, hakai-2 MTA-GFP)	not available	dithiothreitol	orbitrap	MTA_1_5.raw	v1.1.0	HAMLET-agentic v0.1.0	wt, mutant
PXD026287-Sample-28	Arabidopsis	root	wt, mutant	12	not available	2-week-old	run 28	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap Velos Pro	NT=Trypsin;AC=MS:1001251	1	5	not available	Genotype/Protein Tag (WT, HAKAI-GFP, MTA-GFP, hakai-2 MTA-GFP)	not available	dithiothreitol	orbitrap	HAKAI_3_3.raw	v1.1.0	HAMLET-agentic v0.1.0	wt, mutant
PXD026287-Sample-29	Arabidopsis	root	wt, mutant	12	not available	2-week-old	run 29	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap Velos Pro	NT=Trypsin;AC=MS:1001251	1	5	not available	Genotype/Protein Tag (WT, HAKAI-GFP, MTA-GFP, hakai-2 MTA-GFP)	not available	dithiothreitol	orbitrap	HAKAI_1_4.raw	v1.1.0	HAMLET-agentic v0.1.0	wt, mutant
PXD026287-Sample-30	Arabidopsis	root	wt, mutant	12	not available	2-week-old	run 30	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap Velos Pro	NT=Trypsin;AC=MS:1001251	1	5	not available	Genotype/Protein Tag (WT, HAKAI-GFP, MTA-GFP, hakai-2 MTA-GFP)	not available	dithiothreitol	orbitrap	HAKAI_2_5.raw	v1.1.0	HAMLET-agentic v0.1.0	wt, mutant
PXD026287-Sample-31	Arabidopsis	root	wt, mutant	12	not available	2-week-old	run 31	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap Velos Pro	NT=Trypsin;AC=MS:1001251	1	5	not available	Genotype/Protein Tag (WT, HAKAI-GFP, MTA-GFP, hakai-2 MTA-GFP)	not available	dithiothreitol	orbitrap	MTA_3_4.raw	v1.1.0	HAMLET-agentic v0.1.0	wt, mutant
PXD026287-Sample-32	Arabidopsis	root	wt, mutant	12	not available	2-week-old	run 32	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap Velos Pro	NT=Trypsin;AC=MS:1001251	1	5	not available	Genotype/Protein Tag (WT, HAKAI-GFP, MTA-GFP, hakai-2 MTA-GFP)	not available	dithiothreitol	orbitrap	HAKAI_2_4.raw	v1.1.0	HAMLET-agentic v0.1.0	wt, mutant
PXD026287-Sample-33	Arabidopsis	root	wt, mutant	12	not available	2-week-old	run 33	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap Velos Pro	NT=Trypsin;AC=MS:1001251	1	5	not available	Genotype/Protein Tag (WT, HAKAI-GFP, MTA-GFP, hakai-2 MTA-GFP)	not available	dithiothreitol	orbitrap	hakai_MTA_2_4.raw	v1.1.0	HAMLET-agentic v0.1.0	wt, mutant
PXD026287-Sample-34	Arabidopsis	root	wt, mutant	12	not available	2-week-old	run 34	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap Velos Pro	NT=Trypsin;AC=MS:1001251	1	5	not available	Genotype/Protein Tag (WT, HAKAI-GFP, MTA-GFP, hakai-2 MTA-GFP)	not available	dithiothreitol	orbitrap	HAKAI_3_2.raw	v1.1.0	HAMLET-agentic v0.1.0	wt, mutant
PXD026287-Sample-35	Arabidopsis	root	wt, mutant	12	not available	2-week-old	run 35	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap Velos Pro	NT=Trypsin;AC=MS:1001251	1	5	not available	Genotype/Protein Tag (WT, HAKAI-GFP, MTA-GFP, hakai-2 MTA-GFP)	not available	dithiothreitol	orbitrap	WT_3_1.raw	v1.1.0	HAMLET-agentic v0.1.0	wt, mutant
PXD026287-Sample-36	Arabidopsis	root	wt, mutant	12	not available	2-week-old	run 36	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap Velos Pro	NT=Trypsin;AC=MS:1001251	1	5	not available	Genotype/Protein Tag (WT, HAKAI-GFP, MTA-GFP, hakai-2 MTA-GFP)	not available	dithiothreitol	orbitrap	hakai_MTA_3_4.raw	v1.1.0	HAMLET-agentic v0.1.0	wt, mutant
PXD026287-Sample-37	Arabidopsis	root	wt, mutant	12	not available	2-week-old	run 37	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap Velos Pro	NT=Trypsin;AC=MS:1001251	1	5	not available	Genotype/Protein Tag (WT, HAKAI-GFP, MTA-GFP, hakai-2 MTA-GFP)	not available	dithiothreitol	orbitrap	WT_3_3.raw	v1.1.0	HAMLET-agentic v0.1.0	wt, mutant
PXD026287-Sample-38	Arabidopsis	root	wt, mutant	12	not available	2-week-old	run 38	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap Velos Pro	NT=Trypsin;AC=MS:1001251	1	5	not available	Genotype/Protein Tag (WT, HAKAI-GFP, MTA-GFP, hakai-2 MTA-GFP)	not available	dithiothreitol	orbitrap	HAKAI_3_5.raw	v1.1.0	HAMLET-agentic v0.1.0	wt, mutant
PXD026287-Sample-39	Arabidopsis	root	wt, mutant	12	not available	2-week-old	run 39	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap Velos Pro	NT=Trypsin;AC=MS:1001251	1	5	not available	Genotype/Protein Tag (WT, HAKAI-GFP, MTA-GFP, hakai-2 MTA-GFP)	not available	dithiothreitol	orbitrap	MTA_3_5.raw	v1.1.0	HAMLET-agentic v0.1.0	wt, mutant
PXD026287-Sample-40	Arabidopsis	root	wt, mutant	12	not available	2-week-old	run 40	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap Velos Pro	NT=Trypsin;AC=MS:1001251	1	5	not available	Genotype/Protein Tag (WT, HAKAI-GFP, MTA-GFP, hakai-2 MTA-GFP)	not available	dithiothreitol	orbitrap	MTA_2_5.raw	v1.1.0	HAMLET-agentic v0.1.0	wt, mutant
PXD026287-Sample-41	Arabidopsis	root	wt, mutant	12	not available	2-week-old	run 41	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap Velos Pro	NT=Trypsin;AC=MS:1001251	1	5	not available	Genotype/Protein Tag (WT, HAKAI-GFP, MTA-GFP, hakai-2 MTA-GFP)	not available	dithiothreitol	orbitrap	MTA_2_4.raw	v1.1.0	HAMLET-agentic v0.1.0	wt, mutant
PXD026287-Sample-42	Arabidopsis	root	wt, mutant	12	not available	2-week-old	run 42	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap Velos Pro	NT=Trypsin;AC=MS:1001251	1	5	not available	Genotype/Protein Tag (WT, HAKAI-GFP, MTA-GFP, hakai-2 MTA-GFP)	not available	dithiothreitol	orbitrap	hakai_MTA_1_2.raw	v1.1.0	HAMLET-agentic v0.1.0	wt, mutant
PXD026287-Sample-43	Arabidopsis	root	wt, mutant	12	not available	2-week-old	run 43	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap Velos Pro	NT=Trypsin;AC=MS:1001251	1	5	not available	Genotype/Protein Tag (WT, HAKAI-GFP, MTA-GFP, hakai-2 MTA-GFP)	not available	dithiothreitol	orbitrap	WT_1_4.raw	v1.1.0	HAMLET-agentic v0.1.0	wt, mutant
PXD026287-Sample-44	Arabidopsis	root	wt, mutant	12	not available	2-week-old	run 44	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap Velos Pro	NT=Trypsin;AC=MS:1001251	1	5	not available	Genotype/Protein Tag (WT, HAKAI-GFP, MTA-GFP, hakai-2 MTA-GFP)	not available	dithiothreitol	orbitrap	MTA_1_1.raw	v1.1.0	HAMLET-agentic v0.1.0	wt, mutant
PXD026287-Sample-45	Arabidopsis	root	wt, mutant	12	not available	2-week-old	run 45	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap Velos Pro	NT=Trypsin;AC=MS:1001251	1	5	not available	Genotype/Protein Tag (WT, HAKAI-GFP, MTA-GFP, hakai-2 MTA-GFP)	not available	dithiothreitol	orbitrap	WT_3_2.raw	v1.1.0	HAMLET-agentic v0.1.0	wt, mutant
PXD026287-Sample-46	Arabidopsis	root	wt, mutant	12	not available	2-week-old	run 46	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap Velos Pro	NT=Trypsin;AC=MS:1001251	1	5	not available	Genotype/Protein Tag (WT, HAKAI-GFP, MTA-GFP, hakai-2 MTA-GFP)	not available	dithiothreitol	orbitrap	MTA_3_3.raw	v1.1.0	HAMLET-agentic v0.1.0	wt, mutant
PXD026287-Sample-47	Arabidopsis	root	wt, mutant	12	not available	2-week-old	run 47	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap Velos Pro	NT=Trypsin;AC=MS:1001251	1	5	not available	Genotype/Protein Tag (WT, HAKAI-GFP, MTA-GFP, hakai-2 MTA-GFP)	not available	dithiothreitol	orbitrap	HAKAI_3_1.raw	v1.1.0	HAMLET-agentic v0.1.0	wt, mutant
PXD026287-Sample-48	Arabidopsis	root	wt, mutant	12	not available	2-week-old	run 48	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap Velos Pro	NT=Trypsin;AC=MS:1001251	1	5	not available	Genotype/Protein Tag (WT, HAKAI-GFP, MTA-GFP, hakai-2 MTA-GFP)	not available	dithiothreitol	orbitrap	hakai_MTA_2_1.raw	v1.1.0	HAMLET-agentic v0.1.0	wt, mutant
PXD026287-Sample-49	Arabidopsis	root	wt, mutant	12	not available	2-week-old	run 49	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap Velos Pro	NT=Trypsin;AC=MS:1001251	1	5	not available	Genotype/Protein Tag (WT, HAKAI-GFP, MTA-GFP, hakai-2 MTA-GFP)	not available	dithiothreitol	orbitrap	WT_1_5.raw	v1.1.0	HAMLET-agentic v0.1.0	wt, mutant
PXD026287-Sample-50	Arabidopsis	root	wt, mutant	12	not available	2-week-old	run 50	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap Velos Pro	NT=Trypsin;AC=MS:1001251	1	5	not available	Genotype/Protein Tag (WT, HAKAI-GFP, MTA-GFP, hakai-2 MTA-GFP)	not available	dithiothreitol	orbitrap	MTA_2_2.raw	v1.1.0	HAMLET-agentic v0.1.0	wt, mutant
PXD026287-Sample-51	Arabidopsis	root	wt, mutant	12	not available	2-week-old	run 51	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap Velos Pro	NT=Trypsin;AC=MS:1001251	1	5	not available	Genotype/Protein Tag (WT, HAKAI-GFP, MTA-GFP, hakai-2 MTA-GFP)	not available	dithiothreitol	orbitrap	MTA_1_2.raw	v1.1.0	HAMLET-agentic v0.1.0	wt, mutant
PXD026287-Sample-52	Arabidopsis	root	wt, mutant	12	not available	2-week-old	run 52	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap Velos Pro	NT=Trypsin;AC=MS:1001251	1	5	not available	Genotype/Protein Tag (WT, HAKAI-GFP, MTA-GFP, hakai-2 MTA-GFP)	not available	dithiothreitol	orbitrap	WT_1_3.raw	v1.1.0	HAMLET-agentic v0.1.0	wt, mutant
PXD026287-Sample-53	Arabidopsis	root	wt, mutant	12	not available	2-week-old	run 53	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap Velos Pro	NT=Trypsin;AC=MS:1001251	1	5	not available	Genotype/Protein Tag (WT, HAKAI-GFP, MTA-GFP, hakai-2 MTA-GFP)	not available	dithiothreitol	orbitrap	hakai_MTA_1_3.raw	v1.1.0	HAMLET-agentic v0.1.0	wt, mutant
PXD026287-Sample-54	Arabidopsis	root	wt, mutant	12	not available	2-week-old	run 54	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap Velos Pro	NT=Trypsin;AC=MS:1001251	1	5	not available	Genotype/Protein Tag (WT, HAKAI-GFP, MTA-GFP, hakai-2 MTA-GFP)	not available	dithiothreitol	orbitrap	hakai_MTA_1_1.raw	v1.1.0	HAMLET-agentic v0.1.0	wt, mutant
PXD026287-Sample-55	Arabidopsis	root	wt, mutant	12	not available	2-week-old	run 55	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap Velos Pro	NT=Trypsin;AC=MS:1001251	1	5	not available	Genotype/Protein Tag (WT, HAKAI-GFP, MTA-GFP, hakai-2 MTA-GFP)	not available	dithiothreitol	orbitrap	hakai_MTA_2_3.raw	v1.1.0	HAMLET-agentic v0.1.0	wt, mutant
PXD026287-Sample-56	Arabidopsis	root	wt, mutant	12	not available	2-week-old	run 56	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap Velos Pro	NT=Trypsin;AC=MS:1001251	1	5	not available	Genotype/Protein Tag (WT, HAKAI-GFP, MTA-GFP, hakai-2 MTA-GFP)	not available	dithiothreitol	orbitrap	WT_2_3.raw	v1.1.0	HAMLET-agentic v0.1.0	wt, mutant
PXD026287-Sample-57	Arabidopsis	root	wt, mutant	12	not available	2-week-old	run 57	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap Velos Pro	NT=Trypsin;AC=MS:1001251	1	5	not available	Genotype/Protein Tag (WT, HAKAI-GFP, MTA-GFP, hakai-2 MTA-GFP)	not available	dithiothreitol	orbitrap	MTA_1_3.raw	v1.1.0	HAMLET-agentic v0.1.0	wt, mutant
PXD026287-Sample-58	Arabidopsis	root	wt, mutant	12	not available	2-week-old	run 58	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap Velos Pro	NT=Trypsin;AC=MS:1001251	1	5	not available	Genotype/Protein Tag (WT, HAKAI-GFP, MTA-GFP, hakai-2 MTA-GFP)	not available	dithiothreitol	orbitrap	hakai_MTA_2_5.raw	v1.1.0	HAMLET-agentic v0.1.0	wt, mutant
PXD026287-Sample-59	Arabidopsis	root	wt, mutant	12	not available	2-week-old	run 59	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap Velos Pro	NT=Trypsin;AC=MS:1001251	1	5	not available	Genotype/Protein Tag (WT, HAKAI-GFP, MTA-GFP, hakai-2 MTA-GFP)	not available	dithiothreitol	orbitrap	HAKAI_2_3.raw	v1.1.0	HAMLET-agentic v0.1.0	wt, mutant
PXD026287-Sample-60	Arabidopsis	root	wt, mutant	12	not available	2-week-old	run 60	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap Velos Pro	NT=Trypsin;AC=MS:1001251	1	5	not available	Genotype/Protein Tag (WT, HAKAI-GFP, MTA-GFP, hakai-2 MTA-GFP)	not available	dithiothreitol	orbitrap	WT_2_1.raw	v1.1.0	HAMLET-agentic v0.1.0	wt, mutant
