source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[ms2 mass analyzer]	comment[ms1 scan range]	comment[collision energy]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD008840-Sample-11	Homo sapiens	stomach	diffuse-type gastric cancer	tumor cells	1	not available	not available	run 11	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Orbitrap Fusion, Orbitrap Fusion Lumos, Q Exactive Plus, Q Exactive HF	NT=Trypsin;AC=MS:1001251	6	1	not available	tissue type (tumor, nearby tissue)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	20 ppm	dithiothreitol	iodoacetamide	orbitrap	300m/z-1400m/z	27 NCE	GC065T_DGC_83871_E001198_F4_R1.raw	v1.1.0	HAMLET-agentic v0.1.0	diffuse-type gastric cancer
PXD008840-Sample-12	Homo sapiens	stomach	diffuse-type gastric cancer	tumor cells	1	not available	not available	run 12	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Orbitrap Fusion, Orbitrap Fusion Lumos, Q Exactive Plus, Q Exactive HF	NT=Trypsin;AC=MS:1001251	6	1	not available	tissue type (tumor, nearby tissue)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	20 ppm	dithiothreitol	iodoacetamide	orbitrap	300m/z-1400m/z	27 NCE	GC066N_DGC_83874_E001201_F6_R1.raw	v1.1.0	HAMLET-agentic v0.1.0	diffuse-type gastric cancer
PXD008840-Sample-13	Homo sapiens	stomach	diffuse-type gastric cancer	tumor cells	1	not available	not available	run 13	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Orbitrap Fusion, Orbitrap Fusion Lumos, Q Exactive Plus, Q Exactive HF	NT=Trypsin;AC=MS:1001251	6	1	not available	tissue type (tumor, nearby tissue)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	20 ppm	dithiothreitol	iodoacetamide	orbitrap	300m/z-1400m/z	27 NCE	GC067N_DGC_83876_E001203_F6_R1.raw	v1.1.0	HAMLET-agentic v0.1.0	diffuse-type gastric cancer
PXD008840-Sample-14	Homo sapiens	stomach	diffuse-type gastric cancer	tumor cells	1	not available	not available	run 14	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Orbitrap Fusion, Orbitrap Fusion Lumos, Q Exactive Plus, Q Exactive HF	NT=Trypsin;AC=MS:1001251	6	1	not available	tissue type (tumor, nearby tissue)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	20 ppm	dithiothreitol	iodoacetamide	orbitrap	300m/z-1400m/z	27 NCE	GC076N_DGC_83962_E001404_F1_R1.raw	v1.1.0	HAMLET-agentic v0.1.0	diffuse-type gastric cancer
PXD008840-Sample-15	Homo sapiens	stomach	diffuse-type gastric cancer	tumor cells	1	not available	not available	run 15	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Orbitrap Fusion, Orbitrap Fusion Lumos, Q Exactive Plus, Q Exactive HF	NT=Trypsin;AC=MS:1001251	6	1	not available	tissue type (tumor, nearby tissue)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	20 ppm	dithiothreitol	iodoacetamide	orbitrap	300m/z-1400m/z	27 NCE	GC077T_DGC_83963_E001405_F4_R1.raw	v1.1.0	HAMLET-agentic v0.1.0	diffuse-type gastric cancer
PXD008840-Sample-16	Homo sapiens	stomach	diffuse-type gastric cancer	tumor cells	1	not available	not available	run 16	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Orbitrap Fusion, Orbitrap Fusion Lumos, Q Exactive Plus, Q Exactive HF	NT=Trypsin;AC=MS:1001251	6	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	tissue type (tumor, nearby tissue)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	20 ppm	dithiothreitol	iodoacetamide	orbitrap	300m/z-1400m/z	27 NCE	GC090N_DGC_85273_E015038_F4_R1.raw	v1.1.0	HAMLET-agentic v0.1.0	diffuse-type gastric cancer
PXD008840-Sample-17	Homo sapiens	stomach	diffuse-type gastric cancer	tumor cells	1	not available	not available	run 17	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Orbitrap Fusion, Orbitrap Fusion Lumos, Q Exactive Plus, Q Exactive HF	NT=Trypsin;AC=MS:1001251	6	1	not available	tissue type (tumor, nearby tissue)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	20 ppm	dithiothreitol	iodoacetamide	orbitrap	300m/z-1400m/z	27 NCE	GC091N_DGC_85347_E002675_F1_R1.raw	v1.1.0	HAMLET-agentic v0.1.0	diffuse-type gastric cancer
PXD008840-Sample-18	Homo sapiens	stomach	diffuse-type gastric cancer	tumor cells	1	not available	not available	run 18	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Orbitrap Fusion, Orbitrap Fusion Lumos, Q Exactive Plus, Q Exactive HF	NT=Trypsin;AC=MS:1001251	6	1	not available	tissue type (tumor, nearby tissue)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	20 ppm	dithiothreitol	iodoacetamide	orbitrap	300m/z-1400m/z	27 NCE	GC094T_DGC_85350_E002678_F5_R1.raw	v1.1.0	HAMLET-agentic v0.1.0	diffuse-type gastric cancer
PXD008840-Sample-19	Homo sapiens	stomach	diffuse-type gastric cancer	tumor cells	1	not available	not available	run 19	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Orbitrap Fusion, Orbitrap Fusion Lumos, Q Exactive Plus, Q Exactive HF	NT=Trypsin;AC=MS:1001251	6	1	not available	tissue type (tumor, nearby tissue)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	20 ppm	dithiothreitol	iodoacetamide	orbitrap	300m/z-1400m/z	27 NCE	GC101T_DGC_85297_E002499_F6_R1.raw	v1.1.0	HAMLET-agentic v0.1.0	diffuse-type gastric cancer
PXD008840-Sample-20	Homo sapiens	stomach	diffuse-type gastric cancer	tumor cells	1	not available	not available	run 20	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Orbitrap Fusion, Orbitrap Fusion Lumos, Q Exactive Plus, Q Exactive HF	NT=Trypsin;AC=MS:1001251	6	1	not available	tissue type (tumor, nearby tissue)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	20 ppm	dithiothreitol	iodoacetamide	orbitrap	300m/z-1400m/z	27 NCE	GC102T_DGC_85357_E002685_F4_R1.raw	v1.1.0	HAMLET-agentic v0.1.0	diffuse-type gastric cancer
PXD008840-Sample-21	Homo sapiens	stomach	diffuse-type gastric cancer	tumor cells	1	not available	not available	run 21	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Orbitrap Fusion, Orbitrap Fusion Lumos, Q Exactive Plus, Q Exactive HF	NT=Trypsin;AC=MS:1001251	6	1	not available	tissue type (tumor, nearby tissue)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	20 ppm	dithiothreitol	iodoacetamide	orbitrap	300m/z-1400m/z	27 NCE	GC103T_DGC_85358_E002686_F3_R1.raw	v1.1.0	HAMLET-agentic v0.1.0	diffuse-type gastric cancer
PXD008840-Sample-22	Homo sapiens	stomach	diffuse-type gastric cancer	tumor cells	1	not available	not available	run 22	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Orbitrap Fusion, Orbitrap Fusion Lumos, Q Exactive Plus, Q Exactive HF	NT=Trypsin;AC=MS:1001251	6	1	not available	tissue type (tumor, nearby tissue)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	20 ppm	dithiothreitol	iodoacetamide	orbitrap	300m/z-1400m/z	27 NCE	GC103T_DGC_85358_E002686_F6_R1.raw	v1.1.0	HAMLET-agentic v0.1.0	diffuse-type gastric cancer
PXD008840-Sample-23	Homo sapiens	stomach	diffuse-type gastric cancer	tumor cells	1	not available	not available	run 23	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Orbitrap Fusion, Orbitrap Fusion Lumos, Q Exactive Plus, Q Exactive HF	NT=Trypsin;AC=MS:1001251	6	1	not available	tissue type (tumor, nearby tissue)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	20 ppm	dithiothreitol	iodoacetamide	orbitrap	300m/z-1400m/z	27 NCE	GC104N_DGC_85299_E002501_F1_R1.raw	v1.1.0	HAMLET-agentic v0.1.0	diffuse-type gastric cancer
PXD008840-Sample-24	Homo sapiens	stomach	diffuse-type gastric cancer	tumor cells	1	not available	not available	run 24	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Orbitrap Fusion, Orbitrap Fusion Lumos, Q Exactive Plus, Q Exactive HF	NT=Trypsin;AC=MS:1001251	6	1	not available	tissue type (tumor, nearby tissue)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	20 ppm	dithiothreitol	iodoacetamide	orbitrap	300m/z-1400m/z	27 NCE	GC111N_DGC_85330_E002512_F1_R1.raw	v1.1.0	HAMLET-agentic v0.1.0	diffuse-type gastric cancer
PXD008840-Sample-25	Homo sapiens	stomach	diffuse-type gastric cancer	tumor cells	1	not available	not available	run 25	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Orbitrap Fusion, Orbitrap Fusion Lumos, Q Exactive Plus, Q Exactive HF	NT=Trypsin;AC=MS:1001251	6	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	tissue type (tumor, nearby tissue)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	20 ppm	dithiothreitol	iodoacetamide	orbitrap	300m/z-1400m/z	27 NCE	GC112T_DGC_85365_E002693_F5_R1.raw	v1.1.0	HAMLET-agentic v0.1.0	diffuse-type gastric cancer
PXD008840-Sample-26	Homo sapiens	stomach	diffuse-type gastric cancer	tumor cells	1	not available	not available	run 26	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Orbitrap Fusion, Orbitrap Fusion Lumos, Q Exactive Plus, Q Exactive HF	NT=Trypsin;AC=MS:1001251	6	1	not available	tissue type (tumor, nearby tissue)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	20 ppm	dithiothreitol	iodoacetamide	orbitrap	300m/z-1400m/z	27 NCE	GC114N_DGC_85334_E002516_F2_R1.raw	v1.1.0	HAMLET-agentic v0.1.0	diffuse-type gastric cancer
PXD008840-Sample-27	Homo sapiens	stomach	diffuse-type gastric cancer	tumor cells	1	not available	not available	run 27	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Orbitrap Fusion, Orbitrap Fusion Lumos, Q Exactive Plus, Q Exactive HF	NT=Trypsin;AC=MS:1001251	6	1	not available	tissue type (tumor, nearby tissue)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	20 ppm	dithiothreitol	iodoacetamide	orbitrap	300m/z-1400m/z	27 NCE	GC114N_DGC_85334_E002516_F5_R1.raw	v1.1.0	HAMLET-agentic v0.1.0	diffuse-type gastric cancer
PXD008840-Sample-28	Homo sapiens	stomach	diffuse-type gastric cancer	tumor cells	1	not available	not available	run 28	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Orbitrap Fusion, Orbitrap Fusion Lumos, Q Exactive Plus, Q Exactive HF	NT=Trypsin;AC=MS:1001251	6	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	tissue type (tumor, nearby tissue)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	20 ppm	dithiothreitol	iodoacetamide	orbitrap	300m/z-1400m/z	27 NCE	GC117T_DGC_85369_E002697_F3_R1.raw	v1.1.0	HAMLET-agentic v0.1.0	diffuse-type gastric cancer
PXD008840-Sample-29	Homo sapiens	stomach	diffuse-type gastric cancer	tumor cells	1	not available	not available	run 29	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Orbitrap Fusion, Orbitrap Fusion Lumos, Q Exactive Plus, Q Exactive HF	NT=Trypsin;AC=MS:1001251	6	1	not available	tissue type (tumor, nearby tissue)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	20 ppm	dithiothreitol	iodoacetamide	orbitrap	300m/z-1400m/z	27 NCE	GC118N_DGC_85338_E002520_F2_R1.raw	v1.1.0	HAMLET-agentic v0.1.0	diffuse-type gastric cancer
PXD008840-Sample-30	Homo sapiens	stomach	diffuse-type gastric cancer	tumor cells	1	not available	not available	run 30	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Orbitrap Fusion, Orbitrap Fusion Lumos, Q Exactive Plus, Q Exactive HF	NT=Trypsin;AC=MS:1001251	6	1	not available	tissue type (tumor, nearby tissue)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	20 ppm	dithiothreitol	iodoacetamide	orbitrap	300m/z-1400m/z	27 NCE	GC118N_DGC_85338_E002520_F5_R1.raw	v1.1.0	HAMLET-agentic v0.1.0	diffuse-type gastric cancer
PXD008840-Sample-31	Homo sapiens	stomach	diffuse-type gastric cancer	tumor cells	1	not available	not available	run 31	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Orbitrap Fusion, Orbitrap Fusion Lumos, Q Exactive Plus, Q Exactive HF	NT=Trypsin;AC=MS:1001251	6	1	not available	tissue type (tumor, nearby tissue)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	20 ppm	dithiothreitol	iodoacetamide	orbitrap	300m/z-1400m/z	27 NCE	GC068N_DGC_83878_E001205_F3_R1.raw	v1.1.0	HAMLET-agentic v0.1.0	diffuse-type gastric cancer
PXD008840-Sample-32	Homo sapiens	stomach	diffuse-type gastric cancer	tumor cells	1	not available	not available	run 32	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Orbitrap Fusion, Orbitrap Fusion Lumos, Q Exactive Plus, Q Exactive HF	NT=Trypsin;AC=MS:1001251	6	1	not available	tissue type (tumor, nearby tissue)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	20 ppm	dithiothreitol	iodoacetamide	orbitrap	300m/z-1400m/z	27 NCE	GC047N_DGC_83580_E001179_F6_R1.raw	v1.1.0	HAMLET-agentic v0.1.0	diffuse-type gastric cancer
PXD008840-Sample-33	Homo sapiens	stomach	diffuse-type gastric cancer	tumor cells	1	not available	not available	run 33	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Orbitrap Fusion, Orbitrap Fusion Lumos, Q Exactive Plus, Q Exactive HF	NT=Trypsin;AC=MS:1001251	6	1	not available	tissue type (tumor, nearby tissue)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	20 ppm	dithiothreitol	iodoacetamide	orbitrap	300m/z-1400m/z	27 NCE	GC096N_DGC_85280_E015043_F4_R1.raw	v1.1.0	HAMLET-agentic v0.1.0	diffuse-type gastric cancer
PXD008840-Sample-34	Homo sapiens	stomach	diffuse-type gastric cancer	tumor cells	1	not available	not available	run 34	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Orbitrap Fusion, Orbitrap Fusion Lumos, Q Exactive Plus, Q Exactive HF	NT=Trypsin;AC=MS:1001251	6	1	not available	tissue type (tumor, nearby tissue)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	20 ppm	dithiothreitol	iodoacetamide	orbitrap	300m/z-1400m/z	27 NCE	GC047T_DGC_83579_E001178_F5_R1.raw	v1.1.0	HAMLET-agentic v0.1.0	diffuse-type gastric cancer
PXD008840-Sample-35	Homo sapiens	stomach	diffuse-type gastric cancer	tumor cells	1	not available	not available	run 35	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Orbitrap Fusion, Orbitrap Fusion Lumos, Q Exactive Plus, Q Exactive HF	NT=Trypsin;AC=MS:1001251	6	1	not available	tissue type (tumor, nearby tissue)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	20 ppm	dithiothreitol	iodoacetamide	orbitrap	300m/z-1400m/z	27 NCE	GC074T_DGC_83895_E001216_F2_R1.raw	v1.1.0	HAMLET-agentic v0.1.0	diffuse-type gastric cancer
PXD008840-Sample-36	Homo sapiens	stomach	diffuse-type gastric cancer	tumor cells	1	not available	not available	run 36	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Orbitrap Fusion, Orbitrap Fusion Lumos, Q Exactive Plus, Q Exactive HF	NT=Trypsin;AC=MS:1001251	6	1	not available	tissue type (tumor, nearby tissue)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	20 ppm	dithiothreitol	iodoacetamide	orbitrap	300m/z-1400m/z	27 NCE	GC046T_DGC_83577_E001176_F5_R1.raw	v1.1.0	HAMLET-agentic v0.1.0	diffuse-type gastric cancer
