source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD006003-Sample-11	Homo sapiens, Mus musculus	melanoma	stage iv melanoma	melanoma cells	WM266–4, WM115, A375, Mel526, Mel624, Mel76, Mel04, YUMMER1.7	not available	3	not available	not available	run 11	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	Q-Exactive Plus, Q-Exactive HF	NT=Lys-C;AC=MS:1001309	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (TIL, anti-PD1), response (responders, non-responders)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	8 ppm	10 ppm	dithiothreitol	iodoacetamide	20161101_MH_SA_PD1_5-4.raw	v1.1.0	HAMLET-agentic v0.1.0	stage iv melanoma
PXD006003-Sample-12	Homo sapiens, Mus musculus	melanoma	stage iv melanoma	melanoma cells	WM266–4, WM115, A375, Mel526, Mel624, Mel76, Mel04, YUMMER1.7	not available	3	not available	not available	run 12	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	Q-Exactive Plus, Q-Exactive HF	NT=Lys-C;AC=MS:1001309	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (TIL, anti-PD1), response (responders, non-responders)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	8 ppm	10 ppm	dithiothreitol	iodoacetamide	20161101_MH_SA_PD1_5-5.raw	v1.1.0	HAMLET-agentic v0.1.0	stage iv melanoma
PXD006003-Sample-13	Homo sapiens, Mus musculus	melanoma	stage iv melanoma	melanoma cells	WM266–4, WM115, A375, Mel526, Mel624, Mel76, Mel04, YUMMER1.7	not available	3	not available	not available	run 13	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	Q-Exactive Plus, Q-Exactive HF	NT=Lys-C;AC=MS:1001309	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (TIL, anti-PD1), response (responders, non-responders)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	8 ppm	10 ppm	dithiothreitol	iodoacetamide	20161101_MH_SA_PD1_50-1.raw	v1.1.0	HAMLET-agentic v0.1.0	stage iv melanoma
PXD006003-Sample-14	Homo sapiens, Mus musculus	melanoma	stage iv melanoma	melanoma cells	WM266–4, WM115, A375, Mel526, Mel624, Mel76, Mel04, YUMMER1.7	not available	3	not available	not available	run 14	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	Q-Exactive Plus, Q-Exactive HF	NT=Lys-C;AC=MS:1001309	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (TIL, anti-PD1), response (responders, non-responders)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	8 ppm	10 ppm	dithiothreitol	iodoacetamide	20161101_MH_SA_PD1_50-2.raw	v1.1.0	HAMLET-agentic v0.1.0	stage iv melanoma
PXD006003-Sample-15	Homo sapiens, Mus musculus	melanoma	stage iv melanoma	melanoma cells	WM266–4, WM115, A375, Mel526, Mel624, Mel76, Mel04, YUMMER1.7	not available	3	not available	not available	run 15	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	Q-Exactive Plus, Q-Exactive HF	NT=Lys-C;AC=MS:1001309	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (TIL, anti-PD1), response (responders, non-responders)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	8 ppm	10 ppm	dithiothreitol	iodoacetamide	20161117_MH_SA_PD1_17-5.raw	v1.1.0	HAMLET-agentic v0.1.0	stage iv melanoma
PXD006003-Sample-16	Homo sapiens, Mus musculus	melanoma	stage iv melanoma	melanoma cells	WM266–4, WM115, A375, Mel526, Mel624, Mel76, Mel04, YUMMER1.7	not available	3	not available	not available	run 16	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	Q-Exactive Plus, Q-Exactive HF	NT=Lys-C;AC=MS:1001309	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (TIL, anti-PD1), response (responders, non-responders)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	8 ppm	10 ppm	dithiothreitol	iodoacetamide	20161117_MH_SA_PD1_44-3.raw	v1.1.0	HAMLET-agentic v0.1.0	stage iv melanoma
PXD006003-Sample-17	Homo sapiens, Mus musculus	melanoma	stage iv melanoma	melanoma cells	WM266–4, WM115, A375, Mel526, Mel624, Mel76, Mel04, YUMMER1.7	not available	3	not available	not available	run 17	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	Q-Exactive Plus, Q-Exactive HF	NT=Lys-C;AC=MS:1001309	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (TIL, anti-PD1), response (responders, non-responders)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	8 ppm	10 ppm	dithiothreitol	iodoacetamide	20161117_MH_SA_PD1_45-1.raw	v1.1.0	HAMLET-agentic v0.1.0	stage iv melanoma
PXD006003-Sample-18	Homo sapiens, Mus musculus	melanoma	stage iv melanoma	melanoma cells	WM266–4, WM115, A375, Mel526, Mel624, Mel76, Mel04, YUMMER1.7	not available	3	not available	not available	run 18	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	Q-Exactive Plus, Q-Exactive HF	NT=Lys-C;AC=MS:1001309	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (TIL, anti-PD1), response (responders, non-responders)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	8 ppm	10 ppm	dithiothreitol	iodoacetamide	20170322_MH_SA_PD1_18_4.raw	v1.1.0	HAMLET-agentic v0.1.0	stage iv melanoma
PXD006003-Sample-19	Homo sapiens, Mus musculus	melanoma	stage iv melanoma	melanoma cells	WM266–4, WM115, A375, Mel526, Mel624, Mel76, Mel04, YUMMER1.7	not available	3	not available	not available	run 19	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	Q-Exactive Plus, Q-Exactive HF	NT=Lys-C;AC=MS:1001309	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (TIL, anti-PD1), response (responders, non-responders)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	8 ppm	10 ppm	dithiothreitol	iodoacetamide	20170329_MH_SA_PD1_26_3.raw	v1.1.0	HAMLET-agentic v0.1.0	stage iv melanoma
PXD006003-Sample-20	Homo sapiens, Mus musculus	melanoma	stage iv melanoma	melanoma cells	WM266–4, WM115, A375, Mel526, Mel624, Mel76, Mel04, YUMMER1.7	not available	3	not available	not available	run 20	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	Q-Exactive Plus, Q-Exactive HF	NT=Lys-C;AC=MS:1001309	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (TIL, anti-PD1), response (responders, non-responders)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	8 ppm	10 ppm	dithiothreitol	iodoacetamide	20170329_MH_SA_PD1_42_3.raw	v1.1.0	HAMLET-agentic v0.1.0	stage iv melanoma
PXD006003-Sample-21	Homo sapiens, Mus musculus	melanoma	stage iv melanoma	melanoma cells	WM266–4, WM115, A375, Mel526, Mel624, Mel76, Mel04, YUMMER1.7	not available	3	not available	not available	run 21	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	Q-Exactive Plus, Q-Exactive HF	NT=Lys-C;AC=MS:1001309	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (TIL, anti-PD1), response (responders, non-responders)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	8 ppm	10 ppm	dithiothreitol	iodoacetamide	20170329_MH_SA_PD1_4_2.raw	v1.1.0	HAMLET-agentic v0.1.0	stage iv melanoma
PXD006003-Sample-22	Homo sapiens, Mus musculus	melanoma	stage iv melanoma	melanoma cells	WM266–4, WM115, A375, Mel526, Mel624, Mel76, Mel04, YUMMER1.7	not available	3	not available	not available	run 22	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	Q-Exactive Plus, Q-Exactive HF	NT=Lys-C;AC=MS:1001309	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (TIL, anti-PD1), response (responders, non-responders)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	8 ppm	10 ppm	dithiothreitol	iodoacetamide	Animal_20180709_MH_SA_PD1_59_1.raw	v1.1.0	HAMLET-agentic v0.1.0	stage iv melanoma
PXD006003-Sample-23	Homo sapiens, Mus musculus	melanoma	stage iv melanoma	melanoma cells	WM266–4, WM115, A375, Mel526, Mel624, Mel76, Mel04, YUMMER1.7	not available	3	not available	not available	run 23	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	Q-Exactive Plus, Q-Exactive HF	NT=Lys-C;AC=MS:1001309	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (TIL, anti-PD1), response (responders, non-responders)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	8 ppm	10 ppm	dithiothreitol	iodoacetamide	Animal_20180709_MH_SA_PD1_60_4.raw	v1.1.0	HAMLET-agentic v0.1.0	stage iv melanoma
PXD006003-Sample-24	Homo sapiens, Mus musculus	melanoma	stage iv melanoma	melanoma cells	WM266–4, WM115, A375, Mel526, Mel624, Mel76, Mel04, YUMMER1.7	not available	3	not available	not available	run 24	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	Q-Exactive Plus, Q-Exactive HF	NT=Lys-C;AC=MS:1001309	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (TIL, anti-PD1), response (responders, non-responders)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	8 ppm	10 ppm	dithiothreitol	iodoacetamide	Animal_20180726_SA_MH_PD1_68_4.raw	v1.1.0	HAMLET-agentic v0.1.0	stage iv melanoma
PXD006003-Sample-25	Homo sapiens, Mus musculus	melanoma	stage iv melanoma	melanoma cells	WM266–4, WM115, A375, Mel526, Mel624, Mel76, Mel04, YUMMER1.7	not available	3	not available	not available	run 25	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	Q-Exactive Plus, Q-Exactive HF	NT=Lys-C;AC=MS:1001309	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (TIL, anti-PD1), response (responders, non-responders)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	8 ppm	10 ppm	dithiothreitol	iodoacetamide	Animal_20180726_SA_MH_PD1_73_5.raw	v1.1.0	HAMLET-agentic v0.1.0	stage iv melanoma
PXD006003-Sample-26	Homo sapiens, Mus musculus	melanoma	stage iv melanoma	melanoma cells	WM266–4, WM115, A375, Mel526, Mel624, Mel76, Mel04, YUMMER1.7	not available	3	not available	not available	run 26	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	Q-Exactive Plus, Q-Exactive HF	NT=Lys-C;AC=MS:1001309	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (TIL, anti-PD1), response (responders, non-responders)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	8 ppm	10 ppm	dithiothreitol	iodoacetamide	Animal_20180726_SA_MH_PD1_83_1.raw	v1.1.0	HAMLET-agentic v0.1.0	stage iv melanoma
PXD006003-Sample-27	Homo sapiens, Mus musculus	melanoma	stage iv melanoma	melanoma cells	WM266–4, WM115, A375, Mel526, Mel624, Mel76, Mel04, YUMMER1.7	not available	3	not available	not available	run 27	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	Q-Exactive Plus, Q-Exactive HF	NT=Lys-C;AC=MS:1001309	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (TIL, anti-PD1), response (responders, non-responders)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	8 ppm	10 ppm	dithiothreitol	iodoacetamide	Animal_20180902_SA_MH_PD1_71_2.raw	v1.1.0	HAMLET-agentic v0.1.0	stage iv melanoma
PXD006003-Sample-28	Homo sapiens, Mus musculus	melanoma	stage iv melanoma	melanoma cells	WM266–4, WM115, A375, Mel526, Mel624, Mel76, Mel04, YUMMER1.7	not available	3	not available	not available	run 28	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	Q-Exactive Plus, Q-Exactive HF	NT=Lys-C;AC=MS:1001309	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (TIL, anti-PD1), response (responders, non-responders)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	8 ppm	10 ppm	dithiothreitol	iodoacetamide	Animal_20180902_SA_MH_PD1_72_4.raw	v1.1.0	HAMLET-agentic v0.1.0	stage iv melanoma
PXD006003-Sample-29	Homo sapiens, Mus musculus	melanoma	stage iv melanoma	melanoma cells	WM266–4, WM115, A375, Mel526, Mel624, Mel76, Mel04, YUMMER1.7	not available	3	not available	not available	run 29	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	Q-Exactive Plus, Q-Exactive HF	NT=Lys-C;AC=MS:1001309	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (TIL, anti-PD1), response (responders, non-responders)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	8 ppm	10 ppm	dithiothreitol	iodoacetamide	Fozzie_20181010_MH_SA_PD1_70_3.raw	v1.1.0	HAMLET-agentic v0.1.0	stage iv melanoma
PXD006003-Sample-30	Homo sapiens, Mus musculus	melanoma	stage iv melanoma	melanoma cells	WM266–4, WM115, A375, Mel526, Mel624, Mel76, Mel04, YUMMER1.7	not available	3	not available	not available	run 30	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	Q-Exactive Plus, Q-Exactive HF	NT=Lys-C;AC=MS:1001309	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (TIL, anti-PD1), response (responders, non-responders)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	8 ppm	10 ppm	dithiothreitol	iodoacetamide	Fozzie_20181010_MH_SA_PD1_75_1.raw	v1.1.0	HAMLET-agentic v0.1.0	stage iv melanoma
PXD006003-Sample-31	Homo sapiens, Mus musculus	melanoma	stage iv melanoma	melanoma cells	WM266–4, WM115, A375, Mel526, Mel624, Mel76, Mel04, YUMMER1.7	not available	3	not available	not available	run 31	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	Q-Exactive Plus, Q-Exactive HF	NT=Lys-C;AC=MS:1001309	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (TIL, anti-PD1), response (responders, non-responders)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	8 ppm	10 ppm	dithiothreitol	iodoacetamide	20161101_MH_SA_PD1_50-3.raw	v1.1.0	HAMLET-agentic v0.1.0	stage iv melanoma
PXD006003-Sample-32	Homo sapiens, Mus musculus	melanoma	stage iv melanoma	melanoma cells	WM266–4, WM115, A375, Mel526, Mel624, Mel76, Mel04, YUMMER1.7	not available	3	not available	not available	run 32	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	Q-Exactive Plus, Q-Exactive HF	NT=Lys-C;AC=MS:1001309	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (TIL, anti-PD1), response (responders, non-responders)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	8 ppm	10 ppm	dithiothreitol	iodoacetamide	20161117_MH_SA_PD1_14-1.raw	v1.1.0	HAMLET-agentic v0.1.0	stage iv melanoma
PXD006003-Sample-33	Homo sapiens, Mus musculus	melanoma	stage iv melanoma	melanoma cells	WM266–4, WM115, A375, Mel526, Mel624, Mel76, Mel04, YUMMER1.7	not available	3	not available	not available	run 33	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	Q-Exactive Plus, Q-Exactive HF	NT=Lys-C;AC=MS:1001309	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (TIL, anti-PD1), response (responders, non-responders)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	8 ppm	10 ppm	dithiothreitol	iodoacetamide	20170329_MH_SA_PD1_25_1.raw	v1.1.0	HAMLET-agentic v0.1.0	stage iv melanoma
