source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[ms2 mass analyzer]	comment[ms1 scan range]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD019113-Sample-11	Chlorocebus sabaeus	kidney	sars-cov-2 infection	epithelial	Vero E6, A549-ACE2, Caco-2, HEK293T	not available	1	female	not available	run 11	proteomic profiling by mass spectrometry	not available	label free sample	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (mock infection, SARS-CoV-2 infection), time (0, 2, 4, 8, 12, 24 h)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	8.1 ppm	15 ppm	dithiothreitol	iodoacetamide	orbitrap	390m/z-1010m/z	LP1_08_AB_DIA_144.raw	v1.1.0	HAMLET-agentic v0.1.0	sars-cov-2 infection
PXD019113-Sample-12	Chlorocebus sabaeus	kidney	sars-cov-2 infection	epithelial	Vero E6, A549-ACE2, Caco-2, HEK293T	not available	1	female	not available	run 12	proteomic profiling by mass spectrometry	not available	label free sample	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (mock infection, SARS-CoV-2 infection), time (0, 2, 4, 8, 12, 24 h)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	8.1 ppm	15 ppm	dithiothreitol	iodoacetamide	orbitrap	390m/z-1010m/z	LP1_08_phos_DIA_120.raw	v1.1.0	HAMLET-agentic v0.1.0	sars-cov-2 infection
PXD019113-Sample-13	Chlorocebus sabaeus	kidney	sars-cov-2 infection	epithelial	Vero E6, A549-ACE2, Caco-2, HEK293T	not available	1	female	not available	run 13	proteomic profiling by mass spectrometry	not available	label free sample	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (mock infection, SARS-CoV-2 infection), time (0, 2, 4, 8, 12, 24 h)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	8.1 ppm	15 ppm	dithiothreitol	iodoacetamide	orbitrap	390m/z-1010m/z	LP1_09_AB_DIA_145.raw	v1.1.0	HAMLET-agentic v0.1.0	sars-cov-2 infection
PXD019113-Sample-14	Chlorocebus sabaeus	kidney	sars-cov-2 infection	epithelial	Vero E6, A549-ACE2, Caco-2, HEK293T	not available	1	female	not available	run 14	proteomic profiling by mass spectrometry	not available	label free sample	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (mock infection, SARS-CoV-2 infection), time (0, 2, 4, 8, 12, 24 h)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	8.1 ppm	15 ppm	dithiothreitol	iodoacetamide	orbitrap	390m/z-1010m/z	LP1_09_phos_DIA_121.raw	v1.1.0	HAMLET-agentic v0.1.0	sars-cov-2 infection
PXD019113-Sample-15	Chlorocebus sabaeus	kidney	sars-cov-2 infection	epithelial	Vero E6, A549-ACE2, Caco-2, HEK293T	not available	1	female	not available	run 15	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (mock infection, SARS-CoV-2 infection), time (0, 2, 4, 8, 12, 24 h)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	8.1 ppm	15 ppm	dithiothreitol	iodoacetamide	orbitrap	390m/z-1010m/z	LP1_10_AB_DDA_150.raw	v1.1.0	HAMLET-agentic v0.1.0	sars-cov-2 infection
PXD019113-Sample-16	Chlorocebus sabaeus	kidney	sars-cov-2 infection	epithelial	Vero E6, A549-ACE2, Caco-2, HEK293T	not available	1	female	not available	run 16	proteomic profiling by mass spectrometry	not available	label free sample	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (mock infection, SARS-CoV-2 infection), time (0, 2, 4, 8, 12, 24 h)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	8.1 ppm	15 ppm	dithiothreitol	iodoacetamide	orbitrap	390m/z-1010m/z	LP1_10_AB_DIA_147.raw	v1.1.0	HAMLET-agentic v0.1.0	sars-cov-2 infection
PXD019113-Sample-17	Chlorocebus sabaeus	kidney	sars-cov-2 infection	epithelial	Vero E6, A549-ACE2, Caco-2, HEK293T	not available	1	female	not available	run 17	proteomic profiling by mass spectrometry	not available	label free sample	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (mock infection, SARS-CoV-2 infection), time (0, 2, 4, 8, 12, 24 h)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	8.1 ppm	15 ppm	dithiothreitol	iodoacetamide	orbitrap	390m/z-1010m/z	LP1_13_AB_DIA_151.raw	v1.1.0	HAMLET-agentic v0.1.0	sars-cov-2 infection
PXD019113-Sample-18	Chlorocebus sabaeus	kidney	sars-cov-2 infection	epithelial	Vero E6, A549-ACE2, Caco-2, HEK293T	not available	1	female	not available	run 18	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (mock infection, SARS-CoV-2 infection), time (0, 2, 4, 8, 12, 24 h)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	8.1 ppm	15 ppm	dithiothreitol	iodoacetamide	orbitrap	390m/z-1010m/z	LP1_13_phos_DDA_130.raw	v1.1.0	HAMLET-agentic v0.1.0	sars-cov-2 infection
PXD019113-Sample-19	Chlorocebus sabaeus	kidney	sars-cov-2 infection	epithelial	Vero E6, A549-ACE2, Caco-2, HEK293T	not available	1	female	not available	run 19	proteomic profiling by mass spectrometry	not available	label free sample	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (mock infection, SARS-CoV-2 infection), time (0, 2, 4, 8, 12, 24 h)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	8.1 ppm	15 ppm	dithiothreitol	iodoacetamide	orbitrap	390m/z-1010m/z	LP1_14_AB_DIA_152.raw	v1.1.0	HAMLET-agentic v0.1.0	sars-cov-2 infection
PXD019113-Sample-20	Chlorocebus sabaeus	kidney	sars-cov-2 infection	epithelial	Vero E6, A549-ACE2, Caco-2, HEK293T	not available	1	female	not available	run 20	proteomic profiling by mass spectrometry	not available	label free sample	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (mock infection, SARS-CoV-2 infection), time (0, 2, 4, 8, 12, 24 h)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	8.1 ppm	15 ppm	dithiothreitol	iodoacetamide	orbitrap	390m/z-1010m/z	LP1_14_phos_DIA_128.raw	v1.1.0	HAMLET-agentic v0.1.0	sars-cov-2 infection
PXD019113-Sample-21	Chlorocebus sabaeus	kidney	sars-cov-2 infection	epithelial	Vero E6, A549-ACE2, Caco-2, HEK293T	not available	1	female	not available	run 21	proteomic profiling by mass spectrometry	not available	label free sample	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (mock infection, SARS-CoV-2 infection), time (0, 2, 4, 8, 12, 24 h)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	8.1 ppm	15 ppm	dithiothreitol	iodoacetamide	orbitrap	390m/z-1010m/z	LP1_16_AB_DIA_155.raw	v1.1.0	HAMLET-agentic v0.1.0	sars-cov-2 infection
PXD019113-Sample-22	Chlorocebus sabaeus	kidney	sars-cov-2 infection	epithelial	Vero E6, A549-ACE2, Caco-2, HEK293T	not available	1	female	not available	run 22	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (mock infection, SARS-CoV-2 infection), time (0, 2, 4, 8, 12, 24 h)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	8.1 ppm	15 ppm	dithiothreitol	iodoacetamide	orbitrap	390m/z-1010m/z	LP1_18_AB_DDA_158.raw	v1.1.0	HAMLET-agentic v0.1.0	sars-cov-2 infection
PXD019113-Sample-23	Chlorocebus sabaeus	kidney	sars-cov-2 infection	epithelial	Vero E6, A549-ACE2, Caco-2, HEK293T	not available	1	female	not available	run 23	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (mock infection, SARS-CoV-2 infection), time (0, 2, 4, 8, 12, 24 h)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	8.1 ppm	15 ppm	dithiothreitol	iodoacetamide	orbitrap	390m/z-1010m/z	LP1_18_phos_DDA_134.raw	v1.1.0	HAMLET-agentic v0.1.0	sars-cov-2 infection
PXD019113-Sample-24	Chlorocebus sabaeus	kidney	sars-cov-2 infection	epithelial	Vero E6, A549-ACE2, Caco-2, HEK293T	not available	1	female	not available	run 24	proteomic profiling by mass spectrometry	not available	label free sample	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (mock infection, SARS-CoV-2 infection), time (0, 2, 4, 8, 12, 24 h)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	8.1 ppm	15 ppm	dithiothreitol	iodoacetamide	orbitrap	390m/z-1010m/z	LP1_18_phos_DIA_133.raw	v1.1.0	HAMLET-agentic v0.1.0	sars-cov-2 infection
PXD019113-Sample-25	Chlorocebus sabaeus	kidney	sars-cov-2 infection	epithelial	Vero E6, A549-ACE2, Caco-2, HEK293T	not available	1	female	not available	run 25	proteomic profiling by mass spectrometry	not available	label free sample	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (mock infection, SARS-CoV-2 infection), time (0, 2, 4, 8, 12, 24 h)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	8.1 ppm	15 ppm	dithiothreitol	iodoacetamide	orbitrap	390m/z-1010m/z	LP1_19_phos_DIA_135.raw	v1.1.0	HAMLET-agentic v0.1.0	sars-cov-2 infection
PXD019113-Sample-26	Chlorocebus sabaeus	kidney	sars-cov-2 infection	epithelial	Vero E6, A549-ACE2, Caco-2, HEK293T	not available	1	female	not available	run 26	proteomic profiling by mass spectrometry	not available	label free sample	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (mock infection, SARS-CoV-2 infection), time (0, 2, 4, 8, 12, 24 h)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	8.1 ppm	15 ppm	dithiothreitol	iodoacetamide	orbitrap	390m/z-1010m/z	LP1_21_AB_DIA_161.raw	v1.1.0	HAMLET-agentic v0.1.0	sars-cov-2 infection
PXD019113-Sample-27	Chlorocebus sabaeus	kidney	sars-cov-2 infection	epithelial	Vero E6, A549-ACE2, Caco-2, HEK293T	not available	1	female	not available	run 27	proteomic profiling by mass spectrometry	not available	label free sample	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (mock infection, SARS-CoV-2 infection), time (0, 2, 4, 8, 12, 24 h)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	8.1 ppm	15 ppm	dithiothreitol	iodoacetamide	orbitrap	390m/z-1010m/z	LP1_21_phos_DIA_137.raw	v1.1.0	HAMLET-agentic v0.1.0	sars-cov-2 infection
PXD019113-Sample-28	Chlorocebus sabaeus	kidney	sars-cov-2 infection	epithelial	Vero E6, A549-ACE2, Caco-2, HEK293T	not available	1	female	not available	run 28	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (mock infection, SARS-CoV-2 infection), time (0, 2, 4, 8, 12, 24 h)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	8.1 ppm	15 ppm	dithiothreitol	iodoacetamide	orbitrap	390m/z-1010m/z	LP1_23_AB_DDA_166.raw	v1.1.0	HAMLET-agentic v0.1.0	sars-cov-2 infection
PXD019113-Sample-29	Chlorocebus sabaeus	kidney	sars-cov-2 infection	epithelial	Vero E6, A549-ACE2, Caco-2, HEK293T	not available	1	female	not available	run 29	proteomic profiling by mass spectrometry	not available	label free sample	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (mock infection, SARS-CoV-2 infection), time (0, 2, 4, 8, 12, 24 h)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	8.1 ppm	15 ppm	dithiothreitol	iodoacetamide	orbitrap	390m/z-1010m/z	LP1_23_phos_DIA_116.raw	v1.1.0	HAMLET-agentic v0.1.0	sars-cov-2 infection
PXD019113-Sample-30	Chlorocebus sabaeus	kidney	sars-cov-2 infection	epithelial	Vero E6, A549-ACE2, Caco-2, HEK293T	not available	1	female	not available	run 30	proteomic profiling by mass spectrometry	not available	label free sample	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (mock infection, SARS-CoV-2 infection), time (0, 2, 4, 8, 12, 24 h)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	8.1 ppm	15 ppm	dithiothreitol	iodoacetamide	orbitrap	390m/z-1010m/z	LP1_24_AB_DIA_165.raw	v1.1.0	HAMLET-agentic v0.1.0	sars-cov-2 infection
