source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD001819-Sample-11	Saccharomyces cerevisiae	cell culture	not available	cell	3	not available	not available	run 11	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	1	3	NT=collision-induced dissociation;AC=MS:1000133	UPS1 spike level (0.05, 0.125, 0.250, 0.5, 2.5, 5, 12.5, 25, 50 fmol/µg)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	5 ppm, 20 ppm, 6 ppm	0.8 Da, 0.5 Da	dithiothreitol	iodoacetamide	orbitrap	UPS1_2500amol_R2.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD001819-Sample-12	Saccharomyces cerevisiae	cell culture	not available	cell	3	not available	not available	run 12	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	1	3	NT=collision-induced dissociation;AC=MS:1000133	UPS1 spike level (0.05, 0.125, 0.250, 0.5, 2.5, 5, 12.5, 25, 50 fmol/µg)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	5 ppm, 20 ppm, 6 ppm	0.8 Da, 0.5 Da	dithiothreitol	iodoacetamide	orbitrap	UPS1_2500amol_R3.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD001819-Sample-13	Saccharomyces cerevisiae	cell culture	not available	cell	3	not available	not available	run 13	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	1	3	NT=collision-induced dissociation;AC=MS:1000133	UPS1 spike level (0.05, 0.125, 0.250, 0.5, 2.5, 5, 12.5, 25, 50 fmol/µg)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	5 ppm, 20 ppm, 6 ppm	0.8 Da, 0.5 Da	dithiothreitol	iodoacetamide	orbitrap	UPS1_250amol_R1.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD001819-Sample-14	Saccharomyces cerevisiae	cell culture	not available	cell	3	not available	not available	run 14	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	1	3	NT=collision-induced dissociation;AC=MS:1000133	UPS1 spike level (0.05, 0.125, 0.250, 0.5, 2.5, 5, 12.5, 25, 50 fmol/µg)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	5 ppm, 20 ppm, 6 ppm	0.8 Da, 0.5 Da	dithiothreitol	iodoacetamide	orbitrap	UPS1_250amol_R2.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD001819-Sample-15	Saccharomyces cerevisiae	cell culture	not available	cell	3	not available	not available	run 15	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	1	3	NT=collision-induced dissociation;AC=MS:1000133	UPS1 spike level (0.05, 0.125, 0.250, 0.5, 2.5, 5, 12.5, 25, 50 fmol/µg)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	5 ppm, 20 ppm, 6 ppm	0.8 Da, 0.5 Da	dithiothreitol	iodoacetamide	orbitrap	UPS1_250amol_R3.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD001819-Sample-16	Saccharomyces cerevisiae	cell culture	not available	cell	3	not available	not available	run 16	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	1	3	NT=collision-induced dissociation;AC=MS:1000133	UPS1 spike level (0.05, 0.125, 0.250, 0.5, 2.5, 5, 12.5, 25, 50 fmol/µg)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	5 ppm, 20 ppm, 6 ppm	0.8 Da, 0.5 Da	dithiothreitol	iodoacetamide	orbitrap	UPS1_50000amol_R1.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD001819-Sample-17	Saccharomyces cerevisiae	cell culture	not available	cell	3	not available	not available	run 17	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	1	3	NT=collision-induced dissociation;AC=MS:1000133	UPS1 spike level (0.05, 0.125, 0.250, 0.5, 2.5, 5, 12.5, 25, 50 fmol/µg)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	5 ppm, 20 ppm, 6 ppm	0.8 Da, 0.5 Da	dithiothreitol	iodoacetamide	orbitrap	UPS1_50000amol_R2.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD001819-Sample-18	Saccharomyces cerevisiae	cell culture	not available	cell	3	not available	not available	run 18	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	1	3	NT=collision-induced dissociation;AC=MS:1000133	UPS1 spike level (0.05, 0.125, 0.250, 0.5, 2.5, 5, 12.5, 25, 50 fmol/µg)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	5 ppm, 20 ppm, 6 ppm	0.8 Da, 0.5 Da	dithiothreitol	iodoacetamide	orbitrap	UPS1_50000amol_R3.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD001819-Sample-19	Saccharomyces cerevisiae	cell culture	not available	cell	3	not available	not available	run 19	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	1	3	NT=collision-induced dissociation;AC=MS:1000133	UPS1 spike level (0.05, 0.125, 0.250, 0.5, 2.5, 5, 12.5, 25, 50 fmol/µg)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	5 ppm, 20 ppm, 6 ppm	0.8 Da, 0.5 Da	dithiothreitol	iodoacetamide	orbitrap	UPS1_5000amol_R1.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD001819-Sample-20	Saccharomyces cerevisiae	cell culture	not available	cell	3	not available	not available	run 20	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	1	3	NT=collision-induced dissociation;AC=MS:1000133	UPS1 spike level (0.05, 0.125, 0.250, 0.5, 2.5, 5, 12.5, 25, 50 fmol/µg)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	5 ppm, 20 ppm, 6 ppm	0.8 Da, 0.5 Da	dithiothreitol	iodoacetamide	orbitrap	UPS1_5000amol_R2.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD001819-Sample-21	Saccharomyces cerevisiae	cell culture	not available	cell	3	not available	not available	run 21	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	1	3	NT=collision-induced dissociation;AC=MS:1000133	UPS1 spike level (0.05, 0.125, 0.250, 0.5, 2.5, 5, 12.5, 25, 50 fmol/µg)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	5 ppm, 20 ppm, 6 ppm	0.8 Da, 0.5 Da	dithiothreitol	iodoacetamide	orbitrap	UPS1_5000amol_R3.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD001819-Sample-22	Saccharomyces cerevisiae	cell culture	not available	cell	3	not available	not available	run 22	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	1	3	not available	UPS1 spike level (0.05, 0.125, 0.250, 0.5, 2.5, 5, 12.5, 25, 50 fmol/µg)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	5 ppm, 20 ppm, 6 ppm	0.8 Da, 0.5 Da	dithiothreitol	iodoacetamide	orbitrap	UPS1_500amol_R1.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD001819-Sample-23	Saccharomyces cerevisiae	cell culture	not available	cell	3	not available	not available	run 23	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	1	3	NT=collision-induced dissociation;AC=MS:1000133	UPS1 spike level (0.05, 0.125, 0.250, 0.5, 2.5, 5, 12.5, 25, 50 fmol/µg)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	5 ppm, 20 ppm, 6 ppm	0.8 Da, 0.5 Da	dithiothreitol	iodoacetamide	orbitrap	UPS1_500amol_R2.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD001819-Sample-24	Saccharomyces cerevisiae	cell culture	not available	cell	3	not available	not available	run 24	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	1	3	NT=collision-induced dissociation;AC=MS:1000133	UPS1 spike level (0.05, 0.125, 0.250, 0.5, 2.5, 5, 12.5, 25, 50 fmol/µg)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	5 ppm, 20 ppm, 6 ppm	0.8 Da, 0.5 Da	dithiothreitol	iodoacetamide	orbitrap	UPS1_500amol_R3.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD001819-Sample-25	Saccharomyces cerevisiae	cell culture	not available	cell	3	not available	not available	run 25	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	1	3	NT=collision-induced dissociation;AC=MS:1000133	UPS1 spike level (0.05, 0.125, 0.250, 0.5, 2.5, 5, 12.5, 25, 50 fmol/µg)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	5 ppm, 20 ppm, 6 ppm	0.8 Da, 0.5 Da	dithiothreitol	iodoacetamide	orbitrap	UPS1_50amol_R2.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD001819-Sample-26	Saccharomyces cerevisiae	cell culture	not available	cell	3	not available	not available	run 26	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	1	3	NT=collision-induced dissociation;AC=MS:1000133	UPS1 spike level (0.05, 0.125, 0.250, 0.5, 2.5, 5, 12.5, 25, 50 fmol/µg)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	5 ppm, 20 ppm, 6 ppm	0.8 Da, 0.5 Da	dithiothreitol	iodoacetamide	orbitrap	UPS1_50amol_R3.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD001819-Sample-27	Saccharomyces cerevisiae	cell culture	not available	cell	3	not available	not available	run 27	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	1	3	NT=collision-induced dissociation;AC=MS:1000133	UPS1 spike level (0.05, 0.125, 0.250, 0.5, 2.5, 5, 12.5, 25, 50 fmol/µg)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	5 ppm, 20 ppm, 6 ppm	0.8 Da, 0.5 Da	dithiothreitol	iodoacetamide	orbitrap	UPS1_50amol_R1.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
