source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD008012-Sample-17	Homo sapiens	breast	triple-negative breast cancer	epithelial cell	MDA-MB-231, MDA-MB-157, Hs578T, MDA-MB-468, HCC1937, HCC1143, HCC38, BT549, BT483, MDA-MB-415	not available	34	not available	not available	run 17	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Elite	NT=Lys-C;AC=MS:1001309	1	1	not available	phenotype (relapsed, non-relapsed)	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	orbitrap	20140113_OR8_RP_HP_B43B.raw	v1.1.0	HAMLET-agentic v0.1.0	triple-negative breast cancer
PXD008012-Sample-18	Homo sapiens	breast	triple-negative breast cancer	epithelial cell	MDA-MB-231, MDA-MB-157, Hs578T, MDA-MB-468, HCC1937, HCC1143, HCC38, BT549, BT483, MDA-MB-415	not available	34	not available	not available	run 18	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Elite	NT=Lys-C;AC=MS:1001309	1	1	not available	phenotype (relapsed, non-relapsed)	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	orbitrap	20131217_OR8_RP_HP_C4c_rr.raw	v1.1.0	HAMLET-agentic v0.1.0	triple-negative breast cancer
PXD008012-Sample-19	Homo sapiens	breast	triple-negative breast cancer	epithelial cell	MDA-MB-231, MDA-MB-157, Hs578T, MDA-MB-468, HCC1937, HCC1143, HCC38, BT549, BT483, MDA-MB-415	not available	34	not available	not available	run 19	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Elite	NT=Lys-C;AC=MS:1001309	1	1	not available	phenotype (relapsed, non-relapsed)	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	orbitrap	20140113_OR8_RP_HP_B9B_rr.raw	v1.1.0	HAMLET-agentic v0.1.0	triple-negative breast cancer
PXD008012-Sample-20	Homo sapiens	breast	triple-negative breast cancer	epithelial cell	MDA-MB-231, MDA-MB-157, Hs578T, MDA-MB-468, HCC1937, HCC1143, HCC38, BT549, BT483, MDA-MB-415	not available	34	not available	not available	run 20	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Elite	NT=Lys-C;AC=MS:1001309	1	1	not available	phenotype (relapsed, non-relapsed)	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	orbitrap	20140108_OR8_RP_HP_B21A.raw	v1.1.0	HAMLET-agentic v0.1.0	triple-negative breast cancer
PXD008012-Sample-21	Homo sapiens	breast	triple-negative breast cancer	epithelial cell	MDA-MB-231, MDA-MB-157, Hs578T, MDA-MB-468, HCC1937, HCC1143, HCC38, BT549, BT483, MDA-MB-415	not available	34	not available	not available	run 21	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Elite	NT=Lys-C;AC=MS:1001309	1	1	not available	phenotype (relapsed, non-relapsed)	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	orbitrap	20140108_OR8_RP_HP_B7A.raw	v1.1.0	HAMLET-agentic v0.1.0	triple-negative breast cancer
PXD008012-Sample-22	Homo sapiens	breast	triple-negative breast cancer	epithelial cell	MDA-MB-231, MDA-MB-157, Hs578T, MDA-MB-468, HCC1937, HCC1143, HCC38, BT549, BT483, MDA-MB-415	not available	34	not available	not available	run 22	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Elite	NT=Lys-C;AC=MS:1001309	1	1	not available	phenotype (relapsed, non-relapsed)	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	orbitrap	20131217_OR8_RP_HP_C3c.raw	v1.1.0	HAMLET-agentic v0.1.0	triple-negative breast cancer
PXD008012-Sample-23	Homo sapiens	breast	triple-negative breast cancer	epithelial cell	MDA-MB-231, MDA-MB-157, Hs578T, MDA-MB-468, HCC1937, HCC1143, HCC38, BT549, BT483, MDA-MB-415	not available	34	not available	not available	run 23	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Elite	NT=Lys-C;AC=MS:1001309	1	1	not available	phenotype (relapsed, non-relapsed)	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	orbitrap	20140113_OR8_RP_HP_B13B.raw	v1.1.0	HAMLET-agentic v0.1.0	triple-negative breast cancer
PXD008012-Sample-24	Homo sapiens	breast	triple-negative breast cancer	epithelial cell	MDA-MB-231, MDA-MB-157, Hs578T, MDA-MB-468, HCC1937, HCC1143, HCC38, BT549, BT483, MDA-MB-415	not available	34	not available	not available	run 24	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Elite	NT=Lys-C;AC=MS:1001309	1	1	not available	phenotype (relapsed, non-relapsed)	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	orbitrap	20131217_OR8_RP_HP_C3b.raw	v1.1.0	HAMLET-agentic v0.1.0	triple-negative breast cancer
PXD008012-Sample-25	Homo sapiens	breast	triple-negative breast cancer	epithelial cell	MDA-MB-231, MDA-MB-157, Hs578T, MDA-MB-468, HCC1937, HCC1143, HCC38, BT549, BT483, MDA-MB-415	not available	34	not available	not available	run 25	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Elite	NT=Lys-C;AC=MS:1001309	1	1	not available	phenotype (relapsed, non-relapsed)	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	orbitrap	20131217_OR8_RP_HP_C7b.raw	v1.1.0	HAMLET-agentic v0.1.0	triple-negative breast cancer
PXD008012-Sample-26	Homo sapiens	breast	triple-negative breast cancer	epithelial cell	MDA-MB-231, MDA-MB-157, Hs578T, MDA-MB-468, HCC1937, HCC1143, HCC38, BT549, BT483, MDA-MB-415	not available	34	not available	not available	run 26	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Elite	NT=Lys-C;AC=MS:1001309	1	1	not available	phenotype (relapsed, non-relapsed)	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	orbitrap	20131217_OR8_RP_HP_C5c_rr.raw	v1.1.0	HAMLET-agentic v0.1.0	triple-negative breast cancer
PXD008012-Sample-27	Homo sapiens	breast	triple-negative breast cancer	epithelial cell	MDA-MB-231, MDA-MB-157, Hs578T, MDA-MB-468, HCC1937, HCC1143, HCC38, BT549, BT483, MDA-MB-415	not available	34	not available	not available	run 27	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Elite	NT=Lys-C;AC=MS:1001309	1	1	not available	phenotype (relapsed, non-relapsed)	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	orbitrap	20140113_OR8_RP_HP_B17B.raw	v1.1.0	HAMLET-agentic v0.1.0	triple-negative breast cancer
PXD008012-Sample-28	Homo sapiens	breast	triple-negative breast cancer	epithelial cell	MDA-MB-231, MDA-MB-157, Hs578T, MDA-MB-468, HCC1937, HCC1143, HCC38, BT549, BT483, MDA-MB-415	not available	34	not available	not available	run 28	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Elite	NT=Lys-C;AC=MS:1001309	1	1	not available	phenotype (relapsed, non-relapsed)	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	orbitrap	20131217_OR8_RP_HP_C9.raw	v1.1.0	HAMLET-agentic v0.1.0	triple-negative breast cancer
PXD008012-Sample-29	Homo sapiens	breast	triple-negative breast cancer	epithelial cell	MDA-MB-231, MDA-MB-157, Hs578T, MDA-MB-468, HCC1937, HCC1143, HCC38, BT549, BT483, MDA-MB-415	not available	34	not available	not available	run 29	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Elite	NT=Lys-C;AC=MS:1001309	1	1	not available	phenotype (relapsed, non-relapsed)	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	orbitrap	20140113_OR8_RP_HP_B10B_rr.raw	v1.1.0	HAMLET-agentic v0.1.0	triple-negative breast cancer
PXD008012-Sample-30	Homo sapiens	breast	triple-negative breast cancer	epithelial cell	MDA-MB-231, MDA-MB-157, Hs578T, MDA-MB-468, HCC1937, HCC1143, HCC38, BT549, BT483, MDA-MB-415	not available	34	not available	not available	run 30	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Elite	NT=Lys-C;AC=MS:1001309	1	1	not available	phenotype (relapsed, non-relapsed)	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	orbitrap	20131217_OR8_RP_HP_C5b.raw	v1.1.0	HAMLET-agentic v0.1.0	triple-negative breast cancer
PXD008012-Sample-31	Homo sapiens	breast	triple-negative breast cancer	epithelial cell	MDA-MB-231, MDA-MB-157, Hs578T, MDA-MB-468, HCC1937, HCC1143, HCC38, BT549, BT483, MDA-MB-415	not available	34	not available	not available	run 31	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Elite	NT=Lys-C;AC=MS:1001309	1	1	not available	phenotype (relapsed, non-relapsed)	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	orbitrap	20131217_OR8_RP_HP_C6.raw	v1.1.0	HAMLET-agentic v0.1.0	triple-negative breast cancer
PXD008012-Sample-32	Homo sapiens	breast	triple-negative breast cancer	epithelial cell	MDA-MB-231, MDA-MB-157, Hs578T, MDA-MB-468, HCC1937, HCC1143, HCC38, BT549, BT483, MDA-MB-415	not available	34	not available	not available	run 32	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Elite	NT=Lys-C;AC=MS:1001309	1	1	not available	phenotype (relapsed, non-relapsed)	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	orbitrap	20131217_OR8_RP_HP_C5b_rr.raw	v1.1.0	HAMLET-agentic v0.1.0	triple-negative breast cancer
PXD008012-Sample-33	Homo sapiens	breast	triple-negative breast cancer	epithelial cell	MDA-MB-231, MDA-MB-157, Hs578T, MDA-MB-468, HCC1937, HCC1143, HCC38, BT549, BT483, MDA-MB-415	not available	34	not available	not available	run 33	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Elite	NT=Lys-C;AC=MS:1001309	1	1	not available	phenotype (relapsed, non-relapsed)	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	orbitrap	20140108_OR8_RP_HP_B2A.raw	v1.1.0	HAMLET-agentic v0.1.0	triple-negative breast cancer
PXD008012-Sample-34	Homo sapiens	breast	triple-negative breast cancer	epithelial cell	MDA-MB-231, MDA-MB-157, Hs578T, MDA-MB-468, HCC1937, HCC1143, HCC38, BT549, BT483, MDA-MB-415	not available	34	not available	not available	run 34	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Elite	NT=Lys-C;AC=MS:1001309	1	1	not available	phenotype (relapsed, non-relapsed)	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	orbitrap	20140113_OR8_RP_HP_B6A_rr.raw	v1.1.0	HAMLET-agentic v0.1.0	triple-negative breast cancer
PXD008012-Sample-35	Homo sapiens	breast	triple-negative breast cancer	epithelial cell	MDA-MB-231, MDA-MB-157, Hs578T, MDA-MB-468, HCC1937, HCC1143, HCC38, BT549, BT483, MDA-MB-415	not available	34	not available	not available	run 35	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Elite	NT=Lys-C;AC=MS:1001309	1	1	not available	phenotype (relapsed, non-relapsed)	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	orbitrap	20131217_OR8_RP_HP_C2b.raw	v1.1.0	HAMLET-agentic v0.1.0	triple-negative breast cancer
PXD008012-Sample-36	Homo sapiens	breast	triple-negative breast cancer	epithelial cell	MDA-MB-231, MDA-MB-157, Hs578T, MDA-MB-468, HCC1937, HCC1143, HCC38, BT549, BT483, MDA-MB-415	not available	34	not available	not available	run 36	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Elite	NT=Lys-C;AC=MS:1001309	1	1	not available	phenotype (relapsed, non-relapsed)	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	orbitrap	20131217_OR8_RP_HP_C4.raw	v1.1.0	HAMLET-agentic v0.1.0	triple-negative breast cancer
PXD008012-Sample-37	Homo sapiens	breast	triple-negative breast cancer	epithelial cell	MDA-MB-231, MDA-MB-157, Hs578T, MDA-MB-468, HCC1937, HCC1143, HCC38, BT549, BT483, MDA-MB-415	not available	34	not available	not available	run 37	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Elite	NT=Lys-C;AC=MS:1001309	1	1	not available	phenotype (relapsed, non-relapsed)	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	orbitrap	20131217_OR8_RP_HP_C5c.raw	v1.1.0	HAMLET-agentic v0.1.0	triple-negative breast cancer
PXD008012-Sample-38	Homo sapiens	breast	triple-negative breast cancer	epithelial cell	MDA-MB-231, MDA-MB-157, Hs578T, MDA-MB-468, HCC1937, HCC1143, HCC38, BT549, BT483, MDA-MB-415	not available	34	not available	not available	run 38	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Elite	NT=Lys-C;AC=MS:1001309	1	1	not available	phenotype (relapsed, non-relapsed)	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	orbitrap	20140113_OR8_RP_HP_B19A_rr.raw	v1.1.0	HAMLET-agentic v0.1.0	triple-negative breast cancer
PXD008012-Sample-39	Homo sapiens	breast	triple-negative breast cancer	epithelial cell	MDA-MB-231, MDA-MB-157, Hs578T, MDA-MB-468, HCC1937, HCC1143, HCC38, BT549, BT483, MDA-MB-415	not available	34	not available	not available	run 39	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Elite	NT=Lys-C;AC=MS:1001309	1	1	not available	phenotype (relapsed, non-relapsed)	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	orbitrap	20140108_OR8_RP_HP_B38A.raw	v1.1.0	HAMLET-agentic v0.1.0	triple-negative breast cancer
PXD008012-Sample-40	Homo sapiens	breast	triple-negative breast cancer	epithelial cell	MDA-MB-231, MDA-MB-157, Hs578T, MDA-MB-468, HCC1937, HCC1143, HCC38, BT549, BT483, MDA-MB-415	not available	34	not available	not available	run 40	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Elite	NT=Lys-C;AC=MS:1001309	1	1	not available	phenotype (relapsed, non-relapsed)	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	orbitrap	20140108_OR8_RP_HP_B4A.raw	v1.1.0	HAMLET-agentic v0.1.0	triple-negative breast cancer
PXD008012-Sample-41	Homo sapiens	breast	triple-negative breast cancer	epithelial cell	MDA-MB-231, MDA-MB-157, Hs578T, MDA-MB-468, HCC1937, HCC1143, HCC38, BT549, BT483, MDA-MB-415	not available	34	not available	not available	run 41	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Elite	NT=Lys-C;AC=MS:1001309	1	1	not available	phenotype (relapsed, non-relapsed)	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	orbitrap	20131217_OR8_RP_HP_C6b.raw	v1.1.0	HAMLET-agentic v0.1.0	triple-negative breast cancer
PXD008012-Sample-42	Homo sapiens	breast	triple-negative breast cancer	epithelial cell	MDA-MB-231, MDA-MB-157, Hs578T, MDA-MB-468, HCC1937, HCC1143, HCC38, BT549, BT483, MDA-MB-415	not available	34	not available	not available	run 42	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Elite	NT=Lys-C;AC=MS:1001309	1	1	not available	phenotype (relapsed, non-relapsed)	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	orbitrap	20140108_OR8_RP_HP_B15A.raw	v1.1.0	HAMLET-agentic v0.1.0	triple-negative breast cancer
PXD008012-Sample-43	Homo sapiens	breast	triple-negative breast cancer	epithelial cell	MDA-MB-231, MDA-MB-157, Hs578T, MDA-MB-468, HCC1937, HCC1143, HCC38, BT549, BT483, MDA-MB-415	not available	34	not available	not available	run 43	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Elite	NT=Lys-C;AC=MS:1001309	1	1	not available	phenotype (relapsed, non-relapsed)	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	orbitrap	20140113_OR8_RP_HP_B10B.raw	v1.1.0	HAMLET-agentic v0.1.0	triple-negative breast cancer
PXD008012-Sample-44	Homo sapiens	breast	triple-negative breast cancer	epithelial cell	MDA-MB-231, MDA-MB-157, Hs578T, MDA-MB-468, HCC1937, HCC1143, HCC38, BT549, BT483, MDA-MB-415	not available	34	not available	not available	run 44	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Elite	NT=Lys-C;AC=MS:1001309	1	1	not available	phenotype (relapsed, non-relapsed)	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	orbitrap	20140108_OR8_RP_HP_B14A.raw	v1.1.0	HAMLET-agentic v0.1.0	triple-negative breast cancer
