source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[alkylation reagent]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD013923-Sample-11	Homo sapiens	skin	melanoma	melanoma cells	A375, HEK293, HEK293T	not available	3	not available	not available	run 11	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	32	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	inhibitor treatment (dabrafenib, trametinib, SCH772984, DMSO)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	9.6 ppm	10 ppm	chloroacetamide	orbitrap	20140214_CCS_EV_A375_MEKi_30min_v4_P06.raw	v1.1.0	HAMLET-agentic v0.1.0	melanoma
PXD013923-Sample-12	Homo sapiens	skin	melanoma	melanoma cells	A375, HEK293, HEK293T	not available	3	not available	not available	run 12	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	32	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	inhibitor treatment (dabrafenib, trametinib, SCH772984, DMSO)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	9.6 ppm	10 ppm	chloroacetamide	orbitrap	20140214_KMJ_CCS_ERKi30min_V3_S01.raw	v1.1.0	HAMLET-agentic v0.1.0	melanoma
PXD013923-Sample-13	Homo sapiens	skin	melanoma	melanoma cells	A375, HEK293, HEK293T	not available	3	not available	not available	run 13	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	32	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	inhibitor treatment (dabrafenib, trametinib, SCH772984, DMSO)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	9.6 ppm	10 ppm	chloroacetamide	orbitrap	20140515_CCS_JL_ERKi_30min_V5_P2.raw	v1.1.0	HAMLET-agentic v0.1.0	melanoma
PXD013923-Sample-14	Homo sapiens	skin	melanoma	melanoma cells	A375, HEK293, HEK293T	not available	3	not available	not available	run 14	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	32	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	inhibitor treatment (dabrafenib, trametinib, SCH772984, DMSO)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	9.6 ppm	10 ppm	chloroacetamide	orbitrap	20140515_CCS_JL_ERKi_30min_V5_S07_8.raw	v1.1.0	HAMLET-agentic v0.1.0	melanoma
PXD013923-Sample-15	Homo sapiens	skin	melanoma	melanoma cells	A375, HEK293, HEK293T	not available	3	not available	not available	run 15	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	32	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	inhibitor treatment (dabrafenib, trametinib, SCH772984, DMSO)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	9.6 ppm	10 ppm	chloroacetamide	orbitrap	20140515_CCS_JL_ERKi_30min_V5_S09_10_11.raw	v1.1.0	HAMLET-agentic v0.1.0	melanoma
PXD013923-Sample-16	Homo sapiens	skin	melanoma	melanoma cells	A375, HEK293, HEK293T	not available	3	not available	not available	run 16	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	32	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	inhibitor treatment (dabrafenib, trametinib, SCH772984, DMSO)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	9.6 ppm	10 ppm	chloroacetamide	orbitrap	20140214_CCS_EV_A375_MEKi_30min_v4_P05.raw	v1.1.0	HAMLET-agentic v0.1.0	melanoma
PXD013923-Sample-17	Homo sapiens	skin	melanoma	melanoma cells	A375, HEK293, HEK293T	not available	3	not available	not available	run 17	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	32	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	inhibitor treatment (dabrafenib, trametinib, SCH772984, DMSO)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	9.6 ppm	10 ppm	chloroacetamide	orbitrap	20140211_KMJ_CCS_RAFi_V3_30min_P06.raw	v1.1.0	HAMLET-agentic v0.1.0	melanoma
PXD013923-Sample-18	Homo sapiens	skin	melanoma	melanoma cells	A375, HEK293, HEK293T	not available	3	not available	not available	run 18	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	32	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	inhibitor treatment (dabrafenib, trametinib, SCH772984, DMSO)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	9.6 ppm	10 ppm	chloroacetamide	orbitrap	20140213_KMJ_CCS_MEKi_V3_30min_P01.raw	v1.1.0	HAMLET-agentic v0.1.0	melanoma
PXD013923-Sample-19	Homo sapiens	skin	melanoma	melanoma cells	A375, HEK293, HEK293T	not available	3	not available	not available	run 19	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	32	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	inhibitor treatment (dabrafenib, trametinib, SCH772984, DMSO)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	9.6 ppm	10 ppm	chloroacetamide	orbitrap	20140320_CCS_EV_A375_RAFi_30min_v4_S09_10_11.raw	v1.1.0	HAMLET-agentic v0.1.0	melanoma
PXD013923-Sample-20	Homo sapiens	skin	melanoma	melanoma cells	A375, HEK293, HEK293T	not available	3	not available	not available	run 20	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	32	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	inhibitor treatment (dabrafenib, trametinib, SCH772984, DMSO)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	9.6 ppm	10 ppm	chloroacetamide	orbitrap	20131116_CCs_EV_A375_MEKi_30min_S03_4_5_6.raw	v1.1.0	HAMLET-agentic v0.1.0	melanoma
PXD013923-Sample-21	Homo sapiens	skin	melanoma	melanoma cells	A375, HEK293, HEK293T	not available	3	not available	not available	run 21	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	32	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	inhibitor treatment (dabrafenib, trametinib, SCH772984, DMSO)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	9.6 ppm	10 ppm	chloroacetamide	orbitrap	20140515_CCS_JL_ERKi_30min_V5_P1.raw	v1.1.0	HAMLET-agentic v0.1.0	melanoma
PXD013923-Sample-22	Homo sapiens	skin	melanoma	melanoma cells	A375, HEK293, HEK293T	not available	3	not available	not available	run 22	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	32	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	inhibitor treatment (dabrafenib, trametinib, SCH772984, DMSO)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	9.6 ppm	10 ppm	chloroacetamide	orbitrap	2013114_CCS_MEKi_30min_P05.raw	v1.1.0	HAMLET-agentic v0.1.0	melanoma
PXD013923-Sample-23	Homo sapiens	skin	melanoma	melanoma cells	A375, HEK293, HEK293T	not available	3	not available	not available	run 23	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	32	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	inhibitor treatment (dabrafenib, trametinib, SCH772984, DMSO)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	9.6 ppm	10 ppm	chloroacetamide	orbitrap	20140214_KMJ_CCS_ERKi30min_V3_S015.raw	v1.1.0	HAMLET-agentic v0.1.0	melanoma
PXD013923-Sample-24	Homo sapiens	skin	melanoma	melanoma cells	A375, HEK293, HEK293T	not available	3	not available	not available	run 24	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	32	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	inhibitor treatment (dabrafenib, trametinib, SCH772984, DMSO)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	9.6 ppm	10 ppm	chloroacetamide	orbitrap	20131116_CCs_EV_A375_ERKi_30min_S02_12.raw	v1.1.0	HAMLET-agentic v0.1.0	melanoma
PXD013923-Sample-25	Homo sapiens	skin	melanoma	melanoma cells	A375, HEK293, HEK293T	not available	3	not available	not available	run 25	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	32	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	inhibitor treatment (dabrafenib, trametinib, SCH772984, DMSO)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	9.6 ppm	10 ppm	chloroacetamide	orbitrap	20140320_CCS_EV_A375_RAFi_30min_v4_P06.raw	v1.1.0	HAMLET-agentic v0.1.0	melanoma
PXD013923-Sample-26	Homo sapiens	skin	melanoma	melanoma cells	A375, HEK293, HEK293T	not available	3	not available	not available	run 26	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	32	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	inhibitor treatment (dabrafenib, trametinib, SCH772984, DMSO)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	9.6 ppm	10 ppm	chloroacetamide	orbitrap	20140214_CCS_EV_A375_MEKi_30min_v4_S02_12.raw	v1.1.0	HAMLET-agentic v0.1.0	melanoma
PXD013923-Sample-27	Homo sapiens	skin	melanoma	melanoma cells	A375, HEK293, HEK293T	not available	3	not available	not available	run 27	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	32	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	inhibitor treatment (dabrafenib, trametinib, SCH772984, DMSO)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	9.6 ppm	10 ppm	chloroacetamide	orbitrap	20140214_CCS_EV_A375_MEKi_30min_v4_S03_4_5_6.raw	v1.1.0	HAMLET-agentic v0.1.0	melanoma
PXD013923-Sample-28	Homo sapiens	skin	melanoma	melanoma cells	A375, HEK293, HEK293T	not available	3	not available	not available	run 28	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	32	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	inhibitor treatment (dabrafenib, trametinib, SCH772984, DMSO)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	9.6 ppm	10 ppm	chloroacetamide	orbitrap	20140214_KMJ_CCS_ERKi_V3_30min_P01.raw	v1.1.0	HAMLET-agentic v0.1.0	melanoma
PXD013923-Sample-29	Homo sapiens	skin	melanoma	melanoma cells	A375, HEK293, HEK293T	not available	3	not available	not available	run 29	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	32	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	inhibitor treatment (dabrafenib, trametinib, SCH772984, DMSO)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	9.6 ppm	10 ppm	chloroacetamide	orbitrap	20140515_CCS_JL_ERKi_30min_V5_P6.raw	v1.1.0	HAMLET-agentic v0.1.0	melanoma
PXD013923-Sample-30	Homo sapiens	skin	melanoma	melanoma cells	A375, HEK293, HEK293T	not available	3	not available	not available	run 30	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	32	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	inhibitor treatment (dabrafenib, trametinib, SCH772984, DMSO)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	9.6 ppm	10 ppm	chloroacetamide	orbitrap	20140214_CCS_EV_A375_MEKi_30min_v4_P04.raw	v1.1.0	HAMLET-agentic v0.1.0	melanoma
PXD013923-Sample-31	Homo sapiens	skin	melanoma	melanoma cells	A375, HEK293, HEK293T	not available	3	not available	not available	run 31	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	32	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	inhibitor treatment (dabrafenib, trametinib, SCH772984, DMSO)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	9.6 ppm	10 ppm	chloroacetamide	orbitrap	2013114_CCS_RAFi_30min_P05.raw	v1.1.0	HAMLET-agentic v0.1.0	melanoma
PXD013923-Sample-32	Homo sapiens	skin	melanoma	melanoma cells	A375, HEK293, HEK293T	not available	3	not available	not available	run 32	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	32	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	inhibitor treatment (dabrafenib, trametinib, SCH772984, DMSO)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	9.6 ppm	10 ppm	chloroacetamide	orbitrap	20140214_KMJ_CCS_ERKi30min_V3_S07_8.raw	v1.1.0	HAMLET-agentic v0.1.0	melanoma
PXD013923-Sample-33	Homo sapiens	skin	melanoma	melanoma cells	A375, HEK293, HEK293T	not available	3	not available	not available	run 33	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	32	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	inhibitor treatment (dabrafenib, trametinib, SCH772984, DMSO)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	9.6 ppm	10 ppm	chloroacetamide	orbitrap	20140214_KMJ_CCS_ERKi_V3_30min_P05.raw	v1.1.0	HAMLET-agentic v0.1.0	melanoma
