source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[ms2 mass analyzer]	comment[ms1 scan range]	comment[collision energy]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD022741-Sample-11	Saccharomyces cerevisiae	not available	not available	yeast	3	not available	11 time points over 33 h after inoculation	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT131C	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Lys-C;AC=MS:1001309	12	1	NT=collision-induced dissociation;AC=MS:1000133	time (11 time points over 33 h)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	20 ppm	dithiothreitol	iodoacetamide	orbitrap	400m/z-1400m/z	45 NCE	a11896.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD022741-Sample-12	Saccharomyces cerevisiae	not available	not available	yeast	3	not available	11 time points over 33 h after inoculation	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT126	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Lys-C;AC=MS:1001309	12	1	NT=collision-induced dissociation;AC=MS:1000133	time (11 time points over 33 h)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	20 ppm	dithiothreitol	iodoacetamide	orbitrap	400m/z-1400m/z	45 NCE	a11898.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD022741-Sample-13	Saccharomyces cerevisiae	not available	not available	yeast	3	not available	11 time points over 33 h after inoculation	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT127N	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Lys-C;AC=MS:1001309	12	1	NT=collision-induced dissociation;AC=MS:1000133	time (11 time points over 33 h)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	20 ppm	dithiothreitol	iodoacetamide	orbitrap	400m/z-1400m/z	45 NCE	a11898.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD022741-Sample-14	Saccharomyces cerevisiae	not available	not available	yeast	3	not available	11 time points over 33 h after inoculation	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT127C	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Lys-C;AC=MS:1001309	12	1	NT=collision-induced dissociation;AC=MS:1000133	time (11 time points over 33 h)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	20 ppm	dithiothreitol	iodoacetamide	orbitrap	400m/z-1400m/z	45 NCE	a11898.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD022741-Sample-15	Saccharomyces cerevisiae	not available	not available	yeast	3	not available	11 time points over 33 h after inoculation	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT128N	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Lys-C;AC=MS:1001309	12	1	NT=collision-induced dissociation;AC=MS:1000133	time (11 time points over 33 h)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	20 ppm	dithiothreitol	iodoacetamide	orbitrap	400m/z-1400m/z	45 NCE	a11898.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD022741-Sample-16	Saccharomyces cerevisiae	not available	not available	yeast	3	not available	11 time points over 33 h after inoculation	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT128C	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Lys-C;AC=MS:1001309	12	1	NT=collision-induced dissociation;AC=MS:1000133	time (11 time points over 33 h)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	20 ppm	dithiothreitol	iodoacetamide	orbitrap	400m/z-1400m/z	45 NCE	a11898.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD022741-Sample-17	Saccharomyces cerevisiae	not available	not available	yeast	3	not available	11 time points over 33 h after inoculation	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT129N	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Lys-C;AC=MS:1001309	12	1	NT=collision-induced dissociation;AC=MS:1000133	time (11 time points over 33 h)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	20 ppm	dithiothreitol	iodoacetamide	orbitrap	400m/z-1400m/z	45 NCE	a11898.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD022741-Sample-18	Saccharomyces cerevisiae	not available	not available	yeast	3	not available	11 time points over 33 h after inoculation	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT129C	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Lys-C;AC=MS:1001309	12	1	NT=collision-induced dissociation;AC=MS:1000133	time (11 time points over 33 h)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	20 ppm	dithiothreitol	iodoacetamide	orbitrap	400m/z-1400m/z	45 NCE	a11898.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD022741-Sample-19	Saccharomyces cerevisiae	not available	not available	yeast	3	not available	11 time points over 33 h after inoculation	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT130N	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Lys-C;AC=MS:1001309	12	1	NT=collision-induced dissociation;AC=MS:1000133	time (11 time points over 33 h)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	20 ppm	dithiothreitol	iodoacetamide	orbitrap	400m/z-1400m/z	45 NCE	a11898.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD022741-Sample-20	Saccharomyces cerevisiae	not available	not available	yeast	3	not available	11 time points over 33 h after inoculation	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT130C	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Lys-C;AC=MS:1001309	12	1	NT=collision-induced dissociation;AC=MS:1000133	time (11 time points over 33 h)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	20 ppm	dithiothreitol	iodoacetamide	orbitrap	400m/z-1400m/z	45 NCE	a11898.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD022741-Sample-21	Saccharomyces cerevisiae	not available	not available	yeast	3	not available	11 time points over 33 h after inoculation	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT131	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Lys-C;AC=MS:1001309	12	1	NT=collision-induced dissociation;AC=MS:1000133	time (11 time points over 33 h)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	20 ppm	dithiothreitol	iodoacetamide	orbitrap	400m/z-1400m/z	45 NCE	a11898.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD022741-Sample-22	Saccharomyces cerevisiae	not available	not available	yeast	3	not available	11 time points over 33 h after inoculation	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT131C	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Lys-C;AC=MS:1001309	12	1	NT=collision-induced dissociation;AC=MS:1000133	time (11 time points over 33 h)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	20 ppm	dithiothreitol	iodoacetamide	orbitrap	400m/z-1400m/z	45 NCE	a11898.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD022741-Sample-23	Saccharomyces cerevisiae	not available	not available	yeast	3	not available	11 time points over 33 h after inoculation	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT126	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Lys-C;AC=MS:1001309	12	1	not available	time (11 time points over 33 h)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	20 ppm	dithiothreitol	iodoacetamide	orbitrap	400m/z-1400m/z	45 NCE	a11901.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD022741-Sample-24	Saccharomyces cerevisiae	not available	not available	yeast	3	not available	11 time points over 33 h after inoculation	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT127N	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Lys-C;AC=MS:1001309	12	1	not available	time (11 time points over 33 h)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	20 ppm	dithiothreitol	iodoacetamide	orbitrap	400m/z-1400m/z	45 NCE	a11901.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD022741-Sample-25	Saccharomyces cerevisiae	not available	not available	yeast	3	not available	11 time points over 33 h after inoculation	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT127C	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Lys-C;AC=MS:1001309	12	1	not available	time (11 time points over 33 h)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	20 ppm	dithiothreitol	iodoacetamide	orbitrap	400m/z-1400m/z	45 NCE	a11901.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD022741-Sample-26	Saccharomyces cerevisiae	not available	not available	yeast	3	not available	11 time points over 33 h after inoculation	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT128N	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Lys-C;AC=MS:1001309	12	1	not available	time (11 time points over 33 h)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	20 ppm	dithiothreitol	iodoacetamide	orbitrap	400m/z-1400m/z	45 NCE	a11901.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD022741-Sample-27	Saccharomyces cerevisiae	not available	not available	yeast	3	not available	11 time points over 33 h after inoculation	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT128C	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Lys-C;AC=MS:1001309	12	1	not available	time (11 time points over 33 h)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	20 ppm	dithiothreitol	iodoacetamide	orbitrap	400m/z-1400m/z	45 NCE	a11901.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD022741-Sample-28	Saccharomyces cerevisiae	not available	not available	yeast	3	not available	11 time points over 33 h after inoculation	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT129N	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Lys-C;AC=MS:1001309	12	1	not available	time (11 time points over 33 h)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	20 ppm	dithiothreitol	iodoacetamide	orbitrap	400m/z-1400m/z	45 NCE	a11901.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD022741-Sample-29	Saccharomyces cerevisiae	not available	not available	yeast	3	not available	11 time points over 33 h after inoculation	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT129C	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Lys-C;AC=MS:1001309	12	1	not available	time (11 time points over 33 h)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	20 ppm	dithiothreitol	iodoacetamide	orbitrap	400m/z-1400m/z	45 NCE	a11901.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD022741-Sample-30	Saccharomyces cerevisiae	not available	not available	yeast	3	not available	11 time points over 33 h after inoculation	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT130N	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Lys-C;AC=MS:1001309	12	1	not available	time (11 time points over 33 h)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	20 ppm	dithiothreitol	iodoacetamide	orbitrap	400m/z-1400m/z	45 NCE	a11901.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
