source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[ms2 mass analyzer]	comment[ms1 scan range]	comment[collision energy]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD012337-Sample-11	Mus musculus, Homo sapiens	adipose	not available	adipocytes	3T3-L1	not available	not available	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT126	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=TMTpro;AC=UNIMOD:737;MT=Variable;TA=K	NT=ubiquitinylation residue;AC=UNIMOD:121;MT=Variable;TA=C	6 ppm	7 ppm	dithiothreitol	iodoacetamide	orbitrap	350m/z-1500m/z	33 NCE	20180919_RH_SKim_Proteome-5e4.raw	v1.1.0	HAMLET-agentic v2.1.0	not available
PXD012337-Sample-12	Mus musculus, Homo sapiens	adipose	not available	adipocytes	3T3-L1	not available	not available	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT127N	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=TMTpro;AC=UNIMOD:737;MT=Variable;TA=K	NT=ubiquitinylation residue;AC=UNIMOD:121;MT=Variable;TA=C	6 ppm	7 ppm	dithiothreitol	iodoacetamide	orbitrap	350m/z-1500m/z	33 NCE	20180919_RH_SKim_Proteome-5e4.raw	v1.1.0	HAMLET-agentic v2.1.0	not available
PXD012337-Sample-13	Mus musculus, Homo sapiens	adipose	not available	adipocytes	3T3-L1	not available	not available	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT127C	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=TMTpro;AC=UNIMOD:737;MT=Variable;TA=K	NT=ubiquitinylation residue;AC=UNIMOD:121;MT=Variable;TA=C	6 ppm	7 ppm	dithiothreitol	iodoacetamide	orbitrap	350m/z-1500m/z	33 NCE	20180919_RH_SKim_Proteome-5e4.raw	v1.1.0	HAMLET-agentic v2.1.0	not available
PXD012337-Sample-14	Mus musculus, Homo sapiens	adipose	not available	adipocytes	3T3-L1	not available	not available	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT128N	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=TMTpro;AC=UNIMOD:737;MT=Variable;TA=K	NT=ubiquitinylation residue;AC=UNIMOD:121;MT=Variable;TA=C	6 ppm	7 ppm	dithiothreitol	iodoacetamide	orbitrap	350m/z-1500m/z	33 NCE	20180919_RH_SKim_Proteome-5e4.raw	v1.1.0	HAMLET-agentic v2.1.0	not available
PXD012337-Sample-15	Mus musculus, Homo sapiens	adipose	not available	adipocytes	3T3-L1	not available	not available	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT128C	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=TMTpro;AC=UNIMOD:737;MT=Variable;TA=K	NT=ubiquitinylation residue;AC=UNIMOD:121;MT=Variable;TA=C	6 ppm	7 ppm	dithiothreitol	iodoacetamide	orbitrap	350m/z-1500m/z	33 NCE	20180919_RH_SKim_Proteome-5e4.raw	v1.1.0	HAMLET-agentic v2.1.0	not available
PXD012337-Sample-16	Mus musculus, Homo sapiens	adipose	not available	adipocytes	3T3-L1	not available	not available	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT129N	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=TMTpro;AC=UNIMOD:737;MT=Variable;TA=K	NT=ubiquitinylation residue;AC=UNIMOD:121;MT=Variable;TA=C	6 ppm	7 ppm	dithiothreitol	iodoacetamide	orbitrap	350m/z-1500m/z	33 NCE	20180919_RH_SKim_Proteome-5e4.raw	v1.1.0	HAMLET-agentic v2.1.0	not available
PXD012337-Sample-17	Mus musculus, Homo sapiens	adipose	not available	adipocytes	3T3-L1	not available	not available	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT129C	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=TMTpro;AC=UNIMOD:737;MT=Variable;TA=K	NT=ubiquitinylation residue;AC=UNIMOD:121;MT=Variable;TA=C	6 ppm	7 ppm	dithiothreitol	iodoacetamide	orbitrap	350m/z-1500m/z	33 NCE	20180919_RH_SKim_Proteome-5e4.raw	v1.1.0	HAMLET-agentic v2.1.0	not available
PXD012337-Sample-18	Mus musculus, Homo sapiens	adipose	not available	adipocytes	3T3-L1	not available	not available	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT130N	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=TMTpro;AC=UNIMOD:737;MT=Variable;TA=K	NT=ubiquitinylation residue;AC=UNIMOD:121;MT=Variable;TA=C	6 ppm	7 ppm	dithiothreitol	iodoacetamide	orbitrap	350m/z-1500m/z	33 NCE	20180919_RH_SKim_Proteome-5e4.raw	v1.1.0	HAMLET-agentic v2.1.0	not available
PXD012337-Sample-19	Mus musculus, Homo sapiens	adipose	not available	adipocytes	3T3-L1	not available	not available	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT130C	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=TMTpro;AC=UNIMOD:737;MT=Variable;TA=K	NT=ubiquitinylation residue;AC=UNIMOD:121;MT=Variable;TA=C	6 ppm	7 ppm	dithiothreitol	iodoacetamide	orbitrap	350m/z-1500m/z	33 NCE	20180919_RH_SKim_Proteome-5e4.raw	v1.1.0	HAMLET-agentic v2.1.0	not available
PXD012337-Sample-20	Mus musculus, Homo sapiens	adipose	not available	adipocytes	3T3-L1	not available	not available	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT131	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=TMTpro;AC=UNIMOD:737;MT=Variable;TA=K	NT=ubiquitinylation residue;AC=UNIMOD:121;MT=Variable;TA=C	6 ppm	7 ppm	dithiothreitol	iodoacetamide	orbitrap	350m/z-1500m/z	33 NCE	20180919_RH_SKim_Proteome-5e4.raw	v1.1.0	HAMLET-agentic v2.1.0	not available
PXD012337-Sample-21	Mus musculus, Homo sapiens	adipose	not available	adipocytes	3T3-L1	not available	not available	not available	not available	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT126	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=TMTpro;AC=UNIMOD:737;MT=Variable;TA=K	NT=ubiquitinylation residue;AC=UNIMOD:121;MT=Variable;TA=C	6 ppm	7 ppm	dithiothreitol	iodoacetamide	orbitrap	350m/z-1500m/z	33 NCE	20180924_RH_SK_Phospho.raw	v1.1.0	HAMLET-agentic v2.1.0	not available
PXD012337-Sample-22	Mus musculus, Homo sapiens	adipose	not available	adipocytes	3T3-L1	not available	not available	not available	not available	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT127N	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=TMTpro;AC=UNIMOD:737;MT=Variable;TA=K	NT=ubiquitinylation residue;AC=UNIMOD:121;MT=Variable;TA=C	6 ppm	7 ppm	dithiothreitol	iodoacetamide	orbitrap	350m/z-1500m/z	33 NCE	20180924_RH_SK_Phospho.raw	v1.1.0	HAMLET-agentic v2.1.0	not available
PXD012337-Sample-23	Mus musculus, Homo sapiens	adipose	not available	adipocytes	3T3-L1	not available	not available	not available	not available	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT127C	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=TMTpro;AC=UNIMOD:737;MT=Variable;TA=K	NT=ubiquitinylation residue;AC=UNIMOD:121;MT=Variable;TA=C	6 ppm	7 ppm	dithiothreitol	iodoacetamide	orbitrap	350m/z-1500m/z	33 NCE	20180924_RH_SK_Phospho.raw	v1.1.0	HAMLET-agentic v2.1.0	not available
PXD012337-Sample-24	Mus musculus, Homo sapiens	adipose	not available	adipocytes	3T3-L1	not available	not available	not available	not available	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT128N	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=TMTpro;AC=UNIMOD:737;MT=Variable;TA=K	NT=ubiquitinylation residue;AC=UNIMOD:121;MT=Variable;TA=C	6 ppm	7 ppm	dithiothreitol	iodoacetamide	orbitrap	350m/z-1500m/z	33 NCE	20180924_RH_SK_Phospho.raw	v1.1.0	HAMLET-agentic v2.1.0	not available
PXD012337-Sample-25	Mus musculus, Homo sapiens	adipose	not available	adipocytes	3T3-L1	not available	not available	not available	not available	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT128C	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=TMTpro;AC=UNIMOD:737;MT=Variable;TA=K	NT=ubiquitinylation residue;AC=UNIMOD:121;MT=Variable;TA=C	6 ppm	7 ppm	dithiothreitol	iodoacetamide	orbitrap	350m/z-1500m/z	33 NCE	20180924_RH_SK_Phospho.raw	v1.1.0	HAMLET-agentic v2.1.0	not available
PXD012337-Sample-26	Mus musculus, Homo sapiens	adipose	not available	adipocytes	3T3-L1	not available	not available	not available	not available	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT129N	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=TMTpro;AC=UNIMOD:737;MT=Variable;TA=K	NT=ubiquitinylation residue;AC=UNIMOD:121;MT=Variable;TA=C	6 ppm	7 ppm	dithiothreitol	iodoacetamide	orbitrap	350m/z-1500m/z	33 NCE	20180924_RH_SK_Phospho.raw	v1.1.0	HAMLET-agentic v2.1.0	not available
