source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD012255-Sample-12	Homo sapiens	colon	colorectal carcinoma	epithelial cell	HCT116	not available	1	not available	not available	run 12	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	40	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell line (HCT116)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	7 ppm	8 ppm	dithiothreitol	iodoacetamide	orbitrap	Phospho_redissolve_final_13.raw	v1.1.0	HAMLET-agentic v0.1.0	colorectal carcinoma
PXD012255-Sample-13	Homo sapiens	colon	colorectal carcinoma	epithelial cell	HCT116	not available	1	not available	not available	run 13	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	40	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell line (HCT116)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	7 ppm	8 ppm	dithiothreitol	iodoacetamide	orbitrap	Phospho_redissolve_final_15.raw	v1.1.0	HAMLET-agentic v0.1.0	colorectal carcinoma
PXD012255-Sample-14	Homo sapiens	colon	colorectal carcinoma	epithelial cell	HCT116	not available	1	not available	not available	run 14	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	40	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell line (HCT116)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	7 ppm	8 ppm	dithiothreitol	iodoacetamide	orbitrap	Phospho_redissolve_final_16.raw	v1.1.0	HAMLET-agentic v0.1.0	colorectal carcinoma
PXD012255-Sample-15	Homo sapiens	colon	colorectal carcinoma	epithelial cell	HCT116	not available	1	not available	not available	run 15	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	40	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell line (HCT116)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	7 ppm	8 ppm	dithiothreitol	iodoacetamide	orbitrap	Phospho_redissolve_final_18.raw	v1.1.0	HAMLET-agentic v0.1.0	colorectal carcinoma
PXD012255-Sample-16	Homo sapiens	colon	colorectal carcinoma	epithelial cell	HCT116	not available	1	not available	not available	run 16	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	40	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell line (HCT116)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	7 ppm	8 ppm	dithiothreitol	iodoacetamide	orbitrap	Phospho_redissolve_final_19.raw	v1.1.0	HAMLET-agentic v0.1.0	colorectal carcinoma
PXD012255-Sample-17	Homo sapiens	colon	colorectal carcinoma	epithelial cell	HCT116	not available	1	not available	not available	run 17	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	40	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell line (HCT116)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	7 ppm	8 ppm	dithiothreitol	iodoacetamide	orbitrap	Phospho_redissolve_final_20.raw	v1.1.0	HAMLET-agentic v0.1.0	colorectal carcinoma
PXD012255-Sample-18	Homo sapiens	colon	colorectal carcinoma	epithelial cell	HCT116	not available	1	not available	not available	run 18	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	40	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell line (HCT116)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	7 ppm	8 ppm	dithiothreitol	iodoacetamide	orbitrap	Phospho_redissolve_final_21.raw	v1.1.0	HAMLET-agentic v0.1.0	colorectal carcinoma
PXD012255-Sample-19	Homo sapiens	colon	colorectal carcinoma	epithelial cell	HCT116	not available	1	not available	not available	run 19	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	40	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell line (HCT116)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	7 ppm	8 ppm	dithiothreitol	iodoacetamide	orbitrap	Phospho_redissolve_final_23.raw	v1.1.0	HAMLET-agentic v0.1.0	colorectal carcinoma
PXD012255-Sample-20	Homo sapiens	colon	colorectal carcinoma	epithelial cell	HCT116	not available	1	not available	not available	run 20	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	40	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell line (HCT116)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	7 ppm	8 ppm	dithiothreitol	iodoacetamide	orbitrap	Phospho_redissolve_final_26.raw	v1.1.0	HAMLET-agentic v0.1.0	colorectal carcinoma
PXD012255-Sample-21	Homo sapiens	colon	colorectal carcinoma	epithelial cell	HCT116	not available	1	not available	not available	run 21	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	40	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell line (HCT116)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	7 ppm	8 ppm	dithiothreitol	iodoacetamide	orbitrap	Phospho_redissolve_final_27.raw	v1.1.0	HAMLET-agentic v0.1.0	colorectal carcinoma
PXD012255-Sample-22	Homo sapiens	colon	colorectal carcinoma	epithelial cell	HCT116	not available	1	not available	not available	run 22	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	40	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell line (HCT116)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	7 ppm	8 ppm	dithiothreitol	iodoacetamide	orbitrap	Phospho_redissolve_final_29.raw	v1.1.0	HAMLET-agentic v0.1.0	colorectal carcinoma
PXD012255-Sample-23	Homo sapiens	colon	colorectal carcinoma	epithelial cell	HCT116	not available	1	not available	not available	run 23	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	40	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell line (HCT116)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	7 ppm	8 ppm	dithiothreitol	iodoacetamide	orbitrap	Phospho_redissolve_final_30.raw	v1.1.0	HAMLET-agentic v0.1.0	colorectal carcinoma
PXD012255-Sample-24	Homo sapiens	colon	colorectal carcinoma	epithelial cell	HCT116	not available	1	not available	not available	run 24	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	40	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell line (HCT116)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	7 ppm	8 ppm	dithiothreitol	iodoacetamide	orbitrap	Phospho_redissolve_final_32.raw	v1.1.0	HAMLET-agentic v0.1.0	colorectal carcinoma
PXD012255-Sample-25	Homo sapiens	colon	colorectal carcinoma	epithelial cell	HCT116	not available	1	not available	not available	run 25	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	40	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell line (HCT116)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	7 ppm	8 ppm	dithiothreitol	iodoacetamide	orbitrap	Phospho_redissolve_final_33.raw	v1.1.0	HAMLET-agentic v0.1.0	colorectal carcinoma
PXD012255-Sample-26	Homo sapiens	colon	colorectal carcinoma	epithelial cell	HCT116	not available	1	not available	not available	run 26	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	40	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell line (HCT116)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	7 ppm	8 ppm	dithiothreitol	iodoacetamide	orbitrap	Phospho_redissolve_final_34.raw	v1.1.0	HAMLET-agentic v0.1.0	colorectal carcinoma
PXD012255-Sample-27	Homo sapiens	colon	colorectal carcinoma	epithelial cell	HCT116	not available	1	not available	not available	run 27	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	40	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell line (HCT116)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	7 ppm	8 ppm	dithiothreitol	iodoacetamide	orbitrap	Phospho_redissolve_final_37.raw	v1.1.0	HAMLET-agentic v0.1.0	colorectal carcinoma
PXD012255-Sample-28	Homo sapiens	colon	colorectal carcinoma	epithelial cell	HCT116	not available	1	not available	not available	run 28	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	40	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell line (HCT116)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	7 ppm	8 ppm	dithiothreitol	iodoacetamide	orbitrap	Phospho_redissolve_final_38.raw	v1.1.0	HAMLET-agentic v0.1.0	colorectal carcinoma
PXD012255-Sample-29	Homo sapiens	colon	colorectal carcinoma	epithelial cell	HCT116	not available	1	not available	not available	run 29	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	40	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell line (HCT116)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	7 ppm	8 ppm	dithiothreitol	iodoacetamide	orbitrap	Phospho_redissolve_final_39.raw	v1.1.0	HAMLET-agentic v0.1.0	colorectal carcinoma
PXD012255-Sample-30	Homo sapiens	colon	colorectal carcinoma	epithelial cell	HCT116	not available	1	not available	not available	run 30	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	40	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell line (HCT116)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	7 ppm	8 ppm	dithiothreitol	iodoacetamide	orbitrap	Phospho_redissolve_final_40.raw	v1.1.0	HAMLET-agentic v0.1.0	colorectal carcinoma
PXD012255-Sample-31	Homo sapiens	colon	colorectal carcinoma	epithelial cell	HCT116	not available	1	not available	not available	run 31	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	40	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell line (HCT116)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	7 ppm	8 ppm	dithiothreitol	iodoacetamide	orbitrap	Phospho_redissolve_final_02.raw	v1.1.0	HAMLET-agentic v0.1.0	colorectal carcinoma
PXD012255-Sample-32	Homo sapiens	colon	colorectal carcinoma	epithelial cell	HCT116	not available	1	not available	not available	run 32	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	40	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell line (HCT116)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	7 ppm	8 ppm	dithiothreitol	iodoacetamide	orbitrap	Phospho_redissolve_final_17.raw	v1.1.0	HAMLET-agentic v0.1.0	colorectal carcinoma
PXD012255-Sample-33	Homo sapiens	colon	colorectal carcinoma	epithelial cell	HCT116	not available	1	not available	not available	run 33	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	40	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell line (HCT116)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	7 ppm	8 ppm	dithiothreitol	iodoacetamide	orbitrap	Phospho_redissolve_final_25.raw	v1.1.0	HAMLET-agentic v0.1.0	colorectal carcinoma
PXD012255-Sample-34	Homo sapiens	colon	colorectal carcinoma	epithelial cell	HCT116	not available	1	not available	not available	run 34	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	40	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell line (HCT116)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	7 ppm	8 ppm	dithiothreitol	iodoacetamide	orbitrap	Phospho_redissolve_final_31.raw	v1.1.0	HAMLET-agentic v0.1.0	colorectal carcinoma
PXD012255-Sample-35	Homo sapiens	colon	colorectal carcinoma	epithelial cell	HCT116	not available	1	not available	not available	run 35	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	40	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell line (HCT116)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	7 ppm	8 ppm	dithiothreitol	iodoacetamide	orbitrap	Phospho_redissolve_final_14.raw	v1.1.0	HAMLET-agentic v0.1.0	colorectal carcinoma
