source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[ms2 mass analyzer]	comment[ms1 scan range]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD005539-Sample-11	Homo sapiens	skin	melanoma, healthy	malignant melanocytes, primary adult epidermal melanocytes, CD14+ monocytes, dendritic cells	SKMEL28, A375, C32TG	not available	3	not available	not available	run 11	proteomic profiling by mass spectrometry	not available	label free sample	Thermo Scientific Orbitrap Elite Hybrid Mass Spectrometer or QExactivePlus	NT=Trypsin;AC=MS:1001251	9	1	not available	cell line (SKMEL28, C32TG, A375), oxygen level (hypoxia vs normoxia), EV treatment (melanoma EVs vs liposomes)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	0.60 Da	tris(2-carboxyethyl)phosphine	iodoacetamide	orbitrap	340m/z-1500m/z	C32TG_F6.raw	v1.1.0	HAMLET-agentic v0.1.0	melanoma, healthy
PXD005539-Sample-12	Homo sapiens	skin	melanoma, healthy	malignant melanocytes, primary adult epidermal melanocytes, CD14+ monocytes, dendritic cells	SKMEL28, A375, C32TG	not available	3	not available	not available	run 12	proteomic profiling by mass spectrometry	not available	label free sample	Thermo Scientific Orbitrap Elite Hybrid Mass Spectrometer or QExactivePlus	NT=Trypsin;AC=MS:1001251	9	1	not available	cell line (SKMEL28, C32TG, A375), oxygen level (hypoxia vs normoxia), EV treatment (melanoma EVs vs liposomes)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	0.60 Da	tris(2-carboxyethyl)phosphine	iodoacetamide	orbitrap	340m/z-1500m/z	C32TG_F3.raw	v1.1.0	HAMLET-agentic v0.1.0	melanoma, healthy
PXD005539-Sample-13	Homo sapiens	skin	melanoma, healthy	malignant melanocytes, primary adult epidermal melanocytes, CD14+ monocytes, dendritic cells	SKMEL28, A375, C32TG	not available	3	not available	not available	run 13	proteomic profiling by mass spectrometry	not available	label free sample	Thermo Scientific Orbitrap Elite Hybrid Mass Spectrometer or QExactivePlus	NT=Trypsin;AC=MS:1001251	9	1	not available	cell line (SKMEL28, C32TG, A375), oxygen level (hypoxia vs normoxia), EV treatment (melanoma EVs vs liposomes)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	0.60 Da	tris(2-carboxyethyl)phosphine	iodoacetamide	orbitrap	340m/z-1500m/z	SKMEL28_F6.raw	v1.1.0	HAMLET-agentic v0.1.0	melanoma, healthy
PXD005539-Sample-14	Homo sapiens	skin	melanoma, healthy	malignant melanocytes, primary adult epidermal melanocytes, CD14+ monocytes, dendritic cells	SKMEL28, A375, C32TG	not available	3	not available	not available	run 14	proteomic profiling by mass spectrometry	not available	label free sample	Thermo Scientific Orbitrap Elite Hybrid Mass Spectrometer or QExactivePlus	NT=Trypsin;AC=MS:1001251	9	1	not available	cell line (SKMEL28, C32TG, A375), oxygen level (hypoxia vs normoxia), EV treatment (melanoma EVs vs liposomes)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	0.60 Da	tris(2-carboxyethyl)phosphine	iodoacetamide	orbitrap	340m/z-1500m/z	SKMEL28_F3.raw	v1.1.0	HAMLET-agentic v0.1.0	melanoma, healthy
PXD005539-Sample-15	Homo sapiens	skin	melanoma, healthy	malignant melanocytes, primary adult epidermal melanocytes, CD14+ monocytes, dendritic cells	SKMEL28, A375, C32TG	not available	3	not available	not available	run 15	proteomic profiling by mass spectrometry	not available	label free sample	Thermo Scientific Orbitrap Elite Hybrid Mass Spectrometer or QExactivePlus	NT=Trypsin;AC=MS:1001251	9	1	not available	cell line (SKMEL28, C32TG, A375), oxygen level (hypoxia vs normoxia), EV treatment (melanoma EVs vs liposomes)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	0.60 Da	tris(2-carboxyethyl)phosphine	iodoacetamide	orbitrap	340m/z-1500m/z	A375_F1.raw	v1.1.0	HAMLET-agentic v0.1.0	melanoma, healthy
PXD005539-Sample-16	Homo sapiens	skin	melanoma, healthy	malignant melanocytes, primary adult epidermal melanocytes, CD14+ monocytes, dendritic cells	SKMEL28, A375, C32TG	not available	3	not available	not available	run 16	proteomic profiling by mass spectrometry	not available	label free sample	Thermo Scientific Orbitrap Elite Hybrid Mass Spectrometer or QExactivePlus	NT=Trypsin;AC=MS:1001251	9	1	not available	cell line (SKMEL28, C32TG, A375), oxygen level (hypoxia vs normoxia), EV treatment (melanoma EVs vs liposomes)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	0.60 Da	tris(2-carboxyethyl)phosphine	iodoacetamide	orbitrap	340m/z-1500m/z	A375_F2.raw	v1.1.0	HAMLET-agentic v0.1.0	melanoma, healthy
PXD005539-Sample-17	Homo sapiens	skin	melanoma, healthy	malignant melanocytes, primary adult epidermal melanocytes, CD14+ monocytes, dendritic cells	SKMEL28, A375, C32TG	not available	3	not available	not available	run 17	proteomic profiling by mass spectrometry	not available	label free sample	Thermo Scientific Orbitrap Elite Hybrid Mass Spectrometer or QExactivePlus	NT=Trypsin;AC=MS:1001251	9	1	not available	cell line (SKMEL28, C32TG, A375), oxygen level (hypoxia vs normoxia), EV treatment (melanoma EVs vs liposomes)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	0.60 Da	tris(2-carboxyethyl)phosphine	iodoacetamide	orbitrap	340m/z-1500m/z	C32TG_F1.raw	v1.1.0	HAMLET-agentic v0.1.0	melanoma, healthy
PXD005539-Sample-18	Homo sapiens	skin	melanoma, healthy	malignant melanocytes, primary adult epidermal melanocytes, CD14+ monocytes, dendritic cells	SKMEL28, A375, C32TG	not available	3	not available	not available	run 18	proteomic profiling by mass spectrometry	not available	label free sample	Thermo Scientific Orbitrap Elite Hybrid Mass Spectrometer or QExactivePlus	NT=Trypsin;AC=MS:1001251	9	1	not available	cell line (SKMEL28, C32TG, A375), oxygen level (hypoxia vs normoxia), EV treatment (melanoma EVs vs liposomes)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	0.60 Da	tris(2-carboxyethyl)phosphine	iodoacetamide	orbitrap	340m/z-1500m/z	C32TG_F4.raw	v1.1.0	HAMLET-agentic v0.1.0	melanoma, healthy
PXD005539-Sample-19	Homo sapiens	skin	melanoma, healthy	malignant melanocytes, primary adult epidermal melanocytes, CD14+ monocytes, dendritic cells	SKMEL28, A375, C32TG	not available	3	not available	not available	run 19	proteomic profiling by mass spectrometry	not available	label free sample	Thermo Scientific Orbitrap Elite Hybrid Mass Spectrometer or QExactivePlus	NT=Trypsin;AC=MS:1001251	9	1	not available	cell line (SKMEL28, C32TG, A375), oxygen level (hypoxia vs normoxia), EV treatment (melanoma EVs vs liposomes)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	0.60 Da	tris(2-carboxyethyl)phosphine	iodoacetamide	orbitrap	340m/z-1500m/z	C32TG_F9.raw	v1.1.0	HAMLET-agentic v0.1.0	melanoma, healthy
PXD005539-Sample-20	Homo sapiens	skin	melanoma, healthy	malignant melanocytes, primary adult epidermal melanocytes, CD14+ monocytes, dendritic cells	SKMEL28, A375, C32TG	not available	3	not available	not available	run 20	proteomic profiling by mass spectrometry	not available	label free sample	Thermo Scientific Orbitrap Elite Hybrid Mass Spectrometer or QExactivePlus	NT=Trypsin;AC=MS:1001251	9	1	not available	cell line (SKMEL28, C32TG, A375), oxygen level (hypoxia vs normoxia), EV treatment (melanoma EVs vs liposomes)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	0.60 Da	tris(2-carboxyethyl)phosphine	iodoacetamide	orbitrap	340m/z-1500m/z	A375_F6.raw	v1.1.0	HAMLET-agentic v0.1.0	melanoma, healthy
PXD005539-Sample-21	Homo sapiens	skin	melanoma, healthy	malignant melanocytes, primary adult epidermal melanocytes, CD14+ monocytes, dendritic cells	SKMEL28, A375, C32TG	not available	3	not available	not available	run 21	proteomic profiling by mass spectrometry	not available	label free sample	Thermo Scientific Orbitrap Elite Hybrid Mass Spectrometer or QExactivePlus	NT=Trypsin;AC=MS:1001251	9	1	not available	cell line (SKMEL28, C32TG, A375), oxygen level (hypoxia vs normoxia), EV treatment (melanoma EVs vs liposomes)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	0.60 Da	tris(2-carboxyethyl)phosphine	iodoacetamide	orbitrap	340m/z-1500m/z	C32TG_F5.raw	v1.1.0	HAMLET-agentic v0.1.0	melanoma, healthy
PXD005539-Sample-22	Homo sapiens	skin	melanoma, healthy	malignant melanocytes, primary adult epidermal melanocytes, CD14+ monocytes, dendritic cells	SKMEL28, A375, C32TG	not available	3	not available	not available	run 22	proteomic profiling by mass spectrometry	not available	label free sample	Thermo Scientific Orbitrap Elite Hybrid Mass Spectrometer or QExactivePlus	NT=Trypsin;AC=MS:1001251	9	1	not available	cell line (SKMEL28, C32TG, A375), oxygen level (hypoxia vs normoxia), EV treatment (melanoma EVs vs liposomes)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	0.60 Da	tris(2-carboxyethyl)phosphine	iodoacetamide	orbitrap	340m/z-1500m/z	A375_F5.raw	v1.1.0	HAMLET-agentic v0.1.0	melanoma, healthy
PXD005539-Sample-23	Homo sapiens	skin	melanoma, healthy	malignant melanocytes, primary adult epidermal melanocytes, CD14+ monocytes, dendritic cells	SKMEL28, A375, C32TG	not available	3	not available	not available	run 23	proteomic profiling by mass spectrometry	not available	label free sample	Thermo Scientific Orbitrap Elite Hybrid Mass Spectrometer or QExactivePlus	NT=Trypsin;AC=MS:1001251	9	1	not available	cell line (SKMEL28, C32TG, A375), oxygen level (hypoxia vs normoxia), EV treatment (melanoma EVs vs liposomes)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	0.60 Da	tris(2-carboxyethyl)phosphine	iodoacetamide	orbitrap	340m/z-1500m/z	SKMEL28_F1.raw	v1.1.0	HAMLET-agentic v0.1.0	melanoma, healthy
PXD005539-Sample-24	Homo sapiens	skin	melanoma, healthy	malignant melanocytes, primary adult epidermal melanocytes, CD14+ monocytes, dendritic cells	SKMEL28, A375, C32TG	not available	3	not available	not available	run 24	proteomic profiling by mass spectrometry	not available	label free sample	Thermo Scientific Orbitrap Elite Hybrid Mass Spectrometer or QExactivePlus	NT=Trypsin;AC=MS:1001251	9	1	not available	cell line (SKMEL28, C32TG, A375), oxygen level (hypoxia vs normoxia), EV treatment (melanoma EVs vs liposomes)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	0.60 Da	tris(2-carboxyethyl)phosphine	iodoacetamide	orbitrap	340m/z-1500m/z	SKMEL_F3b.raw	v1.1.0	HAMLET-agentic v0.1.0	melanoma, healthy
PXD005539-Sample-25	Homo sapiens	skin	melanoma, healthy	malignant melanocytes, primary adult epidermal melanocytes, CD14+ monocytes, dendritic cells	SKMEL28, A375, C32TG	not available	3	not available	not available	run 25	proteomic profiling by mass spectrometry	not available	label free sample	Thermo Scientific Orbitrap Elite Hybrid Mass Spectrometer or QExactivePlus	NT=Trypsin;AC=MS:1001251	9	1	not available	cell line (SKMEL28, C32TG, A375), oxygen level (hypoxia vs normoxia), EV treatment (melanoma EVs vs liposomes)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	0.60 Da	tris(2-carboxyethyl)phosphine	iodoacetamide	orbitrap	340m/z-1500m/z	SKMEL28_F7.raw	v1.1.0	HAMLET-agentic v0.1.0	melanoma, healthy
PXD005539-Sample-26	Homo sapiens	skin	melanoma, healthy	malignant melanocytes, primary adult epidermal melanocytes, CD14+ monocytes, dendritic cells	SKMEL28, A375, C32TG	not available	3	not available	not available	run 26	proteomic profiling by mass spectrometry	not available	label free sample	Thermo Scientific Orbitrap Elite Hybrid Mass Spectrometer or QExactivePlus	NT=Trypsin;AC=MS:1001251	9	1	not available	cell line (SKMEL28, C32TG, A375), oxygen level (hypoxia vs normoxia), EV treatment (melanoma EVs vs liposomes)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	0.60 Da	tris(2-carboxyethyl)phosphine	iodoacetamide	orbitrap	340m/z-1500m/z	SKMEL28_F5.raw	v1.1.0	HAMLET-agentic v0.1.0	melanoma, healthy
PXD005539-Sample-27	Homo sapiens	skin	melanoma, healthy	malignant melanocytes, primary adult epidermal melanocytes, CD14+ monocytes, dendritic cells	SKMEL28, A375, C32TG	not available	3	not available	not available	run 27	proteomic profiling by mass spectrometry	not available	label free sample	Thermo Scientific Orbitrap Elite Hybrid Mass Spectrometer or QExactivePlus	NT=Trypsin;AC=MS:1001251	9	1	not available	cell line (SKMEL28, C32TG, A375), oxygen level (hypoxia vs normoxia), EV treatment (melanoma EVs vs liposomes)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	0.60 Da	tris(2-carboxyethyl)phosphine	iodoacetamide	orbitrap	340m/z-1500m/z	A375_F9.raw	v1.1.0	HAMLET-agentic v0.1.0	melanoma, healthy
