source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD028151-Sample-11	Homo sapiens	bone	osteosarcoma	osteosarcoma cell, embryonic kidney cell, epithelial cell	U2OS, HEK293, RPE1	not available	not available	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT130	NT=Q Exactive HF;AC=MS:1002523	NT=Lys-C;AC=MS:1001309	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (Control, anisomycin, anisomycin + p38 inhibitor, anisomycin + JNK inhibitor)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=TMTpro;AC=UNIMOD:737;MT=Variable;TA=K	NT=EZ-Link Sulfo-NHS-SS-Biotin;AC=UNIMOD:1841;MT=Variable;TA=K	7 ppm	10 ppm	orbitrap	20170516_QE7_nLC3_DBJ_SA_COLLAB_MAX_TMT10phos_2mg_2nd_02.raw	v1.1.0	HAMLET-agentic v2.1.0	osteosarcoma
PXD028151-Sample-12	Homo sapiens	bone	osteosarcoma	osteosarcoma cell, embryonic kidney cell, epithelial cell	U2OS, HEK293, RPE1	not available	not available	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT131	NT=Q Exactive HF;AC=MS:1002523	NT=Lys-C;AC=MS:1001309	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (Control, anisomycin, anisomycin + p38 inhibitor, anisomycin + JNK inhibitor)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=TMTpro;AC=UNIMOD:737;MT=Variable;TA=K	NT=EZ-Link Sulfo-NHS-SS-Biotin;AC=UNIMOD:1841;MT=Variable;TA=K	7 ppm	10 ppm	orbitrap	20170516_QE7_nLC3_DBJ_SA_COLLAB_MAX_TMT10phos_2mg_2nd_02.raw	v1.1.0	HAMLET-agentic v2.1.0	osteosarcoma
PXD028151-Sample-13	Homo sapiens	bone	osteosarcoma	osteosarcoma cell, embryonic kidney cell, epithelial cell	U2OS, HEK293, RPE1	not available	not available	not available	not available	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT126	NT=Q Exactive HF;AC=MS:1002523	NT=Lys-C;AC=MS:1001309	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (Control, anisomycin, anisomycin + p38 inhibitor, anisomycin + JNK inhibitor)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=TMTpro;AC=UNIMOD:737;MT=Variable;TA=K	NT=EZ-Link Sulfo-NHS-SS-Biotin;AC=UNIMOD:1841;MT=Variable;TA=K	7 ppm	10 ppm	orbitrap	20170516_QE7_nLC3_DBJ_SA_COLLAB_MAX_TMT10phos_2mg_3rd_02.raw	v1.1.0	HAMLET-agentic v2.1.0	osteosarcoma
PXD028151-Sample-14	Homo sapiens	bone	osteosarcoma	osteosarcoma cell, embryonic kidney cell, epithelial cell	U2OS, HEK293, RPE1	not available	not available	not available	not available	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT127	NT=Q Exactive HF;AC=MS:1002523	NT=Lys-C;AC=MS:1001309	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (Control, anisomycin, anisomycin + p38 inhibitor, anisomycin + JNK inhibitor)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=TMTpro;AC=UNIMOD:737;MT=Variable;TA=K	NT=EZ-Link Sulfo-NHS-SS-Biotin;AC=UNIMOD:1841;MT=Variable;TA=K	7 ppm	10 ppm	orbitrap	20170516_QE7_nLC3_DBJ_SA_COLLAB_MAX_TMT10phos_2mg_3rd_02.raw	v1.1.0	HAMLET-agentic v2.1.0	osteosarcoma
PXD028151-Sample-15	Homo sapiens	bone	osteosarcoma	osteosarcoma cell, embryonic kidney cell, epithelial cell	U2OS, HEK293, RPE1	not available	not available	not available	not available	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT128	NT=Q Exactive HF;AC=MS:1002523	NT=Lys-C;AC=MS:1001309	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (Control, anisomycin, anisomycin + p38 inhibitor, anisomycin + JNK inhibitor)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=TMTpro;AC=UNIMOD:737;MT=Variable;TA=K	NT=EZ-Link Sulfo-NHS-SS-Biotin;AC=UNIMOD:1841;MT=Variable;TA=K	7 ppm	10 ppm	orbitrap	20170516_QE7_nLC3_DBJ_SA_COLLAB_MAX_TMT10phos_2mg_3rd_02.raw	v1.1.0	HAMLET-agentic v2.1.0	osteosarcoma
PXD028151-Sample-16	Homo sapiens	bone	osteosarcoma	osteosarcoma cell, embryonic kidney cell, epithelial cell	U2OS, HEK293, RPE1	not available	not available	not available	not available	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT129	NT=Q Exactive HF;AC=MS:1002523	NT=Lys-C;AC=MS:1001309	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (Control, anisomycin, anisomycin + p38 inhibitor, anisomycin + JNK inhibitor)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=TMTpro;AC=UNIMOD:737;MT=Variable;TA=K	NT=EZ-Link Sulfo-NHS-SS-Biotin;AC=UNIMOD:1841;MT=Variable;TA=K	7 ppm	10 ppm	orbitrap	20170516_QE7_nLC3_DBJ_SA_COLLAB_MAX_TMT10phos_2mg_3rd_02.raw	v1.1.0	HAMLET-agentic v2.1.0	osteosarcoma
PXD028151-Sample-17	Homo sapiens	bone	osteosarcoma	osteosarcoma cell, embryonic kidney cell, epithelial cell	U2OS, HEK293, RPE1	not available	not available	not available	not available	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT130	NT=Q Exactive HF;AC=MS:1002523	NT=Lys-C;AC=MS:1001309	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (Control, anisomycin, anisomycin + p38 inhibitor, anisomycin + JNK inhibitor)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=TMTpro;AC=UNIMOD:737;MT=Variable;TA=K	NT=EZ-Link Sulfo-NHS-SS-Biotin;AC=UNIMOD:1841;MT=Variable;TA=K	7 ppm	10 ppm	orbitrap	20170516_QE7_nLC3_DBJ_SA_COLLAB_MAX_TMT10phos_2mg_3rd_02.raw	v1.1.0	HAMLET-agentic v2.1.0	osteosarcoma
PXD028151-Sample-18	Homo sapiens	bone	osteosarcoma	osteosarcoma cell, embryonic kidney cell, epithelial cell	U2OS, HEK293, RPE1	not available	not available	not available	not available	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT131	NT=Q Exactive HF;AC=MS:1002523	NT=Lys-C;AC=MS:1001309	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (Control, anisomycin, anisomycin + p38 inhibitor, anisomycin + JNK inhibitor)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=TMTpro;AC=UNIMOD:737;MT=Variable;TA=K	NT=EZ-Link Sulfo-NHS-SS-Biotin;AC=UNIMOD:1841;MT=Variable;TA=K	7 ppm	10 ppm	orbitrap	20170516_QE7_nLC3_DBJ_SA_COLLAB_MAX_TMT10phos_2mg_3rd_02.raw	v1.1.0	HAMLET-agentic v2.1.0	osteosarcoma
PXD028151-Sample-19	Homo sapiens	bone	osteosarcoma	osteosarcoma cell, embryonic kidney cell, epithelial cell	U2OS, HEK293, RPE1	not available	not available	not available	not available	run 4	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT126	NT=Q Exactive HF;AC=MS:1002523	NT=Lys-C;AC=MS:1001309	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (Control, anisomycin, anisomycin + p38 inhibitor, anisomycin + JNK inhibitor)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	not applicable	not applicable	7 ppm	10 ppm	orbitrap	20170516_QE7_nLC3_DBJ_SA_COLLAB_MAX_TMT10phos_2mg_4th_02.raw	v1.1.0	HAMLET-agentic v2.1.0	osteosarcoma
PXD028151-Sample-20	Homo sapiens	bone	osteosarcoma	osteosarcoma cell, embryonic kidney cell, epithelial cell	U2OS, HEK293, RPE1	not available	not available	not available	not available	run 4	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT127	NT=Q Exactive HF;AC=MS:1002523	NT=Lys-C;AC=MS:1001309	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (Control, anisomycin, anisomycin + p38 inhibitor, anisomycin + JNK inhibitor)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	not applicable	not applicable	7 ppm	10 ppm	orbitrap	20170516_QE7_nLC3_DBJ_SA_COLLAB_MAX_TMT10phos_2mg_4th_02.raw	v1.1.0	HAMLET-agentic v2.1.0	osteosarcoma
PXD028151-Sample-21	Homo sapiens	bone	osteosarcoma	osteosarcoma cell, embryonic kidney cell, epithelial cell	U2OS, HEK293, RPE1	not available	not available	not available	not available	run 4	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT128	NT=Q Exactive HF;AC=MS:1002523	NT=Lys-C;AC=MS:1001309	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (Control, anisomycin, anisomycin + p38 inhibitor, anisomycin + JNK inhibitor)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	not applicable	not applicable	7 ppm	10 ppm	orbitrap	20170516_QE7_nLC3_DBJ_SA_COLLAB_MAX_TMT10phos_2mg_4th_02.raw	v1.1.0	HAMLET-agentic v2.1.0	osteosarcoma
PXD028151-Sample-22	Homo sapiens	bone	osteosarcoma	osteosarcoma cell, embryonic kidney cell, epithelial cell	U2OS, HEK293, RPE1	not available	not available	not available	not available	run 4	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT129	NT=Q Exactive HF;AC=MS:1002523	NT=Lys-C;AC=MS:1001309	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (Control, anisomycin, anisomycin + p38 inhibitor, anisomycin + JNK inhibitor)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	not applicable	not applicable	7 ppm	10 ppm	orbitrap	20170516_QE7_nLC3_DBJ_SA_COLLAB_MAX_TMT10phos_2mg_4th_02.raw	v1.1.0	HAMLET-agentic v2.1.0	osteosarcoma
PXD028151-Sample-23	Homo sapiens	bone	osteosarcoma	osteosarcoma cell, embryonic kidney cell, epithelial cell	U2OS, HEK293, RPE1	not available	not available	not available	not available	run 4	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT130	NT=Q Exactive HF;AC=MS:1002523	NT=Lys-C;AC=MS:1001309	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (Control, anisomycin, anisomycin + p38 inhibitor, anisomycin + JNK inhibitor)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	not applicable	not applicable	7 ppm	10 ppm	orbitrap	20170516_QE7_nLC3_DBJ_SA_COLLAB_MAX_TMT10phos_2mg_4th_02.raw	v1.1.0	HAMLET-agentic v2.1.0	osteosarcoma
