source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[ms2 mass analyzer]	comment[collision energy]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD055950-Sample-11	Homo sapiens	kidney	normal	Flp-In 293, U2OS, SaOS2, Bewo, SKN-SH, 293FT, Expi293F, Hela	not available	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT131C	NT=Orbitrap Exploris 480;AC=MS:1003028	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	REEP1 variant (wild-type, L107P mutant, parental control)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=TMT6plex-126 reporter+balance reagent acylated residue;AC=MOD:01720;MT=?	NT=carbamoylated residue;AC=MOD:00398;MT=?	NT=TMTpro 16plex Tandem Mass Tag;AC=UNIMOD:2016;MT=?;TA=HKSTY,N-term	NT=Representative mass and accurate mass for 113, 114, 116 & 117;AC=UNIMOD:730;MT=?;TA=CHKSTY,N-term	NT=Iodoacetamide derivative;AC=UNIMOD:4;MT=?;TA=CDEHKMSTUY,N-term	50-ppm	0.03 Da	dithiothreitol	iodoacetamide	Orbitrap	normalized collision energy 32%	xb10551.raw	v1.1.0	HAMLET-agentic v2.1.1	normal
PXD055950-Sample-12	Homo sapiens	kidney	normal	Flp-In 293, U2OS, SaOS2, Bewo, SKN-SH, 293FT, Expi293F, Hela	not available	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT132N	NT=Orbitrap Exploris 480;AC=MS:1003028	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	REEP1 variant (wild-type, L107P mutant, parental control)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=TMT6plex-126 reporter+balance reagent acylated residue;AC=MOD:01720;MT=?	NT=carbamoylated residue;AC=MOD:00398;MT=?	NT=TMTpro 16plex Tandem Mass Tag;AC=UNIMOD:2016;MT=?;TA=HKSTY,N-term	NT=Representative mass and accurate mass for 113, 114, 116 & 117;AC=UNIMOD:730;MT=?;TA=CHKSTY,N-term	NT=Iodoacetamide derivative;AC=UNIMOD:4;MT=?;TA=CDEHKMSTUY,N-term	50-ppm	0.03 Da	dithiothreitol	iodoacetamide	Orbitrap	normalized collision energy 32%	xb10551.raw	v1.1.0	HAMLET-agentic v2.1.1	normal
PXD055950-Sample-13	Homo sapiens	kidney	normal	Flp-In 293, U2OS, SaOS2, Bewo, SKN-SH, 293FT, Expi293F, Hela	not available	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT132C	NT=Orbitrap Exploris 480;AC=MS:1003028	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	REEP1 variant (wild-type, L107P mutant, parental control)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=TMT6plex-126 reporter+balance reagent acylated residue;AC=MOD:01720;MT=?	NT=carbamoylated residue;AC=MOD:00398;MT=?	NT=TMTpro 16plex Tandem Mass Tag;AC=UNIMOD:2016;MT=?;TA=HKSTY,N-term	NT=Representative mass and accurate mass for 113, 114, 116 & 117;AC=UNIMOD:730;MT=?;TA=CHKSTY,N-term	NT=Iodoacetamide derivative;AC=UNIMOD:4;MT=?;TA=CDEHKMSTUY,N-term	50-ppm	0.03 Da	dithiothreitol	iodoacetamide	Orbitrap	normalized collision energy 32%	xb10551.raw	v1.1.0	HAMLET-agentic v2.1.1	normal
PXD055950-Sample-14	Homo sapiens	kidney	normal	Flp-In 293, U2OS, SaOS2, Bewo, SKN-SH, 293FT, Expi293F, Hela	not available	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT133N	NT=Orbitrap Exploris 480;AC=MS:1003028	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	REEP1 variant (wild-type, L107P mutant, parental control)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=TMT6plex-126 reporter+balance reagent acylated residue;AC=MOD:01720;MT=?	NT=carbamoylated residue;AC=MOD:00398;MT=?	NT=TMTpro 16plex Tandem Mass Tag;AC=UNIMOD:2016;MT=?;TA=HKSTY,N-term	NT=Representative mass and accurate mass for 113, 114, 116 & 117;AC=UNIMOD:730;MT=?;TA=CHKSTY,N-term	NT=Iodoacetamide derivative;AC=UNIMOD:4;MT=?;TA=CDEHKMSTUY,N-term	50-ppm	0.03 Da	dithiothreitol	iodoacetamide	Orbitrap	normalized collision energy 32%	xb10551.raw	v1.1.0	HAMLET-agentic v2.1.1	normal
PXD055950-Sample-15	Homo sapiens	kidney	normal	Flp-In 293, U2OS, SaOS2, Bewo, SKN-SH, 293FT, Expi293F, Hela	not available	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT133C	NT=Orbitrap Exploris 480;AC=MS:1003028	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	REEP1 variant (wild-type, L107P mutant, parental control)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=TMT6plex-126 reporter+balance reagent acylated residue;AC=MOD:01720;MT=?	NT=carbamoylated residue;AC=MOD:00398;MT=?	NT=TMTpro 16plex Tandem Mass Tag;AC=UNIMOD:2016;MT=?;TA=HKSTY,N-term	NT=Representative mass and accurate mass for 113, 114, 116 & 117;AC=UNIMOD:730;MT=?;TA=CHKSTY,N-term	NT=Iodoacetamide derivative;AC=UNIMOD:4;MT=?;TA=CDEHKMSTUY,N-term	50-ppm	0.03 Da	dithiothreitol	iodoacetamide	Orbitrap	normalized collision energy 32%	xb10551.raw	v1.1.0	HAMLET-agentic v2.1.1	normal
PXD055950-Sample-16	Homo sapiens	kidney	normal	Flp-In 293, U2OS, SaOS2, Bewo, SKN-SH, 293FT, Expi293F, Hela	not available	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT134N	NT=Orbitrap Exploris 480;AC=MS:1003028	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	REEP1 variant (wild-type, L107P mutant, parental control)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=TMT6plex-126 reporter+balance reagent acylated residue;AC=MOD:01720;MT=?	NT=carbamoylated residue;AC=MOD:00398;MT=?	NT=TMTpro 16plex Tandem Mass Tag;AC=UNIMOD:2016;MT=?;TA=HKSTY,N-term	NT=Representative mass and accurate mass for 113, 114, 116 & 117;AC=UNIMOD:730;MT=?;TA=CHKSTY,N-term	NT=Iodoacetamide derivative;AC=UNIMOD:4;MT=?;TA=CDEHKMSTUY,N-term	50-ppm	0.03 Da	dithiothreitol	iodoacetamide	Orbitrap	normalized collision energy 32%	xb10551.raw	v1.1.0	HAMLET-agentic v2.1.1	normal
PXD055950-Sample-17	Homo sapiens	kidney	normal	Flp-In 293, U2OS, SaOS2, Bewo, SKN-SH, 293FT, Expi293F, Hela	not available	not available	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT126	NT=Orbitrap Exploris 480;AC=MS:1003028	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	REEP1 variant (wild-type, L107P mutant, parental control)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=TMT6plex-126 reporter+balance reagent acylated residue;AC=MOD:01720;MT=?	NT=carbamoylated residue;AC=MOD:00398;MT=?	NT=TMTpro 16plex Tandem Mass Tag;AC=UNIMOD:2016;MT=?;TA=HKSTY,N-term	NT=Representative mass and accurate mass for 113, 114, 116 & 117;AC=UNIMOD:730;MT=?;TA=CHKSTY,N-term	NT=Iodoacetamide derivative;AC=UNIMOD:4;MT=?;TA=CDEHKMSTUY,N-term	50-ppm	0.03 Da	dithiothreitol	iodoacetamide	Orbitrap	normalized collision energy 32%	xb10552.raw	v1.1.0	HAMLET-agentic v2.1.1	normal
PXD055950-Sample-18	Homo sapiens	kidney	normal	Flp-In 293, U2OS, SaOS2, Bewo, SKN-SH, 293FT, Expi293F, Hela	not available	not available	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT127N	NT=Orbitrap Exploris 480;AC=MS:1003028	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	REEP1 variant (wild-type, L107P mutant, parental control)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=TMT6plex-126 reporter+balance reagent acylated residue;AC=MOD:01720;MT=?	NT=carbamoylated residue;AC=MOD:00398;MT=?	NT=TMTpro 16plex Tandem Mass Tag;AC=UNIMOD:2016;MT=?;TA=HKSTY,N-term	NT=Representative mass and accurate mass for 113, 114, 116 & 117;AC=UNIMOD:730;MT=?;TA=CHKSTY,N-term	NT=Iodoacetamide derivative;AC=UNIMOD:4;MT=?;TA=CDEHKMSTUY,N-term	50-ppm	0.03 Da	dithiothreitol	iodoacetamide	Orbitrap	normalized collision energy 32%	xb10552.raw	v1.1.0	HAMLET-agentic v2.1.1	normal
PXD055950-Sample-19	Homo sapiens	kidney	normal	Flp-In 293, U2OS, SaOS2, Bewo, SKN-SH, 293FT, Expi293F, Hela	not available	not available	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT127C	NT=Orbitrap Exploris 480;AC=MS:1003028	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	REEP1 variant (wild-type, L107P mutant, parental control)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=TMT6plex-126 reporter+balance reagent acylated residue;AC=MOD:01720;MT=?	NT=carbamoylated residue;AC=MOD:00398;MT=?	NT=TMTpro 16plex Tandem Mass Tag;AC=UNIMOD:2016;MT=?;TA=HKSTY,N-term	NT=Representative mass and accurate mass for 113, 114, 116 & 117;AC=UNIMOD:730;MT=?;TA=CHKSTY,N-term	NT=Iodoacetamide derivative;AC=UNIMOD:4;MT=?;TA=CDEHKMSTUY,N-term	50-ppm	0.03 Da	dithiothreitol	iodoacetamide	Orbitrap	normalized collision energy 32%	xb10552.raw	v1.1.0	HAMLET-agentic v2.1.1	normal
PXD055950-Sample-20	Homo sapiens	kidney	normal	Flp-In 293, U2OS, SaOS2, Bewo, SKN-SH, 293FT, Expi293F, Hela	not available	not available	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT128N	NT=Orbitrap Exploris 480;AC=MS:1003028	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	REEP1 variant (wild-type, L107P mutant, parental control)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=TMT6plex-126 reporter+balance reagent acylated residue;AC=MOD:01720;MT=?	NT=carbamoylated residue;AC=MOD:00398;MT=?	NT=TMTpro 16plex Tandem Mass Tag;AC=UNIMOD:2016;MT=?;TA=HKSTY,N-term	NT=Representative mass and accurate mass for 113, 114, 116 & 117;AC=UNIMOD:730;MT=?;TA=CHKSTY,N-term	NT=Iodoacetamide derivative;AC=UNIMOD:4;MT=?;TA=CDEHKMSTUY,N-term	50-ppm	0.03 Da	dithiothreitol	iodoacetamide	Orbitrap	normalized collision energy 32%	xb10552.raw	v1.1.0	HAMLET-agentic v2.1.1	normal
PXD055950-Sample-21	Homo sapiens	kidney	normal	Flp-In 293, U2OS, SaOS2, Bewo, SKN-SH, 293FT, Expi293F, Hela	not available	not available	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT128C	NT=Orbitrap Exploris 480;AC=MS:1003028	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	REEP1 variant (wild-type, L107P mutant, parental control)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=TMT6plex-126 reporter+balance reagent acylated residue;AC=MOD:01720;MT=?	NT=carbamoylated residue;AC=MOD:00398;MT=?	NT=TMTpro 16plex Tandem Mass Tag;AC=UNIMOD:2016;MT=?;TA=HKSTY,N-term	NT=Representative mass and accurate mass for 113, 114, 116 & 117;AC=UNIMOD:730;MT=?;TA=CHKSTY,N-term	NT=Iodoacetamide derivative;AC=UNIMOD:4;MT=?;TA=CDEHKMSTUY,N-term	50-ppm	0.03 Da	dithiothreitol	iodoacetamide	Orbitrap	normalized collision energy 32%	xb10552.raw	v1.1.0	HAMLET-agentic v2.1.1	normal
PXD055950-Sample-22	Homo sapiens	kidney	normal	Flp-In 293, U2OS, SaOS2, Bewo, SKN-SH, 293FT, Expi293F, Hela	not available	not available	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT129N	NT=Orbitrap Exploris 480;AC=MS:1003028	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	REEP1 variant (wild-type, L107P mutant, parental control)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=TMT6plex-126 reporter+balance reagent acylated residue;AC=MOD:01720;MT=?	NT=carbamoylated residue;AC=MOD:00398;MT=?	NT=TMTpro 16plex Tandem Mass Tag;AC=UNIMOD:2016;MT=?;TA=HKSTY,N-term	NT=Representative mass and accurate mass for 113, 114, 116 & 117;AC=UNIMOD:730;MT=?;TA=CHKSTY,N-term	NT=Iodoacetamide derivative;AC=UNIMOD:4;MT=?;TA=CDEHKMSTUY,N-term	50-ppm	0.03 Da	dithiothreitol	iodoacetamide	Orbitrap	normalized collision energy 32%	xb10552.raw	v1.1.0	HAMLET-agentic v2.1.1	normal
PXD055950-Sample-23	Homo sapiens	kidney	normal	Flp-In 293, U2OS, SaOS2, Bewo, SKN-SH, 293FT, Expi293F, Hela	not available	not available	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT129C	NT=Orbitrap Exploris 480;AC=MS:1003028	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	REEP1 variant (wild-type, L107P mutant, parental control)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=TMT6plex-126 reporter+balance reagent acylated residue;AC=MOD:01720;MT=?	NT=carbamoylated residue;AC=MOD:00398;MT=?	NT=TMTpro 16plex Tandem Mass Tag;AC=UNIMOD:2016;MT=?;TA=HKSTY,N-term	NT=Representative mass and accurate mass for 113, 114, 116 & 117;AC=UNIMOD:730;MT=?;TA=CHKSTY,N-term	NT=Iodoacetamide derivative;AC=UNIMOD:4;MT=?;TA=CDEHKMSTUY,N-term	50-ppm	0.03 Da	dithiothreitol	iodoacetamide	Orbitrap	normalized collision energy 32%	xb10552.raw	v1.1.0	HAMLET-agentic v2.1.1	normal
