source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[reduction reagent]	comment[alkylation reagent]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD001819-Sample-16	Saccharomyces cerevisiae	not available	normal	not available	not available	not available	run 16	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	UPS1 spike level (0.05, 0.125, 0.250, 0.5, 2.5, 5, 12.5, 25, 50 fmol/µg)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	dithiothreitol	iodoacetamide	Orbitrap	UPS1_25000amol_R2.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD001819-Sample-17	Saccharomyces cerevisiae	not available	normal	not available	not available	not available	run 17	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	UPS1 spike level (0.05, 0.125, 0.250, 0.5, 2.5, 5, 12.5, 25, 50 fmol/µg)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	dithiothreitol	iodoacetamide	Orbitrap	UPS1_250amol_R2.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD001819-Sample-18	Saccharomyces cerevisiae	not available	normal	not available	not available	not available	run 18	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	UPS1 spike level (0.05, 0.125, 0.250, 0.5, 2.5, 5, 12.5, 25, 50 fmol/µg)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	dithiothreitol	iodoacetamide	Orbitrap	UPS1_25000amol_R3.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD001819-Sample-19	Saccharomyces cerevisiae	not available	normal	not available	not available	not available	run 19	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	UPS1 spike level (0.05, 0.125, 0.250, 0.5, 2.5, 5, 12.5, 25, 50 fmol/µg)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	dithiothreitol	iodoacetamide	Orbitrap	UPS1_500amol_R3.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD001819-Sample-20	Saccharomyces cerevisiae	not available	normal	not available	not available	not available	run 20	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	UPS1 spike level (0.05, 0.125, 0.250, 0.5, 2.5, 5, 12.5, 25, 50 fmol/µg)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	dithiothreitol	iodoacetamide	Orbitrap	UPS1_500amol_R1.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD001819-Sample-21	Saccharomyces cerevisiae	not available	normal	not available	not available	not available	run 21	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	UPS1 spike level (0.05, 0.125, 0.250, 0.5, 2.5, 5, 12.5, 25, 50 fmol/µg)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	dithiothreitol	iodoacetamide	Orbitrap	UPS1_5000amol_R3.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD001819-Sample-22	Saccharomyces cerevisiae	not available	normal	not available	not available	not available	run 22	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	UPS1 spike level (0.05, 0.125, 0.250, 0.5, 2.5, 5, 12.5, 25, 50 fmol/µg)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	dithiothreitol	iodoacetamide	Orbitrap	UPS1_5000amol_R1.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD001819-Sample-23	Saccharomyces cerevisiae	not available	normal	not available	not available	not available	run 23	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap Velos	NT=Trypsin;AC=MS:1001251	not available	not available	not available	UPS1 spike level (0.05, 0.125, 0.250, 0.5, 2.5, 5, 12.5, 25, 50 fmol/µg)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	dithiothreitol	iodoacetamide	Orbitrap	UPS1_50amol_R1.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD001819-Sample-24	Saccharomyces cerevisiae	not available	normal	not available	not available	not available	run 24	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	UPS1 spike level (0.05, 0.125, 0.250, 0.5, 2.5, 5, 12.5, 25, 50 fmol/µg)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	dithiothreitol	iodoacetamide	Orbitrap	UPS1_2500amol_R1.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD001819-Sample-25	Saccharomyces cerevisiae	not available	normal	not available	not available	not available	run 25	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	UPS1 spike level (0.05, 0.125, 0.250, 0.5, 2.5, 5, 12.5, 25, 50 fmol/µg)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	dithiothreitol	iodoacetamide	Orbitrap	UPS1_5000amol_R2.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD001819-Sample-26	Saccharomyces cerevisiae	not available	normal	not available	not available	not available	run 26	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	UPS1 spike level (0.05, 0.125, 0.250, 0.5, 2.5, 5, 12.5, 25, 50 fmol/µg)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	dithiothreitol	iodoacetamide	Orbitrap	UPS1_50000amol_R1.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD001819-Sample-27	Saccharomyces cerevisiae	not available	normal	not available	not available	not available	run 27	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	UPS1 spike level (0.05, 0.125, 0.250, 0.5, 2.5, 5, 12.5, 25, 50 fmol/µg)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	dithiothreitol	iodoacetamide	Orbitrap	UPS1_125amol_R2.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
