source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD002619-Sample-11	Homo sapiens	breast	breast cancer	cancer cells	HCC1599, MCF7, HCC1937, HCC2218, HMEC	not available	not available	not available	not available	run 11	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	breast cancer subtype (ERPR, Her2, TN)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6 ppm	20 ppm	dithiothreitol	orbitrap	20110616_EXQ1_TaGe_SA_BC26_2.raw	v1.1.0	HAMLET-agentic v2.1.0	breast cancer
PXD002619-Sample-12	Homo sapiens	breast	breast cancer	cancer cells	HCC1599, MCF7, HCC1937, HCC2218, HMEC	not available	not available	not available	not available	run 12	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	breast cancer subtype (ERPR, Her2, TN)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6 ppm	20 ppm	dithiothreitol	orbitrap	20110616_EXQ1_TaGe_SA_BC33_2.raw	v1.1.0	HAMLET-agentic v2.1.0	breast cancer
PXD002619-Sample-13	Homo sapiens	breast	breast cancer	cancer cells	HCC1599, MCF7, HCC1937, HCC2218, HMEC	not available	not available	not available	not available	run 13	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	breast cancer subtype (ERPR, Her2, TN)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6 ppm	20 ppm	dithiothreitol	orbitrap	20110616_EXQ1_TaGe_SA_BC33_4.raw	v1.1.0	HAMLET-agentic v2.1.0	breast cancer
PXD002619-Sample-14	Homo sapiens	breast	breast cancer	cancer cells	HCC1599, MCF7, HCC1937, HCC2218, HMEC	not available	not available	not available	not available	run 14	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	breast cancer subtype (ERPR, Her2, TN)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6 ppm	20 ppm	dithiothreitol	orbitrap	20110616_EXQ1_TaGe_SA_BC34_2.raw	v1.1.0	HAMLET-agentic v2.1.0	breast cancer
PXD002619-Sample-15	Homo sapiens	breast	breast cancer	cancer cells	HCC1599, MCF7, HCC1937, HCC2218, HMEC	not available	not available	not available	not available	run 15	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	breast cancer subtype (ERPR, Her2, TN)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6 ppm	20 ppm	dithiothreitol	orbitrap	20110616_EXQ1_TaGe_SA_BC34_3.raw	v1.1.0	HAMLET-agentic v2.1.0	breast cancer
PXD002619-Sample-16	Homo sapiens	breast	breast cancer	cancer cells	HCC1599, MCF7, HCC1937, HCC2218, HMEC	not available	not available	not available	not available	run 16	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	breast cancer subtype (ERPR, Her2, TN)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6 ppm	20 ppm	dithiothreitol	orbitrap	20110616_EXQ1_TaGe_SA_BC37A_1_110708022331.raw	v1.1.0	HAMLET-agentic v2.1.0	breast cancer
PXD002619-Sample-17	Homo sapiens	breast	breast cancer	cancer cells	HCC1599, MCF7, HCC1937, HCC2218, HMEC	not available	not available	not available	not available	run 17	proteomic profiling by mass spectrometry	not available	not available	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	breast cancer subtype (ERPR, Her2, TN)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6 ppm	20 ppm	dithiothreitol	orbitrap	20110616_EXQ1_TaGe_SA_BC9_1.raw	v1.1.0	HAMLET-agentic v2.1.0	breast cancer
PXD002619-Sample-18	Homo sapiens	breast	breast cancer	cancer cells	HCC1599, MCF7, HCC1937, HCC2218, HMEC	not available	not available	not available	not available	run 18	proteomic profiling by mass spectrometry	not available	not available	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	breast cancer subtype (ERPR, Her2, TN)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6 ppm	20 ppm	dithiothreitol	orbitrap	20110616_EXQ1_TaGe_SA_BC9_5.raw	v1.1.0	HAMLET-agentic v2.1.0	breast cancer
PXD002619-Sample-19	Homo sapiens	breast	breast cancer	cancer cells	HCC1599, MCF7, HCC1937, HCC2218, HMEC	not available	not available	not available	not available	run 19	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	breast cancer subtype (ERPR, Her2, TN)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6 ppm	20 ppm	dithiothreitol	orbitrap	20110617_EXQ2_TaGe_SA_BC30B_4.raw	v1.1.0	HAMLET-agentic v2.1.0	breast cancer
PXD002619-Sample-20	Homo sapiens	breast	breast cancer	cancer cells	HCC1599, MCF7, HCC1937, HCC2218, HMEC	not available	not available	not available	not available	run 20	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	breast cancer subtype (ERPR, Her2, TN)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6 ppm	20 ppm	dithiothreitol	orbitrap	20110624_EXQ1_TaGe_SA_BC21_1.raw	v1.1.0	HAMLET-agentic v2.1.0	breast cancer
PXD002619-Sample-21	Homo sapiens	breast	breast cancer	cancer cells	HCC1599, MCF7, HCC1937, HCC2218, HMEC	not available	not available	not available	not available	run 21	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	breast cancer subtype (ERPR, Her2, TN)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6 ppm	20 ppm	dithiothreitol	orbitrap	20110701_EXQ2_TaGe_SA_SSM3.raw	v1.1.0	HAMLET-agentic v2.1.0	breast cancer
PXD002619-Sample-22	Homo sapiens	breast	breast cancer	cancer cells	HCC1599, MCF7, HCC1937, HCC2218, HMEC	not available	not available	not available	not available	run 22	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	breast cancer subtype (ERPR, Her2, TN)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6 ppm	20 ppm	dithiothreitol	orbitrap	20110707_EXQ1_TaGe_SA_BC41_2.raw	v1.1.0	HAMLET-agentic v2.1.0	breast cancer
PXD002619-Sample-23	Homo sapiens	breast	breast cancer	cancer cells	HCC1599, MCF7, HCC1937, HCC2218, HMEC	not available	not available	not available	not available	run 23	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	breast cancer subtype (ERPR, Her2, TN)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6 ppm	20 ppm	dithiothreitol	orbitrap	20110707_EXQ1_TaGe_SA_BC41_5.raw	v1.1.0	HAMLET-agentic v2.1.0	breast cancer
PXD002619-Sample-24	Homo sapiens	breast	breast cancer	cancer cells	HCC1599, MCF7, HCC1937, HCC2218, HMEC	not available	not available	not available	not available	run 24	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	breast cancer subtype (ERPR, Her2, TN)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6 ppm	20 ppm	dithiothreitol	orbitrap	20110707_EXQ1_TaGe_SA_BC42_5.raw	v1.1.0	HAMLET-agentic v2.1.0	breast cancer
PXD002619-Sample-25	Homo sapiens	breast	breast cancer	cancer cells	HCC1599, MCF7, HCC1937, HCC2218, HMEC	not available	not available	not available	not available	run 25	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	breast cancer subtype (ERPR, Her2, TN)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6 ppm	20 ppm	dithiothreitol	orbitrap	20110711_EXQ2_TaGe_SA_BC13_3_110712091614.raw	v1.1.0	HAMLET-agentic v2.1.0	breast cancer
PXD002619-Sample-26	Homo sapiens	breast	breast cancer	cancer cells	HCC1599, MCF7, HCC1937, HCC2218, HMEC	not available	not available	not available	not available	run 26	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	breast cancer subtype (ERPR, Her2, TN)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6 ppm	20 ppm	dithiothreitol	orbitrap	20110823_EXQ3_TaGe_SA_BC23_3.raw	v1.1.0	HAMLET-agentic v2.1.0	breast cancer
PXD002619-Sample-27	Homo sapiens	breast	breast cancer	cancer cells	HCC1599, MCF7, HCC1937, HCC2218, HMEC	not available	not available	not available	not available	run 27	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	breast cancer subtype (ERPR, Her2, TN)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6 ppm	20 ppm	dithiothreitol	orbitrap	20110823_EXQ3_TaGe_SA_BC28_5.raw	v1.1.0	HAMLET-agentic v2.1.0	breast cancer
PXD002619-Sample-28	Homo sapiens	breast	breast cancer	cancer cells	HCC1599, MCF7, HCC1937, HCC2218, HMEC	not available	not available	not available	not available	run 28	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	breast cancer subtype (ERPR, Her2, TN)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6 ppm	20 ppm	dithiothreitol	orbitrap	20110823_EXQ3_TaGe_SA_BC28_6.raw	v1.1.0	HAMLET-agentic v2.1.0	breast cancer
PXD002619-Sample-29	Homo sapiens	breast	breast cancer	cancer cells	HCC1599, MCF7, HCC1937, HCC2218, HMEC	not available	not available	not available	not available	run 29	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	breast cancer subtype (ERPR, Her2, TN)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6 ppm	20 ppm	dithiothreitol	orbitrap	20110823_EXQ3_TaGe_SA_BC30_3.raw	v1.1.0	HAMLET-agentic v2.1.0	breast cancer
PXD002619-Sample-30	Homo sapiens	breast	breast cancer	cancer cells	HCC1599, MCF7, HCC1937, HCC2218, HMEC	not available	not available	not available	not available	run 30	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	breast cancer subtype (ERPR, Her2, TN)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6 ppm	20 ppm	dithiothreitol	orbitrap	20110823_EXQ3_TaGe_SA_BC30_6.raw	v1.1.0	HAMLET-agentic v2.1.0	breast cancer
PXD002619-Sample-31	Homo sapiens	breast	breast cancer	cancer cells	HCC1599, MCF7, HCC1937, HCC2218, HMEC	not available	not available	not available	not available	run 31	proteomic profiling by mass spectrometry	not available	not available	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	breast cancer subtype (ERPR, Her2, TN)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6 ppm	20 ppm	dithiothreitol	orbitrap	20110616_EXQ1_TaGe_SA_BC25_2.raw	v1.1.0	HAMLET-agentic v2.1.0	breast cancer
PXD002619-Sample-32	Homo sapiens	breast	breast cancer	cancer cells	HCC1599, MCF7, HCC1937, HCC2218, HMEC	not available	not available	not available	not available	run 32	proteomic profiling by mass spectrometry	not available	not available	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	breast cancer subtype (ERPR, Her2, TN)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6 ppm	20 ppm	dithiothreitol	orbitrap	20110616_EXQ1_TaGe_SA_BC18_4.raw	v1.1.0	HAMLET-agentic v2.1.0	breast cancer
PXD002619-Sample-33	Homo sapiens	breast	breast cancer	cancer cells	HCC1599, MCF7, HCC1937, HCC2218, HMEC	not available	not available	not available	not available	run 33	proteomic profiling by mass spectrometry	not available	not available	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	breast cancer subtype (ERPR, Her2, TN)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6 ppm	20 ppm	dithiothreitol	orbitrap	20110711_EXQ2_TaGe_SA_BC15_1.raw	v1.1.0	HAMLET-agentic v2.1.0	breast cancer
PXD002619-Sample-34	Homo sapiens	breast	breast cancer	cancer cells	HCC1599, MCF7, HCC1937, HCC2218, HMEC	not available	not available	not available	not available	run 34	proteomic profiling by mass spectrometry	not available	not available	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	breast cancer subtype (ERPR, Her2, TN)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6 ppm	20 ppm	dithiothreitol	orbitrap	20110610_Q2_TaGe_SA_SSM2_5.raw	v1.1.0	HAMLET-agentic v2.1.0	breast cancer
PXD002619-Sample-35	Homo sapiens	breast	breast cancer	cancer cells	HCC1599, MCF7, HCC1937, HCC2218, HMEC	not available	not available	not available	not available	run 35	proteomic profiling by mass spectrometry	not available	not available	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	breast cancer subtype (ERPR, Her2, TN)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6 ppm	20 ppm	dithiothreitol	orbitrap	20110612_EXQ1_TaGe_SA_BC6_2.raw	v1.1.0	HAMLET-agentic v2.1.0	breast cancer
PXD002619-Sample-36	Homo sapiens	breast	breast cancer	cancer cells	HCC1599, MCF7, HCC1937, HCC2218, HMEC	not available	not available	not available	not available	run 36	proteomic profiling by mass spectrometry	not available	not available	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	breast cancer subtype (ERPR, Her2, TN)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6 ppm	20 ppm	dithiothreitol	orbitrap	20110612_Q2_TaGe_SA_BC1_1.raw	v1.1.0	HAMLET-agentic v2.1.0	breast cancer
