source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[ms1 scan range]	comment[collision energy]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD021874-Sample-12	Haloferax volcanii	not available	wild-type, mutant	not available	not available	mid- and late-logarithmic growth phases	run 12	proteomic profiling by mass spectrometry	not available	label free sample	Q-Exactive HFX	NT=Glu-C;AC=MS:1001917	not available	not available	not available	strain (WT, Δagl15, ΔaglB), cellular fraction (Cyt, Mem, SN)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	10 ppm	dithiothreitol	iodoacetamide	400m/z-2000m/z	25 NCE	20190604_StS_AglB_Mem_GluC_Rep1.raw	v1.1.0	HAMLET-agentic v2.1.0	wild-type, mutant
PXD021874-Sample-13	Haloferax volcanii	not available	wild-type, mutant	not available	not available	mid- and late-logarithmic growth phases	run 13	proteomic profiling by mass spectrometry	not available	label free sample	Q-Exactive HFX	NT=Glu-C;AC=MS:1001917	not available	not available	not available	strain (WT, Δagl15, ΔaglB), cellular fraction (Cyt, Mem, SN)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	10 ppm	dithiothreitol	iodoacetamide	400m/z-2000m/z	25 NCE	20190321_StS_H53_Mem_GluC_stepped.raw	v1.1.0	HAMLET-agentic v2.1.0	wild-type, mutant
PXD021874-Sample-14	Haloferax volcanii	not available	wild-type, mutant	not available	not available	mid- and late-logarithmic growth phases	run 14	proteomic profiling by mass spectrometry	not available	label free sample	Q-Exactive HFX	NT=Glu-C;AC=MS:1001917	not available	not available	not available	strain (WT, Δagl15, ΔaglB), cellular fraction (Cyt, Mem, SN)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	10 ppm	dithiothreitol	iodoacetamide	400m/z-2000m/z	25 NCE	20190321_StS_H53_Cyt_GluC_stepped.raw	v1.1.0	HAMLET-agentic v2.1.0	wild-type, mutant
PXD021874-Sample-15	Haloferax volcanii	not available	wild-type, mutant	not available	not available	mid- and late-logarithmic growth phases	run 15	proteomic profiling by mass spectrometry	not available	label free sample	Q-Exactive HFX	NT=Glu-C;AC=MS:1001917	not available	not available	not available	strain (WT, Δagl15, ΔaglB), cellular fraction (Cyt, Mem, SN)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	10 ppm	dithiothreitol	iodoacetamide	400m/z-2000m/z	25 NCE	20190606_StS_Agl15_Mem_Try_Rep2.raw	v1.1.0	HAMLET-agentic v2.1.0	wild-type, mutant
PXD021874-Sample-16	Haloferax volcanii	not available	wild-type, mutant	not available	not available	mid- and late-logarithmic growth phases	run 16	proteomic profiling by mass spectrometry	not available	label free sample	Q-Exactive HFX	NT=Glu-C;AC=MS:1001917	not available	not available	not available	strain (WT, Δagl15, ΔaglB), cellular fraction (Cyt, Mem, SN)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	10 ppm	dithiothreitol	iodoacetamide	400m/z-2000m/z	25 NCE	20190607_StS_Agl15_Cyt_Try_Rep3.raw	v1.1.0	HAMLET-agentic v2.1.0	wild-type, mutant
PXD021874-Sample-17	Haloferax volcanii	not available	wild-type, mutant	not available	not available	mid- and late-logarithmic growth phases	run 17	proteomic profiling by mass spectrometry	not available	label free sample	Q-Exactive HFX	NT=Glu-C;AC=MS:1001917	not available	not available	not available	strain (WT, Δagl15, ΔaglB), cellular fraction (Cyt, Mem, SN)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	10 ppm	dithiothreitol	iodoacetamide	400m/z-2000m/z	25 NCE	20190321_StS_H53_Cyt_Try_stepped.raw	v1.1.0	HAMLET-agentic v2.1.0	wild-type, mutant
PXD021874-Sample-18	Haloferax volcanii	not available	wild-type, mutant	not available	not available	mid- and late-logarithmic growth phases	run 18	proteomic profiling by mass spectrometry	not available	label free sample	Q-Exactive HFX	NT=Glu-C;AC=MS:1001917	not available	not available	not available	strain (WT, Δagl15, ΔaglB), cellular fraction (Cyt, Mem, SN)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	10 ppm	dithiothreitol	iodoacetamide	400m/z-2000m/z	25 NCE	20190606_StS_Agl15_SN_GluC_Rep2.raw	v1.1.0	HAMLET-agentic v2.1.0	wild-type, mutant
PXD021874-Sample-19	Haloferax volcanii	not available	wild-type, mutant	not available	not available	mid- and late-logarithmic growth phases	run 19	proteomic profiling by mass spectrometry	not available	label free sample	Q-Exactive HFX	NT=Glu-C;AC=MS:1001917	not available	not available	not available	strain (WT, Δagl15, ΔaglB), cellular fraction (Cyt, Mem, SN)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	10 ppm	dithiothreitol	iodoacetamide	400m/z-2000m/z	25 NCE	20190607_StS_AglB_Cyt_Try_Rep3.raw	v1.1.0	HAMLET-agentic v2.1.0	wild-type, mutant
PXD021874-Sample-20	Haloferax volcanii	not available	wild-type, mutant	not available	not available	mid- and late-logarithmic growth phases	run 20	proteomic profiling by mass spectrometry	not available	label free sample	Q-Exactive HFX	NT=Glu-C;AC=MS:1001917	not available	not available	not available	strain (WT, Δagl15, ΔaglB), cellular fraction (Cyt, Mem, SN)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	10 ppm	dithiothreitol	iodoacetamide	400m/z-2000m/z	25 NCE	20190607_StS_H53_SN_Try_Rep3.raw	v1.1.0	HAMLET-agentic v2.1.0	wild-type, mutant
PXD021874-Sample-21	Haloferax volcanii	not available	wild-type, mutant	not available	not available	mid- and late-logarithmic growth phases	run 21	proteomic profiling by mass spectrometry	not available	label free sample	Q-Exactive HFX	NT=Glu-C;AC=MS:1001917	not available	not available	not available	strain (WT, Δagl15, ΔaglB), cellular fraction (Cyt, Mem, SN)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	10 ppm	dithiothreitol	iodoacetamide	400m/z-2000m/z	25 NCE	20190606_StS_AglB_Mem_GluC_Rep2.raw	v1.1.0	HAMLET-agentic v2.1.0	wild-type, mutant
PXD021874-Sample-22	Haloferax volcanii	not available	wild-type, mutant	not available	not available	mid- and late-logarithmic growth phases	run 22	proteomic profiling by mass spectrometry	not available	label free sample	Q-Exactive HFX	NT=Glu-C;AC=MS:1001917	not available	not available	not available	strain (WT, Δagl15, ΔaglB), cellular fraction (Cyt, Mem, SN)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	10 ppm	dithiothreitol	iodoacetamide	400m/z-2000m/z	25 NCE	20190606_StS_AglB_Mem_Try_Rep2.raw	v1.1.0	HAMLET-agentic v2.1.0	wild-type, mutant
PXD021874-Sample-23	Haloferax volcanii	not available	wild-type, mutant	not available	not available	mid- and late-logarithmic growth phases	run 23	proteomic profiling by mass spectrometry	not available	label free sample	Q-Exactive HFX	NT=Glu-C;AC=MS:1001917	not available	not available	not available	strain (WT, Δagl15, ΔaglB), cellular fraction (Cyt, Mem, SN)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	10 ppm	dithiothreitol	iodoacetamide	400m/z-2000m/z	25 NCE	20190607_StS_AglB_Mem_Try_Rep3.raw	v1.1.0	HAMLET-agentic v2.1.0	wild-type, mutant
PXD021874-Sample-24	Haloferax volcanii	not available	wild-type, mutant	not available	not available	mid- and late-logarithmic growth phases	run 24	proteomic profiling by mass spectrometry	not available	label free sample	Q-Exactive HFX	NT=Glu-C;AC=MS:1001917	not available	not available	not available	strain (WT, Δagl15, ΔaglB), cellular fraction (Cyt, Mem, SN)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	10 ppm	dithiothreitol	iodoacetamide	400m/z-2000m/z	25 NCE	20190607_StS_Agl15_Cyt_GluC_Rep3.raw	v1.1.0	HAMLET-agentic v2.1.0	wild-type, mutant
PXD021874-Sample-25	Haloferax volcanii	not available	wild-type, mutant	not available	not available	mid- and late-logarithmic growth phases	run 25	proteomic profiling by mass spectrometry	not available	label free sample	Q-Exactive HFX	NT=Glu-C;AC=MS:1001917	not available	not available	not available	strain (WT, Δagl15, ΔaglB), cellular fraction (Cyt, Mem, SN)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	10 ppm	dithiothreitol	iodoacetamide	400m/z-2000m/z	25 NCE	20190604_StS_AglB_Cyt_Try_Rep1.raw	v1.1.0	HAMLET-agentic v2.1.0	wild-type, mutant
PXD021874-Sample-26	Haloferax volcanii	not available	wild-type, mutant	not available	not available	mid- and late-logarithmic growth phases	run 26	proteomic profiling by mass spectrometry	not available	label free sample	Q-Exactive HFX	NT=Glu-C;AC=MS:1001917	not available	not available	not available	strain (WT, Δagl15, ΔaglB), cellular fraction (Cyt, Mem, SN)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	10 ppm	dithiothreitol	iodoacetamide	400m/z-2000m/z	25 NCE	20190607_StS_AglB_SN_Try_Rep3.raw	v1.1.0	HAMLET-agentic v2.1.0	wild-type, mutant
PXD021874-Sample-27	Haloferax volcanii	not available	wild-type, mutant	not available	not available	mid- and late-logarithmic growth phases	run 27	proteomic profiling by mass spectrometry	not available	label free sample	Q-Exactive HFX	NT=Glu-C;AC=MS:1001917	not available	not available	not available	strain (WT, Δagl15, ΔaglB), cellular fraction (Cyt, Mem, SN)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	10 ppm	dithiothreitol	iodoacetamide	400m/z-2000m/z	25 NCE	20190604_StS_AglB_Mem_Try_Rep1.raw	v1.1.0	HAMLET-agentic v2.1.0	wild-type, mutant
PXD021874-Sample-28	Haloferax volcanii	not available	wild-type, mutant	not available	not available	mid- and late-logarithmic growth phases	run 28	proteomic profiling by mass spectrometry	not available	label free sample	Q-Exactive HFX	NT=Glu-C;AC=MS:1001917	not available	not available	not available	strain (WT, Δagl15, ΔaglB), cellular fraction (Cyt, Mem, SN)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	10 ppm	dithiothreitol	iodoacetamide	400m/z-2000m/z	25 NCE	20190607_StS_AglB_SN_GluC_Rep3.raw	v1.1.0	HAMLET-agentic v2.1.0	wild-type, mutant
PXD021874-Sample-29	Haloferax volcanii	not available	wild-type, mutant	not available	not available	mid- and late-logarithmic growth phases	run 29	proteomic profiling by mass spectrometry	not available	label free sample	Q-Exactive HFX	NT=Glu-C;AC=MS:1001917	not available	not available	not available	strain (WT, Δagl15, ΔaglB), cellular fraction (Cyt, Mem, SN)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	10 ppm	dithiothreitol	iodoacetamide	400m/z-2000m/z	25 NCE	20190604_StS_Agl15_SN_GluC_Rep1.raw	v1.1.0	HAMLET-agentic v2.1.0	wild-type, mutant
PXD021874-Sample-30	Haloferax volcanii	not available	wild-type, mutant	not available	not available	mid- and late-logarithmic growth phases	run 30	proteomic profiling by mass spectrometry	not available	label free sample	Q-Exactive HFX	NT=Glu-C;AC=MS:1001917	not available	not available	not available	strain (WT, Δagl15, ΔaglB), cellular fraction (Cyt, Mem, SN)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	10 ppm	dithiothreitol	iodoacetamide	400m/z-2000m/z	25 NCE	20190606_StS_Agl15_Cyt_GluC_Rep2.raw	v1.1.0	HAMLET-agentic v2.1.0	wild-type, mutant
PXD021874-Sample-31	Haloferax volcanii	not available	wild-type, mutant	not available	not available	mid- and late-logarithmic growth phases	run 31	proteomic profiling by mass spectrometry	not available	label free sample	Q-Exactive HFX	NT=Glu-C;AC=MS:1001917	not available	not available	not available	strain (WT, Δagl15, ΔaglB), cellular fraction (Cyt, Mem, SN)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	10 ppm	dithiothreitol	iodoacetamide	400m/z-2000m/z	25 NCE	20190321_StS_H53_SN_GluC_stepped.raw	v1.1.0	HAMLET-agentic v2.1.0	wild-type, mutant
PXD021874-Sample-32	Haloferax volcanii	not available	wild-type, mutant	not available	not available	mid- and late-logarithmic growth phases	run 32	proteomic profiling by mass spectrometry	not available	label free sample	Q-Exactive HFX	NT=Glu-C;AC=MS:1001917	not available	not available	not available	strain (WT, Δagl15, ΔaglB), cellular fraction (Cyt, Mem, SN)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	10 ppm	dithiothreitol	iodoacetamide	400m/z-2000m/z	25 NCE	20190604_StS_Agl15_SN_Try_Rep1.raw	v1.1.0	HAMLET-agentic v2.1.0	wild-type, mutant
PXD021874-Sample-33	Haloferax volcanii	not available	wild-type, mutant	not available	not available	mid- and late-logarithmic growth phases	run 33	proteomic profiling by mass spectrometry	not available	label free sample	Q-Exactive HFX	NT=Glu-C;AC=MS:1001917	not available	not available	not available	strain (WT, Δagl15, ΔaglB), cellular fraction (Cyt, Mem, SN)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	10 ppm	dithiothreitol	iodoacetamide	400m/z-2000m/z	25 NCE	20190607_StS_H53_Mem_GluC_Rep3.raw	v1.1.0	HAMLET-agentic v2.1.0	wild-type, mutant
PXD021874-Sample-34	Haloferax volcanii	not available	wild-type, mutant	not available	not available	mid- and late-logarithmic growth phases	run 34	proteomic profiling by mass spectrometry	not available	label free sample	Q-Exactive HFX	NT=Glu-C;AC=MS:1001917	not available	not available	not available	strain (WT, Δagl15, ΔaglB), cellular fraction (Cyt, Mem, SN)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	10 ppm	dithiothreitol	iodoacetamide	400m/z-2000m/z	25 NCE	20190604_StS_H53_Cyt_GluC_Rep1-2.raw	v1.1.0	HAMLET-agentic v2.1.0	wild-type, mutant
PXD021874-Sample-35	Haloferax volcanii	not available	wild-type, mutant	not available	not available	mid- and late-logarithmic growth phases	run 35	proteomic profiling by mass spectrometry	not available	label free sample	Q-Exactive HFX	NT=Glu-C;AC=MS:1001917	not available	not available	not available	strain (WT, Δagl15, ΔaglB), cellular fraction (Cyt, Mem, SN)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	10 ppm	dithiothreitol	iodoacetamide	400m/z-2000m/z	25 NCE	20190607_StS_AglB_Mem_GluC_Rep3.raw	v1.1.0	HAMLET-agentic v2.1.0	wild-type, mutant
PXD021874-Sample-36	Haloferax volcanii	not available	wild-type, mutant	not available	not available	mid- and late-logarithmic growth phases	run 36	proteomic profiling by mass spectrometry	not available	label free sample	Q-Exactive HFX	NT=Glu-C;AC=MS:1001917	not available	not available	not available	strain (WT, Δagl15, ΔaglB), cellular fraction (Cyt, Mem, SN)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	10 ppm	dithiothreitol	iodoacetamide	400m/z-2000m/z	25 NCE	20190321_StS_H53_Mem_Try_stepped.raw	v1.1.0	HAMLET-agentic v2.1.0	wild-type, mutant
PXD021874-Sample-37	Haloferax volcanii	not available	wild-type, mutant	not available	not available	mid- and late-logarithmic growth phases	run 37	proteomic profiling by mass spectrometry	not available	label free sample	Q-Exactive HFX	NT=Glu-C;AC=MS:1001917	not available	not available	not available	strain (WT, Δagl15, ΔaglB), cellular fraction (Cyt, Mem, SN)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	10 ppm	dithiothreitol	iodoacetamide	400m/z-2000m/z	25 NCE	20190604_StS_Agl15_Cyt_GluC_Rep1.raw	v1.1.0	HAMLET-agentic v2.1.0	wild-type, mutant
PXD021874-Sample-38	Haloferax volcanii	not available	wild-type, mutant	not available	not available	mid- and late-logarithmic growth phases	run 38	proteomic profiling by mass spectrometry	not available	label free sample	Q-Exactive HFX	NT=Glu-C;AC=MS:1001917	not available	not available	not available	strain (WT, Δagl15, ΔaglB), cellular fraction (Cyt, Mem, SN)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	10 ppm	dithiothreitol	iodoacetamide	400m/z-2000m/z	25 NCE	20190606_StS_H53_Mem_GluC_Rep2.raw	v1.1.0	HAMLET-agentic v2.1.0	wild-type, mutant
PXD021874-Sample-39	Haloferax volcanii	not available	wild-type, mutant	not available	not available	mid- and late-logarithmic growth phases	run 39	proteomic profiling by mass spectrometry	not available	label free sample	Q-Exactive HFX	NT=Glu-C;AC=MS:1001917	not available	not available	not available	strain (WT, Δagl15, ΔaglB), cellular fraction (Cyt, Mem, SN)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	10 ppm	dithiothreitol	iodoacetamide	400m/z-2000m/z	25 NCE	20190604_StS_AglB_Cyt_Try_Rep1_2.raw	v1.1.0	HAMLET-agentic v2.1.0	wild-type, mutant
