PXD	WORKDIR	LIKELY_CAUSE	EVIDENCE
PXD013599	/mnt/storage_1/HAMLET/work/83/4f08aa2fa9b4b3385180b6df609e79	likely_dead_or_unreachable_ftp	Download failed for one or more RAW/WIFF files; no RAW/WIFF downloaded
PXD011863	/mnt/storage_1/HAMLET/work/5b/0287937a4e3f48de9f05937a776805	likely_dead_or_unreachable_ftp	Download failed for one or more RAW/WIFF files; no RAW/WIFF downloaded
PXD016919	/mnt/storage_1/HAMLET/work/94/342bb80b792f9203d1b31ec89f2343	likely_dead_or_unreachable_ftp	Download failed for one or more RAW/WIFF files; no RAW/WIFF downloaded
PXD009777	/mnt/storage_1/HAMLET/work/ec/5780b32ac965533b37d3b57ab6818a	likely_dead_or_unreachable_ftp	Download failed for one or more RAW/WIFF files; no RAW/WIFF downloaded
PXD009375	/mnt/storage_1/HAMLET/work/0f/4d729ed7ac68fa94db5f73b7ff3171	likely_dead_or_unreachable_ftp	Download failed for one or more RAW/WIFF files; no RAW/WIFF downloaded
PXD039035	/mnt/storage_1/HAMLET/work/6e/829f4214ac84a740766d64fc34f2ee	likely_dead_or_unreachable_ftp	Download failed for one or more RAW/WIFF files; no RAW/WIFF downloaded
PXD009266	/mnt/storage_1/HAMLET/work/9c/c7b5f8694d05ee947f7926f3fa5574	likely_dead_or_unreachable_ftp	Download failed for one or more RAW/WIFF files; no RAW/WIFF downloaded
PXD020418	/mnt/storage_1/HAMLET/work/d7/3c2db868b3b803e3a3b6f460ecdbb1	likely_dead_or_unreachable_ftp	Download failed for one or more RAW/WIFF files; no RAW/WIFF downloaded
PXD039998	/mnt/storage_1/HAMLET/work/61/d9d6b6b1cbae9d90cd184897e37be2	likely_dead_or_unreachable_ftp	Download failed for one or more RAW/WIFF files; no RAW/WIFF downloaded
PXD016858	/mnt/storage_1/HAMLET/work/c7/400c62fe0ccb66be2e06d48a37626d	likely_dead_or_unreachable_ftp	Download failed for one or more RAW/WIFF files; no RAW/WIFF downloaded
PXD025590	/mnt/storage_1/HAMLET/work/f6/c0ab611bbfb37551ef9c7e8ec81605	likely_dead_or_unreachable_ftp	Download failed for one or more RAW/WIFF files; no RAW/WIFF downloaded
PXD026512	/mnt/storage_1/HAMLET/work/8a/25cb8e6672a97381949ec771f658fa	likely_dead_or_unreachable_ftp	Download failed for one or more RAW/WIFF files; no RAW/WIFF downloaded
PXD027015	/mnt/storage_1/HAMLET/work/6f/a37c012f94e6dba53ffe5661c87925	likely_dead_or_unreachable_ftp	Download failed for one or more RAW/WIFF files; no RAW/WIFF downloaded
PXD027053	/mnt/storage_1/HAMLET/work/0a/26ade9144fdb9da4943636244fc01f	likely_dead_or_unreachable_ftp	Download failed for one or more RAW/WIFF files; no RAW/WIFF downloaded
PXD027882	/mnt/storage_1/HAMLET/work/6f/f818167a64a14546beaa8806e7ff48	likely_dead_or_unreachable_ftp	Download failed for one or more RAW/WIFF files; no RAW/WIFF downloaded
PXD027841	/mnt/storage_1/HAMLET/work/1a/325852f3913e3689914dc2048a3321	likely_dead_or_unreachable_ftp	Download failed for one or more RAW/WIFF files; no RAW/WIFF downloaded
PXD028480	/mnt/storage_1/HAMLET/work/ea/3d50b313c1b5217301d7ea8d931811	likely_dead_or_unreachable_ftp	Download failed for one or more RAW/WIFF files; no RAW/WIFF downloaded
PXD028151	/mnt/storage_1/HAMLET/work/8a/cff67ca9550f7c899ed9ed49a017d4	likely_dead_or_unreachable_ftp	Download failed for one or more RAW/WIFF files; no RAW/WIFF downloaded
PXD029013	/mnt/storage_1/HAMLET/work/08/03921477bf3ac2a9676b76b713f7f6	likely_dead_or_unreachable_ftp	Download failed for one or more RAW/WIFF files; no RAW/WIFF downloaded
PXD029141	/mnt/storage_1/HAMLET/work/08/aedb3aa66b0f35dc003b0d3dfa7a3f	likely_dead_or_unreachable_ftp	Download failed for one or more RAW/WIFF files; no RAW/WIFF downloaded
PXD029335	/mnt/storage_1/HAMLET/work/01/6f33cd84b912a7df40f81ae3cdf030	likely_dead_or_unreachable_ftp	Download failed for one or more RAW/WIFF files; no RAW/WIFF downloaded
PXD029361	/mnt/storage_1/HAMLET/work/68/a95de7ba7d4c0e294d24e619aae93a	likely_dead_or_unreachable_ftp	Download failed for one or more RAW/WIFF files; no RAW/WIFF downloaded
PXD029574	/mnt/storage_1/HAMLET/work/89/439cf1976fb28111acd5a27a4607be	likely_dead_or_unreachable_ftp	Download failed for one or more RAW/WIFF files; no RAW/WIFF downloaded
PXD029629	/mnt/storage_1/HAMLET/work/f4/66fcb9cbf3f15298d67ec3bcd52688	likely_dead_or_unreachable_ftp	Download failed for one or more RAW/WIFF files; no RAW/WIFF downloaded
PXD029783	/mnt/storage_1/HAMLET/work/60/44ccb969a0e3ccd1febe08480f0379	likely_dead_or_unreachable_ftp	Download failed for one or more RAW/WIFF files; no RAW/WIFF downloaded
PXD030730	/mnt/storage_1/HAMLET/work/d4/12bd67440f570c57bb6420fd296c71	likely_dead_or_unreachable_ftp	Download failed for one or more RAW/WIFF files; no RAW/WIFF downloaded
PXD054249	/mnt/storage_1/HAMLET/work/12/475c64fc75bfb667b12dc1040faaee	likely_dead_or_unreachable_ftp	Download failed for one or more RAW/WIFF files; no RAW/WIFF downloaded
PXD030847	/mnt/storage_1/HAMLET/work/5c/963899d82fe427bc6a51d6ab1c43d7	likely_dead_or_unreachable_ftp	Download failed for one or more RAW/WIFF files; no RAW/WIFF downloaded
PXD030883	/mnt/storage_1/HAMLET/work/a5/0606d39e57ff5a7f078a1917a3d5ef	likely_dead_or_unreachable_ftp	Download failed for one or more RAW/WIFF files; no RAW/WIFF downloaded
PXD030978	/mnt/storage_1/HAMLET/work/c1/27b643e857e03afaf44ef3d9c41473	likely_dead_or_unreachable_ftp	Download failed for one or more RAW/WIFF files; no RAW/WIFF downloaded
PXD031064	/mnt/storage_1/HAMLET/work/c9/b1a89daa855e60a1bc41669d1653c5	likely_dead_or_unreachable_ftp	Download failed for one or more RAW/WIFF files; no RAW/WIFF downloaded
PXD031703	/mnt/storage_1/HAMLET/work/82/b904525866d47489cee1bb44938f69	likely_dead_or_unreachable_ftp	Download failed for one or more RAW/WIFF files; no RAW/WIFF downloaded
PXD031801	/mnt/storage_1/HAMLET/work/1e/65ece40fffbb6eb9a2639a4f524669	likely_dead_or_unreachable_ftp	Download failed for one or more RAW/WIFF files; no RAW/WIFF downloaded
PXD031873	/mnt/storage_1/HAMLET/work/eb/fb3084569807c906f7f3bdbca2cee3	likely_dead_or_unreachable_ftp	Download failed for one or more RAW/WIFF files; no RAW/WIFF downloaded
PXD031971	/mnt/storage_1/HAMLET/work/96/41c3d7aedc6a46c5c0545c1d17cda6	likely_dead_or_unreachable_ftp	Download failed for one or more RAW/WIFF files; no RAW/WIFF downloaded
PXD030715	/mnt/storage_1/HAMLET/work/2e/1c3a2ddcaa744387ee44235f8eea3e	likely_dead_or_unreachable_ftp	Download failed for one or more RAW/WIFF files; no RAW/WIFF downloaded
PXD032027	/mnt/storage_1/HAMLET/work/2d/f12bc6a1b6fe74ac7b3a9b117c5082	likely_dead_or_unreachable_ftp	Download failed for one or more RAW/WIFF files; no RAW/WIFF downloaded
PXD057905	/mnt/storage_1/HAMLET/work/56/111d2f0bdcdd966e233258cac0de57	likely_dead_or_unreachable_ftp	Download failed for one or more RAW/WIFF files; no RAW/WIFF downloaded
PXD032086	/mnt/storage_1/HAMLET/work/25/36aac9d5de825c827af05a5adef891	likely_dead_or_unreachable_ftp	Download failed for one or more RAW/WIFF files; no RAW/WIFF downloaded
PXD032144	/mnt/storage_1/HAMLET/work/4f/4799003d77f218df67a3ce7c98e264	likely_dead_or_unreachable_ftp	Download failed for one or more RAW/WIFF files; no RAW/WIFF downloaded
PXD032209	/mnt/storage_1/HAMLET/work/36/9910d9477a9abae5c9f1aecdaef328	likely_dead_or_unreachable_ftp	Download failed for one or more RAW/WIFF files; no RAW/WIFF downloaded
PXD032360	/mnt/storage_1/HAMLET/work/aa/623031577712a8ce169929553b0eac	likely_dead_or_unreachable_ftp	Download failed for one or more RAW/WIFF files; no RAW/WIFF downloaded
PXD032738	/mnt/storage_1/HAMLET/work/7f/3212d49a1bb292a93816182a9a8e50	likely_dead_or_unreachable_ftp	Download failed for one or more RAW/WIFF files; no RAW/WIFF downloaded
PXD032931	/mnt/storage_1/HAMLET/work/30/9b1669b08bf95d55ddfd9dea6daa18	likely_dead_or_unreachable_ftp	Download failed for one or more RAW/WIFF files; no RAW/WIFF downloaded
PXD033099	/mnt/storage_1/HAMLET/work/35/86864029ce0730531ff31df039325e	likely_dead_or_unreachable_ftp	Download failed for one or more RAW/WIFF files; no RAW/WIFF downloaded
PXD033047	/mnt/storage_1/HAMLET/work/aa/d75c913d72eeea69e3a9f5c05a814d	likely_dead_or_unreachable_ftp	Download failed for one or more RAW/WIFF files; no RAW/WIFF downloaded
PXD033112	/mnt/storage_1/HAMLET/work/d8/d113cf9c622b21b86586a3de985fb4	likely_dead_or_unreachable_ftp	Download failed for one or more RAW/WIFF files; no RAW/WIFF downloaded
PXD033196	/mnt/storage_1/HAMLET/work/b0/ef1dabb1aaf2e84be2e3c94e560bbb	likely_dead_or_unreachable_ftp	Download failed for one or more RAW/WIFF files; no RAW/WIFF downloaded
PXD033342	/mnt/storage_1/HAMLET/work/e5/17c95bac31fb783de62b3214cbc665	likely_dead_or_unreachable_ftp	Download failed for one or more RAW/WIFF files; no RAW/WIFF downloaded
PXD033469	/mnt/storage_1/HAMLET/work/09/5b8d593c54b66b5d4b7049d68af429	likely_dead_or_unreachable_ftp	Download failed for one or more RAW/WIFF files; no RAW/WIFF downloaded
PXD033536	/mnt/storage_1/HAMLET/work/23/15e5f50fd933b6b188b83a2131ccb6	likely_dead_or_unreachable_ftp	Download failed for one or more RAW/WIFF files; no RAW/WIFF downloaded
PXD034074	/mnt/storage_1/HAMLET/work/03/bda17715b700a39138b0069622c34a	likely_dead_or_unreachable_ftp	Download failed for one or more RAW/WIFF files; no RAW/WIFF downloaded
PXD035048	/mnt/storage_1/HAMLET/work/2b/a472eb3270067d433de3c2463a41fc	likely_dead_or_unreachable_ftp	Download failed for one or more RAW/WIFF files; no RAW/WIFF downloaded
PXD035650	/mnt/storage_1/HAMLET/work/43/d3f5b2bddd4ad6beca657f2b6038ea	likely_dead_or_unreachable_ftp	Download failed for one or more RAW/WIFF files; no RAW/WIFF downloaded
PXD035722	/mnt/storage_1/HAMLET/work/88/fe639d335caa8f716e5b5ddb963e56	likely_dead_or_unreachable_ftp	Download failed for one or more RAW/WIFF files; no RAW/WIFF downloaded
PXD036005	/mnt/storage_1/HAMLET/work/b6/e28d020aae0a514cb205ed25bb491c	likely_dead_or_unreachable_ftp	Download failed for one or more RAW/WIFF files; no RAW/WIFF downloaded
PXD036192	/mnt/storage_1/HAMLET/work/5f/04273bb77c9d7590bacc10de06c7ba	likely_dead_or_unreachable_ftp	Download failed for one or more RAW/WIFF files; no RAW/WIFF downloaded
PXD036200	/mnt/storage_1/HAMLET/work/7d/7d6be943e1e5cda77da78f6134dc80	likely_dead_or_unreachable_ftp	Download failed for one or more RAW/WIFF files; no RAW/WIFF downloaded
PXD036197	/mnt/storage_1/HAMLET/work/60/46ed8d43b93df8b3b15eaaed3343eb	likely_dead_or_unreachable_ftp	Download failed for one or more RAW/WIFF files; no RAW/WIFF downloaded
PXD036675	/mnt/storage_1/HAMLET/work/09/100da6dfce69730f2c315f3e4e94e7	likely_dead_or_unreachable_ftp	Download failed for one or more RAW/WIFF files; no RAW/WIFF downloaded
PXD040899	/mnt/storage_1/HAMLET/work/24/28b92f956c51d551429c9993780fcd	likely_dead_or_unreachable_ftp	Download failed for one or more RAW/WIFF files; no RAW/WIFF downloaded
PXD041051	/mnt/storage_1/HAMLET/work/6b/02c357cd7e3cfbc930692804e730f2	likely_dead_or_unreachable_ftp	Download failed for one or more RAW/WIFF files; no RAW/WIFF downloaded
PXD041561	/mnt/storage_1/HAMLET/work/19/18bde5bc4694c16bac2ef26e7f1316	likely_dead_or_unreachable_ftp	Download failed for one or more RAW/WIFF files; no RAW/WIFF downloaded
PXD041514	/mnt/storage_1/HAMLET/work/2e/99e96aef64a7669438fa9908fda150	likely_dead_or_unreachable_ftp	Download failed for one or more RAW/WIFF files; no RAW/WIFF downloaded
PXD041775	/mnt/storage_1/HAMLET/work/da/d77cb0f1905415a6b69085b5c3c213	likely_dead_or_unreachable_ftp	Download failed for one or more RAW/WIFF files; no RAW/WIFF downloaded
PXD041782	/mnt/storage_1/HAMLET/work/73/57decb478e1d62370ce2df2373c818	likely_dead_or_unreachable_ftp	Download failed for one or more RAW/WIFF files; no RAW/WIFF downloaded
PXD042397	/mnt/storage_1/HAMLET/work/34/012f63ddfd6fc5f027644fb2c2c881	likely_dead_or_unreachable_ftp	Download failed for one or more RAW/WIFF files; no RAW/WIFF downloaded
PXD042575	/mnt/storage_1/HAMLET/work/c5/742148e72eb2fd47e3a26d54095a6c	likely_dead_or_unreachable_ftp	Download failed for one or more RAW/WIFF files; no RAW/WIFF downloaded
PXD042914	/mnt/storage_1/HAMLET/work/9b/b10c55bbfea6d8a8595c4973737ca8	likely_dead_or_unreachable_ftp	Download failed for one or more RAW/WIFF files; no RAW/WIFF downloaded
PXD043087	/mnt/storage_1/HAMLET/work/92/ae741bce94000ced2934950492effa	likely_dead_or_unreachable_ftp	Download failed for one or more RAW/WIFF files; no RAW/WIFF downloaded
PXD043535	/mnt/storage_1/HAMLET/work/b2/9683985bf6b40d8cc941433a2e1ab4	likely_dead_or_unreachable_ftp	Download failed for one or more RAW/WIFF files; no RAW/WIFF downloaded
PXD043500	/mnt/storage_1/HAMLET/work/ff/8d8ef8256f71afc8f33cfbc057d1e8	likely_dead_or_unreachable_ftp	Download failed for one or more RAW/WIFF files; no RAW/WIFF downloaded
PXD044743	/mnt/storage_1/HAMLET/work/c9/c1f2ca6abc4e42470522fa2c78faca	likely_dead_or_unreachable_ftp	Download failed for one or more RAW/WIFF files; no RAW/WIFF downloaded
PXD044750	/mnt/storage_1/HAMLET/work/a2/1539060fd422d6a9a8953ba356ce79	likely_dead_or_unreachable_ftp	Download failed for one or more RAW/WIFF files; no RAW/WIFF downloaded
PXD044860	/mnt/storage_1/HAMLET/work/ea/128a0dddce77711c845cf5c8ea7ad5	likely_dead_or_unreachable_ftp	Download failed for one or more RAW/WIFF files; no RAW/WIFF downloaded
PXD045770	/mnt/storage_1/HAMLET/work/d6/b261575b9e5f9f04e5bee43d018852	likely_dead_or_unreachable_ftp	Download failed for one or more RAW/WIFF files; no RAW/WIFF downloaded
PXD039939	/mnt/storage_1/HAMLET/work/0b/5aff2b26dc9ffb5822142e05523a46	likely_dead_or_unreachable_ftp	Download failed for one or more RAW/WIFF files; no RAW/WIFF downloaded
PXD047066	/mnt/storage_1/HAMLET/work/56/04c8cf013dd311aad9fd02a3904381	likely_dead_or_unreachable_ftp	Download failed for one or more RAW/WIFF files; no RAW/WIFF downloaded
PXD047758	/mnt/storage_1/HAMLET/work/17/f296d7abeeff8fe490b0bfe757ea2d	likely_dead_or_unreachable_ftp	Download failed for one or more RAW/WIFF files; no RAW/WIFF downloaded
PXD047910	/mnt/storage_1/HAMLET/work/29/db3e824f08d354be0d38c6a69ff22a	likely_dead_or_unreachable_ftp	Download failed for one or more RAW/WIFF files; no RAW/WIFF downloaded
PXD048381	/mnt/storage_1/HAMLET/work/3a/f32c7d2909a3a33596ea2ba8ca34fe	likely_dead_or_unreachable_ftp	Download failed for one or more RAW/WIFF files; no RAW/WIFF downloaded
PXD048451	/mnt/storage_1/HAMLET/work/0d/aacfbfdaf248f60f9bf3a06295eb54	likely_dead_or_unreachable_ftp	Download failed for one or more RAW/WIFF files; no RAW/WIFF downloaded
PXD048763	/mnt/storage_1/HAMLET/work/9b/7b7c11cb466c6fa96358e59b4a815b	likely_dead_or_unreachable_ftp	Download failed for one or more RAW/WIFF files; no RAW/WIFF downloaded
PXD050085	/mnt/storage_1/HAMLET/work/d0/2d89980e2688a4a34b7f71bec773de	likely_dead_or_unreachable_ftp	Download failed for one or more RAW/WIFF files; no RAW/WIFF downloaded
PXD050400	/mnt/storage_1/HAMLET/work/2d/398533571ddec1a09856bdec1c0d1a	likely_dead_or_unreachable_ftp	Download failed for one or more RAW/WIFF files; no RAW/WIFF downloaded
PXD050745	/mnt/storage_1/HAMLET/work/4b/6718a20d87022caa8e27465fb2273d	likely_dead_or_unreachable_ftp	Download failed for one or more RAW/WIFF files; no RAW/WIFF downloaded
PXD050244	/mnt/storage_1/HAMLET/work/de/f9f65d3086eb88178680085410cd0a	likely_dead_or_unreachable_ftp	Download failed for one or more RAW/WIFF files; no RAW/WIFF downloaded
PXD051954	/mnt/storage_1/HAMLET/work/c0/f51c68df053a5949a24dbf9e530093	likely_dead_or_unreachable_ftp	Download failed for one or more RAW/WIFF files; no RAW/WIFF downloaded
PXD051371	/mnt/storage_1/HAMLET/work/39/880d8dc1f68868fa1b33a4629aa7f2	likely_dead_or_unreachable_ftp	Download failed for one or more RAW/WIFF files; no RAW/WIFF downloaded
PXD052214	/mnt/storage_1/HAMLET/work/78/f2e15fce88df2abb8f9b46dbf710a6	likely_dead_or_unreachable_ftp	Download failed for one or more RAW/WIFF files; no RAW/WIFF downloaded
PXD052900	/mnt/storage_1/HAMLET/work/36/9d529d5424c9eedce951ea9880bb2c	likely_dead_or_unreachable_ftp	Download failed for one or more RAW/WIFF files; no RAW/WIFF downloaded
PXD053088	/mnt/storage_1/HAMLET/work/c7/7a488612bf55aefd45c784cc6dd703	likely_dead_or_unreachable_ftp	Download failed for one or more RAW/WIFF files; no RAW/WIFF downloaded
PXD053091	/mnt/storage_1/HAMLET/work/a0/fd111923c7e483a0e5ed56b6bf2ebd	likely_dead_or_unreachable_ftp	Download failed for one or more RAW/WIFF files; no RAW/WIFF downloaded
PXD053353	/mnt/storage_1/HAMLET/work/10/b5f5e462ff7d07ac4c2baf15dcbf3b	likely_dead_or_unreachable_ftp	Download failed for one or more RAW/WIFF files; no RAW/WIFF downloaded
PXD055868	/mnt/storage_1/HAMLET/work/40/4e9b72068131cb6d75561a3529cc68	likely_dead_or_unreachable_ftp	Download failed for one or more RAW/WIFF files; no RAW/WIFF downloaded
PXD055950	/mnt/storage_1/HAMLET/work/92/adb7b10d8b902ecb7679e39d8836b6	likely_dead_or_unreachable_ftp	Download failed for one or more RAW/WIFF files; no RAW/WIFF downloaded
PXD063163	/mnt/storage_1/HAMLET/work/9f/db6a890e335bcfd9bd61ef80a004a6	likely_dead_or_unreachable_ftp	Download failed for one or more RAW/WIFF files; no RAW/WIFF downloaded
PXD064366	/mnt/storage_1/HAMLET/work/97/7da3fdbdb6926ae1fcec3dbee9bba1	likely_dead_or_unreachable_ftp	Download failed for one or more RAW/WIFF files; no RAW/WIFF downloaded
PXD064331	/mnt/storage_1/HAMLET/work/6b/000d773b8f7d4e18961265117f67b3	likely_dead_or_unreachable_ftp	Download failed for one or more RAW/WIFF files; no RAW/WIFF downloaded
PXD065314	/mnt/storage_1/HAMLET/work/4c/552c6d95245bd88a08bedc5ac4b7a8	likely_dead_or_unreachable_ftp	Download failed for one or more RAW/WIFF files; no RAW/WIFF downloaded
PXD065770	/mnt/storage_1/HAMLET/work/5c/d95fc2f20b3d9729193e9edd4595cd	likely_dead_or_unreachable_ftp	Download failed for one or more RAW/WIFF files; no RAW/WIFF downloaded
