PXD	WORKDIR	CLASS	EVIDENCE
PXD030927	/mnt/storage_1/HAMLET/work/4a/e5a201ef5229d50c76956c86e579fe	download_command_failed	WARNING: Download failed for N_glycosylation_OvarianCancer_20201216_9ug_10ul_20_30_31_TR1.raw: Command '['aria2c', '-x', '16', '-s', '16', '-j', '1', '-c', '--file-allocation=none', '--max-tries=10', '--retry-wait=5', '--timeout=600', '-d', '/mnt/storage_1/HAMLET/spectral_files/PXD030927', '-o', 'N_glycosylation_OvarianCancer_20201216_9ug_10ul_20_30_31_TR1.raw', 'ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/03/PXD030927/N_glycosylation_OvarianCancer_20201216_9ug_10ul_20_30_31_TR1.raw']' returned non-zero exit status 1.
PXD013432	/mnt/storage_1/HAMLET/work/a0/5bfa72bc1add0c58e0681b02f0fbed	download_command_failed	WARNING: Download failed for MS184386LUM_mirjam_Klinge_microsporidia_Ribosome_4A_a.raw: Command '['aria2c', '-x', '16', '-s', '16', '-j', '1', '-c', '--file-allocation=none', '--max-tries=10', '--retry-wait=5', '--timeout=600', '-d', '/mnt/storage_1/HAMLET/spectral_files/PXD013432', '-o', 'MS184386LUM_mirjam_Klinge_microsporidia_Ribosome_4A_a.raw', 'ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD013432/MS184386LUM_mirjam_Klinge_microsporidia_Ribosome_4A_a.raw']' returned non-zero exit status 1.
PXD012337	/mnt/storage_1/HAMLET/work/49/6f366666d3cc6f0b5480f493dfe18d	download_command_failed	WARNING: Download failed for 20180919_RH_SKim_Proteome-2e5.raw: Command '['aria2c', '-x', '16', '-s', '16', '-j', '1', '-c', '--file-allocation=none', '--max-tries=10', '--retry-wait=5', '--timeout=600', '-d', '/mnt/storage_1/HAMLET/spectral_files/PXD012337', '-o', '20180919_RH_SKim_Proteome-2e5.raw', 'ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD012337/20180919_RH_SKim_Proteome-2e5.raw']' returned non-zero exit status 1.
PXD004997	/mnt/storage_1/HAMLET/work/f0/2ea5e1500e4e33dbcba408d04eba59	download_command_failed	WARNING: Download failed for SA_220116_Bee_mite_male_1.raw: Command '['aria2c', '-x', '16', '-s', '16', '-j', '1', '-c', '--file-allocation=none', '--max-tries=10', '--retry-wait=5', '--timeout=600', '-d', '/mnt/storage_1/HAMLET/spectral_files/PXD004997', '-o', 'SA_220116_Bee_mite_male_1.raw', 'ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/01/PXD004997/SA_220116_Bee_mite_male_1.raw']' returned non-zero exit status 1.
PXD023258	/mnt/storage_1/HAMLET/work/53/1f4a9d554e0bab175f9ab7080d3059	download_command_failed	WARNING: Download failed for FP_GFP_top_phos.raw: Command '['aria2c', '-x', '16', '-s', '16', '-j', '1', '-c', '--file-allocation=none', '--max-tries=10', '--retry-wait=5', '--timeout=600', '-d', '/mnt/storage_1/HAMLET/spectral_files/PXD023258', '-o', 'FP_GFP_top_phos.raw', 'ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/08/PXD023258/FP_GFP_top_phos.raw']' returned non-zero exit status 1.
PXD024637	/mnt/storage_1/HAMLET/work/e0/4752368037914576dab6ce8dd8f22d	download_command_failed	WARNING: Download failed for TMT2_Aorta.raw: Command '['aria2c', '-x', '16', '-s', '16', '-j', '1', '-c', '--file-allocation=none', '--max-tries=10', '--retry-wait=5', '--timeout=600', '-d', '/mnt/storage_1/HAMLET/spectral_files/PXD024637', '-o', 'TMT2_Aorta.raw', 'ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/04/PXD024637/TMT2_Aorta.raw']' returned non-zero exit status 1.
PXD006603	/mnt/storage_1/HAMLET/work/1c/cf193dbb595f5dedbb0e5a8e565395	download_command_failed	WARNING: Download failed for QE0379_NVolkmar_250315_360_SN_2.raw: Command '['aria2c', '-x', '16', '-s', '16', '-j', '1', '-c', '--file-allocation=none', '--max-tries=10', '--retry-wait=5', '--timeout=600', '-d', '/mnt/storage_1/HAMLET/spectral_files/PXD006603', '-o', 'QE0379_NVolkmar_250315_360_SN_2.raw', 'ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD006603/QE0379_NVolkmar_250315_360_SN_2.raw']' returned non-zero exit status 1.
PXD002548	/mnt/storage_1/HAMLET/work/ba/5f8bd8d228e97337b26b278d041766	download_command_failed	WARNING: Download failed for 2014-0403_iTRAQ-2.raw: Command '['aria2c', '-x', '16', '-s', '16', '-j', '1', '-c', '--file-allocation=none', '--max-tries=10', '--retry-wait=5', '--timeout=600', '-d', '/mnt/storage_1/HAMLET/spectral_files/PXD002548', '-o', '2014-0403_iTRAQ-2.raw', 'ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/02/PXD002548/2014-0403_iTRAQ-2.raw']' returned non-zero exit status 1.
PXD020090	/mnt/storage_1/HAMLET/work/54/313fe7cc51dae032f218efd63b57ab	download_command_failed	WARNING: Download failed for 53BP1chromatin.raw: Command '['aria2c', '-x', '16', '-s', '16', '-j', '1', '-c', '--file-allocation=none', '--max-tries=10', '--retry-wait=5', '--timeout=600', '-d', '/mnt/storage_1/HAMLET/spectral_files/PXD020090', '-o', '53BP1chromatin.raw', 'ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD020090/53BP1chromatin.raw']' returned non-zero exit status 1.
PXD009298	/mnt/storage_1/HAMLET/work/80/81fd8285bcee206ec494b37b9b0bcc	download_command_failed	WARNING: Download failed for 20180215_QE3_nLC11_MEM_COLLAB_GeoG_1299.raw: Command '['aria2c', '-x', '16', '-s', '16', '-j', '1', '-c', '--file-allocation=none', '--max-tries=10', '--retry-wait=5', '--timeout=600', '-d', '/mnt/storage_1/HAMLET/spectral_files/PXD009298', '-o', '20180215_QE3_nLC11_MEM_COLLAB_GeoG_1299.raw', 'ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/04/PXD009298/20180215_QE3_nLC11_MEM_COLLAB_GeoG_1299.raw']' returned non-zero exit status 1.
PXD017772	/mnt/storage_1/HAMLET/work/03/bbd2601be9d1f039b67cdc5e03e3b1	download_command_failed	WARNING: Download failed for 180816_dicer_IP1.raw: Command '['aria2c', '-x', '16', '-s', '16', '-j', '1', '-c', '--file-allocation=none', '--max-tries=10', '--retry-wait=5', '--timeout=600', '-d', '/mnt/storage_1/HAMLET/spectral_files/PXD017772', '-o', '180816_dicer_IP1.raw', 'ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD017772/180816_dicer_IP1.raw']' returned non-zero exit status 1.
PXD006156	/mnt/storage_1/HAMLET/work/da/bbbf18abdf260df58136c72d8d9fa9	download_command_failed	WARNING: Download failed for NONO-KGG-RAW.raw: Command '['aria2c', '-x', '16', '-s', '16', '-j', '1', '-c', '--file-allocation=none', '--max-tries=10', '--retry-wait=5', '--timeout=600', '-d', '/mnt/storage_1/HAMLET/spectral_files/PXD006156', '-o', 'NONO-KGG-RAW.raw', 'ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/11/PXD006156/NONO-KGG-RAW.raw']' returned non-zero exit status 1.
PXD004802	/mnt/storage_1/HAMLET/work/10/812f0ff14ae6c42ee1920d96ea97fc	download_command_failed	WARNING: Download failed for 1.raw: Command '['aria2c', '-x', '16', '-s', '16', '-j', '1', '-c', '--file-allocation=none', '--max-tries=10', '--retry-wait=5', '--timeout=600', '-d', '/mnt/storage_1/HAMLET/spectral_files/PXD004802', '-o', '1.raw', 'ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD004802/1.raw']' returned non-zero exit status 1.
PXD023759	/mnt/storage_1/HAMLET/work/08/0094c8252e43aa0b329fe914426691	download_command_failed	WARNING: Download failed for 90415571maru_ESHP_MALE.raw: Command '['aria2c', '-x', '16', '-s', '16', '-j', '1', '-c', '--file-allocation=none', '--max-tries=10', '--retry-wait=5', '--timeout=600', '-d', '/mnt/storage_1/HAMLET/spectral_files/PXD023759', '-o', '90415571maru_ESHP_MALE.raw', 'ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD023759/90415571maru_ESHP_MALE.raw']' returned non-zero exit status 1.
PXD008842	/mnt/storage_1/HAMLET/work/02/c317abf2a1d3bffac6b1f032369fcf	download_command_failed	WARNING: Download failed for EH_Digly_Set2.raw: Command '['aria2c', '-x', '16', '-s', '16', '-j', '1', '-c', '--file-allocation=none', '--max-tries=10', '--retry-wait=5', '--timeout=600', '-d', '/mnt/storage_1/HAMLET/spectral_files/PXD008842', '-o', 'EH_Digly_Set2.raw', 'ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/03/PXD008842/EH_Digly_Set2.raw']' returned non-zero exit status 1.
PXD016385	/mnt/storage_1/HAMLET/work/7b/ba675406f78ff4dd4dae4e9530ca9e	download_command_failed	WARNING: Download failed for QE1091218_Hu_17_Ctr_450mg_dL.raw: Command '['aria2c', '-x', '16', '-s', '16', '-j', '1', '-c', '--file-allocation=none', '--max-tries=10', '--retry-wait=5', '--timeout=600', '-d', '/mnt/storage_1/HAMLET/spectral_files/PXD016385', '-o', 'QE1091218_Hu_17_Ctr_450mg_dL.raw', 'ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/08/PXD016385/QE1091218_Hu_17_Ctr_450mg_dL.raw']' returned non-zero exit status 1.
PXD008215	/mnt/storage_1/HAMLET/work/65/294291b24b460985f1e647317f6088	download_command_failed	WARNING: Download failed for Zou_Rappsilber_JW_MCAK_S6E.raw: Command '['aria2c', '-x', '16', '-s', '16', '-j', '1', '-c', '--file-allocation=none', '--max-tries=10', '--retry-wait=5', '--timeout=600', '-d', '/mnt/storage_1/HAMLET/spectral_files/PXD008215', '-o', 'Zou_Rappsilber_JW_MCAK_S6E.raw', 'ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD008215/Zou_Rappsilber_JW_MCAK_S6E.raw']' returned non-zero exit status 1.
PXD016311	/mnt/storage_1/HAMLET/work/58/8e8ec760c517a5d50cbe96113c8940	download_command_failed	WARNING: Download failed for GS_L_02.raw: Command '['aria2c', '-x', '16', '-s', '16', '-j', '1', '-c', '--file-allocation=none', '--max-tries=10', '--retry-wait=5', '--timeout=600', '-d', '/mnt/storage_1/HAMLET/spectral_files/PXD016311', '-o', 'GS_L_02.raw', 'ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD016311/GS_L_02.raw']' returned non-zero exit status 1.
PXD010217	/mnt/storage_1/HAMLET/work/45/54118ba75d70a268bdbf33af047dbc	download_command_failed	WARNING: Download failed for 093014_CK_RixPD359.raw: Command '['aria2c', '-x', '16', '-s', '16', '-j', '1', '-c', '--file-allocation=none', '--max-tries=10', '--retry-wait=5', '--timeout=600', '-d', '/mnt/storage_1/HAMLET/spectral_files/PXD010217', '-o', '093014_CK_RixPD359.raw', 'ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD010217/093014_CK_RixPD359.raw']' returned non-zero exit status 1.
PXD023032	/mnt/storage_1/HAMLET/work/5a/cab3b74da0045c62e19c512a3568c6	download_command_failed	WARNING: Download failed for 08102020_HLA_0_5.raw: Command '['aria2c', '-x', '16', '-s', '16', '-j', '1', '-c', '--file-allocation=none', '--max-tries=10', '--retry-wait=5', '--timeout=600', '-d', '/mnt/storage_1/HAMLET/spectral_files/PXD023032', '-o', '08102020_HLA_0_5.raw', 'ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/08/PXD023032/08102020_HLA_0_5.raw']' returned non-zero exit status 1.
PXD017670	/mnt/storage_1/HAMLET/work/ec/adab3402acf0106e4567cde14e3bf3	download_command_failed	WARNING: Download failed for QEplus025644.raw: Command '['aria2c', '-x', '16', '-s', '16', '-j', '1', '-c', '--file-allocation=none', '--max-tries=10', '--retry-wait=5', '--timeout=600', '-d', '/mnt/storage_1/HAMLET/spectral_files/PXD017670', '-o', 'QEplus025644.raw', 'ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD017670/QEplus025644.raw']' returned non-zero exit status 1.
PXD023860	/mnt/storage_1/HAMLET/work/f1/de2de2a66b7282d6ea6552440b7e9e	download_command_failed	WARNING: Download failed for 33304_EV_2.raw: Command '['aria2c', '-x', '16', '-s', '16', '-j', '1', '-c', '--file-allocation=none', '--max-tries=10', '--retry-wait=5', '--timeout=600', '-d', '/mnt/storage_1/HAMLET/spectral_files/PXD023860', '-o', '33304_EV_2.raw', 'ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD023860/33304_EV_2.raw']' returned non-zero exit status 1.
PXD020482	/mnt/storage_1/HAMLET/work/18/255a1e1a4857e4b5cbd9ee5e8d206a	download_command_failed	WARNING: Download failed for PS1MR2_MC1.raw: Command '['aria2c', '-x', '16', '-s', '16', '-j', '1', '-c', '--file-allocation=none', '--max-tries=10', '--retry-wait=5', '--timeout=600', '-d', '/mnt/storage_1/HAMLET/spectral_files/PXD020482', '-o', 'PS1MR2_MC1.raw', 'ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/12/PXD020482/PS1MR2_MC1.raw']' returned non-zero exit status 1.
PXD021423	/mnt/storage_1/HAMLET/work/76/2699702a1c35f70d2738250bf518fb	download_command_failed	WARNING: Download failed for Z8218LPCr_BSPF.raw: Command '['aria2c', '-x', '16', '-s', '16', '-j', '1', '-c', '--file-allocation=none', '--max-tries=10', '--retry-wait=5', '--timeout=600', '-d', '/mnt/storage_1/HAMLET/spectral_files/PXD021423', '-o', 'Z8218LPCr_BSPF.raw', 'ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD021423/Z8218LPCr_BSPF.raw']' returned non-zero exit status 1.
PXD018112	/mnt/storage_1/HAMLET/work/c2/7e6ba79f45266deab230edd078c0d7	download_command_failed	WARNING: Download failed for AM_A.raw: Command '['aria2c', '-x', '16', '-s', '16', '-j', '1', '-c', '--file-allocation=none', '--max-tries=10', '--retry-wait=5', '--timeout=600', '-d', '/mnt/storage_1/HAMLET/spectral_files/PXD018112', '-o', 'AM_A.raw', 'ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD018112/AM_A.raw']' returned non-zero exit status 1.
PXD010952	/mnt/storage_1/HAMLET/work/d8/276081b31c3e05ade41f11033cdb20	download_command_failed	WARNING: Download failed for 7196TQ_8.raw: Command '['aria2c', '-x', '16', '-s', '16', '-j', '1', '-c', '--file-allocation=none', '--max-tries=10', '--retry-wait=5', '--timeout=600', '-d', '/mnt/storage_1/HAMLET/spectral_files/PXD010952', '-o', '7196TQ_8.raw', 'ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/11/PXD010952/7196TQ_8.raw']' returned non-zero exit status 1.
PXD005048	/mnt/storage_1/HAMLET/work/64/0d8d1bcab32ef889dba8233763886b	download_command_failed	WARNING: Download failed for 2012-043_MJF_ART_PLASMODIUM-MOUSE.raw: Command '['aria2c', '-x', '16', '-s', '16', '-j', '1', '-c', '--file-allocation=none', '--max-tries=10', '--retry-wait=5', '--timeout=600', '-d', '/mnt/storage_1/HAMLET/spectral_files/PXD005048', '-o', '2012-043_MJF_ART_PLASMODIUM-MOUSE.raw', 'ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD005048/2012-043_MJF_ART_PLASMODIUM-MOUSE.raw']' returned non-zero exit status 1.
PXD022606	/mnt/storage_1/HAMLET/work/79/4de1f40b9929948caaefd99f1664fa	download_command_failed	WARNING: Download failed for Ac-IP-plus1-LysC-yeast-single-channel.raw: Command '['aria2c', '-x', '16', '-s', '16', '-j', '1', '-c', '--file-allocation=none', '--max-tries=10', '--retry-wait=5', '--timeout=600', '-d', '/mnt/storage_1/HAMLET/spectral_files/PXD022606', '-o', 'Ac-IP-plus1-LysC-yeast-single-channel.raw', 'ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/06/PXD022606/Ac-IP-plus1-LysC-yeast-single-channel.raw']' returned non-zero exit status 1.
PXD017351	/mnt/storage_1/HAMLET/work/25/81dd577df9aee93d45dfd1eaa8dacd	rate_limited_429	Found PMID 32894293 for PXD017351, querying PMC...
PXD036634	/mnt/storage_1/HAMLET/work/32/06bc14cb87ab02b4c13c7364bebfa4	download_command_failed	WARNING: Download failed for LD028GI_Flag.raw: Command '['aria2c', '-x', '16', '-s', '16', '-j', '1', '-c', '--file-allocation=none', '--max-tries=10', '--retry-wait=5', '--timeout=600', '-d', '/mnt/storage_1/HAMLET/spectral_files/PXD036634', '-o', 'LD028GI_Flag.raw', 'ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/07/PXD036634/LD028GI_Flag.raw']' returned non-zero exit status 1.
PXD017293	/mnt/storage_1/HAMLET/work/10/baf3aa8be1ba3c3bf5ed29375f72a3	download_command_failed	WARNING: Download failed for 2176_Kasny_Orbi1_direct_135min-IS_HCD_1_Recal.raw: Command '['aria2c', '-x', '16', '-s', '16', '-j', '1', '-c', '--file-allocation=none', '--max-tries=10', '--retry-wait=5', '--timeout=600', '-d', '/mnt/storage_1/HAMLET/spectral_files/PXD017293', '-o', '2176_Kasny_Orbi1_direct_135min-IS_HCD_1_Recal.raw', 'ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD017293/2176_Kasny_Orbi1_direct_135min-IS_HCD_1_Recal.raw']' returned non-zero exit status 1.
PXD011999	/mnt/storage_1/HAMLET/work/00/256903558c9f775fc6b0ae131a9277	download_command_failed	WARNING: Download failed for 2015_0821_DARPIN_A.raw: Command '['aria2c', '-x', '16', '-s', '16', '-j', '1', '-c', '--file-allocation=none', '--max-tries=10', '--retry-wait=5', '--timeout=600', '-d', '/mnt/storage_1/HAMLET/spectral_files/PXD011999', '-o', '2015_0821_DARPIN_A.raw', 'ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD011999/2015_0821_DARPIN_A.raw']' returned non-zero exit status 1.
PXD019302	/mnt/storage_1/HAMLET/work/8e/989693fb94c110676f5d079aeba034	download_command_failed	WARNING: Download failed for HFX1_FPEP190619114-1A.raw: Command '['aria2c', '-x', '16', '-s', '16', '-j', '1', '-c', '--file-allocation=none', '--max-tries=10', '--retry-wait=5', '--timeout=600', '-d', '/mnt/storage_1/HAMLET/spectral_files/PXD019302', '-o', 'HFX1_FPEP190619114-1A.raw', 'ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019302/HFX1_FPEP190619114-1A.raw']' returned non-zero exit status 1.
PXD013599	/mnt/storage_1/HAMLET/work/83/4f08aa2fa9b4b3385180b6df609e79	download_command_failed	WARNING: Download failed for 181206_RG_Peptidomics_402_NAE125NTZ_B_HB145.raw: Command '['aria2c', '-x', '16', '-s', '16', '-j', '1', '-c', '--file-allocation=none', '--max-tries=10', '--retry-wait=5', '--timeout=600', '-d', '/mnt/storage_1/HAMLET/spectral_files/PXD013599', '-o', '181206_RG_Peptidomics_402_NAE125NTZ_B_HB145.raw', 'ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/10/PXD013599/181206_RG_Peptidomics_402_NAE125NTZ_B_HB145.raw']' returned non-zero exit status 1.
PXD011863	/mnt/storage_1/HAMLET/work/5b/0287937a4e3f48de9f05937a776805	download_command_failed	WARNING: Download failed for UDE-AXX7-Si00-7B-P-B-Pr_2uL.raw: Command '['aria2c', '-x', '16', '-s', '16', '-j', '1', '-c', '--file-allocation=none', '--max-tries=10', '--retry-wait=5', '--timeout=600', '-d', '/mnt/storage_1/HAMLET/spectral_files/PXD011863', '-o', 'UDE-AXX7-Si00-7B-P-B-Pr_2uL.raw', 'ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD011863/UDE-AXX7-Si00-7B-P-B-Pr_2uL.raw']' returned non-zero exit status 1.
PXD016919	/mnt/storage_1/HAMLET/work/94/342bb80b792f9203d1b31ec89f2343	download_command_failed	WARNING: Download failed for CRY1-withTorin1.raw: Command '['aria2c', '-x', '16', '-s', '16', '-j', '1', '-c', '--file-allocation=none', '--max-tries=10', '--retry-wait=5', '--timeout=600', '-d', '/mnt/storage_1/HAMLET/spectral_files/PXD016919', '-o', 'CRY1-withTorin1.raw', 'ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD016919/CRY1-withTorin1.raw']' returned non-zero exit status 1.
PXD009777	/mnt/storage_1/HAMLET/work/ec/5780b32ac965533b37d3b57ab6818a	download_command_failed	WARNING: Download failed for HSP70-p53EThcD.raw: Command '['aria2c', '-x', '16', '-s', '16', '-j', '1', '-c', '--file-allocation=none', '--max-tries=10', '--retry-wait=5', '--timeout=600', '-d', '/mnt/storage_1/HAMLET/spectral_files/PXD009777', '-o', 'HSP70-p53EThcD.raw', 'ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD009777/HSP70-p53EThcD.raw']' returned non-zero exit status 1.
PXD009375	/mnt/storage_1/HAMLET/work/0f/4d729ed7ac68fa94db5f73b7ff3171	download_command_failed	WARNING: Download failed for 20170930_coreQEP1_AnWe_LC12-16_SA_Orbi2586Sample02Fraction02.raw: Command '['aria2c', '-x', '16', '-s', '16', '-j', '1', '-c', '--file-allocation=none', '--max-tries=10', '--retry-wait=5', '--timeout=600', '-d', '/mnt/storage_1/HAMLET/spectral_files/PXD009375', '-o', '20170930_coreQEP1_AnWe_LC12-16_SA_Orbi2586Sample02Fraction02.raw', 'ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD009375/20170930_coreQEP1_AnWe_LC12-16_SA_Orbi2586Sample02Fraction02.raw']' returned non-zero exit status 1.
