source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD015833-Sample-11	P. falciparum, P. knowlesi, Homo sapiens	rbcs	infected, uninfected	erythrocytes	10	not available	not available	run 2	proteomic profiling by mass spectrometry	not available	TMT130	Orbitrap Lumos, Q-Exactive	NT=Lys-C;AC=MS:1001309	12	3	not available	species/condition (P. falciparum, P. knowlesi, uRBCs), treatment (DMSO, RAP)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	20 ppm	dithiothreitol	iodoacetamide	orbitrap	PAT8141A21RW2_B2.raw	v1.1.0	HAMLET-agentic v0.1.0	infected, uninfected
PXD015833-Sample-12	P. falciparum, P. knowlesi, Homo sapiens	rbcs	infected, uninfected	erythrocytes	10	not available	not available	run 2	proteomic profiling by mass spectrometry	not available	TMT131	Orbitrap Lumos, Q-Exactive	NT=Lys-C;AC=MS:1001309	12	3	not available	species/condition (P. falciparum, P. knowlesi, uRBCs), treatment (DMSO, RAP)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	20 ppm	dithiothreitol	iodoacetamide	orbitrap	PAT8141A21RW2_B2.raw	v1.1.0	HAMLET-agentic v0.1.0	infected, uninfected
PXD015833-Sample-13	P. falciparum, P. knowlesi, Homo sapiens	rbcs	infected, uninfected	erythrocytes	10	not available	not available	run 3	proteomic profiling by mass spectrometry	not available	TMT126	Orbitrap Lumos, Q-Exactive	NT=Lys-C;AC=MS:1001309	12	3	not available	species/condition (P. falciparum, P. knowlesi, uRBCs), treatment (DMSO, RAP)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	20 ppm	dithiothreitol	iodoacetamide	orbitrap	PAT8142A33RW2_F1.raw	v1.1.0	HAMLET-agentic v0.1.0	infected, uninfected
PXD015833-Sample-14	P. falciparum, P. knowlesi, Homo sapiens	rbcs	infected, uninfected	erythrocytes	10	not available	not available	run 3	proteomic profiling by mass spectrometry	not available	TMT127	Orbitrap Lumos, Q-Exactive	NT=Lys-C;AC=MS:1001309	12	3	not available	species/condition (P. falciparum, P. knowlesi, uRBCs), treatment (DMSO, RAP)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	20 ppm	dithiothreitol	iodoacetamide	orbitrap	PAT8142A33RW2_F1.raw	v1.1.0	HAMLET-agentic v0.1.0	infected, uninfected
PXD015833-Sample-15	P. falciparum, P. knowlesi, Homo sapiens	rbcs	infected, uninfected	erythrocytes	10	not available	not available	run 3	proteomic profiling by mass spectrometry	not available	TMT128	Orbitrap Lumos, Q-Exactive	NT=Lys-C;AC=MS:1001309	12	3	not available	species/condition (P. falciparum, P. knowlesi, uRBCs), treatment (DMSO, RAP)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	20 ppm	dithiothreitol	iodoacetamide	orbitrap	PAT8142A33RW2_F1.raw	v1.1.0	HAMLET-agentic v0.1.0	infected, uninfected
PXD015833-Sample-16	P. falciparum, P. knowlesi, Homo sapiens	rbcs	infected, uninfected	erythrocytes	10	not available	not available	run 3	proteomic profiling by mass spectrometry	not available	TMT129	Orbitrap Lumos, Q-Exactive	NT=Lys-C;AC=MS:1001309	12	3	not available	species/condition (P. falciparum, P. knowlesi, uRBCs), treatment (DMSO, RAP)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	20 ppm	dithiothreitol	iodoacetamide	orbitrap	PAT8142A33RW2_F1.raw	v1.1.0	HAMLET-agentic v0.1.0	infected, uninfected
PXD015833-Sample-17	P. falciparum, P. knowlesi, Homo sapiens	rbcs	infected, uninfected	erythrocytes	10	not available	not available	run 3	proteomic profiling by mass spectrometry	not available	TMT130	Orbitrap Lumos, Q-Exactive	NT=Lys-C;AC=MS:1001309	12	3	not available	species/condition (P. falciparum, P. knowlesi, uRBCs), treatment (DMSO, RAP)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	20 ppm	dithiothreitol	iodoacetamide	orbitrap	PAT8142A33RW2_F1.raw	v1.1.0	HAMLET-agentic v0.1.0	infected, uninfected
PXD015833-Sample-18	P. falciparum, P. knowlesi, Homo sapiens	rbcs	infected, uninfected	erythrocytes	10	not available	not available	run 3	proteomic profiling by mass spectrometry	not available	TMT131	Orbitrap Lumos, Q-Exactive	NT=Lys-C;AC=MS:1001309	12	3	not available	species/condition (P. falciparum, P. knowlesi, uRBCs), treatment (DMSO, RAP)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	20 ppm	dithiothreitol	iodoacetamide	orbitrap	PAT8142A33RW2_F1.raw	v1.1.0	HAMLET-agentic v0.1.0	infected, uninfected
PXD015833-Sample-19	P. falciparum, P. knowlesi, Homo sapiens	rbcs	infected, uninfected	erythrocytes	10	not available	not available	run 4	proteomic profiling by mass spectrometry	not available	TMT126	Orbitrap Lumos, Q-Exactive	NT=Lys-C;AC=MS:1001309	12	3	not available	species/condition (P. falciparum, P. knowlesi, uRBCs), treatment (DMSO, RAP)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	20 ppm	dithiothreitol	iodoacetamide	orbitrap	phospho_ms2_QEx_fr6.raw	v1.1.0	HAMLET-agentic v0.1.0	infected, uninfected
PXD015833-Sample-20	P. falciparum, P. knowlesi, Homo sapiens	rbcs	infected, uninfected	erythrocytes	10	not available	not available	run 4	proteomic profiling by mass spectrometry	not available	TMT127	Orbitrap Lumos, Q-Exactive	NT=Lys-C;AC=MS:1001309	12	3	not available	species/condition (P. falciparum, P. knowlesi, uRBCs), treatment (DMSO, RAP)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	20 ppm	dithiothreitol	iodoacetamide	orbitrap	phospho_ms2_QEx_fr6.raw	v1.1.0	HAMLET-agentic v0.1.0	infected, uninfected
PXD015833-Sample-21	P. falciparum, P. knowlesi, Homo sapiens	rbcs	infected, uninfected	erythrocytes	10	not available	not available	run 4	proteomic profiling by mass spectrometry	not available	TMT128	Orbitrap Lumos, Q-Exactive	NT=Lys-C;AC=MS:1001309	12	3	not available	species/condition (P. falciparum, P. knowlesi, uRBCs), treatment (DMSO, RAP)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	20 ppm	dithiothreitol	iodoacetamide	orbitrap	phospho_ms2_QEx_fr6.raw	v1.1.0	HAMLET-agentic v0.1.0	infected, uninfected
PXD015833-Sample-22	P. falciparum, P. knowlesi, Homo sapiens	rbcs	infected, uninfected	erythrocytes	10	not available	not available	run 4	proteomic profiling by mass spectrometry	not available	TMT129	Orbitrap Lumos, Q-Exactive	NT=Lys-C;AC=MS:1001309	12	3	not available	species/condition (P. falciparum, P. knowlesi, uRBCs), treatment (DMSO, RAP)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	20 ppm	dithiothreitol	iodoacetamide	orbitrap	phospho_ms2_QEx_fr6.raw	v1.1.0	HAMLET-agentic v0.1.0	infected, uninfected
PXD015833-Sample-23	P. falciparum, P. knowlesi, Homo sapiens	rbcs	infected, uninfected	erythrocytes	10	not available	not available	run 4	proteomic profiling by mass spectrometry	not available	TMT130	Orbitrap Lumos, Q-Exactive	NT=Lys-C;AC=MS:1001309	12	3	not available	species/condition (P. falciparum, P. knowlesi, uRBCs), treatment (DMSO, RAP)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	20 ppm	dithiothreitol	iodoacetamide	orbitrap	phospho_ms2_QEx_fr6.raw	v1.1.0	HAMLET-agentic v0.1.0	infected, uninfected
PXD015833-Sample-24	P. falciparum, P. knowlesi, Homo sapiens	rbcs	infected, uninfected	erythrocytes	10	not available	not available	run 4	proteomic profiling by mass spectrometry	not available	TMT131	Orbitrap Lumos, Q-Exactive	NT=Lys-C;AC=MS:1001309	12	3	not available	species/condition (P. falciparum, P. knowlesi, uRBCs), treatment (DMSO, RAP)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	20 ppm	dithiothreitol	iodoacetamide	orbitrap	phospho_ms2_QEx_fr6.raw	v1.1.0	HAMLET-agentic v0.1.0	infected, uninfected
PXD015833-Sample-25	P. falciparum, P. knowlesi, Homo sapiens	rbcs	infected, uninfected	erythrocytes	10	not available	not available	run 5	proteomic profiling by mass spectrometry	not available	TMT126	Orbitrap Lumos, Q-Exactive	NT=Lys-C;AC=MS:1001309	12	3	not available	species/condition (P. falciparum, P. knowlesi, uRBCs), treatment (DMSO, RAP)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	20 ppm	dithiothreitol	iodoacetamide	orbitrap	phospho_ms3_Lum_fr4.raw	v1.1.0	HAMLET-agentic v0.1.0	infected, uninfected
PXD015833-Sample-26	P. falciparum, P. knowlesi, Homo sapiens	rbcs	infected, uninfected	erythrocytes	10	not available	not available	run 5	proteomic profiling by mass spectrometry	not available	TMT127	Orbitrap Lumos, Q-Exactive	NT=Lys-C;AC=MS:1001309	12	3	not available	species/condition (P. falciparum, P. knowlesi, uRBCs), treatment (DMSO, RAP)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	20 ppm	dithiothreitol	iodoacetamide	orbitrap	phospho_ms3_Lum_fr4.raw	v1.1.0	HAMLET-agentic v0.1.0	infected, uninfected
PXD015833-Sample-27	P. falciparum, P. knowlesi, Homo sapiens	rbcs	infected, uninfected	erythrocytes	10	not available	not available	run 5	proteomic profiling by mass spectrometry	not available	TMT128	Orbitrap Lumos, Q-Exactive	NT=Lys-C;AC=MS:1001309	12	3	not available	species/condition (P. falciparum, P. knowlesi, uRBCs), treatment (DMSO, RAP)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	20 ppm	dithiothreitol	iodoacetamide	orbitrap	phospho_ms3_Lum_fr4.raw	v1.1.0	HAMLET-agentic v0.1.0	infected, uninfected
PXD015833-Sample-28	P. falciparum, P. knowlesi, Homo sapiens	rbcs	infected, uninfected	erythrocytes	10	not available	not available	run 5	proteomic profiling by mass spectrometry	not available	TMT129	Orbitrap Lumos, Q-Exactive	NT=Lys-C;AC=MS:1001309	12	3	not available	species/condition (P. falciparum, P. knowlesi, uRBCs), treatment (DMSO, RAP)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	20 ppm	dithiothreitol	iodoacetamide	orbitrap	phospho_ms3_Lum_fr4.raw	v1.1.0	HAMLET-agentic v0.1.0	infected, uninfected
PXD015833-Sample-29	P. falciparum, P. knowlesi, Homo sapiens	rbcs	infected, uninfected	erythrocytes	10	not available	not available	run 5	proteomic profiling by mass spectrometry	not available	TMT130	Orbitrap Lumos, Q-Exactive	NT=Lys-C;AC=MS:1001309	12	3	not available	species/condition (P. falciparum, P. knowlesi, uRBCs), treatment (DMSO, RAP)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	20 ppm	dithiothreitol	iodoacetamide	orbitrap	phospho_ms3_Lum_fr4.raw	v1.1.0	HAMLET-agentic v0.1.0	infected, uninfected
PXD015833-Sample-30	P. falciparum, P. knowlesi, Homo sapiens	rbcs	infected, uninfected	erythrocytes	10	not available	not available	run 5	proteomic profiling by mass spectrometry	not available	TMT131	Orbitrap Lumos, Q-Exactive	NT=Lys-C;AC=MS:1001309	12	3	not available	species/condition (P. falciparum, P. knowlesi, uRBCs), treatment (DMSO, RAP)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	20 ppm	dithiothreitol	iodoacetamide	orbitrap	phospho_ms3_Lum_fr4.raw	v1.1.0	HAMLET-agentic v0.1.0	infected, uninfected
PXD015833-Sample-31	P. falciparum, P. knowlesi, Homo sapiens	rbcs	infected, uninfected	erythrocytes	10	not available	not available	run 6	proteomic profiling by mass spectrometry	not available	TMT126	Orbitrap Lumos, Q-Exactive	NT=Lys-C;AC=MS:1001309	12	3	not available	species/condition (P. falciparum, P. knowlesi, uRBCs), treatment (DMSO, RAP)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	20 ppm	dithiothreitol	iodoacetamide	orbitrap	SCX_fr1.raw	v1.1.0	HAMLET-agentic v0.1.0	infected, uninfected
