source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD014145-Sample-11	Homo sapiens	lung	lung adenocarcinoma	epithelial cell	A549	not available	not available	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT126	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild1. wild-type, knockout)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	7 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	MFA381.raw	v1.1.0	HAMLET-agentic v2.1.0	lung adenocarcinoma
PXD014145-Sample-12	Homo sapiens	lung	lung adenocarcinoma	epithelial cell	A549	not available	not available	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT127N	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild1. wild-type, knockout)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	7 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	MFA381.raw	v1.1.0	HAMLET-agentic v2.1.0	lung adenocarcinoma
PXD014145-Sample-13	Homo sapiens	lung	lung adenocarcinoma	epithelial cell	A549	not available	not available	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT127C	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild1. wild-type, knockout)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	7 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	MFA381.raw	v1.1.0	HAMLET-agentic v2.1.0	lung adenocarcinoma
PXD014145-Sample-14	Homo sapiens	lung	lung adenocarcinoma	epithelial cell	A549	not available	not available	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT128N	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild1. wild-type, knockout)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	7 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	MFA381.raw	v1.1.0	HAMLET-agentic v2.1.0	lung adenocarcinoma
PXD014145-Sample-15	Homo sapiens	lung	lung adenocarcinoma	epithelial cell	A549	not available	not available	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT128C	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild1. wild-type, knockout)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	7 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	MFA381.raw	v1.1.0	HAMLET-agentic v2.1.0	lung adenocarcinoma
PXD014145-Sample-16	Homo sapiens	lung	lung adenocarcinoma	epithelial cell	A549	not available	not available	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT129N	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild1. wild-type, knockout)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	7 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	MFA381.raw	v1.1.0	HAMLET-agentic v2.1.0	lung adenocarcinoma
PXD014145-Sample-17	Homo sapiens	lung	lung adenocarcinoma	epithelial cell	A549	not available	not available	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT129C	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild1. wild-type, knockout)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	7 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	MFA381.raw	v1.1.0	HAMLET-agentic v2.1.0	lung adenocarcinoma
PXD014145-Sample-18	Homo sapiens	lung	lung adenocarcinoma	epithelial cell	A549	not available	not available	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT130N	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild1. wild-type, knockout)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	7 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	MFA381.raw	v1.1.0	HAMLET-agentic v2.1.0	lung adenocarcinoma
PXD014145-Sample-19	Homo sapiens	lung	lung adenocarcinoma	epithelial cell	A549	not available	not available	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT130C	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild1. wild-type, knockout)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	7 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	MFA381.raw	v1.1.0	HAMLET-agentic v2.1.0	lung adenocarcinoma
PXD014145-Sample-20	Homo sapiens	lung	lung adenocarcinoma	epithelial cell	A549	not available	not available	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT131	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild1. wild-type, knockout)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	7 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	MFA381.raw	v1.1.0	HAMLET-agentic v2.1.0	lung adenocarcinoma
PXD014145-Sample-21	Homo sapiens	lung	lung adenocarcinoma	epithelial cell	A549	not available	not available	not available	not available	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT126	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild1. wild-type, knockout)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	7 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	MFA382.raw	v1.1.0	HAMLET-agentic v2.1.0	lung adenocarcinoma
PXD014145-Sample-22	Homo sapiens	lung	lung adenocarcinoma	epithelial cell	A549	not available	not available	not available	not available	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT127N	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild1. wild-type, knockout)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	7 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	MFA382.raw	v1.1.0	HAMLET-agentic v2.1.0	lung adenocarcinoma
PXD014145-Sample-23	Homo sapiens	lung	lung adenocarcinoma	epithelial cell	A549	not available	not available	not available	not available	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT127C	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild1. wild-type, knockout)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	7 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	MFA382.raw	v1.1.0	HAMLET-agentic v2.1.0	lung adenocarcinoma
PXD014145-Sample-24	Homo sapiens	lung	lung adenocarcinoma	epithelial cell	A549	not available	not available	not available	not available	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT128N	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild1. wild-type, knockout)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	7 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	MFA382.raw	v1.1.0	HAMLET-agentic v2.1.0	lung adenocarcinoma
PXD014145-Sample-25	Homo sapiens	lung	lung adenocarcinoma	epithelial cell	A549	not available	not available	not available	not available	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT128C	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild1. wild-type, knockout)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	7 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	MFA382.raw	v1.1.0	HAMLET-agentic v2.1.0	lung adenocarcinoma
PXD014145-Sample-26	Homo sapiens	lung	lung adenocarcinoma	epithelial cell	A549	not available	not available	not available	not available	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT129N	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild1. wild-type, knockout)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	7 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	MFA382.raw	v1.1.0	HAMLET-agentic v2.1.0	lung adenocarcinoma
PXD014145-Sample-27	Homo sapiens	lung	lung adenocarcinoma	epithelial cell	A549	not available	not available	not available	not available	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT129C	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild1. wild-type, knockout)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	7 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	MFA382.raw	v1.1.0	HAMLET-agentic v2.1.0	lung adenocarcinoma
PXD014145-Sample-28	Homo sapiens	lung	lung adenocarcinoma	epithelial cell	A549	not available	not available	not available	not available	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT130N	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild1. wild-type, knockout)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	7 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	MFA382.raw	v1.1.0	HAMLET-agentic v2.1.0	lung adenocarcinoma
PXD014145-Sample-29	Homo sapiens	lung	lung adenocarcinoma	epithelial cell	A549	not available	not available	not available	not available	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT130C	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild1. wild-type, knockout)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	7 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	MFA382.raw	v1.1.0	HAMLET-agentic v2.1.0	lung adenocarcinoma
PXD014145-Sample-30	Homo sapiens	lung	lung adenocarcinoma	epithelial cell	A549	not available	not available	not available	not available	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT131	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild1. wild-type, knockout)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	7 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	MFA382.raw	v1.1.0	HAMLET-agentic v2.1.0	lung adenocarcinoma
PXD014145-Sample-31	Homo sapiens	lung	lung adenocarcinoma	epithelial cell	A549	not available	not available	not available	not available	run 4	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT126	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild1. wild-type, knockout)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	7 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	MFA383.raw	v1.1.0	HAMLET-agentic v2.1.0	lung adenocarcinoma
PXD014145-Sample-32	Homo sapiens	lung	lung adenocarcinoma	epithelial cell	A549	not available	not available	not available	not available	run 4	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT127N	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild1. wild-type, knockout)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	7 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	MFA383.raw	v1.1.0	HAMLET-agentic v2.1.0	lung adenocarcinoma
PXD014145-Sample-33	Homo sapiens	lung	lung adenocarcinoma	epithelial cell	A549	not available	not available	not available	not available	run 4	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT127C	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild1. wild-type, knockout)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	7 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	MFA383.raw	v1.1.0	HAMLET-agentic v2.1.0	lung adenocarcinoma
PXD014145-Sample-34	Homo sapiens	lung	lung adenocarcinoma	epithelial cell	A549	not available	not available	not available	not available	run 4	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT128N	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild1. wild-type, knockout)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	7 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	MFA383.raw	v1.1.0	HAMLET-agentic v2.1.0	lung adenocarcinoma
PXD014145-Sample-35	Homo sapiens	lung	lung adenocarcinoma	epithelial cell	A549	not available	not available	not available	not available	run 4	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT128C	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild1. wild-type, knockout)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	7 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	MFA383.raw	v1.1.0	HAMLET-agentic v2.1.0	lung adenocarcinoma
PXD014145-Sample-36	Homo sapiens	lung	lung adenocarcinoma	epithelial cell	A549	not available	not available	not available	not available	run 4	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT129N	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild1. wild-type, knockout)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	7 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	MFA383.raw	v1.1.0	HAMLET-agentic v2.1.0	lung adenocarcinoma
PXD014145-Sample-37	Homo sapiens	lung	lung adenocarcinoma	epithelial cell	A549	not available	not available	not available	not available	run 4	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT129C	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild1. wild-type, knockout)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	7 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	MFA383.raw	v1.1.0	HAMLET-agentic v2.1.0	lung adenocarcinoma
PXD014145-Sample-38	Homo sapiens	lung	lung adenocarcinoma	epithelial cell	A549	not available	not available	not available	not available	run 4	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT130N	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild1. wild-type, knockout)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	7 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	MFA383.raw	v1.1.0	HAMLET-agentic v2.1.0	lung adenocarcinoma
