source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[developmental stage]	characteristics[disease]	characteristics[genotype]	characteristics[biological replicate]	assay name	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[data file]
sample 22	Arabidopsis thaliana	whole seedlings	plant cell	2-week old	not applicable	WT	3	WT H 3	1	22	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	WT_3_2.RAW
sample 23	Arabidopsis thaliana	whole seedlings	plant cell	2-week old	not applicable	WT	3	WT H 3	1	23	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	WT_3_3.RAW
sample 24	Arabidopsis thaliana	whole seedlings	plant cell	2-week old	not applicable	WT	3	WT H 3	1	24	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	WT_3_4.RAW
sample 25	Arabidopsis thaliana	whole seedlings	plant cell	2-week old	not applicable	WT	3	WT H 3	1	25	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	WT_3_5.RAW
sample 26	Arabidopsis thaliana	whole seedlings	plant cell	2-week old	not applicable	HAKAIpro:HAKAI-GFP/hakai	3	Hakai-GFP 3	1	26	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	HAKAI_3_1.RAW
sample 27	Arabidopsis thaliana	whole seedlings	plant cell	2-week old	not applicable	HAKAIpro:HAKAI-GFP/hakai	3	Hakai-GFP 3	1	27	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	HAKAI_3_2.RAW
sample 28	Arabidopsis thaliana	whole seedlings	plant cell	2-week old	not applicable	HAKAIpro:HAKAI-GFP/hakai	3	Hakai-GFP 3	1	28	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	HAKAI_3_3.RAW
sample 29	Arabidopsis thaliana	whole seedlings	plant cell	2-week old	not applicable	HAKAIpro:HAKAI-GFP/hakai	3	Hakai-GFP 3	1	29	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	HAKAI_3_4.RAW
sample 30	Arabidopsis thaliana	whole seedlings	plant cell	2-week old	not applicable	HAKAIpro:HAKAI-GFP/hakai	3	Hakai-GFP 3	1	30	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	HAKAI_3_5.RAW
sample 31	Arabidopsis thaliana	whole seedlings	plant cell	2-week old	not applicable	MTApro:MTA-GFP/mta	1	MTA-GFP 1	1	31	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	MTA_1_1.RAW
sample 32	Arabidopsis thaliana	whole seedlings	plant cell	2-week old	not applicable	MTApro:MTA-GFP/mta	1	MTA-GFP 1	1	32	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	MTA_1_2.RAW
sample 33	Arabidopsis thaliana	whole seedlings	plant cell	2-week old	not applicable	MTApro:MTA-GFP/mta	1	MTA-GFP 1	1	33	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	MTA_1_3.RAW
sample 34	Arabidopsis thaliana	whole seedlings	plant cell	2-week old	not applicable	MTApro:MTA-GFP/mta	1	MTA-GFP 1	1	34	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	MTA_1_4.RAW
sample 35	Arabidopsis thaliana	whole seedlings	plant cell	2-week old	not applicable	MTApro:MTA-GFP/mta	1	MTA-GFP 1	1	35	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	MTA_1_5.RAW
sample 36	Arabidopsis thaliana	whole seedlings	plant cell	2-week old	not applicable	hakai-2 MTApro:MTA-GFP/mta	1	hakai MTA-GFP 1	1	36	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	hakai_MTA_1_1.RAW
sample 37	Arabidopsis thaliana	whole seedlings	plant cell	2-week old	not applicable	hakai-2 MTApro:MTA-GFP/mta	1	hakai MTA-GFP 1	1	37	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	hakai_MTA_1_2.RAW
sample 38	Arabidopsis thaliana	whole seedlings	plant cell	2-week old	not applicable	hakai-2 MTApro:MTA-GFP/mta	1	hakai MTA-GFP 1	1	38	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	hakai_MTA_1_3.RAW
sample 39	Arabidopsis thaliana	whole seedlings	plant cell	2-week old	not applicable	hakai-2 MTApro:MTA-GFP/mta	1	hakai MTA-GFP 1	1	39	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	hakai_MTA_1_4.RAW
sample 40	Arabidopsis thaliana	whole seedlings	plant cell	2-week old	not applicable	hakai-2 MTApro:MTA-GFP/mta	1	hakai MTA-GFP 1	1	40	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	hakai_MTA_1_5.RAW
sample 41	Arabidopsis thaliana	whole seedlings	plant cell	2-week old	not applicable	MTApro:MTA-GFP/mta	2	MTA-GFP 2	1	41	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	MTA_2_1.RAW
sample 42	Arabidopsis thaliana	whole seedlings	plant cell	2-week old	not applicable	MTApro:MTA-GFP/mta	2	MTA-GFP 2	1	42	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	MTA_2_2.RAW
sample 43	Arabidopsis thaliana	whole seedlings	plant cell	2-week old	not applicable	MTApro:MTA-GFP/mta	2	MTA-GFP 2	1	43	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	MTA_2_3.RAW
sample 44	Arabidopsis thaliana	whole seedlings	plant cell	2-week old	not applicable	MTApro:MTA-GFP/mta	2	MTA-GFP 2	1	44	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	MTA_2_4.RAW
sample 45	Arabidopsis thaliana	whole seedlings	plant cell	2-week old	not applicable	MTApro:MTA-GFP/mta	2	MTA-GFP 2	1	45	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	MTA_2_5.RAW
sample 46	Arabidopsis thaliana	whole seedlings	plant cell	2-week old	not applicable	hakai-2 MTApro:MTA-GFP/mta	2	hakai MTA-GFP 2	1	46	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	hakai_MTA_2_1.RAW
sample 47	Arabidopsis thaliana	whole seedlings	plant cell	2-week old	not applicable	hakai-2 MTApro:MTA-GFP/mta	2	hakai MTA-GFP 2	1	47	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	hakai_MTA_2_2.RAW
sample 48	Arabidopsis thaliana	whole seedlings	plant cell	2-week old	not applicable	hakai-2 MTApro:MTA-GFP/mta	2	hakai MTA-GFP 2	1	48	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	hakai_MTA_2_3.RAW
sample 49	Arabidopsis thaliana	whole seedlings	plant cell	2-week old	not applicable	hakai-2 MTApro:MTA-GFP/mta	2	hakai MTA-GFP 2	1	49	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	hakai_MTA_2_4.RAW
sample 50	Arabidopsis thaliana	whole seedlings	plant cell	2-week old	not applicable	hakai-2 MTApro:MTA-GFP/mta	2	hakai MTA-GFP 2	1	50	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	hakai_MTA_2_5.RAW
sample 51	Arabidopsis thaliana	whole seedlings	plant cell	2-week old	not applicable	MTApro:MTA-GFP/mta	3	MTA-GFP 3	1	51	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	MTA_3_1.RAW
sample 52	Arabidopsis thaliana	whole seedlings	plant cell	2-week old	not applicable	MTApro:MTA-GFP/mta	3	MTA-GFP 3	1	52	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	MTA_3_2.RAW
sample 53	Arabidopsis thaliana	whole seedlings	plant cell	2-week old	not applicable	MTApro:MTA-GFP/mta	3	MTA-GFP 3	1	53	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	MTA_3_3.RAW
sample 54	Arabidopsis thaliana	whole seedlings	plant cell	2-week old	not applicable	MTApro:MTA-GFP/mta	3	MTA-GFP 3	1	54	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	MTA_3_4.RAW
sample 55	Arabidopsis thaliana	whole seedlings	plant cell	2-week old	not applicable	MTApro:MTA-GFP/mta	3	MTA-GFP 3	1	55	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	MTA_3_5.RAW
sample 56	Arabidopsis thaliana	whole seedlings	plant cell	2-week old	not applicable	hakai-2 MTApro:MTA-GFP/mta	3	hakai MTA-GFP 3	1	56	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	hakai_MTA_3_1.RAW
sample 57	Arabidopsis thaliana	whole seedlings	plant cell	2-week old	not applicable	hakai-2 MTApro:MTA-GFP/mta	3	hakai MTA-GFP 3	1	57	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	hakai_MTA_3_2.RAW
sample 58	Arabidopsis thaliana	whole seedlings	plant cell	2-week old	not applicable	hakai-2 MTApro:MTA-GFP/mta	3	hakai MTA-GFP 3	1	58	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	hakai_MTA_3_3.RAW
sample 59	Arabidopsis thaliana	whole seedlings	plant cell	2-week old	not applicable	hakai-2 MTApro:MTA-GFP/mta	3	hakai MTA-GFP 3	1	59	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	hakai_MTA_3_4.RAW
sample 60	Arabidopsis thaliana	whole seedlings	plant cell	2-week old	not applicable	hakai-2 MTApro:MTA-GFP/mta	3	hakai MTA-GFP 3	1	60	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	hakai_MTA_3_5.RAW
