source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[ms2 mass analyzer]	comment[ms1 scan range]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD040176-Sample-11	Diplonema papillatum	mitochondria	not available	mS49, mS63, mL46, mL76, mtPrA, wild-type	not available	not available	not available	not available	run 11	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	not available	not available	not available	bait protein (mS49, mS63, mL46, mL76, wild-type, mtPrA), purification method (IP, AP)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	6 ppm	orbitrap	360m/z-1550m/z	OF_20210714_OEF_03.raw	v1.1.0	HAMLET-agentic v2.1.0	not available
PXD040176-Sample-12	Diplonema papillatum	mitochondria	not available	mS49, mS63, mL46, mL76, mtPrA, wild-type	not available	not available	not available	not available	run 12	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	not available	not available	not available	bait protein (mS49, mS63, mL46, mL76, wild-type, mtPrA), purification method (IP, AP)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	6 ppm	orbitrap	360m/z-1550m/z	OF_20210716_OEF_10.raw	v1.1.0	HAMLET-agentic v2.1.0	not available
PXD040176-Sample-13	Diplonema papillatum	mitochondria	not available	mS49, mS63, mL46, mL76, mtPrA, wild-type	not available	not available	not available	not available	run 13	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	not available	not available	not available	bait protein (mS49, mS63, mL46, mL76, wild-type, mtPrA), purification method (IP, AP)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	6 ppm	orbitrap	360m/z-1550m/z	OF_20210531_OEF_06.raw	v1.1.0	HAMLET-agentic v2.1.0	not available
PXD040176-Sample-14	Diplonema papillatum	mitochondria	not available	mS49, mS63, mL46, mL76, mtPrA, wild-type	not available	not available	not available	not available	run 14	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	not available	not available	not available	bait protein (mS49, mS63, mL46, mL76, wild-type, mtPrA), purification method (IP, AP)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	6 ppm	orbitrap	360m/z-1550m/z	OF_20210531_OEF_04.raw	v1.1.0	HAMLET-agentic v2.1.0	not available
PXD040176-Sample-15	Diplonema papillatum	mitochondria	not available	mS49, mS63, mL46, mL76, mtPrA, wild-type	not available	not available	not available	not available	run 15	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	not available	not available	not available	bait protein (mS49, mS63, mL46, mL76, wild-type, mtPrA), purification method (IP, AP)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	6 ppm	orbitrap	360m/z-1550m/z	OF_20210716_OEF_11.raw	v1.1.0	HAMLET-agentic v2.1.0	not available
PXD040176-Sample-16	Diplonema papillatum	mitochondria	not available	mS49, mS63, mL46, mL76, mtPrA, wild-type	not available	not available	not available	not available	run 16	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	not available	not available	not available	bait protein (mS49, mS63, mL46, mL76, wild-type, mtPrA), purification method (IP, AP)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	6 ppm	orbitrap	360m/z-1550m/z	OF_20210716_OEF_01.raw	v1.1.0	HAMLET-agentic v2.1.0	not available
PXD040176-Sample-17	Diplonema papillatum	mitochondria	not available	mS49, mS63, mL46, mL76, mtPrA, wild-type	not available	not available	not available	not available	run 17	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	not available	not available	not available	bait protein (mS49, mS63, mL46, mL76, wild-type, mtPrA), purification method (IP, AP)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	6 ppm	orbitrap	360m/z-1550m/z	OF_20210717_OEF_07.raw	v1.1.0	HAMLET-agentic v2.1.0	not available
PXD040176-Sample-18	Diplonema papillatum	mitochondria	not available	mS49, mS63, mL46, mL76, mtPrA, wild-type	not available	not available	not available	not available	run 18	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	not available	not available	not available	bait protein (mS49, mS63, mL46, mL76, wild-type, mtPrA), purification method (IP, AP)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	6 ppm	orbitrap	360m/z-1550m/z	OF_20210716_OEF_12.raw	v1.1.0	HAMLET-agentic v2.1.0	not available
PXD040176-Sample-19	Diplonema papillatum	mitochondria	not available	mS49, mS63, mL46, mL76, mtPrA, wild-type	not available	not available	not available	not available	run 19	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	not available	not available	not available	bait protein (mS49, mS63, mL46, mL76, wild-type, mtPrA), purification method (IP, AP)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	6 ppm	orbitrap	360m/z-1550m/z	OF_20210716_OEF_02.raw	v1.1.0	HAMLET-agentic v2.1.0	not available
PXD040176-Sample-20	Diplonema papillatum	mitochondria	not available	mS49, mS63, mL46, mL76, mtPrA, wild-type	not available	not available	not available	not available	run 20	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	not available	not available	not available	bait protein (mS49, mS63, mL46, mL76, wild-type, mtPrA), purification method (IP, AP)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	6 ppm	orbitrap	360m/z-1550m/z	OF_20210531_OEF_05.raw	v1.1.0	HAMLET-agentic v2.1.0	not available
