source name	characteristics[time point]	characteristics[organism]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	comment[label]	comment[technical replicate]	comment[fraction identifier]	comment[instrument]	comment[collision mode]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[Number of missed cleavages]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[data file]		
R1	17hr	Saccharomyces cerevisiae	FeNTA phosphorylation enrichment	Flask 1	Time course	TMT129C	2	no fractions	NT=Orbitrap Fusion Lumos	HCD	NT=TMT10plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed	NT=TMT10plex;TA=K;AC=UNIMOD:737;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	"NT=Deamidation;TA=N,Q;AC=UNIMOD:7;MT=variable"	"NT=Phosphorylation;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Trypsin;AC=MS:1001251	2	1.0005 Da	20 ppm	a11897.raw		
R1	21hr	Saccharomyces cerevisiae	FeNTA phosphorylation enrichment	Flask 1	Time course	TMT130N	2	no fractions	NT=Orbitrap Fusion Lumos	HCD	NT=TMT10plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed	NT=TMT10plex;TA=K;AC=UNIMOD:737;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	"NT=Deamidation;TA=N,Q;AC=UNIMOD:7;MT=variable"	"NT=Phosphorylation;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Trypsin;AC=MS:1001251	2	1.0005 Da	20 ppm	a11897.raw		
R1	25hr	Saccharomyces cerevisiae	FeNTA phosphorylation enrichment	Flask 1	Time course	TMT130C	2	no fractions	NT=Orbitrap Fusion Lumos	HCD	NT=TMT10plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed	NT=TMT10plex;TA=K;AC=UNIMOD:737;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	"NT=Deamidation;TA=N,Q;AC=UNIMOD:7;MT=variable"	"NT=Phosphorylation;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Trypsin;AC=MS:1001251	2	1.0005 Da	20 ppm	a11897.raw		
R1	29hr	Saccharomyces cerevisiae	FeNTA phosphorylation enrichment	Flask 1	Time course	TMT131N	2	no fractions	NT=Orbitrap Fusion Lumos	HCD	NT=TMT10plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed	NT=TMT10plex;TA=K;AC=UNIMOD:737;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	"NT=Deamidation;TA=N,Q;AC=UNIMOD:7;MT=variable"	"NT=Phosphorylation;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Trypsin;AC=MS:1001251	2	1.0005 Da	20 ppm	a11897.raw		
R1	33hr	Saccharomyces cerevisiae	FeNTA phosphorylation enrichment	Flask 1	Time course	TMT131C	2	no fractions	NT=Orbitrap Fusion Lumos	HCD	NT=TMT10plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed	NT=TMT10plex;TA=K;AC=UNIMOD:737;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	"NT=Deamidation;TA=N,Q;AC=UNIMOD:7;MT=variable"	"NT=Phosphorylation;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Trypsin;AC=MS:1001251	2	1.0005 Da	20 ppm	a11897.raw		
R2	5hr	Saccharomyces cerevisiae	FeNTA phosphorylation enrichment	Flask 2	Time course	TMT126	1	no fractions	NT=Orbitrap Fusion Lumos	CID-MSA	NT=TMT10plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed	NT=TMT10plex;TA=K;AC=UNIMOD:737;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	"NT=Deamidation;TA=N,Q;AC=UNIMOD:7;MT=variable"	"NT=Phosphorylation;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Trypsin;AC=MS:1001251	2	1.0005 Da	20 ppm	a11898.raw		
R2	7hr	Saccharomyces cerevisiae	FeNTA phosphorylation enrichment	Flask 2	Time course	TMT127N	1	no fractions	NT=Orbitrap Fusion Lumos	CID-MSA	NT=TMT10plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed	NT=TMT10plex;TA=K;AC=UNIMOD:737;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	"NT=Deamidation;TA=N,Q;AC=UNIMOD:7;MT=variable"	"NT=Phosphorylation;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Trypsin;AC=MS:1001251	2	1.0005 Da	20 ppm	a11898.raw		
R2	9hr	Saccharomyces cerevisiae	FeNTA phosphorylation enrichment	Flask 2	Time course	TMT127C	1	no fractions	NT=Orbitrap Fusion Lumos	CID-MSA	NT=TMT10plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed	NT=TMT10plex;TA=K;AC=UNIMOD:737;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	"NT=Deamidation;TA=N,Q;AC=UNIMOD:7;MT=variable"	"NT=Phosphorylation;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Trypsin;AC=MS:1001251	2	1.0005 Da	20 ppm	a11898.raw		
R2	11hr	Saccharomyces cerevisiae	FeNTA phosphorylation enrichment	Flask 2	Time course	TMT128N	1	no fractions	NT=Orbitrap Fusion Lumos	CID-MSA	NT=TMT10plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed	NT=TMT10plex;TA=K;AC=UNIMOD:737;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	"NT=Deamidation;TA=N,Q;AC=UNIMOD:7;MT=variable"	"NT=Phosphorylation;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Trypsin;AC=MS:1001251	2	1.0005 Da	20 ppm	a11898.raw		
R2	13hr	Saccharomyces cerevisiae	FeNTA phosphorylation enrichment	Flask 2	Time course	TMT128C	1	no fractions	NT=Orbitrap Fusion Lumos	CID-MSA	NT=TMT10plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed	NT=TMT10plex;TA=K;AC=UNIMOD:737;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	"NT=Deamidation;TA=N,Q;AC=UNIMOD:7;MT=variable"	"NT=Phosphorylation;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Trypsin;AC=MS:1001251	2	1.0005 Da	20 ppm	a11898.raw		
R2	15hr	Saccharomyces cerevisiae	FeNTA phosphorylation enrichment	Flask 2	Time course	TMT129N	1	no fractions	NT=Orbitrap Fusion Lumos	CID-MSA	NT=TMT10plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed	NT=TMT10plex;TA=K;AC=UNIMOD:737;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	"NT=Deamidation;TA=N,Q;AC=UNIMOD:7;MT=variable"	"NT=Phosphorylation;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Trypsin;AC=MS:1001251	2	1.0005 Da	20 ppm	a11898.raw		
R2	17hr	Saccharomyces cerevisiae	FeNTA phosphorylation enrichment	Flask 2	Time course	TMT129C	1	no fractions	NT=Orbitrap Fusion Lumos	CID-MSA	NT=TMT10plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed	NT=TMT10plex;TA=K;AC=UNIMOD:737;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	"NT=Deamidation;TA=N,Q;AC=UNIMOD:7;MT=variable"	"NT=Phosphorylation;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Trypsin;AC=MS:1001251	2	1.0005 Da	20 ppm	a11898.raw		
R2	21hr	Saccharomyces cerevisiae	FeNTA phosphorylation enrichment	Flask 2	Time course	TMT130N	1	no fractions	NT=Orbitrap Fusion Lumos	CID-MSA	NT=TMT10plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed	NT=TMT10plex;TA=K;AC=UNIMOD:737;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	"NT=Deamidation;TA=N,Q;AC=UNIMOD:7;MT=variable"	"NT=Phosphorylation;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Trypsin;AC=MS:1001251	2	1.0005 Da	20 ppm	a11898.raw		
R2	25hr	Saccharomyces cerevisiae	FeNTA phosphorylation enrichment	Flask 2	Time course	TMT130C	1	no fractions	NT=Orbitrap Fusion Lumos	CID-MSA	NT=TMT10plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed	NT=TMT10plex;TA=K;AC=UNIMOD:737;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	"NT=Deamidation;TA=N,Q;AC=UNIMOD:7;MT=variable"	"NT=Phosphorylation;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Trypsin;AC=MS:1001251	2	1.0005 Da	20 ppm	a11898.raw		
R2	29hr	Saccharomyces cerevisiae	FeNTA phosphorylation enrichment	Flask 2	Time course	TMT131N	1	no fractions	NT=Orbitrap Fusion Lumos	CID-MSA	NT=TMT10plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed	NT=TMT10plex;TA=K;AC=UNIMOD:737;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	"NT=Deamidation;TA=N,Q;AC=UNIMOD:7;MT=variable"	"NT=Phosphorylation;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Trypsin;AC=MS:1001251	2	1.0005 Da	20 ppm	a11898.raw		
R2	33hr	Saccharomyces cerevisiae	FeNTA phosphorylation enrichment	Flask 2	Time course	TMT131C	1	no fractions	NT=Orbitrap Fusion Lumos	CID-MSA	NT=TMT10plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed	NT=TMT10plex;TA=K;AC=UNIMOD:737;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	"NT=Deamidation;TA=N,Q;AC=UNIMOD:7;MT=variable"	"NT=Phosphorylation;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Trypsin;AC=MS:1001251	2	1.0005 Da	20 ppm	a11898.raw		
R2	5hr	Saccharomyces cerevisiae	FeNTA phosphorylation enrichment	Flask 2	Time course	TMT126	2	no fractions	NT=Orbitrap Fusion Lumos	HCD	NT=TMT10plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed	NT=TMT10plex;TA=K;AC=UNIMOD:737;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	"NT=Deamidation;TA=N,Q;AC=UNIMOD:7;MT=variable"	"NT=Phosphorylation;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Trypsin;AC=MS:1001251	2	1.0005 Da	20 ppm	a11899.raw		
R2	7hr	Saccharomyces cerevisiae	FeNTA phosphorylation enrichment	Flask 2	Time course	TMT127N	2	no fractions	NT=Orbitrap Fusion Lumos	HCD	NT=TMT10plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed	NT=TMT10plex;TA=K;AC=UNIMOD:737;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	"NT=Deamidation;TA=N,Q;AC=UNIMOD:7;MT=variable"	"NT=Phosphorylation;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Trypsin;AC=MS:1001251	2	1.0005 Da	20 ppm	a11899.raw		
R2	9hr	Saccharomyces cerevisiae	FeNTA phosphorylation enrichment	Flask 2	Time course	TMT127C	2	no fractions	NT=Orbitrap Fusion Lumos	HCD	NT=TMT10plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed	NT=TMT10plex;TA=K;AC=UNIMOD:737;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	"NT=Deamidation;TA=N,Q;AC=UNIMOD:7;MT=variable"	"NT=Phosphorylation;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Trypsin;AC=MS:1001251	2	1.0005 Da	20 ppm	a11899.raw		
R2	11hr	Saccharomyces cerevisiae	FeNTA phosphorylation enrichment	Flask 2	Time course	TMT128N	2	no fractions	NT=Orbitrap Fusion Lumos	HCD	NT=TMT10plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed	NT=TMT10plex;TA=K;AC=UNIMOD:737;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	"NT=Deamidation;TA=N,Q;AC=UNIMOD:7;MT=variable"	"NT=Phosphorylation;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Trypsin;AC=MS:1001251	2	1.0005 Da	20 ppm	a11899.raw		
R2	13hr	Saccharomyces cerevisiae	FeNTA phosphorylation enrichment	Flask 2	Time course	TMT128C	2	no fractions	NT=Orbitrap Fusion Lumos	HCD	NT=TMT10plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed	NT=TMT10plex;TA=K;AC=UNIMOD:737;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	"NT=Deamidation;TA=N,Q;AC=UNIMOD:7;MT=variable"	"NT=Phosphorylation;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Trypsin;AC=MS:1001251	2	1.0005 Da	20 ppm	a11899.raw		
R2	15hr	Saccharomyces cerevisiae	FeNTA phosphorylation enrichment	Flask 2	Time course	TMT129N	2	no fractions	NT=Orbitrap Fusion Lumos	HCD	NT=TMT10plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed	NT=TMT10plex;TA=K;AC=UNIMOD:737;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	"NT=Deamidation;TA=N,Q;AC=UNIMOD:7;MT=variable"	"NT=Phosphorylation;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Trypsin;AC=MS:1001251	2	1.0005 Da	20 ppm	a11899.raw		
