accession,existing_PRIDE_SDRF
PXD000328,False
PXD000329,False
PXD000330,False
PXD000331,False
PXD000332,False
PXD000333,False
PXD000334,False
PXD000335,False
PXD000337,False
PXD000340,False
PXD000341,False
PXD000342,False
PXD000343,False
PXD000345,False
PXD000346,False
PXD000347,False
PXD000348,False
PXD000349,False
PXD000350,False
PXD000352,False
PXD000353,False
PXD000354,False
PXD000355,False
PXD000356,False
PXD000357,False
PXD000359,False
PXD000360,False
PXD000361,False
PXD000362,False
PXD000363,False
PXD000364,False
PXD000367,False
PXD000368,False
PXD000375,False
PXD000376,False
PXD000377,False
PXD000378,False
PXD000379,False
PXD000380,False
PXD000381,False
PXD000382,False
PXD000383,False
PXD000384,False
PXD000385,False
PXD000386,False
PXD000387,False
PXD000388,False
PXD000389,False
PXD000390,False
PXD000391,False
PXD000392,False
PXD000393,False
PXD000394,False
PXD000395,False
PXD000396,True
PXD000397,False
PXD000398,False
PXD000399,False
PXD000400,False
PXD000401,False
PXD000402,False
PXD000403,False
PXD000404,False
PXD000405,False
PXD000406,False
PXD000409,False
PXD000411,False
PXD000412,False
PXD000413,False
PXD000414,False
PXD000415,False
PXD000416,False
PXD000417,False
PXD000418,False
PXD000419,False
PXD000420,False
PXD000421,False
PXD000422,False
PXD000423,False
PXD000424,False
PXD000425,False
PXD000426,False
PXD000427,False
PXD000429,False
PXD000430,False
PXD000431,False
PXD000433,False
PXD000434,False
PXD000435,False
PXD000437,False
PXD000438,False
PXD000439,False
PXD000440,False
PXD000441,False
PXD000442,False
PXD000443,False
PXD000444,False
PXD000445,False
PXD000446,False
PXD000447,False
PXD000448,False
PXD000449,False
PXD000450,False
PXD000451,False
PXD000452,False
PXD000454,False
PXD000455,False
PXD000456,False
PXD000457,False
PXD000458,False
PXD000459,False
PXD000460,False
PXD000461,False
PXD000462,False
PXD000464,False
PXD000467,False
PXD000469,False
PXD000470,False
PXD000471,False
PXD000472,False
PXD000473,False
PXD000474,False
PXD000475,False
PXD000476,False
PXD000477,False
PXD000478,False
PXD000479,False
PXD000480,False
PXD000483,False
PXD000484,False
PXD000485,False
PXD000487,False
PXD000488,False
PXD000489,False
PXD000490,False
PXD000491,False
PXD000492,False
PXD000493,False
PXD000494,False
PXD000495,False
PXD000496,False
PXD000497,False
PXD000498,False
PXD000499,False
PXD000500,False
PXD000501,False
PXD000502,False
PXD000503,False
PXD000504,False
PXD000505,False
PXD000506,False
PXD000507,False
PXD000508,False
PXD000509,False
PXD000510,False
PXD000511,False
PXD000512,False
PXD000513,False
PXD000514,False
PXD000515,False
PXD000517,False
PXD000520,False
PXD000521,False
PXD000523,False
PXD000524,False
PXD000525,False
PXD000527,True
PXD000528,False
PXD000529,False
PXD000531,False
PXD000532,False
PXD000533,False
PXD000534,True
PXD000535,False
PXD000536,False
PXD000537,False
PXD000538,False
PXD000540,False
PXD000541,False
PXD000542,False
PXD000543,False
PXD000544,False
PXD000545,False
PXD000546,False
PXD000547,True
PXD000548,True
PXD000549,False
PXD000551,False
PXD000552,False
PXD000553,False
PXD000554,False
PXD000556,False
PXD000557,False
PXD000558,False
PXD000559,False
PXD000560,False
PXD000561,True
PXD000563,False
PXD000564,False
PXD000565,False
PXD000566,False
PXD000567,False
PXD000568,False
PXD000569,False
PXD000570,False
PXD000572,False
PXD000573,False
PXD000574,False
PXD000575,False
PXD000576,False
PXD000577,False
PXD000578,False
PXD000579,False
PXD000580,False
PXD000581,False
PXD000582,False
PXD000583,False
PXD000584,False
PXD000587,False
PXD000588,False
PXD000589,False
PXD000590,False
PXD000591,False
PXD000592,False
PXD000593,False
PXD000594,False
PXD000596,False
PXD000597,False
PXD000599,False
PXD000600,False
PXD000601,False
PXD000602,False
PXD000603,False
PXD000604,False
PXD000605,False
PXD000606,False
PXD000608,False
PXD000609,False
PXD000612,True
PXD000616,False
PXD000617,False
PXD000618,False
PXD000619,False
PXD000620,False
PXD000621,False
PXD000623,False
PXD000624,False
PXD000625,False
PXD000627,False
PXD000629,False
PXD000630,False
PXD000631,False
PXD000632,False
PXD000634,False
PXD000635,False
PXD000636,False
PXD000637,False
PXD000638,False
PXD000640,False
PXD000642,False
PXD000643,False
PXD000644,False
PXD000646,False
PXD000647,False
PXD000651,True
PXD000652,True
PXD000653,False
PXD000654,False
PXD000655,False
PXD000656,False
PXD000657,False
PXD000658,False
PXD000659,False
PXD000660,False
PXD000661,False
PXD000662,False
PXD000663,False
PXD000664,False
PXD000666,False
PXD000670,False
PXD000671,False
PXD000672,False
PXD000673,False
PXD000674,False
PXD000675,False
PXD000676,False
PXD000677,False
PXD000678,False
PXD000679,False
PXD000680,False
PXD000681,False
PXD000682,False
PXD000683,False
PXD000684,False
PXD000685,False
PXD000686,False
PXD000687,False
PXD000688,False
PXD000689,False
PXD000690,False
PXD000691,False
PXD000692,False
PXD000693,False
PXD000694,False
PXD000695,False
PXD000696,False
PXD000697,False
PXD000698,False
PXD000699,False
PXD000700,False
PXD000701,False
PXD000702,False
PXD000703,False
PXD000704,False
PXD000705,False
PXD000706,False
PXD000707,False
PXD000708,False
PXD000709,False
PXD000710,False
PXD000711,False
PXD000712,False
PXD000713,False
PXD000714,False
PXD000715,False
PXD000716,False
PXD000717,False
PXD000719,False
PXD000720,False
PXD000721,False
PXD000722,False
PXD000724,False
PXD000726,False
PXD000728,False
PXD000729,False
PXD000730,False
PXD000731,False
PXD000732,False
PXD000733,False
PXD000734,False
PXD000735,False
PXD000736,False
PXD000737,False
PXD000738,False
PXD000739,False
PXD000740,False
PXD000741,False
PXD000742,False
PXD000743,False
PXD000744,False
PXD000746,False
PXD000747,False
PXD000748,False
PXD000749,False
PXD000750,False
PXD000751,False
PXD000752,False
PXD000754,False
PXD000755,False
PXD000756,False
PXD000757,False
PXD000758,False
PXD000759,True
PXD000760,False
PXD000761,False
PXD000762,False
PXD000763,False
PXD000764,False
PXD000765,False
PXD000766,False
PXD000767,False
PXD000768,False
PXD000769,False
PXD000770,False
PXD000771,False
PXD000772,False
PXD000773,False
PXD000774,False
PXD000775,False
PXD000776,False
PXD000777,False
PXD000778,False
PXD000779,False
PXD000780,False
PXD000781,False
PXD000782,False
PXD000783,False
PXD000786,False
PXD000787,False
PXD000788,False
PXD000789,False
PXD000790,True
PXD000791,False
PXD000792,True
PXD000793,True
PXD000794,False
PXD000795,False
PXD000798,False
PXD000799,False
PXD000800,False
PXD000801,False
PXD000802,False
PXD000803,False
PXD000804,False
PXD000805,False
PXD000806,False
PXD000807,False
PXD000808,False
PXD000809,False
PXD000811,False
PXD000812,False
PXD000813,False
PXD000814,False
PXD000815,True
PXD000816,False
PXD000817,False
PXD000821,False
PXD000822,False
PXD000834,False
PXD000835,False
PXD000836,False
PXD000837,False
PXD000838,False
PXD000848,False
PXD000849,False
PXD000850,False
PXD000851,False
PXD000852,False
PXD000853,False
PXD000854,False
PXD000856,False
PXD000857,False
PXD000858,False
PXD000859,False
PXD000860,False
PXD000861,False
PXD000862,False
PXD000863,False
PXD000864,False
PXD000865,False
PXD000866,False
PXD000867,False
PXD000868,False
PXD000869,False
PXD000870,False
PXD000871,False
PXD000872,False
PXD000873,False
PXD000874,False
PXD000875,False
PXD000876,False
PXD000877,False
PXD000878,False
PXD000879,False
PXD000880,False
PXD000881,False
PXD000883,False
PXD000885,False
PXD000886,False
PXD000887,False
PXD000888,False
PXD000890,False
PXD000891,False
PXD000892,False
PXD000893,False
PXD000894,False
PXD000895,False
PXD000896,False
PXD000897,False
PXD000898,False
PXD000899,False
PXD000900,False
PXD000901,False
PXD000902,False
PXD000905,False
PXD000906,False
PXD000907,False
PXD000908,False
PXD000909,False
PXD000910,False
PXD000911,False
PXD000914,False
PXD000915,False
PXD000916,False
PXD000917,False
PXD000918,False
PXD000921,False
PXD000922,False
PXD000923,False
PXD000924,False
PXD000926,False
PXD000927,False
PXD000928,False
PXD000930,False
PXD000931,False
PXD000932,False
PXD000933,False
PXD000934,False
PXD000935,False
PXD000936,False
PXD000937,False
PXD000938,False
PXD000939,False
PXD000940,False
PXD000941,False
PXD000942,False
PXD000944,False
PXD000947,False
PXD000948,False
PXD000950,False
PXD000951,False
PXD000953,False
PXD000954,False
PXD000955,False
PXD000956,False
PXD000957,False
PXD000958,False
PXD000959,False
PXD000960,False
PXD000961,False
PXD000962,False
PXD000963,False
PXD000964,False
PXD000965,False
PXD000966,False
PXD000967,False
PXD000968,False
PXD000969,False
PXD000970,False
PXD000971,False
PXD000972,False
PXD000973,False
PXD000975,False
PXD000976,False
PXD000977,False
PXD000978,False
PXD000979,False
PXD000980,False
PXD000981,False
PXD000982,False
PXD000984,False
PXD000985,False
PXD000986,False
PXD000987,False
PXD000988,False
PXD000989,False
PXD000990,False
PXD000991,False
PXD000992,False
PXD000993,False
PXD000994,False
PXD000996,False
PXD000997,False
PXD000998,False
PXD000999,False
PXD001000,False
PXD001001,False
PXD001002,False
PXD001003,False
PXD001004,False
PXD001005,False
PXD001006,False
PXD001007,False
PXD001008,False
PXD001009,False
PXD001010,False
PXD001011,False
PXD001012,False
PXD001013,False
PXD001014,False
PXD001015,False
PXD001016,False
PXD001017,False
PXD001018,False
PXD001019,False
PXD001020,False
PXD001022,False
PXD001023,False
PXD001024,False
PXD001025,False
PXD001026,False
PXD001029,False
PXD001030,False
PXD001031,False
PXD001032,False
PXD001033,False
PXD001034,False
PXD001035,False
PXD001036,False
PXD001037,False
PXD001038,False
PXD001039,False
PXD001040,False
PXD001041,False
PXD001042,False
PXD001043,False
PXD001045,False
PXD001046,False
PXD001047,False
PXD001048,False
PXD001049,False
PXD001050,False
PXD001051,False
PXD001052,False
PXD001053,False
PXD001054,False
PXD001055,False
PXD001056,False
PXD001057,False
PXD001058,False
PXD001059,False
PXD001060,False
PXD001061,False
PXD001062,False
PXD001063,False
PXD001064,False
PXD001065,False
PXD001066,False
PXD001068,False
PXD001069,False
PXD001070,False
PXD001071,False
PXD001072,False
PXD001073,False
PXD001074,False
PXD001075,False
PXD001076,False
PXD001077,False
PXD001078,False
PXD001079,False
PXD001080,False
PXD001081,False
PXD001082,False
PXD001083,False
PXD001084,False
PXD001085,False
PXD001087,False
PXD001088,False
PXD001089,False
PXD001090,False
PXD001091,False
PXD001094,False
PXD001095,False
PXD001096,False
PXD001097,False
PXD001099,False
PXD001100,False
PXD001101,False
PXD001103,False
PXD001105,False
PXD001106,False
PXD001107,False
PXD001108,False
PXD001109,False
PXD001110,False
PXD001111,False
PXD001112,False
PXD001113,False
PXD001114,False
PXD001115,False
PXD001117,False
PXD001118,False
PXD001119,False
PXD001120,False
PXD001121,False
PXD001122,False
PXD001123,False
PXD001124,False
PXD001125,False
PXD001126,False
PXD001127,False
PXD001128,False
PXD001129,False
PXD001130,False
PXD001131,False
PXD001132,False
PXD001133,False
PXD001134,False
PXD001135,False
PXD001152,False
PXD001153,False
PXD001154,False
PXD001155,False
PXD001156,False
PXD001157,False
PXD001158,False
PXD001159,False
PXD001160,False
PXD001162,False
PXD001163,False
PXD001164,False
PXD001165,False
PXD001167,False
PXD001168,False
PXD001170,False
PXD001171,False
PXD001172,False
PXD001174,False
PXD001175,False
PXD001176,False
PXD001177,False
PXD001179,False
PXD001180,False
PXD001181,False
PXD001182,False
PXD001183,False
PXD001184,False
PXD001185,False
PXD001186,False
PXD001187,False
PXD001188,False
PXD001189,False
PXD001190,False
PXD001191,False
PXD001192,False
PXD001194,False
PXD001195,False
PXD001196,False
PXD001197,False
PXD001198,False
PXD001199,False
PXD001200,False
PXD001201,False
PXD001202,False
PXD001203,False
PXD001204,False
PXD001205,False
PXD001206,False
PXD001207,False
PXD001208,False
PXD001210,False
PXD001211,False
PXD001212,False
PXD001213,False
PXD001214,False
PXD001215,False
PXD001216,False
PXD001217,False
PXD001218,False
PXD001219,False
PXD001220,False
PXD001221,False
PXD001222,False
PXD001223,False
PXD001224,False
PXD001225,False
PXD001226,False
PXD001237,False
PXD001238,False
PXD001239,False
PXD001240,False
PXD001241,False
PXD001242,False
PXD001243,False
PXD001244,False
PXD001245,False
PXD001246,False
PXD001247,False
PXD001248,False
PXD001249,False
PXD001250,False
PXD001251,False
PXD001252,False
PXD001253,False
PXD001254,False
PXD001255,False
PXD001256,False
PXD001257,False
PXD001258,False
PXD001259,False
PXD001260,False
PXD001262,False
PXD001263,False
PXD001264,False
PXD001265,False
PXD001266,False
PXD001267,False
PXD001268,False
PXD001269,False
PXD001270,False
PXD001271,False
PXD001272,False
PXD001273,False
PXD001274,False
PXD001275,False
PXD001276,False
PXD001277,False
PXD001278,False
PXD001279,False
PXD001280,False
PXD001281,False
PXD001282,False
PXD001283,False
PXD001284,False
PXD001285,False
PXD001286,False
PXD001291,False
PXD001292,False
PXD001293,False
PXD001296,False
PXD001297,False
PXD001298,False
PXD001299,False
PXD001301,False
PXD001303,False
PXD001304,False
PXD001305,False
PXD001306,False
PXD001307,False
PXD001310,False
PXD001311,False
PXD001319,False
PXD001321,False
PXD001323,False
PXD001324,False
PXD001325,True
PXD001326,False
PXD001327,False
PXD001328,False
PXD001330,False
PXD001331,False
PXD001333,False
PXD001334,False
PXD001335,False
PXD001338,False
PXD001339,False
PXD001340,False
PXD001342,False
PXD001343,False
PXD001344,False
PXD001345,False
PXD001346,False
PXD001347,False
PXD001348,False
PXD001349,False
PXD001350,False
PXD001351,False
PXD001352,False
PXD001353,False
PXD001354,False
PXD001355,False
PXD001356,False
PXD001357,False
PXD001359,False
PXD001360,False
PXD001361,False
PXD001362,False
PXD001364,False
PXD001368,False
PXD001369,False
PXD001370,False
PXD001371,False
PXD001372,False
PXD001373,False
PXD001374,False
PXD001375,False
PXD001376,False
PXD001377,False
PXD001378,False
PXD001379,False
PXD001381,False
PXD001383,False
PXD001384,False
PXD001385,False
PXD001386,False
PXD001387,False
PXD001389,False
PXD001390,False
PXD001391,False
PXD001392,False
PXD001393,False
PXD001394,False
PXD001395,False
PXD001396,False
PXD001397,False
PXD001398,False
PXD001399,False
PXD001400,False
PXD001401,False
PXD001402,False
PXD001403,False
PXD001404,True
PXD001406,False
PXD001407,False
PXD001409,False
PXD001410,False
PXD001411,False
PXD001414,False
PXD001415,False
PXD001416,False
PXD001417,False
PXD001418,False
PXD001419,False
PXD001420,False
PXD001421,False
PXD001422,False
PXD001423,False
PXD001424,False
PXD001425,False
PXD001426,False
PXD001427,False
PXD001428,False
PXD001429,False
PXD001430,False
PXD001432,False
PXD001434,False
PXD001435,False
PXD001436,False
PXD001437,False
PXD001438,False
PXD001439,False
PXD001440,False
PXD001441,False
PXD001442,False
PXD001443,False
PXD001445,False
PXD001446,False
PXD001447,False
PXD001449,False
PXD001450,False
PXD001451,False
PXD001452,False
PXD001453,False
PXD001454,False
PXD001455,False
PXD001456,False
PXD001457,False
PXD001458,False
PXD001460,False
PXD001461,False
PXD001462,False
PXD001463,False
PXD001464,False
PXD001465,False
PXD001467,False
PXD001468,False
PXD001469,False
PXD001471,False
PXD001472,False
