pxd,matched_keyword,sampleProcessingProtocol_snippet
PXD017351,immunoprecipitated,"and protease inhibitor cocktail). The cell lysate was pre-cleared and immunoprecipitated with anti-HA magnetic beads (b26202, Bimake). Beads were washed 3 times with lysis buffer and twice with wash buffer (5"
PXD017376,biotinylated,"pernatant was collected and used for the binding reaction. 10µg of 3’-biotinylated PDCD4 3’UTR RNA were incubated with 500μg of MCF7 S10 lysate in binding buffer [10mM HEPES pH 7.0, 50 mM KCl, 10% glyce"
PXD017670,pulldown,"For FLNc d18-21 and d1-3 pulldown experiments, FLNc-His variants immobilized on Ni2+-NTA beads were used to pull-down putative binding partners from extr"
PXD017772,immunoprecipitated,DICER was immunoprecipitated from testes lysate of juvenile mice (17-18 days old). Beads were washed with Tris buffer (pH 8.0) and digested with Try
PXD018851,fractionated,"ntrifuge at 14,000 g for 15 min and collect the filtrate. Peptide was fractionated using SAX or desalted using C18 StageTips constructed with three membrane plugs and concentrated by vacuum centrifugati"
PXD019302,fractionation,"alis A8. The extracellular proteins were isolated by ammonium sulfate fractionation (30%~60% ammonium sulfate saturation), redissolved in phosphate buffer solution (0.05 mol/L, pH 7.0), and then desalted"
PXD020090,streptavidin,TAP. The soluble fraction and chromatin fraction were incubated with streptavidin-conjugated beads (Amersham) for 2h at 4°C. The beads were then washed with NETN buffer twice and eluted with 2 mg/mL bi
PXD020190,Glycosomal,Glycosomal enriched fractions were loaded on a 10% acrylamide SDS-PAGE gel and proteins were visualized by Colloidal Blue staining
PXD021039,affinity,"atants, clarified by centrifugation, were incubated with an anti-Flag affinity gel (Sigma-Aldrich, USA) for 18 h at 4°C. Proteins bound to the affinity gel were eluted with elution buffer [50 mM Tri"
PXD021423,Affinity,"by a second 4 h digestion with a trypsin:protein mass ratio of 1:100. Affinity enrichment of crotonyl peptides Peptides were dissolved in NETN buffer solution (100 mM NaCl, 1 mM EDTA, 50 mM Tris-HCl"
PXD021662,fractionated,a 75uM inner diameter fused silica capillary. Digested peptides were fractionated online using a 140-minute water-acetonitrile gradient with 3% DMSO ionized using electrospray ionization by application
PXD021678,pulldown,"Shi et al., 2017). In brief, proteins in RNase A elutions after 4xS1m pulldown were denatured with 5 mM DTT and 2 M urea for 1 hour at 65°C, then alkylated with 15 mM iodoacetamide (Sigma) for 30 mi"
PXD022888,biotin,"of proteins were extracted and alkylated with 343 µM Maleimide-PEG2- biotin as described above in the BTA assay. Alkylated proteins were precipitated with ice cold acetone, resuspended in denatur"
PXD023258,enriched,ctive Plus for protein identification. Peptides from gel band GFP-Top enriched for phosphopeptides using a Zr-IMAC support (Resyn Biosciences)prior to analysis by nLC-MS/MS on a Q-Exactive Plus.
PXD023906,immunoprecipitated,"To identify proteins interacting with stathmin-GFP, the immunoprecipitated proteins bound to GFP-beads were subjected to mass spectrometry by Lu-Ming Biotech Co. (Shanghai, China)."
PXD023959,immunoprecipitation,"cells transfected with or without UBE3C, Flag-VPS34 were isolated by immunoprecipitation with anti-Flag beads, separated by SDS-PAGE, and stained with SYPROTM Ruby Protein Gel Stain. The bands corresponding t"
PXD023985,Fractionation,"g to the manufacturer’s instructions.  2.2 Trypsin Digestion and HPLC Fractionation For digestion, the protein solution was reduced with 5 mM DTT for 30 min at 56°C, and alkylated with 11 mM IAA for 15 m"
PXD024054,fractionated,"were eluted by a non-linear gradient from 5 to 40% B over 120 min for fractionated samples (210 min for fractionated CCCP samples) or 210 min for single shots, followed by a step-wise increase to 95% B"
PXD024647,enriched,"by ultracentrifugation at 210,000 × g. PBS was added to the final sEV-enriched fraction. Protein was quantified using Qubit3 (Thermo Fisher Scientific). The sEV samples were added to a 100 µl reduct"
PXD025776,fractionated,The protein samples were fractionated on an SDS-Page gel and submitted for analysis. A small area around the bait protein was cut into three bands. For the p
PXD026139,fractionated,"/or density gradient centrifugation. Cells types were whole analyzed, fractionated on nucleus and cytosol, and or had their proteome equalized with ProteoMiner. Proteoforms were then fractionated using"
PXD026142,fractionated,"/or density gradient centrifugation. Cells types were whole analyzed, fractionated on nucleus and cytosol, and or had their proteome equalized with ProteoMiner. Proteoforms were then fractionated using"
PXD026512,affinity,"xpressing HA-YFP-NLS.WASH were lysed, subjected to subsequent anti-HA affinity purification, and analyzed by mass spectrometry."
PXD027053,enriched,"of a French press (17,000 lb/in2). Flag-tagged reporter proteins were enriched by the anti-Flag immunoprecipitation. Purified proteins were separated by reducing SDS-PAGE and stained with Coomassie"
PXD027352,SCX,ormic acid before loading into strong cation exchange columns (polyLC SCX). Peptides were eluted in 5% NH4OH/30% methanol. Samples were evaporated to dryness and reconstituted in H2O with 3% ac
PXD027640,pull down,PfMed31 interactome / Mediator complex in P. falciparum were pull down by using co-immunoprecipitation and mass spectrometry to identify interaction partners of the highly conserved Mediator
PXD028151,phospho,nd TMT-labeled. 200ug of peptides from each condition were pooled and phospho-enriched using TiO2.
PXD029059,enriched,"ion was performed by Thermo UltiMate 3000 UHPLC. The sample was first enriched in trap column and desalted, and then entered a self-packed C18 column (75μm internal diameter, 3μm column size, 25cm c"
PXD029141,biotin,"Prepare prostate cancer cell lysate, transcribe biotin-labeled RNA（sense and antisense） in vitro, the RNA probe and streptavidin magnetic beads are incubated together to form"
PXD030213,enrichment,"ied completely with a centrifugal evaporator.   Ubiquitinated peptide enrichment and TMT labelling Samples were prepared using modified Ubifast approach (56). Briefly, S-trap digested samples were res"
PXD030715,affinity,pTyr peptides were isolated by imunoprecipitation & immobilized metal affinity purification prior to LC-MS/MS analysis. Exact methodological details can be found in the associated manuscript.
PXD030730,immunoprecipitation,"After the last step of immunoprecipitation, beads were washed twice with 150 mM NaCl, 50 mM Tris-HCl pH 7.4. Packed beads were then resuspended in 100 μl 8M urea,"
PXD030927,HILIC,"hen acidified by TFA to the 3% (v/v) concentration. Desalting and ZIC‑HILIC enrichment  Desalt the digested peptides using C18 (Phenomenex, 15 μm, 300 Å, protein: particle, 1:50, w/w) SPE column."
PXD030937,immunoprecipitated,MARK2-KR immunoprecipitated samples (control and +CBP) were run on a 4-15% Criterion TGX Stain-Free Protein Gel and stained according to the Simply
PXD032035,affinity,r 15 min and harvested. Cell lysates were incubated with anti-FLAG M2 affinity gel (Sigma) at 4°C overnight. The immunoprecipitates were washed five times with ice-cold PBS. After protein separation
PXD032209,pull down,"ccording to previous reports[7]. Na, K-ATPase α1 antibody was used to pull down the Na, K-ATPase α1 proteins in two groups of cells. These proteins were pulled down for label-free mass spectrometry t"
PXD032360,affinity,"th RH∆ku80 GRA28-HA–FLAG-tachyzoites were incubated with anti-FLAG M2 affinity gel (Sigma-Aldrich) for 1 hour at 4 °C. Beads were washed with ten column volumes of BC500 buffer (20 mM Tris–HCl, pH 8"
PXD033112,affinity,Flag affinity resins with Flag-tagged MFN2 coating (MFN2-beads) were incubated with 293T or 786-O cell lysates. The lyophilized pepti
PXD033196,biotinylated,"n BTBD7_hsa_circ_0000563 and proteins on a genomic scale. First, four biotinylated tiling DNA oligonucleotide probes targeting the splice-junction sequence of BTBD7_hsa_circ_0000563 were designed and sy"
PXD033469,biotinylated,"n for 24 h were lysed with lysate to obtain protein mixtures, and the biotinylated probes were subjected to RNA pulldown experiments with the protein mixtures obtained from the lysis; finally, the circR"
PXD033924,immunoprecipitation,We performed immunoprecipitation of SIRT7 followed with high performance liquid chromatography-mass spectrometry (HPLC-MS) and tried to identify the int
PXD034074,fractionated,"esalted and dried by vacuum centrifugation. The tryptic peptides were fractionated into fractions by high pH reverse-phase HPLC using Thermo Betasil C18 column (5 μm particles, 10 mm ID, 250 mm length)."
PXD034576,immunoprecipitated,"For LC-MS-MS analysis, the samples were immunoprecipitated using specific antibodies. The bound material was extracted from the beads by incubation with a 62.5 mM Tris-HCl pH 6.5"
PXD034594,enrichment,Protein digestion and acetylated peptides enrichment The whole brain proteins of 3 mice were pooled together with equal quality. Pooling the samples from different biologic
PXD036005,affinity,"at 4℃ for 90 min and the supernatant was incubated with anti-FLAG M2 affinity gel (Sigma) at 4℃ for 10h. The beads were washed extensively in IP buffer for on-bead trypsin digestion. Briefly, immun"
PXD036430,immunoprecipitation,"Cells were lysed in immunoprecipitation buffer (20 mM HEPES-KOH pH 7.9, 200 mM NaCl, 10% (v/v) glycerol, 0.1% Triton X-100, 1 mM DTT) supplemented with cOmplet"
PXD036634,pull-down,"were harvested and conduct co-IP with Flag antibody,next,we boil the pull-down protein and run the SDS-PAGE,at last,we conduct LC-MS to find UBQLN1 interacting proteins"
PXD036675,biotin,"er puromycin selection, cells were incubated in the presence of 50 μM biotin for either 16 h (BioID2) or 3 h (TurboID). For the TurboID assay, cells were first synchronized either in mitosis with"
PXD036966,Pull-Down,"otease inhibitor, RNAse inhibitor, DTT). Pierce™ Magnetic RNA-Protein Pull-Down Kit (Thermo Fisher) provides reagents to efficiently enrich RNA Binding Proteins. Sense or antisense of ENSMUST00000219"
PXD037001,biotinylated,"en). 30 μg of whole-cell protein lysates were incubated with purified biotinylated transcripts for 1 h at 4°C with rotation, then they were eluted for mass spectrometry identification. The entire stacki"
PXD037474,Immunoprecipitation,ed gametocytes activated for 6 min were used to prepare cell lysates. Immunoprecipitation was performed using GFP-Trap®_A Kit (Chromotek) following the manufacturer’s instructions. Proteins bound to the GFP-Tr
PXD037955,immunoprecipitated,say kit (Beyotime). HLA class Ι complexes and peptide ligands were co-immunoprecipitated using W6/32 antibody coupled to AminoLink Plus Coupling Resin (Thermo Fischer Scientific) from whole-cell lysate. Incub
PXD037990,enrich,"coupling buffer and applied to a second SAX-chromatography column to enrich for GAG-substituted peptides, according to the above-described procedure. The eluted fraction was desalted and then tre"
PXD039035,biotinylated,olation Kit following manufacturer’s instructions plus an addition of biotinylated anti-CD25 antibody to the isolation antibody cocktail.  OT-II CD4+ T cells were added at a 1:2 (DC:T cell) ratio and we
PXD039053,enrichment,N-terminal peptide enrichment which described in iNrich method paper [pmid:32267142] on SW480 cell line.
PXD039332,biotin,"ID was performed as previously described (28). Cells were cultured in biotin-containing DMEM medium for labeling, then lysed with RIPA lysis buffer in the presence of Benzonase (Yeasen Biotechnolo"
PXD039394,pull-down,"To identify the circNEIL3-interacting protein, we performed RNA pull-down assays after transfecting into cells with biotin-labeled sense (S) or antisense (AS) DNA oligomers crossing the junctio"
PXD039780,Enriched,Enriched protein-lipid complexes were subjected to an in-solution tryptic digest using a modified version of the Single-Pot Soli
PXD039849,pull-down,"s were harvested at 4,000 rpm, at 4 °C for 5 min, resuspended in ALFA pull-down buffer (20 mM HEPES pH 7.4, 150 mM potassium acetate, 5% glycerol, 1x FY and 1 mM PMSF) and frozen in a drop-by-drop fa"
PXD039998,immunoprecipitation,"oteins were precleared with protein A agarose beads (4°C, 2 h) before immunoprecipitation. After incubation with a variety of irrelevant IgG or specific antibodies, the mixture was gently shaken with protein A"
PXD041051,enriched,RNA was enriched with boitin-coupled circDmbt1 rpobe(CR) and control probe(CRR) and was incubated with avidin-binding magnetic beads and
PXD042397,immunoprecipitate,"ubated at 4°C. Next, 1x SDS loading buffer was added to the resulting immunoprecipitate and denatured at 97°C for 5 min. According to the manufacture’s protocol, SDS-PAGE gel piece was decolorized, alkylated"
PXD043087,phosphopeptide,"digestion. Finally, the peptides were desalted by C18 SPE column. For phosphopeptide enrichment, peptide mixtures were first incubated with IMAC microspheres suspension with vibration in loading buffer (5"
PXD043535,immunoprecipitated,"The immunoprecipitated products after elution by glycine (0.1M, pH 2.0) and neutralization by HEPES were analyzed by liquid chromatography-tan"
PXD044253,enriched,"were reconstituted to /uL of 0.1% FA and 2% ACN. Phosphopeptides were enriched from the lysates by using a TiO2 magnetic kit. Peptides were resuspended, desalted, and analyzed with an Orbitrap Velos"
PXD044254,enriched,"were reconstituted to /uL of 0.1% FA and 2% ACN. Phosphopeptides were enriched from the lysates by using a TiO2 magnetic kit. Peptides were resuspended, desalted, and analyzed with an Orbitrap Velos"
PXD044760,immunoprecipitation,"Proteins eluted from immunoprecipitation (IP) was reduced with 20 mM dithiothreitol at 95°C for 10 min, followed by alkylation with 40 mM iodoacetamide at room"
PXD044767,capture,"ly; proteins are washed with ethanol using magnetic beads for protein capture and binding. The proteins were resuspended in 100 mM NH4HCO3 and were digested with trypsin (Promega, UK) at an enzyme-"
PXD044788,Fractionation,"ng all reagents and instructions supplied in the Preomics iST and iST Fractionation add-on kits. In brief, replicate cell pellets for each sample underwent one of two treatments: one set was subjected to"
PXD044860,fractionated,Human liver mitochondria were lysed and fractionated by size exclusion chromatography. Three protein fractions were collected and subjected to protein digestion followed by
PXD045770,enriched,"ndem mass tags (10plex) and phosphorylated peptides were sequentially enriched using the HighSelect™ TiO2 Phosphopeptide Enrichment Kit (Thermo Scientific, USA) and the High-Select™ Fe-NTA Phosphope"
PXD047066,enriched,"ion was performed by Thermo UltiMate 3000 UHPLC. The sample was first enriched in trap column and desalted, and then entered a tandem self-packed C18 column (75μm internal diameter, 3μm column size,"
PXD048381,glycosylation,"lid-phase-enhanced sample preparation (SP3 clean-up) was performed. N-glycosylation was removed by a 1-hour incubation with PNGase F (500 U, NEB) and following digest with sequence-grade Trypsin (Promega"
PXD050085,pull down,"In order to pull down GFP-FMNL1 for mass spectrometry, transiently transfected  HeLa cells were were scraped into lysis buffer (50μl/ml NP-40"
PXD050244,Biotin,"nitrosylated proteins were detected using the previously established Biotin Switch Technique with minor modifications. Cells were lysed in HENS buffer (Cat. No. 90106, ThermoFisher Scientific), s"
PXD050400,immunoprecipitation,"es of untreated, irradiated, doxorubicin treated U87MG were taken for immunoprecipitation with 10 µg GCN5 and Rabbit isotype control antibodies. In-solution digestion and in-gel digestion were performed. In ca"
PXD051371,immunoprecipitation,"For immunoprecipitation, lysates of NMCMs were prepared in lysis buffer supplemented with protease and phosphatase inhibitors. The lysates were"
PXD053088,fractionated,an Ultimate 3000 Nano-HPLC (Thermo Fisher Scientific). Peptides were fractionated on an EASY-Spray PepMAP RPLC C18 column. The instrument was operated in data-dependent acquisition mode (DDA) using the
PXD053260,fractionated,an Ultimate 3000 Nano-HPLC (Thermo Fisher Scientific). Peptides were fractionated on an EASY-Spray PepMAP RPLC C18 column. The instrument was operated in data-dependent acquisition mode (DDA) using the
PXD053289,enriched,"Bottom-up proteomics analysis was performed on samples enriched using SEC alone and samples enriched using both SEC and Top 14 depletion. Following enrichment using SEC alone, 50 µg o"
PXD053353,immunoprecipitated,"24 h of transfection, the cells were collected, and the lysates were immunoprecipitated using anti-Flag M2 Affinity Gel."
PXD053919,affinity,"after transfection. HA-Luciferase-FLAG protein was purified by tandem affinity purification (FLAG then HA) and separated by SDS-PAGE. Silver-stained bands were excised, detstained, reduced with DTT"
PXD054249,biotin,". Lamin binding of probe was verified via click chemistry addition of biotin and streptavidin pull down and comparison to DMSO only treatment. To identify proteins interacting with lamins, a trifu"
PXD056030,glycol,"als by 2.5% formic acid (FA) in 50% ACN with addition of polyethylene glycol (20,000; final concentration 0.001%) [1] and concentrated in a SpeedVac concentrator (Thermo Fisher Scientific). LC-MS/"
PXD056757,immunoprecipitated,A 20 μg sample of immunoprecipitated protein mix was separated by sodium dodecyl sulfate-polyacrylamide gel electrophoresis (SDS-PAGE) and stained with Coom
PXD056970,enriched,Proteins with methylated lysine residues were enriched by immunoprecipitation using anti-methyllysine antibody. Whole cell extracts were prepared from 1x109 promastigotes usi
PXD057808,glycosylation,Protein identity and glycosylation status of Mannitou Fab samples were analysed using MALDI-TOF and LC-MS mass spectrometry. Mannitou Fab samples were dil
PXD057905,immunoprecipitation,"pended cells were lysed by passing through a 25G needle 10 times. For immunoprecipitation of endogenous RASSF1A, 500 µg of total protein was incubated with 2 μg of the anti-RASSF1A overnight at 4°C with gentle"
PXD058005,fractionated,"latelet were lysed. Platelet membrane was collected, solubilized, and fractionated by size exclusion chromatography. Three protein fractions were collected and subjected to protein digestion followed by"
PXD060056,pull-down,"nts as  previously described, with Western Blot confirming successful pull-down of PDHA1.  First, the sample digestion: After reduction and alkylation treatment, trypsin is added  to the sample at a"
PXD060323,streptavidin,"Protein digestion was performed on-beads. Sample-incubated streptavidin magnetic beads were treated with 10 mM TCEP in 20 mM TEAB, and alkylation followed with 15 mM iodoacetamide, followed b"
PXD060878,streptavidin,"Following magnetization of 50 µL streptavidin activated beads, the beads were washed twice with ammonium bicarbonate (50 mM, pH 8). Samples were incubated in a shake"
PXD061454,phospho,e SILAC using T47D cells with or without MDM2 expression. We isolated phospho-peptides before mass spectrometry by their strong affinity for metal ions on strong cation exchange (SCX) chromatograph
PXD061760,immunoprecipitation,ted with the remaining protein supernatant at 4 °C overnight.Then the immunoprecipitation (IP) products of IPO7 in the lysate of BMSCs under mechanical stretch were subjected to proteomics analyses by LC-MS/MS
PXD063163,pulldown,"RNA-pulldown experiments were performed using the Pierce Magnetic RNA-Protein Pull-Down Kit (Thermo Fisher Scientific). Briefly, bio"
PXD064331,glycoproteins,N-glycoproteins of 95C EVs and 95D EVs were extracted by lectin Concanavalin A (ConA) affinity chromatography according to the protocol
PXD065314,affinity,"ntly in Rosetta™(DE3)pLysS E. coli and Sf21 insect cells and purified affinity chromatography. Samples were prepared on ice with 1 µM MKK6DD and 1 µM p38α in assay buffer (50 mM HEPES pH 7.5, 200 mM"
PXD065770,enriched,"20 minutes at 4°C. The soluble supernatant was discarded, and the SG-enriched pellet was resuspended in 900 μL of NIB. To isolate the SGs, the 900 μL resuspended material was split into 2 tubes, wi"
PXD068794,Immunoprecipitation,"Immunoprecipitation, reduced with dithiothreitol (DTT), and then alkylated with iodoacetamide (IAA), followed by trypsin digestion."
PXD069171,Phospho,"through the filter (14,000 × g, 15 min) and lyophilized by speed-vac. Phospho-samples were further enriched by TiO2 phosphopeptide enrichment kit (Thermo), and the final elution buffer was dried ou"
PXD069559,affinity,c localization. The reactive protein fractions were passed through an affinity column (Protein G HP SpinTrap - GE Healthcare) for samples and controls (sera from two patients with cysticercosis and
PXD070144,immunoprecipitated,"h lentiviruses carrying the Flag-KDM1A plasmid, and cell lysates were immunoprecipitated using anti-Flag affinity magnetic beads. Immunoprecipitated proteins were subjected to protein electrophoresis, followe"
PXD070229,Fractionation,": Pitarch, A., Sanchez, M., Nombela, C. and Gil, C., 2002. Sequential Fractionation and Two-dimensional Gel Analysis Unravels the Complexity of the Dimorphic Fungus Candida albicans Cell Wall Proteome. M"
PXD073162,enrich,"gnetic adsorption was subsequently performed using a magnetic rack to enrich the antigen-antibody-beads complex. After removing the supernatant, the complex was washed three times with PBS to ensu"
