source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD011999-Sample-11	Homo sapiens	breast	breast carcinoma	epithelial cell	BT474, SKBR3, HCC1419, MDA-MB453, UACC893, MDA-MB361	not available	2	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT126	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (DMSO, trastuzumab, DARPin 6L1G, ARRY-380, A+T), time (6h, 48h)	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=TMTpro;AC=UNIMOD:737;MT=Variable;TA=K	NT=pyrophosphorylation of Ser/Thr;AC=UNIMOD:898;MT=Variable;TA=S	not applicable	7.9 ppm	7 ppm	orbitrap	2015_0821_DARPIN_B2.raw	v1.1.0	HAMLET-agentic v0.1.0	breast carcinoma
PXD011999-Sample-12	Homo sapiens	breast	breast carcinoma	epithelial cell	BT474, SKBR3, HCC1419, MDA-MB453, UACC893, MDA-MB361	not available	2	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT127N	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (DMSO, trastuzumab, DARPin 6L1G, ARRY-380, A+T), time (6h, 48h)	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=TMTpro;AC=UNIMOD:737;MT=Variable;TA=K	NT=pyrophosphorylation of Ser/Thr;AC=UNIMOD:898;MT=Variable;TA=S	not applicable	7.9 ppm	7 ppm	orbitrap	2015_0821_DARPIN_B2.raw	v1.1.0	HAMLET-agentic v0.1.0	breast carcinoma
PXD011999-Sample-13	Homo sapiens	breast	breast carcinoma	epithelial cell	BT474, SKBR3, HCC1419, MDA-MB453, UACC893, MDA-MB361	not available	2	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT127C	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (DMSO, trastuzumab, DARPin 6L1G, ARRY-380, A+T), time (6h, 48h)	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=TMTpro;AC=UNIMOD:737;MT=Variable;TA=K	NT=pyrophosphorylation of Ser/Thr;AC=UNIMOD:898;MT=Variable;TA=S	not applicable	7.9 ppm	7 ppm	orbitrap	2015_0821_DARPIN_B2.raw	v1.1.0	HAMLET-agentic v0.1.0	breast carcinoma
PXD011999-Sample-14	Homo sapiens	breast	breast carcinoma	epithelial cell	BT474, SKBR3, HCC1419, MDA-MB453, UACC893, MDA-MB361	not available	2	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT128N	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (DMSO, trastuzumab, DARPin 6L1G, ARRY-380, A+T), time (6h, 48h)	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=TMTpro;AC=UNIMOD:737;MT=Variable;TA=K	NT=pyrophosphorylation of Ser/Thr;AC=UNIMOD:898;MT=Variable;TA=S	not applicable	7.9 ppm	7 ppm	orbitrap	2015_0821_DARPIN_B2.raw	v1.1.0	HAMLET-agentic v0.1.0	breast carcinoma
PXD011999-Sample-15	Homo sapiens	breast	breast carcinoma	epithelial cell	BT474, SKBR3, HCC1419, MDA-MB453, UACC893, MDA-MB361	not available	2	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT128C	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (DMSO, trastuzumab, DARPin 6L1G, ARRY-380, A+T), time (6h, 48h)	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=TMTpro;AC=UNIMOD:737;MT=Variable;TA=K	NT=pyrophosphorylation of Ser/Thr;AC=UNIMOD:898;MT=Variable;TA=S	not applicable	7.9 ppm	7 ppm	orbitrap	2015_0821_DARPIN_B2.raw	v1.1.0	HAMLET-agentic v0.1.0	breast carcinoma
PXD011999-Sample-16	Homo sapiens	breast	breast carcinoma	epithelial cell	BT474, SKBR3, HCC1419, MDA-MB453, UACC893, MDA-MB361	not available	2	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT129N	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (DMSO, trastuzumab, DARPin 6L1G, ARRY-380, A+T), time (6h, 48h)	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=TMTpro;AC=UNIMOD:737;MT=Variable;TA=K	NT=pyrophosphorylation of Ser/Thr;AC=UNIMOD:898;MT=Variable;TA=S	not applicable	7.9 ppm	7 ppm	orbitrap	2015_0821_DARPIN_B2.raw	v1.1.0	HAMLET-agentic v0.1.0	breast carcinoma
PXD011999-Sample-17	Homo sapiens	breast	breast carcinoma	epithelial cell	BT474, SKBR3, HCC1419, MDA-MB453, UACC893, MDA-MB361	not available	2	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT129C	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (DMSO, trastuzumab, DARPin 6L1G, ARRY-380, A+T), time (6h, 48h)	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=TMTpro;AC=UNIMOD:737;MT=Variable;TA=K	NT=pyrophosphorylation of Ser/Thr;AC=UNIMOD:898;MT=Variable;TA=S	not applicable	7.9 ppm	7 ppm	orbitrap	2015_0821_DARPIN_B2.raw	v1.1.0	HAMLET-agentic v0.1.0	breast carcinoma
PXD011999-Sample-18	Homo sapiens	breast	breast carcinoma	epithelial cell	BT474, SKBR3, HCC1419, MDA-MB453, UACC893, MDA-MB361	not available	2	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT130N	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (DMSO, trastuzumab, DARPin 6L1G, ARRY-380, A+T), time (6h, 48h)	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=TMTpro;AC=UNIMOD:737;MT=Variable;TA=K	NT=pyrophosphorylation of Ser/Thr;AC=UNIMOD:898;MT=Variable;TA=S	not applicable	7.9 ppm	7 ppm	orbitrap	2015_0821_DARPIN_B2.raw	v1.1.0	HAMLET-agentic v0.1.0	breast carcinoma
PXD011999-Sample-19	Homo sapiens	breast	breast carcinoma	epithelial cell	BT474, SKBR3, HCC1419, MDA-MB453, UACC893, MDA-MB361	not available	2	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT130C	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (DMSO, trastuzumab, DARPin 6L1G, ARRY-380, A+T), time (6h, 48h)	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=TMTpro;AC=UNIMOD:737;MT=Variable;TA=K	NT=pyrophosphorylation of Ser/Thr;AC=UNIMOD:898;MT=Variable;TA=S	not applicable	7.9 ppm	7 ppm	orbitrap	2015_0821_DARPIN_B2.raw	v1.1.0	HAMLET-agentic v0.1.0	breast carcinoma
PXD011999-Sample-20	Homo sapiens	breast	breast carcinoma	epithelial cell	BT474, SKBR3, HCC1419, MDA-MB453, UACC893, MDA-MB361	not available	2	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT131	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (DMSO, trastuzumab, DARPin 6L1G, ARRY-380, A+T), time (6h, 48h)	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=TMTpro;AC=UNIMOD:737;MT=Variable;TA=K	NT=pyrophosphorylation of Ser/Thr;AC=UNIMOD:898;MT=Variable;TA=S	not applicable	7.9 ppm	7 ppm	orbitrap	2015_0821_DARPIN_B2.raw	v1.1.0	HAMLET-agentic v0.1.0	breast carcinoma
