source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms2 mass analyzer]	comment[ms1 scan range]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD024637-Sample-11	Mus musculus	liver, aorta	atherosclerosis, abdominal aortic aneurysm	32	male	10-week-old plus 16 weeks high-fat diet	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT130	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (WT, Lgals1−/−), treatment (rGal-1, vehicle)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=TMTpro;AC=UNIMOD:737;MT=Variable;TA=K	800 ppm	0.03 Da	orbitrap	400m/z-1500m/z	TMT2_Liver.raw	v1.1.0	HAMLET-agentic v0.1.0	atherosclerosis, abdominal aortic aneurysm
PXD024637-Sample-12	Mus musculus	liver, aorta	atherosclerosis, abdominal aortic aneurysm	32	male	10-week-old plus 16 weeks high-fat diet	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT131	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (WT, Lgals1−/−), treatment (rGal-1, vehicle)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=TMTpro;AC=UNIMOD:737;MT=Variable;TA=K	800 ppm	0.03 Da	orbitrap	400m/z-1500m/z	TMT2_Liver.raw	v1.1.0	HAMLET-agentic v0.1.0	atherosclerosis, abdominal aortic aneurysm
PXD024637-Sample-13	Mus musculus	liver, aorta	atherosclerosis, abdominal aortic aneurysm	32	male	10-week-old plus 16 weeks high-fat diet	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT126	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (WT, Lgals1−/−), treatment (rGal-1, vehicle)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	800 ppm	0.03 Da	orbitrap	400m/z-1500m/z	TMT1_Aorta.raw	v1.1.0	HAMLET-agentic v0.1.0	atherosclerosis, abdominal aortic aneurysm
PXD024637-Sample-14	Mus musculus	liver, aorta	atherosclerosis, abdominal aortic aneurysm	32	male	10-week-old plus 16 weeks high-fat diet	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT127	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (WT, Lgals1−/−), treatment (rGal-1, vehicle)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	800 ppm	0.03 Da	orbitrap	400m/z-1500m/z	TMT1_Aorta.raw	v1.1.0	HAMLET-agentic v0.1.0	atherosclerosis, abdominal aortic aneurysm
PXD024637-Sample-15	Mus musculus	liver, aorta	atherosclerosis, abdominal aortic aneurysm	32	male	10-week-old plus 16 weeks high-fat diet	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT128	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (WT, Lgals1−/−), treatment (rGal-1, vehicle)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	800 ppm	0.03 Da	orbitrap	400m/z-1500m/z	TMT1_Aorta.raw	v1.1.0	HAMLET-agentic v0.1.0	atherosclerosis, abdominal aortic aneurysm
PXD024637-Sample-16	Mus musculus	liver, aorta	atherosclerosis, abdominal aortic aneurysm	32	male	10-week-old plus 16 weeks high-fat diet	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT129	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (WT, Lgals1−/−), treatment (rGal-1, vehicle)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	800 ppm	0.03 Da	orbitrap	400m/z-1500m/z	TMT1_Aorta.raw	v1.1.0	HAMLET-agentic v0.1.0	atherosclerosis, abdominal aortic aneurysm
PXD024637-Sample-17	Mus musculus	liver, aorta	atherosclerosis, abdominal aortic aneurysm	32	male	10-week-old plus 16 weeks high-fat diet	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT130	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (WT, Lgals1−/−), treatment (rGal-1, vehicle)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	800 ppm	0.03 Da	orbitrap	400m/z-1500m/z	TMT1_Aorta.raw	v1.1.0	HAMLET-agentic v0.1.0	atherosclerosis, abdominal aortic aneurysm
PXD024637-Sample-18	Mus musculus	liver, aorta	atherosclerosis, abdominal aortic aneurysm	32	male	10-week-old plus 16 weeks high-fat diet	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT131	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (WT, Lgals1−/−), treatment (rGal-1, vehicle)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	800 ppm	0.03 Da	orbitrap	400m/z-1500m/z	TMT1_Aorta.raw	v1.1.0	HAMLET-agentic v0.1.0	atherosclerosis, abdominal aortic aneurysm
PXD024637-Sample-19	Mus musculus	liver, aorta	atherosclerosis, abdominal aortic aneurysm	32	male	10-week-old plus 16 weeks high-fat diet	run 4	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT126	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (WT, Lgals1−/−), treatment (rGal-1, vehicle)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	800 ppm	0.03 Da	orbitrap	400m/z-1500m/z	TMT1_Liver.raw	v1.1.0	HAMLET-agentic v0.1.0	atherosclerosis, abdominal aortic aneurysm
PXD024637-Sample-20	Mus musculus	liver, aorta	atherosclerosis, abdominal aortic aneurysm	32	male	10-week-old plus 16 weeks high-fat diet	run 4	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT127	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (WT, Lgals1−/−), treatment (rGal-1, vehicle)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	800 ppm	0.03 Da	orbitrap	400m/z-1500m/z	TMT1_Liver.raw	v1.1.0	HAMLET-agentic v0.1.0	atherosclerosis, abdominal aortic aneurysm
PXD024637-Sample-21	Mus musculus	liver, aorta	atherosclerosis, abdominal aortic aneurysm	32	male	10-week-old plus 16 weeks high-fat diet	run 4	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT128	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (WT, Lgals1−/−), treatment (rGal-1, vehicle)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	800 ppm	0.03 Da	orbitrap	400m/z-1500m/z	TMT1_Liver.raw	v1.1.0	HAMLET-agentic v0.1.0	atherosclerosis, abdominal aortic aneurysm
PXD024637-Sample-22	Mus musculus	liver, aorta	atherosclerosis, abdominal aortic aneurysm	32	male	10-week-old plus 16 weeks high-fat diet	run 4	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT129	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (WT, Lgals1−/−), treatment (rGal-1, vehicle)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	800 ppm	0.03 Da	orbitrap	400m/z-1500m/z	TMT1_Liver.raw	v1.1.0	HAMLET-agentic v0.1.0	atherosclerosis, abdominal aortic aneurysm
PXD024637-Sample-23	Mus musculus	liver, aorta	atherosclerosis, abdominal aortic aneurysm	32	male	10-week-old plus 16 weeks high-fat diet	run 4	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT130	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (WT, Lgals1−/−), treatment (rGal-1, vehicle)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	800 ppm	0.03 Da	orbitrap	400m/z-1500m/z	TMT1_Liver.raw	v1.1.0	HAMLET-agentic v0.1.0	atherosclerosis, abdominal aortic aneurysm
PXD024637-Sample-24	Mus musculus	liver, aorta	atherosclerosis, abdominal aortic aneurysm	32	male	10-week-old plus 16 weeks high-fat diet	run 4	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT131	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (WT, Lgals1−/−), treatment (rGal-1, vehicle)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	800 ppm	0.03 Da	orbitrap	400m/z-1500m/z	TMT1_Liver.raw	v1.1.0	HAMLET-agentic v0.1.0	atherosclerosis, abdominal aortic aneurysm
