category,agentic_field,canonical_field,safe_override_field,final_sdrf_columns,used_in_current_sdrf_builder,pride_cache_field_path,pride_present_in_sampled_n,sample_size,sample_source,notes,ann_metadata_labels,pride_present_in_sampled_n_recomputed,sample_size_recomputed,pride_present_fraction_recomputed,presence_count_source,hamlet_present_in_sampled_n,hamlet_present_n,existing_present_n,availability_fraction,delta_pp,ceiling_pct
technical,fragmentation_method,fragmentation,,comment[dissociation method],yes,response[].sampleProcessingProtocol / response[].dataProcessingProtocol,75,100,HamletPXDs.csv,,FragmentationMethod,0,299,0.0,not_available_only_protocol_paths,275,275,0,0.7777777777777778,91.97324414715719,77.77777777777779
technical,cleavage_agent,cleavage_agent,,comment[cleavage agent details],yes,response[].sampleProcessingProtocol,83,100,HamletPXDs.csv,Currently protocol-derived in builder,CleavageAgent,0,299,0.0,not_available_only_sampleProcessingProtocol,217,217,0,0.9629629629629628,72.5752508361204,96.29629629629628
technical,enrichment_method,enrichment_method,,characteristics[enrichment process]*,conditional,response[].sampleProcessingProtocol,38,100,HamletPXDs.csv,Via llm_extracted_metadata fallback,EnrichmentMethod,0,299,0.0,not_available_only_sampleProcessingProtocol,0,0,0,0.4444444444444444,0.0,44.44444444444444
technical,reduction_reagent,reduction_reagent,,comment[reduction reagent]*,conditional,response[].sampleProcessingProtocol,12,100,HamletPXDs.csv,,ReductionReagent,0,299,0.0,not_available_only_sampleProcessingProtocol,133,133,0,0.7777777777777778,44.48160535117057,77.77777777777779
technical,alkylation_reagent,alkylation_reagent,,comment[alkylation reagent]*,conditional,response[].sampleProcessingProtocol,39,100,HamletPXDs.csv,,AlkylationReagent,0,299,0.0,not_available_only_sampleProcessingProtocol,110,110,0,0.7777777777777778,36.78929765886288,77.77777777777779
technical,collision_energy,collision_energy,,comment[collision energy]*,conditional,response[].sampleProcessingProtocol,0,100,HamletPXDs.csv,,CollisionEnergy,0,299,0.0,not_available_only_sampleProcessingProtocol,36,36,0,0.6666666666666666,12.040133779264215,66.66666666666666
technical,mass_analyzer,mass_analyzer,,comment[ms2 mass analyzer]*,conditional,response[].instruments (inferred),0,100,HamletPXDs.csv,Builder infers analyzer from instrument model,MS2MassAnalyzer,0,299,0.0,crosswalk_curated,284,284,0,0.6296296296296297,94.98327759197325,62.96296296296296
technical,ptm,ptm,,comment[modification parameters]*,conditional,response[].identifiedPTMStrings / protocols,0,100,HamletPXDs.csv,Builder emits one or more modification parameter columns,Modification,198,299,0.6622073578595318,cache_recomputed,278,278,198,0.7777777777777778,26.755852842809364,77.77777777777779
experimental_design,number_of_biological_replicates,replicates,replicates,characteristics[biological replicate],yes,response[].projectDescription / response[].sampleProcessingProtocol,2,100,HamletPXDs.csv,,NumberOfBiologicalReplicates,0,299,0.0,not_available_only_generic_design_paths,288,288,0,0.2962962962962963,96.32107023411372,29.629629629629626
experimental_design,number_of_technical_replicates,technical_replicates,technical_replicates,comment[technical replicate],yes,response[].projectDescription / response[].sampleProcessingProtocol,3,100,HamletPXDs.csv,,NumberOfTechnicalReplicates,0,299,0.0,not_available_only_generic_design_paths,288,288,0,0.3333333333333333,96.32107023411372,33.33333333333333
experimental_design,number_of_fractions,fractions,fractions,comment[fraction identifier],yes,response[].projectDescription / response[].sampleProcessingProtocol,6,100,HamletPXDs.csv,,NumberOfFractions,0,299,0.0,not_available_only_generic_design_paths,288,288,0,0.5925925925925926,96.32107023411372,59.25925925925925
experimental_design,factor_value,factor_value,factor_value,factor value[experimental design]*,conditional,response[].sampleAttributes / response[].projectDescription,23,100,HamletPXDs.csv,,FactorValue,0,299,0.0,not_available_only_generic_design_paths,282,282,0,0.8518518518518519,94.31438127090301,85.18518518518519
experimental_design,biological_replicate,replicates,replicates,characteristics[biological replicate] (via canonical collapse),yes,response[].projectDescription / response[].sampleProcessingProtocol,2,100,HamletPXDs.csv,Aliases collapse through FIELD_NAME_MAP,BiologicalReplicate,0,299,0.0,not_available_only_generic_design_paths,288,288,0,0.2222222222222222,96.32107023411372,22.22222222222222
experimental_design,technical_replicate,technical_replicates,technical_replicates,comment[technical replicate] (via canonical collapse),yes,response[].projectDescription / response[].sampleProcessingProtocol,3,100,HamletPXDs.csv,Aliases collapse through FIELD_NAME_MAP,TechnicalReplicate,0,299,0.0,not_available_only_generic_design_paths,288,288,0,0.1111111111111111,96.32107023411372,11.11111111111111
