source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[reduction reagent]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD014528-Sample-11	Mus musculus	embryonic stem cell	normal	embryonic stem cells	E14Tg2a	not available	not available	not available	not available	run 11	proteomic profiling by mass spectrometry	not available	label free sample	Orbitrap LC-MS (Thermo)	NT=Lys-C;AC=MS:1001309	not available	not available	not available	cell state (2iL, SL, EPI) and transition time points (Day 1, Day 3, Day 7)	not available	dithiothreitol	orbitrap	20150105_Q1_SA_YaAt_ESC_proteome_1B.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD014528-Sample-12	Mus musculus	embryonic stem cell	normal	embryonic stem cells	E14Tg2a	not available	not available	not available	not available	run 12	proteomic profiling by mass spectrometry	not available	label free sample	Orbitrap LC-MS (Thermo)	NT=Lys-C;AC=MS:1001309	not available	not available	not available	cell state (2iL, SL, EPI) and transition time points (Day 1, Day 3, Day 7)	not available	dithiothreitol	orbitrap	20141022_Q1_SA_YaAt_2i_FCS-Epi_5A.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD014528-Sample-13	Mus musculus	embryonic stem cell	normal	embryonic stem cells	E14Tg2a	not available	not available	not available	not available	run 13	proteomic profiling by mass spectrometry	not available	label free sample	Orbitrap LC-MS (Thermo)	NT=Lys-C;AC=MS:1001309	not available	not available	not available	cell state (2iL, SL, EPI) and transition time points (Day 1, Day 3, Day 7)	not available	dithiothreitol	orbitrap	20150105_Q1_SA_YaAt_ESC_proteome_4A.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD014528-Sample-14	Mus musculus	embryonic stem cell	normal	embryonic stem cells	E14Tg2a	not available	not available	not available	not available	run 14	proteomic profiling by mass spectrometry	not available	label free sample	Orbitrap LC-MS (Thermo)	NT=Lys-C;AC=MS:1001309	not available	not available	not available	cell state (2iL, SL, EPI) and transition time points (Day 1, Day 3, Day 7)	not available	dithiothreitol	orbitrap	20150105_Q1_SA_YaAt_ESC_proteome_3C.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD014528-Sample-15	Mus musculus	embryonic stem cell	normal	embryonic stem cells	E14Tg2a	not available	not available	not available	not available	run 15	proteomic profiling by mass spectrometry	not available	label free sample	Orbitrap LC-MS (Thermo)	NT=Lys-C;AC=MS:1001309	not available	not available	not available	cell state (2iL, SL, EPI) and transition time points (Day 1, Day 3, Day 7)	not available	dithiothreitol	orbitrap	20141022_Q1_SA_YaAt_2i_FCS-Epi_2B.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD014528-Sample-16	Mus musculus	embryonic stem cell	normal	embryonic stem cells	E14Tg2a	not available	not available	not available	not available	run 16	proteomic profiling by mass spectrometry	not available	label free sample	Orbitrap LC-MS (Thermo)	NT=Lys-C;AC=MS:1001309	not available	not available	not available	cell state (2iL, SL, EPI) and transition time points (Day 1, Day 3, Day 7)	not available	dithiothreitol	orbitrap	20140924_Q1_SA_YaAt_2i_FCS-Epi_Rv_9C.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD014528-Sample-17	Mus musculus	embryonic stem cell	normal	embryonic stem cells	E14Tg2a	not available	not available	not available	not available	run 17	proteomic profiling by mass spectrometry	not available	label free sample	Orbitrap LC-MS (Thermo)	NT=Lys-C;AC=MS:1001309	not available	not available	not available	cell state (2iL, SL, EPI) and transition time points (Day 1, Day 3, Day 7)	not available	dithiothreitol	orbitrap	20141022_Q1_SA_YaAt_2i_FCS-Epi_2C.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD014528-Sample-18	Mus musculus	embryonic stem cell	normal	embryonic stem cells	E14Tg2a	not available	not available	not available	not available	run 18	proteomic profiling by mass spectrometry	not available	label free sample	Orbitrap LC-MS (Thermo)	NT=Lys-C;AC=MS:1001309	not available	not available	not available	cell state (2iL, SL, EPI) and transition time points (Day 1, Day 3, Day 7)	not available	dithiothreitol	orbitrap	20150105_Q1_SA_YaAt_ESC_proteome_2A.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD014528-Sample-19	Mus musculus	embryonic stem cell	normal	embryonic stem cells	E14Tg2a	not available	not available	not available	not available	run 19	proteomic profiling by mass spectrometry	not available	label free sample	Orbitrap LC-MS (Thermo)	NT=Lys-C;AC=MS:1001309	not available	not available	not available	cell state (2iL, SL, EPI) and transition time points (Day 1, Day 3, Day 7)	not available	dithiothreitol	orbitrap	20150105_Q1_SA_YaAt_ESC_proteome_3A.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD014528-Sample-20	Mus musculus	embryonic stem cell	normal	embryonic stem cells	E14Tg2a	not available	not available	not available	not available	run 20	proteomic profiling by mass spectrometry	not available	label free sample	Orbitrap LC-MS (Thermo)	NT=Lys-C;AC=MS:1001309	not available	not available	not available	cell state (2iL, SL, EPI) and transition time points (Day 1, Day 3, Day 7)	not available	dithiothreitol	orbitrap	20150105_Q1_SA_YaAt_ESC_proteome_7A.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD014528-Sample-21	Mus musculus	embryonic stem cell	normal	embryonic stem cells	E14Tg2a	not available	not available	not available	not available	run 21	proteomic profiling by mass spectrometry	not available	label free sample	Orbitrap LC-MS (Thermo)	NT=Lys-C;AC=MS:1001309	not available	not available	not available	cell state (2iL, SL, EPI) and transition time points (Day 1, Day 3, Day 7)	not available	dithiothreitol	orbitrap	20140924_Q1_SA_YaAt_2i_FCS-Epi_Rv_10C.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD014528-Sample-22	Mus musculus	embryonic stem cell	normal	embryonic stem cells	E14Tg2a	not available	not available	not available	not available	run 22	proteomic profiling by mass spectrometry	not available	label free sample	Orbitrap LC-MS (Thermo)	NT=Lys-C;AC=MS:1001309	not available	not available	not available	cell state (2iL, SL, EPI) and transition time points (Day 1, Day 3, Day 7)	not available	dithiothreitol	orbitrap	20140924_Q1_SA_YaAt_2i_FCS-Epi_Rv_10B.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD014528-Sample-23	Mus musculus	embryonic stem cell	normal	embryonic stem cells	E14Tg2a	not available	not available	not available	not available	run 23	proteomic profiling by mass spectrometry	not available	label free sample	Orbitrap LC-MS (Thermo)	NT=Lys-C;AC=MS:1001309	not available	not available	not available	cell state (2iL, SL, EPI) and transition time points (Day 1, Day 3, Day 7)	not available	dithiothreitol	orbitrap	20141022_Q1_SA_YaAt_2i_FCS-Epi_1A.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD014528-Sample-24	Mus musculus	embryonic stem cell	normal	embryonic stem cells	E14Tg2a	not available	not available	not available	not available	run 24	proteomic profiling by mass spectrometry	not available	label free sample	Orbitrap LC-MS (Thermo)	NT=Lys-C;AC=MS:1001309	not available	not available	not available	cell state (2iL, SL, EPI) and transition time points (Day 1, Day 3, Day 7)	not available	dithiothreitol	orbitrap	20140924_Q1_SA_YaAt_2i_FCS-Epi_Rv_11B.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD014528-Sample-25	Mus musculus	embryonic stem cell	normal	embryonic stem cells	E14Tg2a	not available	not available	not available	not available	run 25	proteomic profiling by mass spectrometry	not available	label free sample	Orbitrap LC-MS (Thermo)	NT=Lys-C;AC=MS:1001309	not available	not available	not available	cell state (2iL, SL, EPI) and transition time points (Day 1, Day 3, Day 7)	not available	dithiothreitol	orbitrap	20150105_Q1_SA_YaAt_ESC_proteome_2B.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD014528-Sample-26	Mus musculus	embryonic stem cell	normal	embryonic stem cells	E14Tg2a	not available	not available	not available	not available	run 26	proteomic profiling by mass spectrometry	not available	label free sample	Orbitrap LC-MS (Thermo)	NT=Lys-C;AC=MS:1001309	not available	not available	not available	cell state (2iL, SL, EPI) and transition time points (Day 1, Day 3, Day 7)	not available	dithiothreitol	orbitrap	20150105_Q1_SA_YaAt_ESC_proteome_7C.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD014528-Sample-27	Mus musculus	embryonic stem cell	normal	embryonic stem cells	E14Tg2a	not available	not available	not available	not available	run 27	proteomic profiling by mass spectrometry	not available	label free sample	Orbitrap LC-MS (Thermo)	NT=Lys-C;AC=MS:1001309	not available	not available	not available	cell state (2iL, SL, EPI) and transition time points (Day 1, Day 3, Day 7)	not available	dithiothreitol	orbitrap	20150105_Q1_SA_YaAt_ESC_proteome_4C.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD014528-Sample-28	Mus musculus	embryonic stem cell	normal	embryonic stem cells	E14Tg2a	not available	not available	not available	not available	run 28	proteomic profiling by mass spectrometry	not available	label free sample	Orbitrap LC-MS (Thermo)	NT=Lys-C;AC=MS:1001309	not available	not available	not available	cell state (2iL, SL, EPI) and transition time points (Day 1, Day 3, Day 7)	not available	dithiothreitol	orbitrap	20140924_Q1_SA_YaAt_2i_FCS-Epi_Rv_7C.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD014528-Sample-29	Mus musculus	embryonic stem cell	normal	embryonic stem cells	E14Tg2a	not available	not available	not available	not available	run 29	proteomic profiling by mass spectrometry	not available	label free sample	Orbitrap LC-MS (Thermo)	NT=Lys-C;AC=MS:1001309	not available	not available	not available	cell state (2iL, SL, EPI) and transition time points (Day 1, Day 3, Day 7)	not available	dithiothreitol	orbitrap	20140924_Q1_SA_YaAt_2i_FCS-Epi_Rv_7A.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD014528-Sample-30	Mus musculus	embryonic stem cell	normal	embryonic stem cells	E14Tg2a	not available	not available	not available	not available	run 30	proteomic profiling by mass spectrometry	not available	label free sample	Orbitrap LC-MS (Thermo)	NT=Lys-C;AC=MS:1001309	not available	not available	not available	cell state (2iL, SL, EPI) and transition time points (Day 1, Day 3, Day 7)	not available	dithiothreitol	orbitrap	20140917_Q1_SA_YaAt_exp3_2i_FCS-Epi_8A.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD014528-Sample-31	Mus musculus	embryonic stem cell	normal	embryonic stem cells	E14Tg2a	not available	not available	not available	not available	run 31	proteomic profiling by mass spectrometry	not available	label free sample	Orbitrap LC-MS (Thermo)	NT=Lys-C;AC=MS:1001309	not available	not available	not available	cell state (2iL, SL, EPI) and transition time points (Day 1, Day 3, Day 7)	not available	dithiothreitol	orbitrap	20140924_Q1_SA_YaAt_2i_FCS-Epi_Rv_11A.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD014528-Sample-32	Mus musculus	embryonic stem cell	normal	embryonic stem cells	E14Tg2a	not available	not available	not available	not available	run 32	proteomic profiling by mass spectrometry	not available	label free sample	Orbitrap LC-MS (Thermo)	NT=Lys-C;AC=MS:1001309	not available	not available	not available	cell state (2iL, SL, EPI) and transition time points (Day 1, Day 3, Day 7)	not available	dithiothreitol	orbitrap	20141022_Q1_SA_YaAt_2i_FCS-Epi_3A.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD014528-Sample-33	Mus musculus	embryonic stem cell	normal	embryonic stem cells	E14Tg2a	not available	not available	not available	not available	run 33	proteomic profiling by mass spectrometry	not available	label free sample	Orbitrap LC-MS (Thermo)	NT=Lys-C;AC=MS:1001309	not available	not available	not available	cell state (2iL, SL, EPI) and transition time points (Day 1, Day 3, Day 7)	not available	dithiothreitol	orbitrap	20141022_Q1_SA_YaAt_2i_FCS-Epi_4B.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD014528-Sample-34	Mus musculus	embryonic stem cell	normal	embryonic stem cells	E14Tg2a	not available	not available	not available	not available	run 34	proteomic profiling by mass spectrometry	not available	label free sample	Orbitrap LC-MS (Thermo)	NT=Lys-C;AC=MS:1001309	not available	not available	not available	cell state (2iL, SL, EPI) and transition time points (Day 1, Day 3, Day 7)	not available	dithiothreitol	orbitrap	20150105_Q1_SA_YaAt_ESC_proteome_7B.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD014528-Sample-35	Mus musculus	embryonic stem cell	normal	embryonic stem cells	E14Tg2a	not available	not available	not available	not available	run 35	proteomic profiling by mass spectrometry	not available	label free sample	Orbitrap LC-MS (Thermo)	NT=Lys-C;AC=MS:1001309	not available	not available	not available	cell state (2iL, SL, EPI) and transition time points (Day 1, Day 3, Day 7)	not available	dithiothreitol	orbitrap	20150105_Q1_SA_YaAt_ESC_proteome_1C.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD014528-Sample-36	Mus musculus	embryonic stem cell	normal	embryonic stem cells	E14Tg2a	not available	not available	not available	not available	run 36	proteomic profiling by mass spectrometry	not available	label free sample	Orbitrap LC-MS (Thermo)	NT=Lys-C;AC=MS:1001309	not available	not available	not available	cell state (2iL, SL, EPI) and transition time points (Day 1, Day 3, Day 7)	not available	dithiothreitol	orbitrap	20140924_Q1_SA_YaAt_2i_FCS-Epi_Rv_10A.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD014528-Sample-37	Mus musculus	embryonic stem cell	normal	embryonic stem cells	E14Tg2a	not available	not available	not available	not available	run 37	proteomic profiling by mass spectrometry	not available	label free sample	Orbitrap LC-MS (Thermo)	NT=Lys-C;AC=MS:1001309	not available	not available	not available	cell state (2iL, SL, EPI) and transition time points (Day 1, Day 3, Day 7)	not available	dithiothreitol	orbitrap	20141022_Q1_SA_YaAt_2i_FCS-Epi_6C.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD014528-Sample-38	Mus musculus	embryonic stem cell	normal	embryonic stem cells	E14Tg2a	not available	not available	not available	not available	run 38	proteomic profiling by mass spectrometry	not available	label free sample	Orbitrap LC-MS (Thermo)	NT=Lys-C;AC=MS:1001309	not available	not available	not available	cell state (2iL, SL, EPI) and transition time points (Day 1, Day 3, Day 7)	not available	dithiothreitol	orbitrap	20150105_Q1_SA_YaAt_ESC_proteome_2C.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD014528-Sample-39	Mus musculus	embryonic stem cell	normal	embryonic stem cells	E14Tg2a	not available	not available	not available	not available	run 39	proteomic profiling by mass spectrometry	not available	label free sample	Orbitrap LC-MS (Thermo)	NT=Lys-C;AC=MS:1001309	not available	not available	not available	cell state (2iL, SL, EPI) and transition time points (Day 1, Day 3, Day 7)	not available	dithiothreitol	orbitrap	20140924_Q1_SA_YaAt_2i_FCS-Epi_Rv_9B.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD014528-Sample-40	Mus musculus	embryonic stem cell	normal	embryonic stem cells	E14Tg2a	not available	not available	not available	not available	run 40	proteomic profiling by mass spectrometry	not available	label free sample	Orbitrap LC-MS (Thermo)	NT=Lys-C;AC=MS:1001309	not available	not available	not available	cell state (2iL, SL, EPI) and transition time points (Day 1, Day 3, Day 7)	not available	dithiothreitol	orbitrap	20150105_Q1_SA_YaAt_ESC_proteome_4B.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD014528-Sample-41	Mus musculus	embryonic stem cell	normal	embryonic stem cells	E14Tg2a	not available	not available	not available	not available	run 41	proteomic profiling by mass spectrometry	not available	label free sample	Orbitrap LC-MS (Thermo)	NT=Lys-C;AC=MS:1001309	not available	not available	not available	cell state (2iL, SL, EPI) and transition time points (Day 1, Day 3, Day 7)	not available	dithiothreitol	orbitrap	20150105_Q1_SA_YaAt_ESC_proteome_1A.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD014528-Sample-42	Mus musculus	embryonic stem cell	normal	embryonic stem cells	E14Tg2a	not available	not available	not available	not available	run 42	proteomic profiling by mass spectrometry	not available	label free sample	Orbitrap LC-MS (Thermo)	NT=Lys-C;AC=MS:1001309	not available	not available	not available	cell state (2iL, SL, EPI) and transition time points (Day 1, Day 3, Day 7)	not available	dithiothreitol	orbitrap	20140924_Q1_SA_YaAt_2i_FCS-Epi_Rv_8C.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD014528-Sample-43	Mus musculus	embryonic stem cell	normal	embryonic stem cells	E14Tg2a	not available	not available	not available	not available	run 43	proteomic profiling by mass spectrometry	not available	label free sample	Orbitrap LC-MS (Thermo)	NT=Lys-C;AC=MS:1001309	not available	not available	not available	cell state (2iL, SL, EPI) and transition time points (Day 1, Day 3, Day 7)	not available	dithiothreitol	orbitrap	20141022_Q1_SA_YaAt_2i_FCS-Epi_5B.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD014528-Sample-44	Mus musculus	embryonic stem cell	normal	embryonic stem cells	E14Tg2a	not available	not available	not available	not available	run 44	proteomic profiling by mass spectrometry	not available	label free sample	Orbitrap LC-MS (Thermo)	NT=Lys-C;AC=MS:1001309	not available	not available	not available	cell state (2iL, SL, EPI) and transition time points (Day 1, Day 3, Day 7)	not available	dithiothreitol	orbitrap	20141022_Q1_SA_YaAt_2i_FCS-Epi_1C.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD014528-Sample-45	Mus musculus	embryonic stem cell	normal	embryonic stem cells	E14Tg2a	not available	not available	not available	not available	run 45	proteomic profiling by mass spectrometry	not available	label free sample	Orbitrap LC-MS (Thermo)	NT=Lys-C;AC=MS:1001309	not available	not available	not available	cell state (2iL, SL, EPI) and transition time points (Day 1, Day 3, Day 7)	not available	dithiothreitol	orbitrap	20141022_Q1_SA_YaAt_2i_FCS-Epi_4A.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD014528-Sample-46	Mus musculus	embryonic stem cell	normal	embryonic stem cells	E14Tg2a	not available	not available	not available	not available	run 46	proteomic profiling by mass spectrometry	not available	label free sample	Orbitrap LC-MS (Thermo)	NT=Lys-C;AC=MS:1001309	not available	not available	not available	cell state (2iL, SL, EPI) and transition time points (Day 1, Day 3, Day 7)	not available	dithiothreitol	orbitrap	20140924_Q1_SA_YaAt_2i_FCS-Epi_Rv_7B.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD014528-Sample-47	Mus musculus	embryonic stem cell	normal	embryonic stem cells	E14Tg2a	not available	not available	not available	not available	run 47	proteomic profiling by mass spectrometry	not available	label free sample	Orbitrap LC-MS (Thermo)	NT=Lys-C;AC=MS:1001309	not available	not available	not available	cell state (2iL, SL, EPI) and transition time points (Day 1, Day 3, Day 7)	not available	dithiothreitol	orbitrap	20150105_Q1_SA_YaAt_ESC_proteome_3B.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD014528-Sample-48	Mus musculus	embryonic stem cell	normal	embryonic stem cells	E14Tg2a	not available	not available	not available	not available	run 48	proteomic profiling by mass spectrometry	not available	label free sample	Orbitrap LC-MS (Thermo)	NT=Lys-C;AC=MS:1001309	not available	not available	not available	cell state (2iL, SL, EPI) and transition time points (Day 1, Day 3, Day 7)	not available	dithiothreitol	orbitrap	20141022_Q1_SA_YaAt_2i_FCS-Epi_4C.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
